Pod,Rank,Name_Clean,VP_Pile_1,VP_Pile_2,Total_VP,Win?,Total Rank Points,VP_Diff,Bystanders,Fun_Level,Win_Value,Win_Points,Turns_Value,Turns_Points,Turns_Rank,Escapes_Value,Escapes_Points,Escapes_Rank,PPT_Value,PPT_Points,PPT_Rank,Unique_Pod_ID,Pick 1,Pick 2,Attempt,Points Earned,Total Points,Cards Undercover
5,3,myomes,66,23,89,1st,19.5,43,30,4/5,Yes,4.5,33,1.5,7th,0,6.5,1st,2.697,7,2nd,F22_Pod_5,Black Cat,Invisible Woman,,,,
5,4,Babybreloom,27,35,62,1st,19,8,14,4/5,Yes,4.5,23,6,3rd,2,2.5,6th,2.696,6,3rd,F22_Pod_5,Black Cat,Moon Knight,,,,
5,5,Mikeygill97,24,6,30,1st,19,18,9,5/5,Yes,4.5,17,8,1st,2,2.5,6th,1.765,4,5th,F22_Pod_5,Thing,Beta Ray Bill,,,,
5,6,CaptainMetroidica,21,29,50,1st,18.5,8,7,5/5,Yes,4.5,24,5,4th,1,4,5th,2.083,5,4th,F22_Pod_5,Invisible Woman,Moon Knight,,,,
5,7,Justitiana,25,24,49,1st,18,1,4,2/5,Yes,4.5,29,4,5th,0,6.5,1st,1.69,3,6th,F22_Pod_5,Thor (Heroes of Asgard),Beta Ray Bill,,,,
5,8,mattrtlsnk,20,19,39,1st,9.5,1,14,4/5,Yes,4.5,30,3,6th,11,1,8th,1.3,1,8th,F22_Pod_5,Scarlet Spider,Human Torch,,,,
6,1,MrTince,35,55,90,1st,28,20,20,4/5,Yes,6.0,28,7,2nd,0,7,1st,3.214,8,1st,F22_Pod_6,Professor X,Scarlet Spider,,,,
6,2,Iburnicus,60,13,73,1st,26,47,10,3/5,Yes,6.0,24,8,1st,1,5,4th,3.042,7,2nd,F22_Pod_6,Star-Lord,Professor X,,,,
6,3,R3DJ0N,42,43,85,1st,24,1,26,4/5,Yes,6.0,31,5,4th,0,7,1st,2.742,6,3rd,F22_Pod_6,Bishop,Jean Grey,,,,
6,4,Grey Warden & Blue Queen,61,22,83,1st,21,39,19,5/5,Yes,6.0,34,4,5th,0,7,1st,2.441,4,5th,F22_Pod_6,Gamora,"Skirn, Breaker of Men",,,,
6,5,NukinFoobs & N3m3sis,12,66,78,1st,19,54,18,3/5,Yes,6.0,30,6,3rd,3,2,7th,2.6,5,4th,F22_Pod_6,Bishop,Punisher,,,,
6,6,Jmaster1324,22,31,53,6th,10.5,9,14,3/5,No,2.0,37,3,6th,2,3.5,5th,1.432,2,7th,F22_Pod_6,Star-Lord,Ghost Rider,,,,
6,7,FlipFlopManiac,14,53,67,6th,8,39,19,3/5,No,2.0,34,2,7th,4,1,8th,1.971,3,6th,F22_Pod_6,Jean Grey,Bishop,,,,
6,8,JParnell,19,15,34,6th,7.5,4,9,3/5,No,2.0,28,1,8th,2,3.5,5th,1.214,1,8th,F22_Pod_6,Elektra,Professor X,,,,
7,1,ANewEmpire,62,28,90,1st,24.5,34,1,4/5,Yes,5.0,29,5,4th,0,7.5,1st,3.103,7,2nd,F22_Pod_7,Phyla-Vell,Mockingbird,,,,
7,2,Ceej,36,20,56,1st,22,16,0,4/5,Yes,5.0,22,8,1st,1,6,3rd,2.545,3,6th,F22_Pod_7,Elektra,Iron Fist,,,,
7,3,dontfeedthegreen,28,59,87,1st,21.5,31,3,4/5,Yes,5.0,30,4,5th,0,7.5,1st,2.9,5,4th,F22_Pod_7,Elektra,Mockingbird,,,,
7,4,ChuckBauer,47,22,69,1st,21,25,3,5/5,Yes,5.0,26,7,2nd,2,5,4th,2.654,4,5th,F22_Pod_7,Domino,Proxima Midnight,,,,
7,5,Yeeches,92,10,102,1st,20,82,2,5/5,Yes,5.0,31,3,6th,3,4,5th,3.29,8,1st,F22_Pod_7,Punisher,Deathlok,,,,
7,6,kata124,56,27,83,1st,20,29,7,4/5,Yes,5.0,27,6,3rd,4,3,6th,3.074,6,3rd,F22_Pod_7,Iceman,Magik,,,,
7,7,BuddhaRock,54,27,81,1st,10,27,2,3/5,Yes,5.0,37,2,7th,6,1,8th,2.189,2,7th,F22_Pod_7,Elektra,Magik,,,,
7,8,mattl00k,23,12,35,8th,5,11,2,4/5,No,1.0,30,1,8th,5,2,7th,1.167,1,8th,F22_Pod_7,Forge,Nova (Avengers),,,,
8,1,Kyler & Talon,16,45,61,1st,25,29,12,4/5,Yes,5.0,22,8,2nd,0,5,1st,2.773,7,3rd,F22_Pod_8,Black Widow (Avengers),Invisible Woman,,,,
8,2,EnigmaDrake,4,48,52,1st,24,44,1,3/5,Yes,5.0,20,9,1st,0,5,1st,2.6,5,5th,F22_Pod_8,Mr. Fantastic,Storm,,,,
8,3,Spark001,32,40,72,1st,23,8,5,4/5,Yes,5.0,25,5,5th,0,5,1st,2.88,8,2nd,F22_Pod_8,Brainstorm,Fantastic Four United,,,,
8,4,Adrian Miller,53,24,77,1st,22.5,29,8,5/5,Yes,5.0,26,3.5,6th,0,5,1st,2.962,9,1st,F22_Pod_8,Psi-Lord,Silver Surfer,,,,
8,5,Jalt08 & KatieAlt,44,24,68,1st,19.5,20,1,4/5,Yes,5.0,26,3.5,6th,0,5,1st,2.615,6,4th,F22_Pod_8,Human Torch,Psi-Lord,,,,
8,6,Astigmatic_Oracle,38,19,57,1st,18.5,19,1,5/5,Yes,5.0,24,6,4th,0,5,1st,2.375,2.5,7th,F22_Pod_8,Mr. Fantastic,Brainstorm,,,,
8,7,AntDude & WaspWoman,25,20,45,1st,18,5,2,5/5,Yes,5.0,23,7,3rd,0,5,1st,1.957,1,9th,F22_Pod_8,Mr. Fantastic,Brainstorm,,,,
8,8,lasombra81,38,43,81,1st,15,5,2,4/5,Yes,5.0,33,1,9th,0,5,1st,2.455,4,6th,F22_Pod_8,Fantastic Four United,Mr. Fantastic,,,,
8,9,Agrajag,41,35,76,1st,14.5,6,11,5/5,Yes,5.0,32,2,8th,0,5,1st,2.375,2.5,7th,F22_Pod_8,Heralds of Galactus,Fantastic Four United,,,,
9,1,MicroDisney0505,50,9,59,1st,31,41,7,4/5,Yes,5.5,13,9,1st,0,7.5,1st,4.538,9,1st,F22_Pod_9,Enchantress,Loki,,,,
9,2,OllieKitKat & Kylah15,13,37,50,1st,29,24,2,5/5,Yes,5.5,17,8,2nd,0,7.5,1st,2.941,8,2nd,F22_Pod_9,Medusa,Enchantress,,,,
9,3,Snash108 & SBPKECN,37,28,65,1st,24,9,7,5/5,Yes,5.5,25,4,6th,0,7.5,1st,2.6,7,3rd,F22_Pod_9,Loki,Queen Storm of Wakanda,,,,
9,4,Dre 2 point 0,39,40,79,1st,22,1,16,4/5,Yes,5.5,31,3,7th,0,7.5,1st,2.548,6,4th,F22_Pod_9,Enchantress,Queen Storm of Wakanda,,,,
9,5,dontfeedthegreen,21,38,59,1st,21,17,0,4/5,Yes,5.5,24,5.5,4th,1,5,5th,2.458,5,5th,F22_Pod_9,Loki,Queen Storm of Wakanda,,,,
9,6,ChuckBauer,24,29,53,1st,16.5,5,3,4/5,Yes,5.5,24,5.5,4th,2,3.5,6th,2.208,2,8th,F22_Pod_9,Enchantress,Queen Storm of Wakanda,,,,
9,7,EnigmaDrake,20,30,50,1st,16.5,10,5,4/5,Yes,5.5,22,7,3rd,4,1,9th,2.273,3,7th,F22_Pod_9,Crystal,Karnak,,,,
9,8,Kharg,34,42,76,1st,15,8,9,3/5,Yes,5.5,33,2,8th,2,3.5,6th,2.303,4,6th,F22_Pod_9,Medusa,Enchantress,,,,
9,9,Montax30,37,29,66,9th,5,8,12,2/5,No,1.0,38,1,9th,3,2,8th,1.737,1,9th,F22_Pod_9,Gorgon,White Wolf,,,,
10,2,ANewEmpire,33,39,72,1st,24.5,6,4,4/5,Yes,5.0,24,7,2nd,0,5.5,1st,3,7,3rd,F22_Pod_10,Korg,Forge,,,,
10,4,Adrian Miller,27,43,70,1st,22.5,16,4,5/5,Yes,5.0,24,7,2nd,0,5.5,1st,2.917,5,5th,F22_Pod_10,"No-Name, Brood Queen",Sentry,,,,
10,7,Redblock,50,21,71,1st,19,29,3,5/5,Yes,5.0,27,4.5,5th,0,5.5,1st,2.63,4,6th,F22_Pod_10,Wolverine (X-Force),Forge,,,,
10,8,Mangostrike,48,30,78,1st,15.5,18,6,2/5,Yes,5.0,32,2,8th,0,5.5,1st,2.438,3,7th,F22_Pod_10,Cable,Forge,,,,
10,9,Babybreloom,51,32,83,1st,8,19,6,4/5,Yes,5.0,36,1,9th,1,1,9th,2.306,1,9th,F22_Pod_10,Cable,Korg,,,,
11,1,Zer00verride,95,23,118,1st,31.5,72,30,3/5,Yes,6.0,29,8.5,1st,0,8,1st,4.069,9,1st,F22_Pod_11,Iron Man Noir,Punisher,,,,
11,2,R3DJ0N,77,26,103,1st,30.5,51,21,4/5,Yes,6.0,29,8.5,1st,0,8,1st,3.552,8,2nd,F22_Pod_11,Domino,Punisher,,,,
11,3,Iburnicus,62,25,87,1st,25.5,37,22,4/5,Yes,6.0,31,5.5,4th,0,8,1st,2.806,6,4th,F22_Pod_11,Domino,Punisher,,,,
