Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,
23,Grim Reaper's Televised Deathtraps of Mojoworld,1,R3DJ0N#6458,62,3,65,1st,Yes (3.5),1st,19 (6),1st,0 (4),1st,3.421 (6),19.5,,59,0,Beta Ray Bill,Photon,4/5,"I went with some discard heroes thinking I would fail the scheme and be able to discard the wounds. Beta Ray bill and photon worked super well together, generating a lot of attack from stormbreaker. The scheme twists came up for player 2 so they didn't many points."
,,2,Wicked.pepper,63,45,108,1st,Yes (3.5),5th,34 (2),1st,0 (4),2nd,3.176 (5),14.5,,18,3,Beast (X-Men),Photon,4/5,Sometimes the second playthrough is not better.  Not even a bit. So first try will have to do this time. Hope it will be enough
,,3,OllieKitKat & Kylah15,11,52,63,1st,Yes (3.5),2nd,25 (4.5),1st,0 (4),5th,2.52 (2),14,,41,2,Colossus & Wolverine,X-23,4/5,"Berserk was a pretty fun route. Kylah was able to thin his side pretty quick and then was able to hit all the things. Ollie's deck synergized much better the second game with dark memories, but the turns were significantly higher."
,,4,Zer00verride,41,39,80,1st,Yes (3.5),4th,29 (3),1st,0 (4),4th,2.759 (3),13.5,,2,4,Quicksilver,Speed,4/5,I had no idea where to start with choosing heroes with this setup and after thinking about my options for a while I was still none the wiser so Scarlet Witch decided to get some help from her family. Turns out to be a bit too bad decision as things went better than i expected. I fear it may have been too slow to see me go through but it could have been a lot worse.
,,5,AntDude & WaspWoman,34,19,53,1st,Yes (3.5),2nd,25 (4.5),1st,0 (4),6th,2.12 (1),13,,15,2,Beast (X-Men),Colossus & Wolverine,5/5,"Leaned into Berserk for both sides with Beast and Colossus & Wolvie. Cannonball was the major surprise here, with those soaring flight cards really paying off early on for better attacking and recruiting. Securing Jarnbjorn was huge for AntDude and seemed to deliver the extra attack needed for taking down a location or tactic. The Mojoverse got quite a show today!"
,,6,Guardian06,45,59,104,1st,Yes (3.5),6th,37 (1),6th,1 (1),3rd,2.811 (4),9.5,,14,3,Banshee,Legion,3/5,"Tough game! I knew right away I'd need to use some piercing energy heroes for this one, which seems worth it even though I won't have them moving forward."
,,,,                                                            Lower Bracket,,,,,,,,,,,,,,,,,,
24,Belasco Mass Produces War Machine Armor,1,MicroDisney0505,59,17,76,1st,Yes (3.5),1st,21 (5),1st,0 (4.5),1st,3.619 (5),18,,42,28,Dr. Octopus,Green Goblin,4/5,Masterstrike on turn 1 whiff! Green Goblin rare and Dr. Octopus rare in the same hand with 8 tech cards in the deck. Then getting Genetic experiments (Ultron) and Encephalo-Ray (Ultron) had me get 37 ravage my last turn and getting 14 bystanders that turn too.
