Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,
9,Doctor Strange's Tornado of Terrigen Mists,1,MicroDisney0505,50,9,59,1st,Yes (5.5),1st,13 (9),1st,0 (7.5),1st,4.538 (9),31,,41,7,Enchantress,Loki,4/5,"This was the luckiest game that I have ever had. Not one scheme twist played. Two masterstrikes that did not reveal a scheme. I used Enchantress and Loki to ko grey cards and get new recruits.  I then got two of Kingpin's Pull the Strings. On turn 11 I got Endless Underlings. My deck had so few cards that this allowed the new recruits to go to the bottom of my deck and then get draw by the next new recruit. This then created infinite attack. The other side focused on thrones favor with Blackbolt and black panther.  This worked well and was able to get a rare early on, just the other side hit too fast.
My first game was more normal with a squeak by win. 4 escapes, 31 turns, 51 vp total. So game two was a shock at how well it worked."
,,2,OllieKitKat & Kylah15,13,37,50,1st,Yes (5.5),2nd,17 (8),1st,0 (7.5),2nd,2.941 (8),29,,24,2,Medusa,Enchantress,5/5,"Well infinite attack makes for a quick game. Our second game was still good but going with the lower turn count once again. BP & Medusa may be in Ollie's top duos now. Kingpin is always good when he (and his rare) come out, so Kylah never objects."
,,3,Snash108 & SBPKECN,37,28,65,1st,Yes (5.5),6th,25 (4),1st,0 (7.5),3rd,2.6 (7),24,,9,7,Loki,Queen Storm of Wakanda,5/5,"Knew it was gonna go well, when I scored Queen Storm's rare on turn 7. Wife took some of Loki's Father of lies which were cleverly used to pull garbage out of my deck into hers!! Great game!"
,,4,Dre 2 point 0,39,40,79,1st,Yes (5.5),7th,31 (3),1st,0 (7.5),4th,2.548 (6),22,,1,16,Enchantress,Queen Storm of Wakanda,4/5,"Queen Storm on the left and Enchantress on the right, this dynamic duo did great!"
,,5,dontfeedthegreen,21,38,59,1st,Yes (5.5),4th,24 (5.5),5th,1 (5),5th,2.458 (5),21,,17,0,Loki,Queen Storm of Wakanda,4/5,"Won both my games in 12 turns per player, with only a few VP between them. In both I couldn’t manage to stop an escape from the 5th Twist. First game ended up slightly stronger with some nice New Recruit combos between Loki & Kingpin. 2nd game I had fun Wounding everything with Forked Lightning."
,,6,ChuckBauer,24,29,53,1st,Yes (5.5),4th,24 (5.5),6th,2 (3.5),8th,2.208 (2),16.5,,5,3,Enchantress,Queen Storm of Wakanda,4/5,Red side and a blue side. Extra cards that got in the way we're recruited only to have their souls sacrificed later for purchase of useful things!!
,,7,EnigmaDrake,20,30,50,1st,Yes (5.5),3rd,22 (7),9th,4 (1),7th,2.273 (3),16.5,,10,5,Crystal,Karnak,4/5,"Three ""Kings"" I see what you did there."
,,8,Kharg,34,42,76,1st,Yes (5.5),8th,33 (2),6th,2 (3.5),6th,2.303 (4),15,,8,9,Medusa,Enchantress,3/5,"The scheme made it pretty hard to prevent escapes, especially with a villain that has an ambush that adds villains to the city. Heroes choices were pretty simple to be able to get one hand with a Throne's Favor deck and the other with a New Recruits deck."
