Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,9,Montax30,37,29,66,9th,No (1),9th,38 (1),8th,3 (2),9th,1.737 (1),5,,8,12,Gorgon,White Wolf,2/5,Bindings are my least favorite cards in the game.  Namor just kept sticking around.  Trying to control the city with Defenders was a chore with this scheme. I was normally short by one attack
10,The Sentry Detonates the Helicarrier,1,myomes,29,46,75,1st,Yes (5),2nd,24 (7),1st,0 (5.5),1st,3.125 (9),26.5,,17,12,Angel,Bruce Banner,4/5,"I'm glad that we have two tries because the first game had a lot of early twist and high cost cards in the HQ. Angel and Domino teamed up to rescue bystanders in game 2, while hulk, Bruce, and Colossus smacked people down."
,,2,ANewEmpire,33,39,72,1st,Yes (5),2nd,24 (7),1st,0 (5.5),3rd,3 (7),24.5,,6,4,Korg,Forge,4/5,"Learned a lot from Game 1. Game 2 I saved all the Sakaaran Hivelings for hand 2. I was able to K.O. a large portion of my deck and by turn 20 and easily cycled through my entire deck with Korg, Domino, and Forge draw cards. This allowed me to use B.F.G. on both turn 20 and 24! Hand 1 was able to take out the other Villains focusing a heavy attack build with Korg, Colossus, and Hulkbuster Iron Man. 

Was debating whether or not to save Forge for later, but with the lineup it seemed like the perfect opportunity!"
,,3,Avataristche,37,46,83,1st,Yes (5),5th,27 (4.5),1st,0 (5.5),2nd,3.074 (8),23,,9,5,Bruce Banner,Elektra,4/5,"Elektra-spidey side suffered with thinnig, tech-green side got Domino's rare and multiclassed into versatile midgame.This try went a tad faster than the other one due to it. Maybe good enough?"
,,4,Adrian Miller,27,43,70,1st,Yes (5),2nd,24 (7),1st,0 (5.5),5th,2.917 (5),22.5,,16,4,"No-Name, Brood Queen",Sentry,5/5,"Didn't think I would get to do this week because I had lots of car trouble but I managed to get it in, was a fun game going transform heavy on one side and 1/2 on the other."
,,5,ItStartsWith1,23,26,49,1st,Yes (5),1st,21 (9),1st,0 (5.5),8th,2.333 (2),21.5,,3,4,Bruce Banner,"Skaar, Son of Hulk",4/5,"Got very lucky this game. Was able to grab a rare on either side before they blew up. Low early VD pressure. Was very happy with hero choices. Got one huge “Planetary-Level Revenge” Skaar turn that hit the MM twice. The other side got to “Build the Suit,” with “Final Battle,” and The Sentry didn’t stand a chance."
,,6,Grey Warden & Blue Queen,48,34,82,1st,Yes (5),7th,28 (3),1st,0 (5.5),4th,2.929 (6),19.5,,14,7,Bruce Banner,Korg,5/5,"2nd game in a row where Symbiote Spider-Man kicked butt. When I saw Colossus and Hulkbuster, it was no question as to the heroes. Banner has 2 costs that draw extra, plus the green and black, and smash. Korg has 2 costs, cam ko Wounds, and draws extra. There were few turns when these heroes didn't flow. 2nd game we failed Psychotic Break purely because there were no Villains to fight!"
,,7,Redblock,50,21,71,1st,Yes (5),5th,27 (4.5),1st,0 (5.5),6th,2.63 (4),19,,29,3,Wolverine (X-Force),Forge,5/5,"Was going for tech deck. Game said ""hold my beer"" and gave me spider deck"
,,8,Mangostrike,48,30,78,1st,Yes (5),8th,32 (2),1st,0 (5.5),7th,2.438 (3),15.5,,18,6,Cable,Forge,2/5,"This was brutal. Difficult to get synergies going, Wounds galore and feasted on my good heroes too many times. I did manage to get Colossus' rare to land a couple times and Domino's versatile cards were clutch. Thought about focusing on spiders for a second and not sure if that would have worked better or not."
,,9,Babybreloom,51,32,83,1st,Yes (5),9th,36 (1),9th,1 (1),9th,2.306 (1),8,,19,6,Cable,Korg,4/5,"Korg let me clean up a lot of the wounds Sentry gave me, and then Cable was a menace unto himself! I let one side build Spiders with the low-cost monsters (Korg's two-cost and Colossus' 1-cost especially) and that side cleared the city, while Domino, Cable, and Colossus worked together to take Sentry down!"
11,Apocalypse Silences the Witnesses,1,Zer00verride,95,23,118,1st,Yes (6),1st,29 (8.5),1st,0 (8),1st,4.069 (9),31.5,,72,30,Iron Man Noir,Punisher,3/5,"I so hate ""immortal and undefeated"". Drew it 3 times in a row when down to 2 tactics left. Forge as always was a powerhouse combined with other tech heris and punishers KO ability. Guess which VP total was that hand. ;)"
,,2,R3DJ0N,77,26,103,1st,Yes (6),1st,29 (8.5),1st,0 (8),2nd,3.552 (8),30.5,,51,21,Domino,Punisher,4/5,"After the previous round, I decided to go for a big swing rather than a steady win. I was a little worried about cosmic threats but felt a heavy tech strategy would still be able to hit them. Game 1 I got the BFG after culling a lot with Punisher, then 2 Hail of bullets revealed Terrax. So I hit Apocalypse 4 times in 1 turn. Unfortunately, 3 of them were Immortal.  So that made it a lot slower. Hopefully not too slow.

Game 2 I had some good Mind controlled Heralds but it was slower. Class Dismissed was a better KO than Dynamite. 

Black cat isn't as bad as I previously thought but I still probably wouldn't pick here normally. Class Dismissed let me skip over some of hers and Astral Forms.  "
,,3,Iburnicus,62,25,87,1st,Yes (6),4th,31 (5.5),1st,0 (8),4th,2.806 (6),25.5,,37,22,Domino,Punisher,4/5,"both games where wins , and in both game prof X's rare showed up and turned out as a big MVP, the first game had fewer turns (25) but more escapes and less total vp and bystanders rescued so i went with the higher turn count and i hope it doesn't bite me in the A, my heropicks felt great and did what i wanted in pushing for a strong tech side with forge!"
,,4,Coyote81 & ElZappo,76,26,102,1st,Yes (6),4th,31 (5.5),5th,3 (4.5),3rd,3.29 (7),23,,50,30,Iceman,Wolverine (X-Force),4/5,"This setup felt very much driven by if we got a bunch of black cat cards, which didn't work very well for any setup idea we could come up with.  The first game, we saw very few of her and Iceman carried the game.  2nd attempt, we got flooded with her and basically won after 40 plus turns and a lower score.  I've not had much luck with her in most games.  We got a forge rare kill on apoc too in game 1.  Doesn't happen often, but when it does, it's so nice."
,,5,Christian_Medic & Amanda G,44,34,78,1st,Yes (6),3rd,30 (7),8th,5 (2),6th,2.6 (4),19,,10,11,Bishop,Domino,5/5,Bishop combo-ed great with the Professor and Black Cat while my wife rocked the X-Force combo. Fun game and I achieved my ongoing  personal goal of purging all shield heroes from my deck by end of game haha.
,,6,Drewfusmcge,54,28,82,1st,Yes (6),6th,38 (4),5th,3 (4.5),9th,2.158 (1),15.5,,26,19,Iron Man Noir,Jean Grey,1/5,I hate Apocalypse so much. Only won my second game because of BFG and good mastermind tactic order (he never resurrected). Getting BFG or Professor X rare early on could definitely destroy this setup. See y'all in the losers bracket.
,,7,Ceej,77,29,106,1st,Yes (6),7th,39 (3),9th,7 (1),5th,2.718 (5),15,,48,41,Domino,Jean Grey,3/5,"First game was fun but exhausting. Lots of turns with a bunch of challenging choices. Went right to the wire - I emptied both the Bystander and Villain decks, so the game would have been a draw on the next turn. Prof. X let me ""recruit"" an 11-attack Villain, which was awesome even though I only ended up getting to use it once. Jean Grey was definitely the right choice; her ""for every Bystander you rescue, draw a card"" card let me draw probably 25 extra cards in the game, including a few critical extra cards in the final turn to get the win. Domino was less good; I picked her to have a bunch of Versatile cards because I could tell I'd need a lot of both Attack and Recruit, but they weren't super-useful, and comboed badly with Black Cat's Pickpocket common. So like I said, fun, but very tense, and mentally tiring.

Second game was just a disaster though, with all four Horsemen basically stacked on top of the Villain deck. None of the good Hero cards would show up, and it was over on turn 14. I know Legendary can be swingy, but that just felt punitive."
,,8,Yeeches,49,34,83,8th,No (1.5),8th,38 (1.5),4th,2 (6),8th,2.184 (2),11,,15,14,Angel Noir,Iron Man Noir,4/5,I was truly very close to having a great scoring win but the late game luck knocked me out on the last card! I'm went with Noir Angel & Iron Man which made a fun tech / investigate side with Forge and his B.F.G. Other side build a strong Prof X utility deck. I forfeited my 2nd game because of sooo many unavoidable escapes by halfway. Still fun though.
,,9,Forever A Team,50,38,88,8th,No (1.5),8th,38 (1.5),7th,4 (3),7th,2.316 (3),9,,12,28,Iceman,Spider-Man Noir,5/5,We were close in the second game but just ran out of turns due to the Villain deck running out. Enjoyed this challenge even though we weren't successful!
12,The Supreme Intelligence's Earthquake Drains the Ocean,1,Cerberin,42,41,83,1st,Yes (4.5),1st,19 (8),1st,0 (8),1st,4.368 (8),28.5,,1,8,Quicksilver,Ronin,5/5,"My first attempt was really bad so that's why I tried a second time. On Left I focused heavily on Rocket as I've got two of his uncommons and his rare pretty early (and Ronin's Rare as well just becuase I had the recruit). Right was using some Hyperspeed shenanigans generating 14 attack really early because of Speed's common (with Hyperspeed 6). Scheme twists came at the right time with odd twist every time I have Subterranias to fight, and even twist when the city was full. Overall - light and breezy setup with options to make it more fun with the selected heroes."
,,2,Spark001,47,42,89,1st,Yes (4.5),4th,28 (5),2nd,1 (5.5),2nd,3.179 (7),22,,5,3,Drax the Destroyer,Hellcat,4/5,"Really tricky and tense set of games kept with a combo of Thing and Drax lay down “Some Clobbering Time!” on the mastermind and villains that started to overload the city while Rocket, Hellcat and Speed help keep the twists and master strikes at bay while getting in a few good blows with there ultra rare cards which showed up early in both games.
 On the whole a decent game one I’d definitely play again.
 "
,,3,Enoc & Rowan,49,13,62,1st,Yes (4.5),2nd,24 (7),2nd,1 (5.5),5th,2.583 (4),21,,36,2,Mr. Fantastic,Hellcat,5/5,Mr. Fantastic's Ultimate nullifier hit the mastermind 3 times in one turn. It was amazing!
,,4,MrTince,60,26,86,1st,Yes (4.5),5th,29 (4),2nd,1 (5.5),3rd,2.966 (6),20,,34,6,Darkhawk,Star-Lord,5/5,This has to be in my top for schemes. It's basic in concept but the changing city makes it so fun. Managed to take out most of Subterran villains in the smaller city and having Locations helped too.
,,5,Remington Chase,36,37,73,1st,Yes (4.5),3rd,25 (6),6th,3 (2),4th,2.92 (5),17.5,,1,4,Drax the Destroyer,Gamora,4/5,"Got hit with a high tide that caused multiple escapes, but was able to get Gamora's rare early and Drax's rare later on. Hopefully the escapes don't cost me the potential win!"
,,6,Kyler & Talon,40,32,72,1st,Yes (4.5),6th,31 (3),2nd,1 (5.5),6th,2.323 (3),16,,8,1,Groot,Star-Lord,5/5,"Have always liked the shards mechanic. Building up artifacts with star lord is so fun. Being able to get 6 shards per turn is just crazy. Only 4 scheme twists in 31 turns was also super lucky as well. Getting star-lord and groot super rare cards come out in the first 5 turns was just extremely lucky. Not super confident as it did take a second to build up and mastermind got 4 master strikes out before round 20 but other than that, feel good about it."
,,7,Doormatte,59,34,93,1st,Yes (4.5),8th,41 (1),6th,3 (2),7th,2.268 (2),9.5,,25,3,Groot,Ronin,3/5,It was fun. I used the scheme to my advantage fighting the subterranean villain group
,,8,Roy_Boy,23,36,59,1st,Yes (4.5),7th,35 (2),6th,3 (2),8th,1.686 (1),9.5,,13,5,Drax the Destroyer,Mr. Fantastic,3/5,"Left side went Instinct (Speed, Drax) and right went Mr. Fantastic. I forgot how well Mr. Fantastic and Thing work together (makes great sense flavorfully). Got lucky early game with a ton of scheme twists and empty Hydra Bases. I enjoyed the strategy decisions with fighting Subterranea villains when the Streets didn't exist"
,,,,                                                            Lower Bracket,,,,,,,,,,,,,,,,,,
13,The Grandmaster's Asgardian Test of Worth,1,Canis,36,23,59,1st,Yes (6),2nd,29 (6),1st,0 (5.5),2nd,2.034 (6),23.5,,13,2,Black Bolt (Inhumans),Gorgon,4/5,"hit scheme twist early both games (game 2 lost at turn 10) had 4 failings game one, but Thing and Silver Surfer was as good as expected to be, had the Rare for both, and with surfer powering up his knuckle sandwich :)"
,,2,AntDude & WaspWoman,29,32,61,1st,Yes (6),1st,27 (7),5th,2 (2.5),1st,2.259 (7),22.5,,3,6,Beta Ray Bill,Lady Sif,3/5,Very tough scheme with 2 players for sure! Our 2nd attempt ended at turn 14. Very frustrated by the 2 escapes because the friggin Runner came out just after we risked hitting the Mastermind with 4 in the city. And then he pushed out 2 villains. But hopefully the fact we won keeps us in the tourney! Very thankful that Thing has a Worthy common in Knuckle Sandwich!
,,3,mattrtlsnk,15,46,61,1st,Yes (6),3rd,30 (5),1st,0 (5.5),3rd,2.033 (5),21.5,,31,1,Nova (Avengers),Thor (Heroes of Asgard),4/5,Another cool setup
,,4,Off the Cuff,18,9,27,4th,No (2.5),4th,28 (4),1st,0 (5.5),6th,0.964 (2),14,,9,1,Mr. Fantastic,Karnak,2/5,"Yep, that sure was Asgardian Test of Worth with two players. In my first try of this setup, the top 12 cards of the Villain Deck were 5 Henchmen, 5 Twists, a Bystander and a Master Strike. Simply astounding"
,,5,Astigmatic_Oracle,7,23,30,4th,No (2.5),6th,25 (2),1st,0 (5.5),5th,1.2 (3),13,,16,1,Medusa,Black Bolt (Inhumans),1/5,This scheme is just killer for 2 players.
,,6,The Rolling Meeple & Panda Meeple,14,15,29,4th,No (2.5),7th,17 (1),5th,2 (2.5),4th,1.706 (4),10,,1,3,Thor (Heroes of Asgard),Phyla-Vell,1/5,"Game 2 started to go better but then the last twist hit. Had managed to hit Grandmaster 3 times, 2 of those in one turn. I really don't see how this setup is possible to win."
,,7,BuddhaRock,9,12,21,4th,No (2.5),5th,27 (3),7th,3 (1),7th,0.778 (1),7.5,,3,1,Human Torch,Quasar,1/5,"That scheme is pure evil for only 2 players. It's almost impossible to beat with only 2 players. I can't think of many worse schemes to face in a 2 player game. In my other try, I lost in 11 turns, and that was with thorough shuffling! I never want to play that scheme with only 2 players again. Don't care what heroes, villains and masterminds are being used. That scheme is simply brutal."
,,-,JParnell,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-
14,Kingpin's Man-Dimensional Plague,1,CaptainMetroidica,30,41,71,1st,Yes (2.5),1st,23 (4),1st,0 (3),1st,3.087 (4),13.5,,11,3,Iceman,Punisher,4/5,I got a super series of KOs in the first game that removed basically all starter cards. Eventually my deck got too thin in my tech side and I had to buy Maria Hills just to buy more cards. The green/blue side started out recruit heavy to get rid of wounds and then started to really hit Kingpin and bribe minions hard.
,,2,Loconnole & Klcgolf,26,39,65,1st,Yes (2.5),2nd,24 (3),1st,0 (3),3rd,2.708 (2),10.5,,13,6,Lady Thor,Iceman,5/5,"Loved the combination of lady Thor, captain marvel and iceman for the bigger win and then hulkbusters rare came in super clutch for the other hand as well"
,,3,Bronson,32,48,80,1st,Yes (2.5),3rd,26 (1.5),4th,1 (1),2nd,3.077 (3),8,,16,3,Iron Fist,Punisher,2/5,"Relatively easy to win because of hero synergy, and easy villains. Can’t wait to see which heroes were chosen by other players. We focused only on MKs to counteract the master strike - which wasn’t really that bad anyway. If we lose will be kicking myself for that choice!"
,,4,kata124,26,44,70,1st,Yes (2.5),3rd,26 (1.5),1st,0 (3),4th,2.692 (1),8,,18,5,Lady Thor,Domino,5/5,A bit on the easier side but lots of fun. I'm happy with Lady Thor and Domino. Both worked really well vs Kingpin and synergized well with the other heroes.
,,-,aurelie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,Godot,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,mattl00k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,-,Justitiana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Dr. Doom Captures Baby Hope,1,BDub,36,21,57,1st,Yes (5),1st,21 (8),1st,0 (8),1st,2.714 (8),29,,15,2,Iron Man,Forge,4/5,I enjoyed being able to KO several heroes by fighting villains and the many draw card abilities. Really streamlined my decks and made heroes feel powerful.
,,2,Guru Mike & MargaretWestlake,46,13,59,1st,Yes (5),2nd,22 (7),2nd,1 (6.5),3rd,2.682 (6),24.5,,33,1,Storm,Spider-Man,4/5,"I focused on Elektra, Wolverine, and Spider-Man, which gave me a lot of draw cards and plenty of Instinct to trigger drawing cards. It also gave me a lot of 1 & 2 cost heroes to add attack to Elektra's 6-cost card.

Margaret focused on Storm & Thor, which gave her plenty of blue to trigger combos.

We focused on hitting the Mastermind as quickly as possible, and it worked well for us. The only reason a villain escaped was that a couple of scheme twists came out before we got our decks sufficiently built."
,,3,NukinFoobs & N3m3sis,35,38,73,1st,Yes (5),3rd,27 (6),4th,2 (3.5),2nd,2.704 (7),21.5,,3,1,Iceman,Wolverine (X-Force),4/5,We got very unlucky in the first game where villains captured baby Hope and immediately escaped after. The 2nd game went much better with one us using a thor/iceman deck and the other a wolverines/Elektra deck. Draw everything!
,,4,Baldulf,37,54,91,1st,Yes (5),7th,34 (2),2nd,1 (6.5),4th,2.676 (5),18.5,,17,11,Iron Man,Spider-Man,3/5,"The heroes I selected worked well with the team, but in the end my hero selection was too focused on making the mandatory heroes work rather than picking the best heroes for the setup. Also, from the tournament perspective of avoiding villain escapes at all costs, this scheme is so swingy. It's almost impossible to prevent at least one escape if you get two twists in the first six turns or so, no matter how weak the villain who captures the baby."
,,5,Agrajag,24,45,69,1st,Yes (5),4th,28 (5),4th,2 (3.5),5th,2.464 (4),17.5,,21,4,Iron Man,Spider-Man,5/5,"Legendary 42-Attack hand! - 2x Sai Blades Elektra | 4x Keen Senses Wolverine | many Spider-Men (Spider-Mans?) Probably could have milked for more points, but if you can take out 3 Tactics AND ddeal the Final Blow in one hand, you have to, right? Actually it was the Left Hand ..... Excelsior!!"
,,6,FlipFlopManiac,48,28,76,1st,Yes (5),6th,32 (3),4th,2 (3.5),6th,2.375 (3),14.5,,20,0,Domino,Gambit,4/5,"Anytime I can play with Domino is a good time.  Tried to plan my choices to help the Instinct draw engine of Wolverine and it worked a little bit on the MCU side.  The other side stacked 1 and 2 costs and used Electra to generate some power to keep the city clear.

Much better than my second attempt, the baby got captured and escaped on consecutive turns on all three fails."
,,7,Jmaster1324,41,19,60,1st,Yes (5),5th,30 (4),4th,2 (3.5),7th,2 (2),14.5,,22,2,Hawkeye,Iron Man,3/5,I thought this would be an easy battle. I mean Doom is only a step over Loki and I've run baby hope a billion times. I figured if I ran a tech i could avoid doom's strike but they all came early and there were so many other colors I should have run Captain America. Well anyways this has been fun see you in the Winter Tournament
,,8,caseystahl1125,35,29,64,8th,No (1),8th,35 (1),8th,3 (1),8th,1.829 (1),4,,6,9,Black Widow (Avengers),Jean Grey,4/5,"1st game, I couldn't generate my hit engine fast enough..then Baby Hope was taken away 3 times...2nd game...too many scheme twists early sunk my game and Baby Hope again was taken 3 times...2 games ...2 Ls"
16,Evil Deadpool Puts Humanity on Trial,1,hatephd,16,73,89,1st,Yes (4),1st,26 (7),1st,0 (4.5),2nd,3.423 (6),21.5,,57,30,Brainstorm,Angel,5/5,"Bystander engine works when it works. Saved all the ones not in the VD, Jury, or tucked under Chimera."
,,2,Wicked.pepper,31,70,101,1st,Yes (4),4th,29 (4),1st,0 (4.5),1st,3.483 (7),19.5,,39,29,Brainstorm,Iceman,4/5,Had a focus deck on one side and an x-men deck on the other that raked up bystanders. Early Jean Grey and Iceman rare were fabulous.
,,3,Jerzin,72,19,91,1st,Yes (4),2nd,27 (5.5),1st,0 (4.5),3rd,3.37 (5),19,,53,24,Angel,Professor X,4/5,"Angel+Bishop... no more words needed. KOing, getting bystanders and drawing cards together. MM, villains.. nobody has a chance to survive."
,,4,Jalt08 & KatieAlt,37,44,81,1st,Yes (4),2nd,27 (5.5),1st,0 (4.5),5th,3 (2.5),16.5,,7,11,Brainstorm,Cable,5/5,We got so lucky with our first run. My wife got the FFU Ultimate card early and was able to use it to work on Deadpool while I used Cable and Bishop to control the city. We only lost one scheme twist at the beginning and kept the wounds in check that they never made our hands too awful. With the luck we had this setup was really fun.
,,5,Guardian06,54,53,107,1st,Yes (4),6th,35 (2),1st,0 (4.5),4th,3.057 (4),14.5,,1,18,Forge,Domino,5/5,I've played this scheme before and I think it's one of my favorites! Love how you can plan ahead somewhat and strategize to avoid the juror siding against humanity. Had a hard time generating attack at first: an 11 cost mastermind shouldn't take that long to hit lol
,,6,lasombra81,81,18,99,1st,Yes (4),5th,33 (3),1st,0 (4.5),5th,3 (2.5),14,,63,26,Brainstorm,Forge,4/5,"Game 1 was doomed (Bagel shuffle). Twists on turns 1,2,3,6,7, and 17; 4VP total.

Game 2 Jean, Bishop, and Forge ran away with the game while FF and Brainstorm had trouble getting started.  Of course the first Tactic was the Healing Factor so I had to hit him 6 times, once with the B.F.G."
,,7,Mikeygill97,56,37,93,1st,Yes (4),7th,38 (1),7th,1 (1),7th,2.447 (1),7,,19,15,Brainstorm,Forge,4/5,"The first try I only made it to 20 turns and lost to the scheme. The second time worked great as I was able to thin the deck a bit and recruited Brainstorm's, F4 United's and Forge's rare and had them come out enough to take Deadpool down a peg. Granted that means I won't be able to use Forge again as my choice but it was worth the gamble one way or another."
,,-,AveryAce,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-
