Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
,,5,(+4),42,GZUZROCKS & DaBomb,11,73,84,1st,Yes (4),1st,26 (6),6th,1 (1.5),4th,3.231 (4),15.5,,62,22,2,3,3,5,2,0,0,13,Drax the Destroyer,Iceman,Drax the Destroyer,Iceman,Second attempt,4,"P2 managed to get a really good combo between Jean Grey ranged cards and Ice man ranged cards early on racking up some major damage but...good gravy! The number of times we hit Apocalypse's tactic ""Immortal and Undefeated"" drove us INSANE! Game would have ended MUCH sooner if we didn't keep hitting that stupid card! Mind you, this was game 2...game 1 we got crushed. I rate it highly due to it's challenge but a very painful one at that. Good way to end the tourney! Thanks Kylah for all the great games and organizing!",
,,6,(+3),41,owen_meany & owen_meany's better half,63,32,95,1st,Yes (4),5th,31 (3),1st,0 (5),5th,3.065 (3),15,,31,9,3,2,2,1,1,0,0,6,Bishop,Yelena Belova,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,"Entertaining setup and reminded how punishing Apocalypse and his master strikes can be. Was lucky to have a few early so damage was minimal. Yelena Belova was MVP of our game, repeatedly sending them unleashing her 3 attack card. Lots of KOing meant we had pretty small and powerful decks by the end. Fun game and great tournament. Thanks again to all the organizers.",
,,7,(+2),41,Swagolas,43,45,88,1st,Yes (4),7th,36 (1),6th,1 (1.5),7th,2.444 (1),7.5,,2,12,5,0,2,1,1,0,0,4,Black Widow (S.H.I.E.L.D.),Wolverine (X-Force),I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"This was my first time figthing this MM and not shuffeling his annoying tactic back. Still it took me pretty long to defeat him. I also could have avoided the escape, but I was worried that I would not have enough time to defeat him before the VD runs out. Anyways, a great setup but it felt pretty challenging.",
,,8,(+1),40,Redblock,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Does Dormammu Dream of Electric Sheep?,1,(+9),47,Tuba2k7 & Aliayc22,39,46,85,1st,Yes (6),2nd,28 (7.5),1st,0 (6),1st,3.036 (8.5),28,,7,5,0,2,1,2,1,1,0,7,Iceman,Rictor,Iceman,Rictor,First attempt,3,Fun game not a lot of synchrony for character draws unfortunately.,
,,2,(+8),45,Scootsmagoots86,25,60,85,1st,Yes (6),2nd,28 (7.5),1st,0 (6),1st,3.036 (8.5),28,,35,12,0,1,1,3,7,0,0,12,Jean Grey,Invisible Woman,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"This one had a lot of fun combos for hand 2. I mixed strong guy, colossus and human torch which really let me play with the wound-draw cards mechanic. My hand 1 deck was more jean grey pulling on bystanders. I made sure both hands had invisible woman's disappearing act cards so I could KO all my shield agents and troopers. It took a bit to cull the decks but once that was done it was 2 or 3 turns when I was smashing the mastermind. Great scenario! Thanks again for organizing!",
,,3,(+7),7,jgoodnough & and wife,32,28,60,1st,Yes (6),1st,23 (9),1st,0 (6),3rd,2.609 (7),28,,4,5,0,1,2,9,4,1,0,17,Domino,Iron Fist,Domino,Iron Fist,Second attempt,4,Fun setup,
,,4,(+6),43,Tozar,48,40,88,1st,Yes (6),6th,35 (4),1st,0 (6),4th,2.514 (6),22,,8,6,0,2,1,1,0,0,0,4,Thing,Wolverine (X-Force),Thing,Wolverine (X-Force),Second attempt,3,"This one was pretty hard.  All those Demonic Bargains bombarding with Wounds.  I tried to leverage the expected wounds with my hero choices, but I just didn't ever seem to get enough of the wound removal cards to keep them from really bogging me down.  Winning the second game was fortunate the seventh twist didn't hit. I've said many times that I don't really like the games where scheme X just ends the game.  That's how I lost my first game, scheme 7 hit earlier.",
,,5,(+5),41,Drewfusmcge,50,32,82,1st,Yes (6),5th,34 (5),1st,0 (6),6th,2.412 (4),21,,18,6,0,0,2,3,1,0,0,6,Iceman,Thing,Iceman,Thing,Second attempt,3,"Thought this one wouldn't be too hard, but I was wrong lol. Really good synergy, I just didn't get they key cards in either attempt until too late in the game. In one attempt, I never saw Human Torch's wound KO card which really slowed things down. Not too unfun though, and a great tournament overall. Thanks!",
