Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,3,R3DJ0N#6458,12,50,62,1st,Yes (3.5),1st,22 (6),1st,0 (4),4th,2.818 (3),16.5,,38,2,Kingpin,Loki,3/5,"I tried to make new recruits happen and they did a little pit but the big hitter was Trample underhoof getting 6 from Lok's rare, that and goblin gliders dodging a lot of base cards gave player 2 a deck that consistently hit over 9. Nick Fury had some well time command strikes to extend the  game though. I had an empty city most of the game so that hurt my score for point per turn."
,,4,MicroDisney0505,39,18,57,1st,Yes (3.5),2nd,23 (5),1st,0 (4),6th,2.478 (1),13.5,,21,2,Venom (Sinister Six),Crystal,5/5,Love this scheme. Lots of early scheme twists helped me get the wedding heroes.  I kept the city spaces clear whenever a scheme twist happen so only 2 wedding heroes were KOed the whole game. First turn masterstrike was nice. Due to all the early twists and masterstrikes not as many adversaries entered the city and that hurt my vp total.
,,5,Adrian Miller,38,45,83,1st,Yes (3.5),6th,29 (1),1st,0 (4),3rd,2.862 (4),12.5,,7,2,Karnak,Mysterio,3/5,.
,,6,Snash108,32,38,70,1st,Yes (3.5),5th,27 (2),6th,1 (1),5th,2.593 (2),8.5,,6,10,Dr. Octopus,Venom (Sinister Six),4/5,"Tried to put all of the Strength cards that cost 4 or more on one side, to maximize we Juggernauts impact and be able to trigger strength requirements easily. Majority of what was left for the other side was Green Goblin and recruit cards, which allowed them to run a powerful dodge strategy to get to rares quickly!!"
,,,,                                                            Lower Bracket,,,,,,,,,,,,,,,,,,
19,Galactus Transforms Commuters into Giant Ants,1,Dre 2 point 0,78,20,98,1st,Yes (4.5),3rd,25 (5),2nd,2 (6),1st,3.92 (7),22.5,,58,27,Ant-Man,Forge,5/5,"Ant-Man and Forge, with a little help from Domino, shoved those giant ants down Galactus’ throat, and surprisingly, it was too much for him."
,,2,CombatantMoth,61,43,104,1st,Yes (4.5),4th,27 (4),1st,0 (7),2nd,3.852 (6),21.5,,18,27,Apocalyptic Kitty Pryde,Black Panther,5/5,"Played my whole deck through twice this game, had three 7 cost cards (Black Panther, Domino and Apocalyptic Kitty Pryde)... but my wife still way outscored me! it was a lot of fun!!"
,,3,JParnell,56,28,84,1st,Yes (4.5),2nd,23 (6),3rd,3 (4.5),3rd,3.652 (5),20,,28,17,Ant-Man,Superior Iron Man,5/5,"Apparently Galactus had never heard of science. All the Tech card from Domino, S. Iron Man and Ant-Man made Galactus a surprising pushover. The other side scrapped together a Ranged and Instinct deck, with Blade mostly watching from the sidelines. THREE Amy's pushed out two Villains on the second to last turn as a part of seven bystanders being rescued from ""Panicked Mobs."""
,,4,BearclawMcgraw/SnaerSnare,48,20,68,1st,Yes (4.5),1st,21 (7),5th,5 (3),6th,3.238 (2),16.5,,28,11,Nightcrawler,Proxima Midnight,5/5,"Galactus came out the gate destroying three city spaces which caused a lot of escapes, but Doctor Strange stole the whole show and gave Galactus a bargain he couldn't refused. And the bargain looked like a big magical fist."
,,5,iburnicus,29,72,101,1st,Yes (4.5),5th,28 (3),6th,6 (2),4th,3.607 (4),13.5,,43,21,Silver Surfer,Lady Thor,3/5,"omg, everything was looking very grim! my first hq looked great but it almost instantly got put to the bottom by one of the heralds, and in the last turn electro revealed the final master strike to blow up the whole city, but smh i combo'd on this exact turn, lowering galactuss's power to 5 and gaining a whopping 28 attack total! not sure if my hero choices where the best but they did the job (first try), 2nd game i lost turn 23 due to the scheme"
,,6,Off the Cuff,70,34,104,7th,No (1),7th,30 (1),3rd,3 (4.5),5th,3.467 (3),9.5,,36,28,Black Panther,Wolverine (X-Force),4/5,"3 Twists in a row when there were no Ants stacked next to the Mastermind, along with two of the weaker hands I've had for the whole game snatched defeat from the jaws of victory, with only the Final Blow left. I really hope my PPT is high enough to see me through, otherwise I'm bowing out of this tournament earlier than last time."
,,7,Doormatte#7658,44,46,90,1st,Yes (4.5),6th,32 (2),7th,7 (1),7th,2.813 (1),8.5,,2,19,Ant-Man,Black Panther,4/5,"Galactus beat my rear end the second play through. Luckily, I had a win the first play through."
20,King Hulk's Clone Saga,1,CaptainMetroidica,23,66,89,1st,Yes (4),2nd,32 (5.5),1st,0 (4.5),1st,2.781 (7),21,,43,1,"Joe Fixit, Grey Hulk",Korg,4/5,"I had fun. The mixture of bribe villains with traditionally green high attack masterminds and villain themed set up was nice, didn't punish us so much for having recruit in our decks. Played well with She-Hulk."
,,2,ChuckBau3r,32,48,80,1st,Yes (4),2nd,32 (5.5),1st,0 (4.5),3rd,2.5 (5),19,,16,1,Caiera,Nightcrawler,4/5,"Picked Nightcrawler to be able to more easily negate the Scheme effects, by means of Teleport. Then added more covert (with Caiera) to have a better chance of activating Nightcrawlers uncommon. Turned out that Nightcrawler and Sentry actually did most of the heavy lifting!!"
,,3,Redblock,21,34,55,1st,Yes (4),1st,24 (7),1st,0 (4.5),5th,2.292 (3),18.5,,13,2,Spider-Woman,Daredevil (Marvel Knights),4/5,"Wanted to try some topdeck stuff, both black cat and sentry leads to it"
,,4,Lamertien,26,40,66,1st,Yes (4),4th,33 (4),1st,0 (4.5),6th,2 (1.5),14,,14,5,Angel,Gladiator Hulk,5/5,"Very nice setup! I discovered that Sentry is best, when you use Angel's Drop off a friend and discard his high cost transformed cards ^^ Gladiator Hulk was a good partner for She-Hulk. Didn't need Black Cat at all, she is one of the weakest heroes! 2nd match had more VP but one escape - I hope I submitted the best result ;-)"
,,5,Juuuuulian,37,51,88,1st,Yes (4),7th,37 (1),1st,0 (4.5),4th,2.378 (4),13.5,,14,2,She-Hulk,Spider-Woman,4/5,Smash smash smash
,,6,Hatephd,41,55,96,1st,Yes (4),6th,36 (2),7th,1 (1),2nd,2.667 (6),13,,14,9,Angel,Spider-Woman,5/5,More or less the exact same cards came out in the HQ from my first attempt. I just manage to keep getting the KO strikes instead of the wounding strikes and I studied more so Outwit helped thin my deck enough for the lone Diving Catch to trigger nearly every twist past the first 2.
,,7,Astigmatic_Oracle,25,43,68,1st,Yes (4),5th,34 (3),1st,0 (4.5),6th,2 (1.5),13,,18,1,Caiera,Iron Fist,1/5,I hate this scheme.
21,Stryfe Unites the Shards,1,Avataristche,35,15,50,1st,Yes (4),1st,21 (7),1st,0 (4.5),3rd,2.381 (5),20.5,,20,0,Elektra,Iceman,4/5,Team Elektrospidey hit mm on turn 5. Team Iceman ended up hitting mm only once because Bishop decided he is not gonna show up.
,,2,Darova,37,20,57,1st,Yes (4),3rd,23 (4.5),1st,0 (4.5),2nd,2.478 (6),19,,17,1,Domino,Wolverine (X-Force),5/5,Not many victory points in the villain deck. The villain combination was not that challenging
,,3,yeeches#4500,28,21,49,1st,Yes (4),2nd,22 (6),1st,0 (4.5),4th,2.227 (4),18.5,,7,1,Cable,Forge,4/5,"Stryfe didn't stand a chance. Reality Gem tucked master strikes, Cable's 'Disaster Recovery' triggered, tactics whiffed. 4 early twists gave me plenty of shards to spend. Forge & Punisher make a great team, so do Bishop & Cable. 'Thwip!' came out early and was the only Spidey card I would've wanted. Very lucky overall."
,,4,NukinFoobs and N3m3sis,39,35,74,1st,Yes (4),5th,25 (2.5),1st,0 (4.5),1st,2.96 (7),18,,4,11,Forge,Jean Grey,5/5,Everything went pretty much as we planned. One of us invested in a Bishop/Jean Grey deck while the other went for a Punisher/Forge build. Jean Grey helped supplement the 0 vp infinity gems with bystanders too!
,,5,Flipflopmaniac,11,39,50,1st,Yes (4),3rd,23 (4.5),1st,0 (4.5),5th,2.174 (3),16,,28,0,Domino,Forge,5/5,"One of my top 10 cards is Specialized Ammunition.  Comic side started 5/1 and grabbed it immediately and built a nice tech package including Domino and Forge's rares.  MCU side was able to do a Spidey-ish deck supplemented by the cheap commons of Punisher, Bishop, and Domino.  Had a turn or two with Stryfe holding enough shards to end the game if a Twist flipped but I concentrated on fighting him to clear them instead of recruiting them off."
,,6,ClobberinTime & megablueJJ67,14,37,51,1st,Yes (4),7th,26 (1),1st,0 (4.5),7th,1.962 (1),10.5,,23,0,Rocket Raccoon,Groot,4/5,KO’ing agents and troopers helped us thin out our decks. Player 1 focused on just 2 cost cards while Player 2 recruited Guardians. Shard management helped us take out villains close to escaping and go after the mastermind. We enjoyed this setup!
,,7,Mr. Omnishambles,38,12,50,1st,Yes (4),5th,25 (2.5),7th,1 (1),6th,2 (2),9.5,,26,2,Iceman,Daredevil (Marvel Knights),4/5,"First run was a disaster. I had 4 consecutive Twists and lost after 14 turns. Second try was much better. But again, I couldn't prevent to let one Villain escape, Let's hope I survive this :-)"
22,Hela's Fall of the Hulks,1,EnigmaDrake,19,35,54,1st,Yes (3.5),1st,20 (6),1st,0 (4.5),1st,2.7 (6),20,,16,9,Beta Ray Bill,Bruce Banner,3/5,"Pretty medium setup that picked up the gun in the late game as you start to beat face, picking Bruce felt like a spiritual cheat with the no additional hulk heroes but it was chosen as an optimal choice."
,,2,Mangostrike,36,25,61,1st,Yes (3.5),3rd,25 (3.5),1st,0 (4.5),2nd,2.44 (5),16.5,,11,9,Beta Ray Bill,Amadeus Cho,5/5,"Beta Ray Bill paired up with Hulk is King and Stormbreaker was so much fun. Managed to get all 3 heroes to transform in a single turn as well, though I only saw one rare in both games."
,,3,Thedaninblack,48,32,80,1st,Yes (3.5),6th,35 (1),1st,0 (4.5),3rd,2.286 (4),13,,16,10,Beta Ray Bill,Korg,5/5,HULK IS KING! HULK AND HORSEFACE FRIEND THROW HAMMERS! HULK SMASH!!!
,,4,caseystahl1125,24,26,50,1st,Yes (3.5),3rd,25 (3.5),1st,0 (4.5),5th,2 (1.5),13,,2,10,Forge,Domino,5/5,Forge/Dominio and the rest are draw heavy. Transforming both Hulk and Hulkbuster really made a difference..and Domino Specialized Ammonia
,,5,Loconnole & klcgolf,23,25,48,1st,Yes (3.5),2nd,24 (5),5th,1 (2),5th,2 (1.5),12,,2,10,Lady Sif,Amadeus Cho,5/5,"That may have been the quickest game we've ever played and won, snow to the back half of the city clear and just played a lot of outwit!"
,,6,Jerzin,27,48,75,1st,Yes (3.5),5th,34 (2),6th,2 (1),4th,2.206 (3),9.5,,21,10,Punisher,Korg,4/5,"First game was total mess, Master strikes created strong villains and we got lots of wounds...with the city full of Omens or HYDRA elite, that was not fun. Second game was much more better - Player two created two cost dect (Dynamite, Pound for pound, Ninjutsu, Nothing beats rock) and because of that Sai Blades got reaaally strong! Too late Player two get Final Battle card to play..."
