Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,
17,Mysterio's X-Cutioner's Song,1,Wicked.pepper,66,55,121,1st,Yes (3.5),4th,33 (3),1st,0 (3.5),1st,3.667 (6),16,,11,5,Banshee,Darkhawk,5/5,"Loved this game! The card draw you got from Jubilee really made the Banshee/Phoenix/Psylocke deck work. Add the hyperspeed/dark memories engine from the Darkhawk/Ronin deck to the mix and the villains stood no change. Could have ended it sooner if I didn't get to greedy. Could have had the final blow four turns earlier, but decided to kill some villains. Next two turns were master strikes... Hopefully this doesn't bite me in the standings."
,,2,OllieKitKat & Kylah15,42,22,64,1st,Yes (3.5),1st,21 (6),1st,0 (3.5),4th,3.048 (3),16,,20,0,Legion,Banshee,3/5,"An interesting setup. Piercing made it a bit easy in a lot of ways, but definitely seemed the way to go for hero choices. Funnest part was when Ollie played the Phoenix rare to deal the final blow and was literally 1 attack point away from being corrupted by power."
,,3,AntDude &NWaspWoman,45,55,100,1st,Yes (3.5),3rd,32 (4),1st,0 (3.5),3rd,3.125 (4),15,,10,4,Banshee,Dazzler,5/5,"Piercing energy was really effective at saving Jubilee cards from villains, and we had to show a lot of restraint in leaving henchmen and low VP cards in the city to ensure Jubilee wasn’t captured by Mysterious instead. Very lucky villain deck in that twists came out mid-late game."
,,4,Ths_coconutgamer,75,42,117,1st,Yes (3.5),5th,34 (2),1st,0 (3.5),2nd,3.441 (5),14,,33,0,Jean Grey,War Machine,5/5,"First play of this set up was nothing more then a flaming bag of garbage I forgot that Phoenix K.O.s alot and got her ult card. You can uhh piece together the rest. 

Now the main game this game went so well. All the bystanders rescued by Jean along with phylocks piercing energy made for one hell of a deck. Then the war machine ronan combo was perfect with dark memories coming back to bite the hood gang. And in the end I had all 5 master strikes in my victory pile. "
,,5,Cerberin,33,38,71,1st,Yes (3.5),2nd,25 (5),1st,0 (3.5),6th,2.84 (1),13,,5,3,Aurora & Northstar,Dazzler,4/5,"The setup was nice although these self-KO Phoenix cards had the potential to end the game if not too careful. Left side focused on PE, Right - mainly on Lightshow. Ronin was the outlier but helped in one or two ocasions. I was lucky to pull only 1 MS before end of game which made this quick win possible."
,,6,Drewfusmcge,84,26,110,1st,Yes (3.5),6th,38 (1),1st,0 (3.5),5th,2.895 (2),10,,58,3,Banshee,Hellcat,5/5,Banshee is the goat. Hellcat unfortunately did not pull her weight which was pretty disappointing. I never got enough yellow to make it work. Probably could have went with Polaris instead.
18,Nick Fury Ruins the Perfect Wedding,1,Guardian06,59,25,84,1st,Yes (3.5),4th,26 (3),1st,0 (4),1st,3.231 (6),16.5,,34,3,Dr. Octopus,Karnak,5/5,"Really fun setup! I've always loved this scheme because it requires constant attention, but it's beatable as long as you manage your decisions. Funnily enough, both runs ended up with nearly identical results."
,,2,Zer00verride,43,30,73,1st,Yes (3.5),3rd,25 (4),1st,0 (4),2nd,2.92 (5),16.5,,13,2,Electro,Dr. Octopus,5/5,I was nervous going into this as I was facing a mastermind I had never faced with a scheme I had never played using 3 heroes I had never used before. Things seemed to go well with one hand getting Electros Supercharge on their 3rd turn and then focusing on dodge while the other hand used doc oc to keep the city under control and poke Nick Fury a few times.
