Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,2
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,, 
14,Ghost Train,1,(+9),10,Redblock,60,27,87,1st,Yes (5),2nd,21 (6.5),1st,0 (6.5),1st,4.143 (8),26,,33,21,0,4,3,7,4,0,0,18,Caiera,Hiroim,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,Finally got to unpack my Fear Itself :D,
,,2,(+8),14,ItStartswith1,48,36,84,1st,Yes (5),4th,22 (5),1st,0 (6.5),2nd,3.818 (7),23.5,,12,18,0,4,3,8,3,1,0,19,Hiroim,Iron Fist,Hiroim,Iron Fist,Second attempt,4,"After a great Game 1, I had a huge write up for it. I didn’t expect Game 2 to be even better. One of my fastest Legendary games! I am quickly becoming a huge fan of Blade, Daywalker’s Hunt High And Low! I got 2 early copies on HYDRA team and with the Hivelings, thinned the deck quickly. SHIELD team got an early rare, Silent Meditation, and used it to great effect, making for some big time turns recruiting directly to hand. Iron Fist was amazing as always. Hiroim was amazing for me in Game 1, and merely “very good” Game 2. Seemed like the no brainer pick. This game was nearly a loss with an early run of Scheme Twists, but we stabilized and dominated the rest of the way.",
,,3,(+7),14,SharkNate-O & onthegeniusofsamrockwell,7,43,50,1st,Yes (5),1st,19 (8),1st,0 (6.5),5th,2.632 (4),23.5,,36,7,0,2,4,9,5,1,0,21,Colossus,Wolverine (X-Force),Colossus,Wolverine (X-Force),Second attempt,4,"This was arguably the best game we've ever finished at, definitely one of the best. Our first game actually went really well, but the second was was better. Colossus and Wolverine rounded out the heroes greatly. Fun game!",
,,4,(+6),13,owen_meany & owen_meany's better half,40,50,90,1st,Yes (5),5th,24 (3.5),1st,0 (6.5),3rd,3.75 (6),21,,10,13,0,2,4,7,2,0,0,15,Colossus,Caiera,Colossus,Wolverine (X-Force),Second attempt,5,"Great setup for us. Challenging in interesting ways and gave us some strong heroes to work with. The card draw and KO was strong and so adding Wolverine in the second attempt unlocked this setup. I focused on Wolverine, my better half on Colossus and we were able to generate consistent 10+ attack by the end.",
,,5,(+5),12,Dashburn,44,36,80,1st,Yes (5),7th,28 (2),5th,1 (3.5),4th,2.857 (5),15.5,,8,14,0,3,4,4,2,0,0,13,"Joe Fixit, Grey Hulk",Wolverine (X-Force),I did not make a second attempt.,I did not make a second attempt.,First attempt,4,Fun setup. Wish I had time to for a second play,
,,6,(+4),9,thedoctormate0806 & mrrj6549,8,31,39,1st,Yes (5),2nd,21 (6.5),7th,3 (2),8th,1.857 (1),14.5,,23,0,0,2,7,5,6,0,0,20,She-Hulk,Morbius,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,Sorry we're late,
,,7,(+3),8,BigDongWilliam,22,32,54,1st,Yes (5),5th,24 (3.5),8th,4 (1),6th,2.25 (3),12.5,,10,11,0,4,4,6,5,0,0,19,Gladiator Hulk,She-Hulk,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,I found this set-up to be an equal amount challenging and achievable.    I have never used this scheme before and it may be a new favorite.  Korg is an all-star for any deck using draw or smash.,
,,8,(+2),8,Crd1680 & Nicday19,23,32,55,8th,No (1),8th,26 (1),5th,1 (3.5),7th,2.115 (2),7.5,,9,18,0,2,2,7,2,0,0,13,Elektra,Colossus,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,"Didn't get a chance to try again 😕 
",
,,9,(+1),4,Johnny Blaze,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,That's at Least a Six on the Rictor Scale,1,(+9),16,VenomousDisease,50,53,103,1st,Yes (7),2nd,30 (8),1st,0 (9),1st,3.433 (9),33,,3,11,0,1,5,6,2,3,0,17,Shatterstar,Strong Guy,Shatterstar,Strong Guy,First attempt,2,"Got very lucky the first game. Never had a scheme twist till turn 8, had Sinister Henchmen early that got the Strong Guy Investigate card cloned. Thing 5 drop filtered my recruit into attack to fight things early.

Shatterstar and Richtor was a natural blend being brothers. Though the idea and plan for both decks was to use ""Investigate"" as a form of card draw to benefit selection and getting attack early to weed out enemies so it was smooth sailing. Could have finished a turn or two earlier but made it a point to try and never have more than three villains in the city at a time.

Even with proper planning, close to getting an escape on multiple turns but those extra Bystanders from Sinister popped up to stop things from getting pushed or revealed from the Annihilation Wave reveal effect. ",
,,2,(+8),13,FlashSpider-man,35,48,83,1st,Yes (7),1st,27 (9),3rd,4 (6.5),3rd,3.074 (7),29.5,,13,4,8,1,1,11,0,0,0,13,Doctor Doom 2099,Human Torch,Doctor Doom 2099,Human Torch,Second attempt,5,"I really like this setup design. A lot w/ the city, considering the scheme, Annihilation Wave, and Subterranea. Plus the Sinister clones could push through quick. Felt very fun. Games went well, not sure if I just got lucky and had way too strong heroes or if it was the setup not being that hard. I think, it felt too easy, which is my only complaint. But, also, Doom 2099 just seems really good. And with Valeria and Rictor helping draw cards, he can go crazy. First game was a bit better, but basically the same, and I'm concerned I may have forgotten a time or two to play the extra villian card after tide rushes out. I'm not the best at proxying, I guess. Hopefully I didn't do anything wrong.",
