Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,,,5
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,,,
,,2,(+9),32,evilspacecow,35,59,94,1st,Yes (7.5),1st,30 (10),1st,0 (6.5),6th,3.133 (5),29,,24,10,8,2,2,4,2,0,0,10,Kraven the Hunter,Ghost Rider 2099,Kraven the Hunter,Ghost Rider 2099,First attempt,2,"Don't really like the villain game and the Uru Weapons, while made for some Villain deck control were annoying.",,,
,,3,(+8),32,Grey Warden,95,41,136,1st,Yes (7.5),4th,38 (6.5),1st,0 (6.5),3rd,3.579 (8),28.5,,54,20,19,0,1,1,1,0,0,3,Ghost Rider 2099,Vision,Ghost Rider 2099,Vision,Second attempt,5,"I had never used Cyber-Mod before this. Honestly I've only once used Unleash from Undercover, so the whole idea of sending non-grey Heroes Undercover was very foreign to me. The first game showed it lol ended at a stall there. The second game, Ghost Rider 2099 + Doc Ock really blew up. Got 4 Rares in Alpha's deck - didn't let Thor have a single one lol",,,
,,4,(+7),30,jiggliestpuff,117,36,153,1st,Yes (7.5),6th,41 (5),1st,0 (6.5),2nd,3.732 (9),28,,81,61,2,0,0,0,1,0,0,1,Ultron,Falcon,Ultron,Vision,Second attempt,4,"Real nailbiters down to the last turn. P1 was all tech cards, P2 all ranged. Tech was way more helpful with Dr. P removing most basic cards and Ultron's Encaphalo-Ray card wreaking havoc. Generic Experimentation drew an absurd amount of bystanders and the special one's effects actually came in clutch a few times. Luckily I was able to hit Iron Man twice times on the last turn due to drawing the bystander that grants Hyperspeed. A Doom 99-focused deck in game one was great, but it just didn't take off well in game two. I tried to use Falcon in the first game to help with drawing sidekicks to get higher attack based on what was in the HQ, but Vision was just more effective.",,,
,,5,(+6),30,fredo_ud,69,49,118,1st,Yes (7.5),3rd,37 (8),1st,0 (6.5),5th,3.189 (6),28,,20,8,20,2,0,2,0,0,0,4,Ultron,Ghost Rider 2099,Ghost Rider 2099,Hulk 2099,Second attempt,5,Had a ton of fun. I love playing the Villains side of things. 2099 heroes and sending things undercover for help in future turns is always a blast.,,,
,,6,(+5),29,brentmcampbell,54,70,124,1st,Yes (7.5),4th,38 (6.5),1st,0 (6.5),4th,3.263 (7),27.5,,16,19,4,0,0,0,0,0,0,0,Electro,Black Swan,Electro,Black Swan,First attempt,4,Phew. Managed to pull off a win on the last possible turn. My wife was not happy that Thor took out Doom's rare that she had been eyeballing for several turns.,,,
,,7,(+4),27,Justitiana,82,41,123,7th,No (2.5),8th,40 (3),1st,0 (6.5),7th,3.075 (4),16,,41,22,8,0,0,0,0,0,0,0,Captain Britain,Enchantress,Captain Britain,Enchantress,Second attempt,2,"Diabolical setup. I've even tried a third attempt with Beast and Goliath that wouldn't count, but even then I could not win the game. I get that thematically Asgardian Warriors make sense for the Scheme, but hell, what a useless Henchmen Fight effect compared to KO one of your heroes. Later in the game it could actually be somewhat useful, but considering that you'd probably invest 3 or even 6 attack to draw 1 card, that card doesn't have the option to do nothing useful. Besides that, I only got rid of all my starters because of getting 4 Soul Sacrifices into deck 1. Dr. Punisher's 4-cost almost always missed his target and didn't show up in HQ much either. I stand by my point that getting KO from Henchmen is super imortant to get powerful decks built. And also, Authoritarian Iron Man isn't a weak Mastermind, so getting rid of starters is arguably even more important.

In my submitted attempt (attempt 2), I came short 1 recruit/attack point to deal the Final Blow on top of two Tactics in turn 39 (which I already didn't think was going to happen anymore). I had a triggered Irresistable Bribe with 9 recruit left over and 2 attack, but that's one short. I had a lot of attack and draw from Dr. Octopus's cards, Captain Britain's cards and Dr. Punisher, the Soldier Supreme's rare. I also got to reveal an Asgardian Warrior from a Tactic, that if it would have been a Master Strike or Scheme Twist would have let me win instead as it would have required 6 fewer attack to get in the final Blow. Those were already all played however, so no luck there. Also both Lokis triggered an additional play of a Master Strike with their FIght or Fail effects, so no extra turns from them either. Perhaps if I would have had  a turn 41 things would have ended differently. Turn 40 was with the other hand/deck and they definitely couldn't make the 18 or 20 attack required for the Final Blow (I don't recall if it was an Asgardian Warrior or a Ms. Marvel as the last card drawn).

Attempt 1 went so much worse that it was actually not even worth noting the exact stats down. I lost by 6th Twist drawn in turn 18 with neither deck/hand able to hit Thor even once.

The Doctor Doom undercover quest went pretty well towards the end (for attempt 2), but Hand 2 could not get rid of starters so even with a few 5 attack 3-costs, not much could be done, at least not towards the Mastermind.

Also, there weren't many obvious choices for Heroes to choose and play. Perhaps I just didn't see the combos that were available. Curious if I will get another last place this week and determined to do better in the final 2 weeks!",,,
,,8,(+3),26,DrPolygon,62,50,112,7th,No (2.5),7th,41 (4),1st,0 (6.5),8th,2.732 (3),16,,12,30,7,0,0,0,0,0,0,0,Vision,Ultron,Vision,Ultron,First attempt,2,Iron Spider is my new nemesis.,,,
,,9,(+2),25,allman7359,20,32,52,7th,No (2.5),9th,35 (2),9th,2 (1.5),10th,1.486 (1),7,,12,9,6,0,1,2,0,0,0,3,Electro,Speedball,Electro,Speedball,Second attempt,1,,,,
,,10,(+1),24,Lasombra81,28,21,49,7th,No (2.5),10th,26 (1),9th,2 (1.5),9th,1.885 (2),7,,7,3,9,2,2,3,4,1,0,12,Captain Britain,Storm & Black Panther,Captain Britain,Storm & Black Panther,Second attempt,3,N/A,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Maximum Clownage,1,(+10),32,bamlinden,30,29,59,1st,Yes (4.5),1st,21 (8),1st,0 (5),1st,2.81 (8),25.5,,1,4,1,2,8,7,3,2,0,22,Captain Marvel,Magik,Captain Marvel,Magik,First attempt,4,"Loved the 5 Heroes and how they meshed....Pagliacci and crew never stood a chance. Magik, Wasp and Ms. Marvel all worked so well together with their classes while Captain Marvel kept the other hand working seamlessly. Lady Thor played both sides as needed. Cards from all heroes worked in either deck and I was quickly able to get some good attack runs. Had a MM hit on turn 9 and thought I could finish in less than 20 turns. For as well as it went...I thought I could improve on my second try. Cards didn't hit quite as effectively but still landed the knockout blow by turn 25. This was the smoothest game of Legendary I've played in quite some time. Great synergy.",,,
,,2,(+9),31,Bronson & Lighthouse,19,37,56,1st,Yes (4.5),2nd,24 (6.5),1st,0 (5),3rd,2.333 (6),22,,18,8,0,1,6,8,4,0,0,19,Black Panther,Captain Marvel,Black Panther,Captain Marvel,First attempt,3,Love whenever you can combine Lady Thor & Captain Marvel for some strong synergy. Got luckier in the first game to get some recruitable rares early; never even saw a rare in the second game so it took a lot longer.,,,
,,3,(+8),31,gscrap,13,57,70,1st,Yes (4.5),5th,28 (3.5),1st,0 (5),2nd,2.5 (7),20,,44,20,0,2,2,9,2,0,0,15,Nova (Champions),Venompool,Nova (Champions),Venompool,First attempt,3,"This setup didn't prove as challenging as I expected it to.  Pagliacci did up the ante on the Scheme in a kind of interesting way, but didn't add enough difficulty to keep me on the edge of my seat, especially with a reasonably synergized set of default Heroes.  This also might be the first time this tournament that I didn't feel beset by bad luck!  I might have finished a couple turns earlier if I had played less conservatively and just hit the Mastermind rather than keeping the Streets clear, but on the whole I'm happy with how this played out.",,,
,,4,(+7),29,Mangostrike,7,46,53,1st,Yes (4.5),4th,26 (5),1st,0 (5),5th,2.038 (4),18.5,,39,2,0,1,4,7,4,1,0,17,Wonder Man,Captain Marvel,Captain Marvel,Wonder Man,First attempt,5,"This was such a refreshing week. Everything was essentially new to me (I think I played one hero and the MM a si game time previously). Wonder-man and Captain Marvel had amazing symmetry with eachother and easily fit with Lady Thor. My left hand focused on covert (which didn’t do much in the first game), while my right loaded up on strength and range to turn into a total powerhouse. Definitely had a couple extremely close calls in both games, but managed no escapes by pulling twists or bystanders at critical times with a full city. More of this please!",,,
,,5,(+6),29,CoreyG,39,22,61,1st,Yes (4.5),5th,28 (3.5),1st,0 (5),4th,2.179 (5),18,,17,7,0,2,3,6,4,0,0,15,Captain Marvel,Magik,Captain Marvel,Wonder Man,First attempt,5,Super fun synergy with Ms. Marvel and Wasp! Interesting tension between Cheering Crowd and wanting to save victory points. Fun time!,,,
,,6,(+5),28,MikiP2023,21,24,45,1st,Yes (4.5),2nd,24 (6.5),1st,0 (5),7th,1.875 (2),18,,3,6,0,3,2,8,4,1,0,18,Proxima Midnight,Gwenpool,I did not make a second attempt.,I did not make a second attempt.,First attempt,2,We didn't find this setup that challenging. We were disappointed to see we were playing with the same Henchmen as another pod before in the tournament. As we were hoping to play all new stuff each time. Still are enjoying the tournament and our time together playing. Thank you for doing this!!!,,,
,,7,(+4),26,JParnell,23,42,65,1st,Yes (4.5),8th,34 (1),1st,0 (5),6th,1.912 (3),13.5,,19,11,0,0,1,3,5,0,0,9,Gwenpool,Carnage,Gwenpool,Carnage,Second attempt,3,"Very tough start- Wrecker into Bulldozer, Bulldozer, into 1 Stike/2 Twists. Only 5 Henchmen showed up. Wound stack got down to 2, but we survived.",,,
,,8,(+3),26,Cobrawarrior521 & Mackirev9,28,28,56,1st,Yes (4.5),7th,32 (2),8th,1 (1),8th,1.75 (1),8.5,,0,11,0,2,1,4,4,0,0,11,Captain Marvel,Magik,Captain Marvel,Magik,First attempt,1,Took a lot of turns to get going. Heroes were fun to play with but we were drawing scheme twist after scheme twist,,,
,,9,(+2),22,Joebro6616,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,,10,(+1),22,BN322,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Crushing Asgard, Hidden Witness",1,(+10),30,Kb_Driven,49,39,88,1st,Yes (7),1st,30 (10),1st,0 (9),2nd,2.933 (9),35,,10,7,13,2,4,6,0,1,0,13,Deathlok,Mockingbird,Valkyrie,Doctor Voodoo,First attempt,4,"This was a fun setup that rewarded the Undercover strategy, and Player 1 was able secure both Deathlok and Coulson's rares which made for strong Witness mitigation and attack power.  It was a strange game given that the first 7 turns saw 5 twists, which is usually a recipe for disaster but in this case worked out fine.",,,
,,2,(+9),28,JB007,65,31,96,1st,Yes (7),2nd,31 (9),4th,1 (5),1st,3.097 (10),31,,34,22,7,2,2,2,2,1,0,9,Luke Cage Noir,"Ancient One, The",Luke Cage Noir,"Ancient One, The",First attempt,1,I hate playing Goblin because of his annoying hidden witnesses. Honestly the noir box is one of my least favorite expansions.,,,
,,3,(+8),28,zombiegamer5,49,65,114,1st,Yes (7),7th,41 (4),1st,0 (9),4th,2.78 (7),27,,16,20,15,0,0,1,1,1,0,3,Spider-Man Noir,The Vishanti,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"I enjoyed this setup for the most part. I thought a SHIELD taskforce, led by Agent Coulson, working with Noir heroes to take down the Goblin's crime ring was very thematic. I was glad the scheme didn't have a built in timer since this game went down to the wire, I only had three villain deck cards left. There were several very frustrating turns where I had a ton of attack but couldn't hit anything due to hidden witnesses who needed to be rescued with recruit points first. Sif's artifacts were very handy for banking future assistance for turns where I couldn't do much. The Vishanti were great for healing and preventing wounds so I didn't have to feed bystanders to the Vulture.",,,
,,4,(+7),28,Lycanknight_,46,45,91,1st,Yes (7),3rd,32 (7.5),9th,2 (1.5),3rd,2.844 (8),24,,1,20,7,0,2,2,0,0,0,4,Quake,Thor (Heroes of Asgard),I did not make a second attempt.,I did not make a second attempt.,First attempt,4,I had loads of fun with Phil Coulson and Quake. Which really helped with the hidden witnesses. Keeping up with those and not letting them get outta hand was key to our success.,,,
,,5,(+6),27,ggyppt,38,36,74,1st,Yes (7),3rd,32 (7.5),4th,1 (5),7th,2.313 (4),23.5,,2,14,11,3,4,4,1,0,0,12,Deathlok,Doctor Strange (Avengers),I did not make a second attempt.,I did not make a second attempt.,First attempt,4,My Shield side ended up down to an exactly 6 card hand that was producing 4 Recruit and 14 fight a turn to churn through Goblin while my Artifact side with Strange and Sif kept the city mostly under control with the exception of a single early escape,,,
,,6,(+5),24,Keeblerpowell,53,47,100,1st,Yes (7),6th,38 (5),4th,1 (5),5th,2.632 (6),23,,6,22,9,1,2,1,0,0,0,4,Doctor Voodoo,Beta Ray Bill,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,I pretty much felt in control and knew what I needed to do each turn. This is NOT normal so I was pretty happy. I had some trouble getting my attack high enough for a few turns because I had to use my artifacts to help handle the board for a turn. But after that I was able to get it done. I finally feel like I am starting to get this game!! Love it!!!,,,
,,7,(+4),24,jorisc3213,44,45,89,1st,Yes (7),5th,34 (6),4th,1 (5),6th,2.618 (5),23,,1,13,8,1,2,1,1,1,0,6,Deathlok,Thor (Heroes of Asgard),"Ancient One, The",Thor (Heroes of Asgard),Second attempt,3,"Ancient one was necessary to create some recruit power, maybe Thor wasn't the best choice but he's fun :)",,,
,,8,(+3),24,Pyromagnus & shoshielynn,55,40,95,8th,No (2),8th,43 (3),4th,1 (5),8th,2.209 (3),13,,15,22,1,0,0,0,0,0,0,0,Iron Man Noir,Deathlok,"Ancient One, The",Doctor Strange (Avengers),Second attempt,2,I might have been over thinking it and got unlucky HQs both times but there doesn't seem to be enough recruit to go around for everything that needs it,,,
,,9,(+2),23,Drewfusmcge,12,10,22,8th,No (2),10th,21 (1),1st,0 (9),10th,1.048 (1),13,,2,9,2,1,4,11,5,1,0,22,"Ancient One, The",Mockingbird,Doctor Strange (Avengers),Mockingbird,Second attempt,1,"I do not like this scheme one bit. There's always way too much going on in the city and this setup was no exception. I was really excited to get a SHIELD level going, and then I lost due to back to back twists. I had 5 guaridans defeated in 21 turns and 27 turns. Just way too hard and not a lot of fun sadly. All hate goes to the scheme lol",,,
,,10,(+1),23,Cubbiesnextyr & Wife,26,23,49,8th,No (2),9th,39 (2),9th,2 (1.5),9th,1.256 (2),7.5,,3,14,0,1,1,2,1,0,0,5,Angel Noir,The Warriors Three,I did not make a second attempt.,I did not make a second attempt.,First attempt,2,"It was a very frustrating game.  Part was the luck of the draw where we had a lot of high cost heroes in the HQ which made it hard to recruit, and part was the MM and villians where they were coming back into play or going to the Astral Plane so we had to defeat the same people over and over.  I wish I had time play a 2nd time and pick different heroes, the ones I chose didn't work well.  But the good part was I got to use my Astral Plane card from the Second Life donations, so that was fun!",,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,AI-Generated Fake News,1,(+10),30,Chapmaca7,39,15,54,1st,Yes (7.5),1st,23 (10),1st,0 (7.5),3rd,2.348 (8),33,,24,1,0,3,2,5,4,2,0,16,"Gamora, Destroyer of Thanos",The Warriors Three,"Gamora, Destroyer of Thanos",The Warriors Three,Second attempt,4,Awful first game and lost on turn 39. Right hand only had 3 cards which could attack for 6. Much better 2nd attempt although some early twists came out meaning I had 4 pieces of incriminating evidence. Overall really fun and first time using Asgard set as only recently purchased.,,,
,,2,(+9),29,Dre 2 point 0,43,40,83,1st,Yes (7.5),3rd,34 (7.5),1st,0 (7.5),1st,2.441 (10),32.5,,3,5,4,1,1,1,0,0,0,3,Lady Sif,Black Widow (S.H.I.E.L.D.),I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"First time against Infinity Ultron and at first I was pretty intimidated, but eventually I KO'd almost all of my starter cards and was able to knock him out in a few turns with some seriously powerful decks. I'd say Valkyrie was the MVP, throwing her Dragonfang again and again, as well as generating huge extra attack with her rare card.",,,
,,3,(+8),26,Gideon Wyatt & Mrs. Gideon Wyatt,49,32,81,1st,Yes (7.5),3rd,34 (7.5),1st,0 (7.5),2nd,2.382 (9),31.5,,17,6,4,1,1,1,2,0,0,5,The Warriors Three,Red Guardian,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,Managed to get the scheme to whiff twice and used no ranged heroes to reduce Ultron's empowered chances.,,,
,,4,(+7),27,loconnole & Klcgolf,6,54,60,1st,Yes (7.5),2nd,29 (9),1st,0 (7.5),5th,2.069 (6),30,,48,2,0,2,1,7,0,0,0,10,Red Guardian,"Gamora, Destroyer of Thanos",Red Guardian,"Gamora, Destroyer of Thanos",Second attempt,4,That may have been one of the most stressful games we've ever played. Red guardian and blade Daywalker saved the day with their rare cards. Unfortunately klcgolf got hosed on the actual build,,,
,,5,(+6),26,Scootsmagoots1986,49,30,79,1st,Yes (7.5),5th,35 (6),1st,0 (7.5),4th,2.257 (7),28,,19,5,6,1,2,1,0,0,0,4,Red Guardian,The Warriors Three,Red Guardian,The Warriors Three,Second attempt,1,Really didn't like this one. I found the balance was off. The villain deck was too minimal and the hero deck was so full it really made it difficult at times to get any decent cards to hit the mastermind. Also the scheme and mastermind mix was really really hard. I barely won my second game and it all came down to luck.,,,
,,6,(+5),25,aitmanga,38,26,64,1st,Yes (7.5),6th,37 (5),1st,0 (7.5),7th,1.73 (4),24,,12,5,4,1,1,0,0,0,0,2,"Gamora, Destroyer of Thanos",Doctor Strange Supreme,"Gamora, Destroyer of Thanos",Lady Sif,First attempt,4,"Both games were a bit frustrating as we took too long to get enough attack to fight against an empowered Ultron, even with a very lean deck thanks to so much KO's going on. Having one extra hero on the deck diluted the HQ to the point where it was hard to get some sinergy going from our choices, and we also had to be wary of what we left in the HQ or risk having our heroes taken from the Scheme. We did at least get to use Gamora's rare power once to get Ultron's final tactic on game 2.",,,
,,7,(+4),24,Hendrek,23,31,54,7th,No (2.5),9th,28 (2),7th,2 (3),6th,1.929 (5),12.5,,8,4,2,1,2,4,1,0,0,8,Elsa Bloodstone (Marvel Knights),"Wong, Master of the Mystic Arts",Elsa Bloodstone (Marvel Knights),"Wong, Master of the Mystic Arts",Second attempt,4,Fun but frustrating.  Have a family emergency that will take me away from for an indeterminate time so probably will miss the last 2 weeks.,,,
,,8,(+3),23,Greywadejokis,23,14,37,7th,No (2.5),7th,31 (4),7th,2 (3),9th,1.194 (2),11.5,,9,4,2,1,2,6,2,0,0,11,Beta Ray Bill,The Warriors Three,Beta Ray Bill,The Warriors Three,First attempt,2,Super difficult,,,
,,9,(+2),22,Jmaster1324,28,15,43,7th,No (2.5),8th,29 (3),10th,3 (1),8th,1.483 (3),9.5,,13,0,0,1,1,2,7,0,0,11,"Wong, Master of the Mystic Arts",Morbius,Morbius,Black Widow (S.H.I.E.L.D.),First attempt,1,D: plz no,,,
,,10,(+1),21,WarpedPoodle,20,9,29,7th,No (2.5),10th,27 (1),7th,2 (3),10th,1.074 (1),7.5,,11,4,0,1,2,6,4,0,0,13,Elsa Bloodstone (Marvel Knights),Lady Sif,Elsa Bloodstone (Marvel Knights),Morbius,First attempt,3,"Ultron Infinity is basically unbeatable once he gets all the infinity stones.  I understand this thematically but in practice the game is suddenly over due to a second timer on the mastermind.  At the mercy of drawing strikes in late game.  This feels swingy and not much fun when it happens.
Scheme was very interesting.  Was fun balancing Sunlight/Moonlight while at the same time maintaining a limit on the various cost of heroes in the HQ.  Werewolf by Night, Snarling Fangs, allowed manipulation of the HQ which was very useful.
Blood Frenzy is a strong ability!  Morbius, Insatiable Craving, does a lot of damage late game when the victory pile is juicy.  Elsa Bloodstone, Silver Bullets was solid producing 4 attack every time once the city was under control.
I liked this hero team, will play with some of these a bit more after the tournament ;)",,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Shi'ar-ing is Klyntar-ing,1,(+10),27,iburnicus,61,70,131,1st,Yes (5.5),2nd,30 (9),1st,0 (8.5),1st,4.367 (10),33,,9,28,0,1,3,5,2,0,0,11,Aurora & Northstar,Dazzler,Aurora & Northstar,Dazzler,Second attempt,5,"Sandals reporting for Iburnicus:
A really good set up. We had heroes that really leaned into Lightshow and we both managed to get it working in both games.
Game 1 was a slog with loads of villains in the City. A Bonded henchman escaped before we could do anything about it, but once we got going we kept that from being a threat. Deathbird was it of reach for a while, with us picking off a tactic here and there. Eventually my wife got Jubilee's Rare due to Aurora and Northstar's Rare and those two cards sped things up.
Game 2 was much faster. I got Dazzler's Uncommon on my turn 1, I Soaring Flight'd her recruit common on my turn 2, then had at least 8 cards per turn for the longest time! I eventually had all three copies of the uncommon, as well as Jubilee's Rare - which was the point I stopped getting extra cards!!!
Overall a lot of fun was had. Glad I could step in to pinch-hit for someone this week!",,,
,,2,(+9),27,Travjon,72,53,125,1st,Yes (5.5),3rd,31 (8),1st,0 (8.5),2nd,4.032 (9),31,,19,25,0,4,4,2,6,0,0,16,Black Bolt (Inhumans),Polaris,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"Deathbird is a really fun mastermind. I lucked out with not many master strikes or twists, and a lot of early henchmen let me build up my decks nicely. Things probably could have been faster, but I wasn't getting the cards I wanted in the HQ. I did get Karnak's rare early on, which was super useful. That hand focused on Jubilee, Polaris, and Karnak, which was a nice combo of drawing a lot of cards so Karnak's rare could let his other cards use their When Recruited abilities.",,,
,,3,(+8),26,Hatephd & Editedmist,64,42,106,1st,Yes (5.5),1st,29 (10),1st,0 (8.5),5th,3.655 (6),30,,22,26,0,3,1,7,3,1,0,15,Havok,Banshee,Havok,Banshee,Second attempt,5,"it was a blast. I picked up Jublie's, Karnak's, and Banshee's rare across both hands. last few turns were pretty awesome.",,,
,,4,(+7),24,sethlikespizza,61,83,144,1st,Yes (5.5),5th,38 (5.5),7th,3 (4),3rd,3.789 (8),23,,22,23,0,1,2,1,3,0,0,7,M,X-23,Colossus & Wolverine,X-23,Second attempt,3,"1st attempt we got absolutely annihilated, you could say everything went to... ""Shi't"" ;). The 2nd attempt we leaned into the Berserk strategy instead of clone and were able to pull out a win.",,,
,,5,(+6),23,RedRutan,57,91,148,1st,Yes (5.5),7th,40 (3.5),6th,2 (5),4th,3.7 (7),21,,34,27,0,0,1,1,1,0,0,3,Aurora & Northstar,Dazzler,Medusa,Dazzler,Second attempt,4,"My first play was concetrating on getting anall lightshow deck woth Dazzler piercing to take of Deathbird. It worked, but took too long with 6 escapes. I swapped out Aurora/Northstar for Medusa, and this worked better, with the Inhuman hand able to retain the Throner's Favour, and Karnak having 10 Imperial Guard in his victory pile for huge boosts to attack totles.",,,
,,6,(+5),16,Montax30,48,68,116,1st,Yes (5.5),4th,35 (7),8th,4 (2.5),7th,3.314 (4),19,,20,24,0,1,2,2,4,0,0,9,Crystal,Dazzler,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,Deathbird is one of the hardest because of the ramp. Lightshow can only work with Jubilee and Dazzler IMO,,,
,,7,(+4),22,elongatedman7212,79,62,141,1st,Yes (5.5),10th,45 (1),1st,0 (8.5),9th,3.133 (2),17,,17,27,0,0,0,3,2,0,0,5,Aurora & Northstar,Crystal,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"Very fun game. High stress trying to manage the city. The city kept getting clogged with non-Lightshow cards, hindering my Lightshow hand. I'm pretty sure my turn count is going to hurt me.",,,
,,8,(+3),21,Ceej,55,69,124,1st,Yes (5.5),5th,38 (5.5),8th,4 (2.5),8th,3.263 (3),16.5,,14,25,0,1,1,1,3,0,0,6,Stepford Cuckoos,Venompool,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"Sooo muuch Shi'ar... having both Shi'ar Villain groups AND both Shi'ar Henchmen groups just ensured that Deathbird was always going to be stronger than expected.
This was honestly quite a fun setup, although it did end up being a big of a slog just because so many things caused more stuff to enter the City and/or make things in the City harder to Fight. It was a little frustrating that all Deathbird's Tactics just jumped back into the City, and you also lose those points unless you kill them again.
Anyway, I chose Stepford Cuckoos because they seemed fun and like they'd help ramp up the damage fairly efficiently. I also picked Venompool for extra damage and because I figured there'd be a lot of Bystander action. Both of those choices paid off reasonably well. With the Cuckoos and Shatterstar cloning all over the place, and the X-men Bystanders getting gained as Heroes when rescued, both players ended up with very thick decks. There wasn't a huge amount of hero KO available to get rid of starter cards, but it turns out just drowning them in a bunch of upgraded cards is almost as good, at least if you don't care too much about strong synergies.",,,
,,9,(+2),19,coldvein & raja0629,68,67,135,1st,Yes (5.5),7th,40 (3.5),10th,5 (1),6th,3.375 (5),15,,1,23,0,0,0,2,0,0,0,2,Banshee,Polaris,Banshee,Polaris,Second attempt,5,Looooong game!  Piercing energy was the saving grace.,,,
,,10,(+1),15,canis & Mamabird,58,67,125,1st,Yes (5.5),9th,43 (2),5th,1 (6),10th,2.907 (1),14.5,,9,0,0,0,1,3,3,0,0,7,Legion,Dazzler,Legion,Dazzler,Second attempt,4,"game one was brutal, lost on turn like 10. game two went better if long, one player 2 went full light show on Jubilee, while player one went sorta everything else, and managed to do all right. kept hoping Karnak would show up, as if i counted right there were technically 6 villain groups in this setup, saw 4 of his cards the whole game and none of them was the attack card :(",,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Glorious Porpoise,1,(+11),26,owen_meany,22,40,62,1st,Yes (6.5),1st,21 (11),1st,0 (8),2nd,2.952 (10),35.5,,18,3,0,2,6,7,5,1,0,21,Mr. Fantastic,Cyclops,Mr. Fantastic,Cyclops,First attempt,3,"Fast game and stress free game. Was great to combine Deadpool and Wolverine as they worked well together, as it they should (shouldn't?).",,,
,,2,(+10),25,caseystahl1125,53,31,84,1st,Yes (6.5),5th,28 (7),1st,0 (8),1st,3 (11),32.5,,22,12,0,2,5,5,2,0,0,14,Black Widow (Avengers),Rogue,Black Widow (Avengers),Rogue,First attempt,1,I was jealous of other setups in the other pods. Love is Blind in my pods.,,,
,,3,(+9),26,Babybreloom,47,26,73,1st,Yes (6.5),4th,27 (8),1st,0 (8),4th,2.704 (8),30.5,,21,9,0,1,3,8,3,0,0,15,Human Torch,Invisible Woman,Human Torch,Invisible Woman,First attempt,3,The game was pretty straight forward. Played 2 rounds and they came out almost identical.  Hard a hard time getting things going early on with the wounds accumulating.,,,
,,4,(+8),15,jgoodnough and daughter,36,27,63,1st,Yes (6.5),2nd,24 (10),1st,0 (8),6th,2.625 (6),30.5,,9,0,0,2,2,6,5,2,0,17,Mr. Fantastic,Rogue,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,lot of fun,,,
,,5,(+7),23,thablackknight1,58,14,72,1st,Yes (6.5),3rd,25 (9),8th,1 (3.5),3rd,2.88 (9),28,,44,7,0,3,4,6,4,0,0,17,Silver Surfer,Hulk,I did not make a second attempt.,I did not make a second attempt.,First attempt,2,Felt bland compared to the other pods played thus far.,,,
,,6,(+6),14,Freeclint,66,39,105,1st,Yes (6.5),10th,39 (2),1st,0 (8),5th,2.692 (7),23.5,,27,4,0,0,1,1,0,0,0,2,Captain America,Hawkeye,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,Good fun.  Wish I wasn't rushed to do it and had time for attempt two.,,,
,,7,(+5),28,Minos_griffin & Phryne,26,56,82,1st,Yes (6.5),8th,32 (4),1st,0 (8),7th,2.563 (5),23.5,,30,8,0,1,2,3,3,0,0,9,Thor (Avengers),Human Torch,Thor (Avengers),Human Torch,First attempt,1,Not only core is not fun anymore to play and I understand that it is difficult to set up games where everyone could have similar sets but it is not enjoyable to be sent to the bottom of the groups when you are doing good. Really difficult to enjoy the tournament when that happens.,,,
