Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,,,5
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,,,
,,4,(+7),35,Techfiend,41,17,58,1st,Yes (6),1st,22 (9.5),1st,0 (6.5),7th,2.636 (4),26,,24,10,0,3,4,11,4,2,0,24,Apocalyptic Black Widow,Jean Grey,Apocalyptic Black Widow,Jean Grey,Second attempt,2,"Not a fan of schemes or MMs that remove cards from my deck, and this had both.",,,
,,5,(+6),35,Off the Cuff & hanoott,56,39,95,1st,Yes (6),6th,30 (4.5),1st,0 (6.5),3rd,3.167 (8),25,,17,13,0,2,5,4,2,1,0,14,Jean Grey,Wolfsbane,Jean Grey,Wolfsbane,First attempt,3,Professor X's rare is a great one for this Scheme; nabbing Villains as Heroes that can't be sent to the zoo feels like an inverse of the Scheme itself,,,
,,6,(+5),33,Bakatora971,44,21,65,1st,Yes (6),3rd,23 (7.5),1st,0 (6.5),6th,2.826 (5),25,,23,8,0,0,6,10,2,3,0,21,Mirage,Angel,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,Early strikes kept the mastermind weak but he still got way stronger than I liked. Thanks to early clone I was able to recruit M's entire hero deck. I was playing a 3 cost spidey deck with karma and mirage supporting.,,,
,,7,(+4),32,Pervavita & Catswiftie,99,19,118,1st,Yes (6),9th,36 (2),1st,0 (6.5),1st,3.278 (10),24.5,,80,34,0,0,3,5,0,3,0,11,Wolfsbane,Jean Grey,Jean Grey,Wolfsbane,Second attempt,5,"Game one had a quick overrun from sinister clones making the MM unreachable coupled with no rare cards showing up.
Game two did much better, M/Wolfsbane hit Belasco turn 6 and could never replicate the big hit on him well Jean/Karma was able to clean house coming just shy of a triple MM hit one turn. The city was much easier to control.",,,
,,8,(+3),33,Pizza (.gaxim) & Extra Cheese (Rolf101),46,27,73,1st,Yes (6),8th,34 (3),1st,0 (6.5),8th,2.147 (3),18.5,,19,13,0,0,5,4,2,1,0,12,Jean Grey,Colossus,Colossus,Strong Guy,First attempt,4,Skin of our teeth. We sat at 4 heroes in zoo for so long. Green is the way to go. Regret strong guy. He was too expensive.,,,
,,9,(+2),31,DRobb & ShadowOfTheBat,25,37,62,1st,Yes (6),6th,30 (4.5),9th,2 (2),9th,2.067 (2),14.5,,12,5,0,0,4,6,2,2,0,14,Iceman,Sunspot,Iceman,Sunspot,Second attempt,3,Having the worst draws both game do not help with the fun level,,,
,,10,(+1),30,MysticRuby,16,30,46,10th,No (1),10th,32 (1),10th,3 (1),10th,1.438 (1),4,,14,3,0,1,1,7,0,2,0,11,Angel,"Uatu, The Watcher",I did not make a second attempt.,I did not make a second attempt.,First attempt,2,Schedule crunch + not sure how to compliment the heroes. Might have been able to do so with more time. Probably my worst week so far.,,,
48,Strategic Homeland Intervention,1,(+10),37,Sandals & Mrs Sandals,58,36,94,1st,Yes (5),4th,32 (5),3rd,1 (5),1st,2.938 (8),23,,22,3,17,1,2,4,3,0,0,10,Stature,Storm & Black Panther,Stature,Storm & Black Panther,Second attempt,5,"My wife always likes a set up that lets her get rid of starters - this time they were worth points too! She went heavily into Shield Level both times, once getting Mockingbird's ramping uncommon and once Coulson's. She did the majority of damage to Maria. I mostly kept the City clear.
Game 1 we lost on twist 7 which appeared on the turn my wife could have done the final blow. On game 2 we'd been able to delay til twist 8 but won before twist 7 anyway.
We had three unlucky escapes in our two games - one to a strike, one to an Ambush, one to a strike after her Fill The City tactic. Each time we'd cleared one spot but needed 2. Ah well, at least we won!
I love it when the Shield heroes get to work together. Just a shame that I couldn't also use Black Widow, Agent X13 or Rick Jones here for the full Shield team!",,,
,,2,(+9),35,CK,27,74,101,1st,Yes (5),6th,36 (3),1st,0 (7.5),2nd,2.806 (7),22.5,,47,1,16,1,1,0,1,2,0,5,Iceman,Speedball,Iceman,Speedball,Second attempt,5,"Fun setup. I finally got a chance to try Iceman... and he was terrible! First game I had a little luck with him, but Speedball's rare did more work than all of Iceman's cards. Second game I got super unlucky with twists, burying nearly all of Iceman's cards and leaving me with only 1 HQ space by turn 25. Mockingbird's uncommon completely carried that game.

Game 1 was 6 turns faster and a bit better on PPT, but with 2 escapes. Game 2 was slow with no escapes. I don't think either game was very good, but I went with game 2.",,,
,,3,(+8),35,Ocs333,35,34,69,1st,Yes (5),1st,26 (8),6th,2 (3),5th,2.654 (4),20,,1,2,8,2,3,6,4,0,0,15,Wolverine (X-Force),Bishop,Wolverine (X-Force),Bishop,First attempt,3,"Maria is a really frustrating mastermind. The whole setup really depended on the arrangement of the villain deck, and also the hero deck. 
I picked Bishop and Wolverine who could provide extra KO and card draw. In first game they turned out to be really good picks. Unfortunately by turn 10 I already had 2 (sort of inevitable) escapes, as I got unlocky with starting hands, strong villains, and early master strikes. Then Bishop KO and an influx of henchmen in midgame helped creating efficient decks, resulting in a relatively quick win against Maria. 
Second game went totally different. I got lucky with early henchmen, but HQ had very bad heroes (Quake recruit cards), while getting lot of master strikes and shield elites. So by midgame my hands got overcrowded by Officers. While there were some stong turns, the final master strike still filled the city, resulting in an escape. Got quite high shield level, however. So both game had around 2.6 VP/turn, but first game had 26 turns, 2 escape. Second game had 34 turns, 1 escape. We'll see wheter I made the good choice by submitting the first one.  I guess 1 escape will be common, but also the 8 turn difference can mean a lot. ",,,
