Pod,Setup,Rank,Points Earned,Total Points,Name(s),VP 1,VP 2,"Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,Bst. Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Lv.,Comments,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,MS,ST,VG,HM,BST,N/A,Total,1,2,1,2,,,,,7
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
51,A Liberator on the Roof,1,(+4),48,Jean-Sebastien & Genevieve,61,11,72,1st,Yes (2.5),1st,18 (3),1st,0 (2.5),1st,4 (3),11,,50,11,4,6,8,5,1,0,24,"Gamora, Destroyer of Thanos",Captain Carter,"Gamora, Destroyer of Thanos","Blade, Daywalker",First attempt,4,Killmonger is a bit of a pushover and stood no chance against Red Guardian and Gamora. Wish I could recruit RG rare but it did not show up. The Vishanti was useless as usual in our games.,,
,,2,(+3),43,GZUZROCKS & gzuzrules,35,33,68,1st,Yes (2.5),2nd,26 (2),1st,0 (2.5),2nd,2.615 (2),9,,2,7,2,3,7,3,1,0,16,Star-Lord T'Challa,Yelena Belova,Star-Lord T'Challa,Captain Carter,First attempt,5,First match went better with yelana helping keep people from getting assassinated with her undercover abilities. Had better luck in card draw in game 1 as well. We thought captain carter would help with a little extra power to end quicker in game two but the card draw luck was horrible. Red Guardian and starlord t’challa were stud all stars!,,
,,3,(+2),51,MicroDisney0505,1,0,1,3rd,No (1),3rd,10 (1),3rd,1 (1),3rd,0.1 (1),4,,1,0,4,5,12,9,2,0,32,Doctor Voodoo,Yelena Belova,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,Very unlucky game. My idea was if cards were undercover or artifacts the scheme couldn’t snipe them. I never saw red guardian in the hq. Dr voodoo was koed before he could make it to my hand. I couldn’t get enough attack to hit anything. The only vp I got was Sharon Carter going undercover. (That was the only non grey made it into my hand),,
,,4,(+1),52,SnekeTV,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,                                        Eliminated                                                                                                                                                                                                                                                                                 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E15,Sentry Dipping,1,(+9),51,Tozar,44,37,81,1st,Yes (4.5),3rd,29 (6),1st,0 (7.5),3rd,2.793 (6),24,,7,1,3,5,5,6,0,0,19,Hellcat,"Skaar, Son of Hulk",Hellcat,"Skaar, Son of Hulk",Second attempt,4,Still really missing those sidekicks.  Need something to do when I only have 2 recruit.,,
,,2,(+8),48,WingedCrusader,58,49,107,1st,Yes (4.5),5th,33 (4),3rd,2 (6),1st,3.242 (8),22.5,,9,2,3,1,1,2,1,0,8,Korg,Gladiator Hulk,Korg,Gladiator Hulk,First attempt,4,"Wow! This encounter was super well designed well done! the interaction with last stand and the tide is crazy.  I thought it was super frustrating getting 7 recruit when the rares were 8 cost, but we managed to get the win in the end with some big human torch damage.  I tried one for fun and I got gladiator hulk going really well, but in the end the tide was too much and i had 5 escapes for that run.",,
