Pod,Setup,Rank,Points Earned,Total Points,Name(s),VP 1,VP 2,"Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,Bst. Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Lv.,Comments,,Results Of Week:
,,3,(+7),50,Adamantiumgambit,45,21,66,1st,Yes (4.5),1st,26 (8),4th,3 (4.5),4th,2.538 (5),22,,24,3,2,5,13,4,1,0,25,Korg,Invisible Woman,Korg,Invisible Woman,First attempt,3,"Barely scraped by round 1, got wrecked round two",,
,,4,(+6),50,realdanl,80,29,109,1st,Yes (4.5),7th,37 (2),1st,0 (7.5),2nd,2.946 (7),21,,51,4,0,4,6,1,0,0,11,Gladiator Hulk,Photon,Gladiator Hulk,Thing,Second attempt,3,"I knew I wanted to use Gladiator Hulk, but wasn't sure who to pair with him, so I narrowed it down to two choices and did one of each.  The games were very similar, but I went with the one that had one more turn but 11 more points.",,
,,5,(+5),48,Adrian Miller,43,26,69,1st,Yes (4.5),2nd,28 (7),6th,4 (2.5),6th,2.464 (3),17,,17,2,2,4,11,3,2,0,22,Sentry,She-Hulk,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,.,,
,,6,(+4),46,dontfeedthegreen,51,26,77,1st,Yes (4.5),4th,31 (5),6th,4 (2.5),5th,2.484 (4),16,,25,1,0,4,8,5,1,0,18,Amadeus Cho,Hellcat,Amadeus Cho,Hellcat,Second attempt,4,"First play was better, but I messed up the turn count somehow. Can be rough if the Twists come out right to give you a small city in the early game.",,
,,7,(+3),44,Zer00verride,48,32,80,1st,Yes (4.5),6th,34 (3),4th,3 (4.5),7th,2.353 (2),14,,16,0,1,1,8,2,1,0,13,Amadeus Cho,Hulkbuster Iron Man,Amadeus Cho,Hulkbuster Iron Man,First attempt,3,"These games did not go well. Feast is probably the keyword I have the most trouble playing around. 
It didn't hit me too badly here, main problem was a very slow start due to the wounds spacing themselves out making my first 5 or 6 hands weaker.
",,
,,8,(+2),43,jiggliestpuff,69,47,116,1st,Yes (4.5),8th,50 (1),8th,5 (1),8th,2.32 (1),7.5,,22,3,0,1,0,0,1,0,2,"Skaar, Son of Hulk",Sentry,"Skaar, Son of Hulk",Sentry,First attempt,2,"I appreciate the idea of the changing city size and last stand, plus lots of heroes that can take advantage of wounds. So it was neat to see but just wasn't particularly fun to play. I squeaked by in the first game and got destroyed by some poorly timed Feast effects in the second. Once I could get Skaar and Sentry going, things worked well, but up until then it just a rough go of it.",,
,,9,(+1),42,GamerGump,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E16,Beelzebaby,1,(+9),49,zombiegamer5,40,32,72,1st,Yes (6),1st,27 (8),1st,0 (7.5),1st,2.667 (8),29.5,,8,1,2,3,5,3,1,0,14,Blade,Iron Fist,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,"This setup is tricky because I spent a lot of time having to rescue Hope and keep her off the city so she wasn't abducted. It definitely didn't help that Mephisto caused lots of wound accumulation for some junky hands. I think what saves the game for me was that I got an all recruit hand (5 basic agents and a Thor: Surge of Power) which allowed me to recruit Domino's rare and gave me some very powerful turns. I can see how this one is easy to lose, I definitely kept drawing sceme twists right after rescuing Hope.",,
,,2,(+8),48,OleRockyTop,24,41,65,1st,Yes (6),2nd,30 (7),1st,0 (7.5),4th,2.167 (5),25.5,,17,1,2,4,7,1,1,0,15,Hulk,Iron Fist,Hulk,Iron Fist,Second attempt,3,Tons of wounds flying around. Probably should have pulled a hero to help thin the deck but opted for Iron Fist for support.,,
,,3,(+7),46,Buya & DSCern,48,29,77,1st,Yes (6),3rd,33 (5.5),3rd,1 (6),2nd,2.333 (7),24.5,,19,1,1,2,2,3,0,0,8,Daredevil (Marvel Knights),Gambit,Iceman,Bishop,First attempt,4,"We tried Daredevil and Gambit out in our first match, hoping to use the OP duo of Bishop and Iceman in our 2nd game. Unfortunately our 2nd game was a total disaster... So I'm reporting the 1st match. We did ok, with wounds messing us up more than I thought it would. But we only we had one escape, and eventually we took Mephisto down.",,
,,4,(+6),45,brentmcampbell & ruuhaku,51,33,84,1st,Yes (6),5th,37 (4),4th,2 (4),3rd,2.27 (6),20,,18,2,1,1,2,0,0,0,4,Wolverine (X-Force),Elektra,Wolverine (X-Force),Elektra,Second attempt,3,"Going out with a whimper unfortunately. Several unavoidable early Twists and Strikes led to rough starts with both games. Had two decent decks by the end, but took too long to get there.",,
,,5,(+5),42,Sandals,24,37,61,1st,Yes (6),3rd,33 (5.5),4th,2 (4),6th,1.848 (3),18.5,,13,6,1,2,4,1,0,0,8,Jean Grey,Iceman,I did not play a second attempt.,I did not play a second attempt.,First attempt,2,"Played solo, my wife wasn't interested. Tried to draw my way through lack of MK and KO but was slow. Being restricted to just two sets at this stage despite only losing in one previous round felt a little anticlimactic.",,
,,6,(+4),43,ItStartsWith1,11,66,77,6th,No (2),6th,41 (3),4th,2 (4),5th,1.878 (4),13,,55,1,0,0,0,0,0,0,0,Iron Fist,Wolverine (X-Force),Iron Fist,Wolverine (X-Force),Second attempt,3,"Mephisto got the best of me. Not enough thinning combined with his immediate wounds kept me down just enough in a game that went the distance. Saved Baby Hope, recruited a bunch of rares, but couldn’t take him down. One attack away from victory to hit him twice in the “MCU” sides last turn (also would’ve had him with one more turn). The “Comic” side just couldn’t do anything, as evidenced by the VP diff. The first attempt went so poorly, I didn’t even record it…",,
,,7,(+3),42,gscrap,22,5,27,6th,No (2),8th,27 (1),7th,3 (1.5),7th,1 (2),6.5,,17,0,0,2,6,4,1,0,13,Punisher,Ghost Rider,Punisher,Ghost Rider,Second attempt,1,"I don't know if it was because of the setup or my poor life choices, or just dumb luck, but that sucked.  It just never felt like I could catch a break in either game, and I lost on the sixth Twist both times.",,
,,8,(+2),39,Justitiana,14,10,24,6th,No (2),7th,28 (2),7th,3 (1.5),8th,0.857 (1),6.5,,4,1,0,2,7,4,0,0,13,Bishop,Jean Grey,Black Widow (Avengers),Punisher,Second attempt,2,"I had the flu while playing this setup. I waited a few days in hope of getting better beofre the deadline but alas that was not the case.

Now onto the games. I forgot to note the points for Attempt 1, but it was too hard to stop the baby from escaping. Jean Grey rescued some bystanders, but the synergy between Thor, Domino and Wolverine and Bishop and Jean grey was too lousy. I was sure I needed to KO starters, hoping Bishop would help with that, but alas, it didn't happen. I was able to recruit 3 rares (Domino, Bishop and Wolverine), but due to bad luck didn't play them at all or more than once.

In Attempt 2 I though about getting Punisher in as well, he can KO 0-costs, which is good, and would synergize with Domino's Tech cards. Thor was always gonna be a lousy hero and his cards felt like wounds. I even made the mistake to get deck 2 a lot of thor cards, which did help absolutely nothing to defeat the city until I could buy Thor's rare, but by then it was too late already. In attempt 2 the KO-ing went even worse than in game 1. In game 1 I KO'd one wound with Bishop's effect. In game 2 KO-ing happened a lot, but just by healing normally. Loads of turns had 2 wounds per hand and it sucked hard. I never got to building my deck strong enough to even fight Mephisto or the villains that held the baby. Felt very unfun for me, I think it's because of Hand Ninjas being chosen, they are of course terrible Henchmen that don't really do enough to help. Also the core team of Domino, Wolverine and Thor was so weirdly antisynergistic that I can't help but feel it was a nasty choice. Leaving us with two options that needed to provide both KO and in my case also bystanders proved futile. The decks didn't get up to steam and were just barely reacting to escapes and other effects that gave wounds. Maybe I should have chosen tow KO heroes or just two very strong synergistic heroes. I don't believe in my mood affecting the Villain Deck, but it might have something to do with it too. I'm feeling lousy because I'm sick and it's hard to stay cheerful when you're physically feeling terrible. I think the setup was hard anyway and I probably chose the wrong heroes to have a chance. For me this is about the worst way to end the tournament, but all in all it was great fun, especially the earlier weeks. So, thanks Kylah and Bageltop Games for your behind the scenes efforts. And until the next Tournament!",,
,,9,(+1),41,captaincardone & paisley5002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E17,Thanos Clone Jutsu,1,(+9),47,Swagolas,85,9,94,1st,Yes (4.5),1st,22 (7),5th,2 (2.5),1st,4.273 (7),21,,76,40,5,5,5,3,1,0,19,Iceman,Jean Grey,Iceman,Jean Grey,Second attempt,5,"This was easily one of the most unique games I've ever played! I was able to recruit 3 rare cards (Iceman, Jean Grey and Drax) for my left hand, and they just defeated Thanos in 2 turns. I drew all my cards with Iceman's and Angel's card draw abilities, played Jean's rare to gain a bunch of bystanders and attacks, then doubled the attacks with Drax's rare. I had 60 attack, that is easily the most I ever had in a single turn :D Also my first time rescuing all the bystanders... except for that one that was left in villain deck. I also got a lucky draw with the Reality gem artifact when I was able to put a master strike on the bottom of the villain deck, and that was the only one to show up. It makes me a little sad to have 2 escaped villains, could've been a ""perfect"" game, but still it will be one of my most memorable games ever. I'm happy I had Iceman and Jean both available for this game!",,
,,2,(+8),46,Off the Cuff,9,83,92,1st,Yes (4.5),5th,40 (3),1st,0 (6),2nd,2.3 (6),19.5,,74,19,0,0,1,0,0,0,1,Jean Grey,Rocket Raccoon,Jean Grey,Rocket Raccoon,Second attempt,3,I can't tell them apart! Which head should I go for?,,
,,3,(+7),44,Pervavita & Catswifty,50,28,78,1st,Yes (4.5),4th,36 (4),1st,0 (6),3rd,2.167 (5),19.5,,22,10,3,0,1,0,0,0,4,Ant-Man (Ant-Man),Forge,Ant-Man (Ant-Man),Forge,Second attempt,3,"Both games were a long slog but we chose our second game as we had no escape and our score was a little better but a slower game.
Angle paired with Ant-Man rather well with the Moon Knight deck just going along with little effect on the game. ",,
,,4,(+6),42,Ocs333,35,32,67,1st,Yes (4.5),2nd,32 (6),5th,2 (2.5),4th,2.094 (4),17,,3,6,3,2,2,1,0,0,8,Star-Lord,Rocket Raccoon,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Fun. Scheme got sort of bypassed by double artifacts. Still, had rough start, 4-2, 4-2 hands and therefore two early escapes. Had no time for second attempt.",,
,,5,(+5),41,cglied,28,40,68,1st,Yes (4.5),3rd,35 (5),4th,1 (4),5th,1.943 (3),16.5,,12,6,2,1,2,0,1,0,6,Ant-Man (Ant-Man),Forge,Ant-Man (Ant-Man),Forge,Second attempt,5,"In looking over the setup before starting I thought this was going to be close to impossible without a fair bit of luck. My first game went down to the wire before winning on a hail mary on the last turn and this was after having 3 Master Strikes in the first 4 turns to do no damage. I considered counting myself lucky and just posting the 1st game and moving on with my life. I decided to give it another try and while the villain deck wasn't as kind to me in the 2nd game, I got some much better combos going by landing the Ant-Man uncommon and the Angel Rare which let me tee of on Thanos a few times per turn.
One of the more fun games of Legendary I've played in a long time. I'll be replaying this setup with my friends soon.",,
,,6,(+4),40,Bikk Bikk,57,14,71,1st,Yes (4.5),6th,41 (2),1st,0 (6),6th,1.732 (2),14.5,,43,5,0,0,0,0,0,0,0,Star-Lord,Wolverine (X-Force),Star-Lord,Wolverine (X-Force),Second attempt,3,"Lost the first attempt on turn 15. Boo

A last turn victory on my second attempt. Lots of artifacts and a thin-ish deck let left hand really do very well.
By turn 18 right deck was the same as it started thanks to some well timed early schemes and twists. That hand did so badly. But did manage one hit on grimace, thanks to the soul gem, which I love. With all my soul… gem. 
Thanks for the fun tournament!",,
,,7,(+3),40,Ashyy23,38,10,48,7th,No (1),7th,39 (1),7th,3 (1),7th,1.231 (1),4,,28,4,0,0,0,0,0,0,0,Groot,Domino,I did not play a second attempt.,I did not play a second attempt.,First attempt,2,Slow burning game this one..,,
,,8,(+2),37,KelgatesKollections,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,9,(+1),37,Babybreloom,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E18,Star Wars Episode II: Attack of the Clone,1,(+9),43,SharkNate-O & onthegeniusofsamrockwell,36,33,69,1st,Yes (3.5),2nd,22 (5),2nd,4 (4.5),2nd,3.136 (5),18,,3,10,4,4,4,5,1,0,18,Captain Marvel,Superior Iron Man,Captain Marvel,Superior Iron Man,Second attempt,5,"Solid game. Our first one was not good simply because we underestimated the scheme and the villain count. But we went into the second game much more prepared. We hit villains where we needed to to keep the balance of kree/skull count the same, to keep the twists moot. Got lucky when we got 3 twists in a row when the counts were already balanced. It was enough for us to focus our efforts to the mastermind and quickly ended the game. Very fun in having to make sure the villain counts were equal before we fought any villains",,
,,2,(+8),44,Narellish & ooskarr,37,32,69,1st,Yes (3.5),1st,21 (6),4th,5 (2),1st,3.286 (6),17.5,,5,15,3,5,6,6,0,0,20,Mockingbird,Drax the Destroyer,Mockingbird,Drax the Destroyer,Second attempt,4,"This was a good combination to play, we enjoyed it. We have submitted our 2nd attempt, hoping that our first won't end up with more points - this is the first time it wasn't as obvious for us which one to pick. Due to some early scheme twists we had 5 villains carried away (escape) which is a lot, but we won in 21 turns so we are hoping that still helps us out winning in a shorter amount of turns. So many good hero options to chose from as well, except for 2 GotG we had already used in this tournament. Thank you for running the tournament - we are much looking forward to the next one!",,
,,3,(+7),43,iburnicus,39,48,87,1st,Yes (3.5),4th,32 (2.5),1st,2 (6),4th,2.719 (2.5),14.5,,9,18,2,1,4,3,0,0,10,Superior Iron Man,Mr. Fantastic,Superior Iron Man,Mr. Fantastic,First attempt,4,"both games were wins, with this setup i decided to go with the one with a few extra turns but only 2 escapes, because it seems to me its very easy to get a lot of escapes in this setup.
had some fun synergies and combo's and hit some high nr's because of it.
",,
,,4,(+6),41,jwigand,44,29,73,1st,Yes (3.5),3rd,24 (4),4th,5 (2),3rd,3.042 (4),13.5,,15,15,3,4,5,5,0,0,17,Black Panther,Captain Marvel,Black Panther,Captain Marvel,Second attempt,4,"I had such a close scoring comparison both games I hope I chose the right one. I enjoyed this set up, games were interesting.",,
,,5,(+5),40,Bronson & Lighthouse,39,48,87,1st,Yes (3.5),4th,32 (2.5),2nd,4 (4.5),4th,2.719 (2.5),13,,9,28,0,1,5,0,1,0,7,Invisible Woman,Human Torch,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Funny setup, I interpreted it as Pryor as Palpatine not caring who wiped out who and hiding behind the innocent Senator bystanders. 
6 of first 12 turns were master strikes or scheme twists - so while we got a lot of early wounds we had a lot of KO power in our heroes. Only had one scheme twist cause escapes so overall that felt lucky. ",,
,,6,(+4),38,scootsmagoots1986,46,50,96,1st,Yes (3.5),6th,36 (1),4th,5 (2),6th,2.667 (1),7.5,,4,24,1,0,4,0,0,0,5,Captain Marvel,Superior Iron Man,Captain Marvel,Superior Iron Man,Second attempt,5,Super fun.,,
,,7,(+3),39,david_h11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,8,(+2),35,Yeeches,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,9,(+1),36,ceejatec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E19,Whac-A-God,1,(+9),41,Tuba2k7 & Aliayc22,48,14,62,1st,Yes (6),1st,30 (6),3rd,2 (3),1st,2.067 (6),21,,34,6,3,1,3,2,0,0,9,Rogue,Black Widow (Avengers),Black Widow (Avengers),Rogue,Second attempt,3,The epic Loki definitely made wound management and issue. We were very lucky to have three master strikes left in the villain deck. The characters interacted well with each other. Player two wasn’t able to rescue many bystanders for black widow to work the second game. Iron Man Really came into the rescue when I was drawing my whole deck every turn. Fun setup for core set.,,
,,2,(+8),41,Minos_Griffin,42,17,59,2nd,No (3),2nd,38 (5),1st,0 (5.5),3rd,1.553 (4),17.5,,25,2,0,0,0,0,0,0,0,Black Widow (Avengers),Wolverine (X-Men),Captain America,Wolverine (X-Men),Second attempt,2,Epic loki is not a fun mm to play specially on a time scheme,,
,,3,(+7),40,Organous,27,46,73,2nd,No (3),3rd,37 (3),3rd,2 (3),2nd,1.973 (5),14,,19,4,0,1,1,0,0,0,2,Black Widow (Avengers),Nick Fury,Hulk,Captain America,Second attempt,3,"Having already used Rogue and Wolverine in the past really hurt me here, because they would have been perfect for this.",,
,,4,(+6),39,Mangostrike,26,20,46,2nd,No (3),6th,30 (1),1st,0 (5.5),4th,1.533 (3),12.5,,6,5,2,0,6,1,0,0,9,Rogue,Cyclops,Captain America,Hulk,Second attempt,3,Really underestimated how quickly the wounds would come out. Happy with the choice of Hulk / Captain America.,,
,,5,(+5),38,CoreyG,41,13,54,2nd,No (3),3rd,37 (3),3rd,2 (3),6th,1.459 (1),10,,28,1,0,0,1,0,0,0,1,Hawkeye,Wolverine (X-Men),Hawkeye,Wolverine (X-Men),Second attempt,1,"Wasn't particularly looking forward to this setup, and they were pretty miserable games to slog through. The setup might have been more interesting with a larger hero pool, but I had very few options left being only Core and having already played similar setups in the tourney. Both attempts ended the game with only 1 wound in the wound deck I think. Absolutely brutal. In my second attempt, I hit my 4th Master Strike on turn 6 and 5th on turn 10! The flood of wounds meant several turns were spent just clearing them from my hands. The heroes that could KO wounds didn't want to show up to be recruited. Least enjoyable setup of the tourney and a bummer to end on.",,
,,6,(+4),37,Doormatte,24,31,55,2nd,No (3),3rd,37 (3),6th,4 (1),5th,1.486 (2),9,,7,3,0,0,0,0,0,0,0,Hawkeye,Cyclops,Hawkeye,Cyclops,First attempt,1,N/A,,
,,7,(+3),36,Astigmatic_Oracle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,8,(+2),35,Chapmaca7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,9,(+1),33,Gideon Wyatt & Mrs. Gideon Wyatt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E20,What's Red & Black & Dead All Over?,1,(+9),39,ElongatedMan,34,61,95,1st,Yes (5.5),1st,32 (7),1st,1 (6.5),1st,2.969 (7),26,,27,3,2,1,4,2,0,1,10,Brainstorm,Fantastic Four United,Brainstorm,Fantastic Four United,First attempt,4,"1st attempt went pretty well, had 1 escape but got things under control. Mr. Fantastic generating 7 attack for the Mastermind was helpful.

2nd attempt looked like it was going to be bad. Had 2 instances where 2 Scheme Twists chained together, giving me flashbacks to Advanced Solo Master Strikes :( But then I managed to get a Yelena dodge/undercover combo that generated (near) infinite attack and was able to clear a full city and attack 2 Masterminds a total of 5 times to win the game.

But by that time, there were 3 escapes, so I decided to submit the longer game with less escapes. Not as hard as I was expecting, and a pretty fun time!",,
,,2,(+8),38,Flipflopmaniac,52,50,102,1st,Yes (5.5),4th,38 (4),1st,1 (6.5),2nd,2.684 (6),22,,2,8,0,1,1,2,0,2,6,Hellcat,Quicksilver,Apocalyptic Black Widow,"Gamora, Destroyer of Thanos",Second attempt,5,"Really liked this setup, plenty of KO's and Undercover shenanigans to keep the Rise effects in check.",,
,,3,(+7),38,Allman,49,28,77,1st,Yes (5.5),2nd,33 (6),3rd,2 (5),5th,2.333 (3),19.5,,21,2,0,2,7,1,0,0,10,Fantastic Four United,Heralds of Galactus,Quicksilver,Heralds of Galactus,Second attempt,5,First player's deck round at  Galactus Hungers,,
,,4,(+6),36,Pyromagnus & Shoshielynn,48,39,87,1st,Yes (5.5),3rd,37 (5),5th,5 (3),4th,2.351 (4),17.5,,9,2,1,1,2,2,0,0,6,Falcon & Winter Soldier,Fantastic Four United,Falcon & Winter Soldier,War Machine,Second attempt,4,Early rampages were rough and the amount of attack changing to track is a bit insane but getting both decks to fire on all cylinders was great,,
,,5,(+5),34,energythief,58,40,98,5th,No (2),5th,40 (3),4th,3 (4),3rd,2.45 (5),14,,18,4,0,0,0,0,0,0,0,Apocalyptic Black Widow,Psi-Lord,I did not play a second attempt.,I did not play a second attempt.,First attempt,1,Zombie Scarlet Witch is so annoying. It felt like all the attack cards were odd!,,
,,6,(+4),34,GreyWadejokis,11,3,14,5th,No (2),6th,23 (2),6th,6 (1.5),6th,0.609 (2),7.5,,8,2,2,3,9,4,1,3,22,Falcon & Winter Soldier,Party Thor,Falcon & Winter Soldier,Party Thor,Second attempt,1,"I never came close in either game, not sure I even played the scheme correctly",,
,,7,(+3),35,Canis & MamaBird,3,9,12,5th,No (2),7th,20 (1),6th,6 (1.5),7th,0.6 (1),5.5,,6,0,4,2,10,3,0,5,24,Captain Carter,Star-Lord T'Challa,Captain Carter,Star-Lord T'Challa,Second attempt,2,"both these game went terribly, kept forgetting to do the ascended Masterminds strikes on game 1, so decided not to count it, then got a scheme twist chain on game two and got slaughtered. realised when counting the deck at the end we had one extra scheme twist. :(. sometime the RNG gods just get you...",,
,,8,(+2),34,coldvein & raja,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,9,(+1),32,sword'n'sorcery,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E21,DoomBucks,1,(+10),37,freeclint,54,35,89,1st,Yes (4.5),2nd,31 (7),1st,0 (5),1st,2.871 (8),24.5,,19,28,0,0,5,2,1,0,8,Wolverine (X-Men),Storm,Wolverine (X-Men),Storm,Second attempt,5,"Took a little while in both attempts to get the decks going enough to hit Doom.  On attempt 2 Hawkeye's rare in the instinct deck went to town on getting bystanders, stack was nearly empty.  Lots of fun, nice to feel competent here at the end of the tournament.",,
,,2,(+9),29,Joebro6616,41,28,69,1st,Yes (4.5),1st,25 (8),1st,0 (5),3rd,2.76 (6),23.5,,13,20,3,4,7,3,8,0,25,Storm,Spider-Man,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,I would replay this scheme again,,
,,3,(+8),34,Lasombra81,54,37,91,1st,Yes (4.5),3rd,32 (5.5),1st,0 (5),2nd,2.844 (7),22,,17,28,2,2,3,4,2,0,13,Rogue,Storm,Rogue,Storm,First attempt,3,...,,
,,4,(+7),34,Rey Plays Games!,66,9,75,1st,Yes (4.5),3rd,32 (5.5),1st,0 (5),7th,2.344 (2),17,,57,14,1,3,5,1,4,0,14,Rogue,Wolverine (X-Men),Rogue,Wolverine (X-Men),First attempt,5,"I really thought I could crack a win with a small amount of turns here, but the dreaded Mast Strike kept sabotaging the turns! Wolverine was great here and the Nick Fury Uncommon was amazing! A few turns where I couldn't attack or recruit (i.e with only Venom in city and no covert) so that racked up the turns unfortunately...nevertheless, it was very fun!",,
,,5,(+6),30,Montax30,27,56,83,1st,Yes (4.5),5th,33 (3.5),1st,0 (5),6th,2.515 (3),16,,29,17,0,3,3,2,5,0,13,Black Widow (Avengers),Rogue,Black Widow (Avengers),Rogue,Second attempt,4,Black Widow and Rogue will always be a good combination.,,
,,6,(+5),27,KeeblerPowell,47,44,91,1st,Yes (4.5),8th,36 (1),1st,0 (5),5th,2.528 (4),14.5,,3,28,2,0,2,3,0,0,7,Storm,Rogue,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,I learned how cool Nick Fury can be. PURE FURY is the best card I have recruited thus far. He wrecked face! Ill be trying more cool stuff with him for certain. As always I appreciate this league very much!,,
