Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,,7
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,,
68,Dread Smash & Beyond,1,(+9),60,Avataristche,69,36,105,1st,Yes (5),2nd,21 (7.5),1st,0 (6),2nd,5 (8),26.5,,33,6,0,3,4,7,3,2,0,19,Captain Marvel,Superior Iron Man,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,Carol took off and refused to land,,
,,2,(+8),59,R3DJ0N,97,21,118,1st,Yes (5),4th,23 (6),1st,0 (6),1st,5.13 (9),26,,76,10,0,1,3,5,3,0,0,12,Black Panther,Captain Marvel,Black Panther,Captain Marvel,First attempt,5,"Brought in Black Panther to help enable Doctor Strange. He was even better than I thought he would be thanks to the scheme. Fight the Future was was the MVP with generating a lot of early attack to keep the city clear and prevent wounds to master strikes. Player 2 didn't get as lucky but still had a pretty good blue/green deck with Captain Marvel and Ms. America. The last turn for Player 1 was huge thanks to a ton of draws from Sorcerer Supreme, sidekicks and Black Panther. Had enough Cosmic Threat to hit The Beyonder once for free plus enough natural attack and recruit to finish him off and clear the city. 

Second game I gave up when I had an escape on turn 6 after a chain of twists. It made me realize how lucky I'd been on the first game with Fight the Future and early master strikes. ",,
,,3,(+7),51,the.melk.man & Snapcity57,48,48,96,1st,Yes (5),2nd,21 (7.5),1st,0 (6),3rd,4.571 (7),25.5,,0,8,0,4,5,10,5,0,0,24,Ultimate Spider-Man,Superior Iron Man,Ultimate Spider-Man,Superior Iron Man,Second attempt,4,The final melking,,
,,4,(+6),53,Adrian Miller,26,54,80,1st,Yes (5),1st,18 (9),1st,0 (6),5th,4.444 (5),25,,28,9,0,0,1,12,5,0,0,18,"Ancient One, The",Adam Warlock,"Ancient One, The",Adam Warlock,Second attempt,3,.,,
,,5,(+5),52,Jean-Sébastien & Geneviève,52,66,118,1st,Yes (5),5th,26 (5),1st,0 (6),4th,4.538 (6),22,,14,9,0,0,4,6,1,0,0,11,Superior Iron Man,Captain Marvel,Superior Iron Man,Captain Marvel,First attempt,4,"Nice setup! Thanks for the tournament, and see you next time!",,
,,6,(+4),49,Lukas,58,64,122,1st,Yes (5),7th,28 (3),1st,0 (6),6th,4.357 (4),18,,6,8,1,2,2,4,2,0,0,10,Clea,Black Panther,Clea,The Vishanti,Second attempt,4,First game did not work out at all. Finally won with 1 villain card left and 3 escaped. Second game went significantly better after taking black panther out to bring in some extra demonic bargain cards with The Vishanti. Second game had a way better shuffle. ,,
,,7,(+3),50,Redblock,62,58,120,1st,Yes (5),8th,33 (2),1st,0 (6),8th,3.636 (2),15,,4,7,0,1,1,1,0,1,0,4,Captain Mar-Vell,Quasar,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"Beyonce, sorry Beyonder is no joke, went down to last twist, and only escaped it by pushing it down with danger sense few times. If HQ gave better start could do better, but no time and energy for second game. Great end of tournament",,
,,8,(+2),48,Snash108,59,56,115,1st,Yes (5),6th,27 (4),8th,1 (2),7th,4.259 (3),14,,3,9,0,3,2,5,2,0,0,12,Lady Thor,Old Man Logan,Lady Thor,Old Man Logan,Second attempt,5,"Full ranged deck on one side, and Instinct on the other! Scored 3 rares(Strange, Nova and Ms America) on the ranged side. Managed to hit the Beyonder twice in a single turn(Once with Cosmic Threat ranged from Nova's rare, and the other with raw attack)! ",,
,,9,(+1),47,david-h11,63,57,120,1st,Yes (5),9th,35 (1),9th,3 (1),9th,3.429 (1),8,,6,7,1,0,0,0,2,0,0,2,"Namor, the Sub-Mariner",Captain Marvel,The Vishanti,"Ancient One, The",Second attempt,5,"Very challenging setup, barely eeked out a draw in the first game with 9 escapes and 4 hits of the mastermind. The heroes made two clear decks but just weren't powerful enough to do damage fast enough. Second choices were much better though. The ancient one was a great choice with 9 5+ cost cards and the ability to fight the mastermind with recruit. Ended up with a draw your whole deck on one side which was fighting the mastermind every turn and another generally powerful instinct/range deck that was clearing the city. Awesome setup very down to the wire, thanks so much guys for designing it and all of them! It's been an awesome tournament!",,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Dead Space,1,(+9),50,Off the Cuff & hanoott,42,15,57,1st,Yes (5),1st,19 (9),1st,0 (5.5),1st,3 (9),28.5,,27,0,0,2,7,8,13,0,0,30,Forge,X-23,Forge,X-23,Second attempt,4,Anyone who didn’t pick Forge to go with Ant-Man is a sucker,,
,,2,(+8),51,Techfiend,47,20,67,1st,Yes (5),4th,30 (6),1st,0 (5.5),4th,2.233 (6),22.5,,27,0,0,3,3,6,9,0,0,21,Iceman,Banshee,Iceman,Captain Marvel,First attempt,5,"Both tries started strong, but stalled out in the midgame. I had enough attack to keep the city easily clear, but couldn't hit ZGG. I didn't see enough recruit cards to get the 5+ cost cards until after turn 20. I think I could have cut 8-10 turns off of my result with a better HQ.  ",,
