Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,Results Of Week:
,,3,(+7),51,Ocs333,43,19,62,1st,Yes (5),3rd,29 (7),1st,0 (5.5),5th,2.138 (5),22.5,,24,0,0,3,1,10,6,0,0,20,Apocalyptic Kitty Pryde,Maximus,Apocalyptic Kitty Pryde,Maximus,Second attempt,5,"This setup had four main threats. Brood herring stronger, covering zombies, mastermind potentially getting stronger and discarding cards, lots of wounds.  Found that Apoc Kitty Pride may come over HQ management, provide some heal via KO and has decent damage. Maximus was included to defeat Brood for free and with uncommon card always have an option to cover zombies. Was considering x23, and also piercing energy. 

First game was quite sluggish. Lots of villains, trap, so on. From turn 15 schemes appeared but was not that bad. Had some heals. With kitty could avoid master strikes except the one that scans the hero deck. It was turn 39 win, no escaped, slightly higher VP per turn. 

Second game cards came out better. Still in the end Hand2 had 6 or 8 wounds in a deck of 15 cards. So had to basically pass/heal for last three turns. Maximus was quite useful. Got his rare, which resulted in some extra KO. Ended up just ko-ing the final starting card and drawing full deck of 9 cards in last turn. Epic way to finish the Tournament.  

Dark descendants were more annoying than zombies. But did not meet them that much in second play. In first game I faced 5 zombies, and Maximus uncomment indeed helped covering two or three of them. Which is good on one hand. But also VP could have been higher with some stronger targets. 

I guess I will have quite good score on number of turns but not so great on vp. We will see. Anyway intriguing setup, I will remember this scheme.",,
,,4,(+6),49,PragmaticSquid,23,58,81,1st,Yes (5),7th,34 (2.5),1st,0 (5.5),2nd,2.382 (8),21,,35,0,0,2,4,5,2,0,0,13,Dr. Strange (Illuminati),Punisher,Dr. Strange (Illuminati),Punisher,First attempt,4,I got lucky and the only rare that popped up in my winning game was Ant-Man's which I was able to snarf quickly with size-changing.  A great setup.  Great tournament!,,
,,5,(+5),46,GZUZROCKS & DaBomb,28,27,55,1st,Yes (5),2nd,28 (8),1st,0 (5.5),9th,1.964 (1),19.5,,1,2,1,1,5,8,7,0,0,21,X-23,Magik,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,Ridley Scott alien vibes alert! We had fun with this. X-23 was a great addition. “Bioengineered assassin” was a great card to destroy the “scheme eggs”. Magik is the bomb with her side kick synergies. Ant man went gonzo with “risky science” and “ride the ants” which usually was able to cycle out wounds for more useful cards.  Most all cards of the HQ had attack values on them which helped with Berserk abilities as well. Has fun this tournament as usual. Major props to Bagel for another great time!,,
,,6,(+4),46,Pizza (.gaxim) & Extra Cheese (Rolf101),48,18,66,1st,Yes (5),5th,31 (4.5),1st,0 (5.5),6th,2.129 (4),19,,30,0,0,3,1,8,4,0,0,16,Old Man Logan,X-23,Old Man Logan,X-23,First attempt,4,Pizza just kept getting grabbed the Brood infections so he had to skip a couple turns to ko them. Extra Cheese was able to beset to average 12 to 16 attack each hand near the end after KOing all his starter cards. ,,
,,7,(+3),46,Narellish & oskar,24,41,65,1st,Yes (5),5th,31 (4.5),1st,0 (5.5),7th,2.097 (3),18,,17,0,0,1,4,6,5,0,0,16,Domino,Wolverine (X-Force),Domino,Wolverine (X-Force),First attempt,4,"We had fun again as we have all tournament. We were happy with our hero choices so stayed with them for the second game - thinking we might be able to play even better - though our second game was very very close. One turn longer for .2 PPT difference- hopefully we picked the right game. Though we feel we still took a bit too long, we lost some of our Rare's which made us have to discard more cards so had some weak turns as well as getting scheme twists out early giving us extra wounds we had to heal. Eventually though Wolverine and Domino did their job and slayed everybody. Getting the hang of when to scan the cards took us a few extra turns as well. We have very much enjoyed this tournament and thank you Bagel for all your work and look forward to next one and are happy we have ended above the halfway mark. ",,
,,8,(+2),44,Bikk Bikk,14,57,71,1st,Yes (5),7th,34 (2.5),1st,0 (5.5),8th,2.088 (2),15,,43,0,0,0,1,7,7,0,0,15,Bishop,Banshee,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"I hoped Bishop and Banshee would pair well and they really did. Player 2 recruited so many and had no trouble with the growing brood henchmen, and Bishop was able to KO the schemes in the discard pile! I found that out a little too late and Player 1 ended up with a bit too many wounds before I realized this. 
Player 1 got too many wounds and just couldn't get enough recruit. I noticed Blade, Ant-Man and Colossus&Wolverine all had attack icons so I was hoping to build a berserk deck, but I didn't get the cards for it. It was a lot more blade than the other two. So it wasn't a berserk deck it ended up a move around enemies deck, but couldn't generate MM level of attack. 
Player 2 meanwhile got two hits twice, building attack and PE. 
I wish it could've happened a little faster, but PE takes a little time to get to MM amounts. ",,
,,9,(+1),42,jpilger,65,24,89,1st,Yes (5),9th,38 (1),9th,1 (1),3rd,2.342 (7),14,,41,2,0,2,2,1,6,0,0,11,Beast (X-Men),Iron Fist,Beast (X-Men),Iron Fist,First attempt,4,I liked this setup.  I had some great beast/Ant-man draw combos and all the berserk with C/W and beast led to some great turns.  Took me a long time to get the wind though because I lost two 7+ cards to zombie green goblin early on the game.  ,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,MephBusters,1,(+9),53,OleRockyTop,41,11,52,1st,Yes (5),1st,19 (9),1st,0 (5.5),4th,2.737 (6),25.5,,30,5,0,2,6,10,4,0,0,22,Darkhawk,Domino,Bishop,War Machine,Second attempt,4,Got inundated with wounds the first game and just not enough ways to deal with them. Having them going to the top of the deck really put a damper on some things. Second game I ran into far less wound creating cards and Bishop was able to effectively thin out one of the hands to combine with War Machine's hyperspeed. Shout out to Skid for helping with the wounds. ,,
,,2,(+8),48,ChuckBauer,57,25,82,1st,Yes (5),4th,28 (6),1st,0 (5.5),2nd,2.929 (8),24.5,,32,10,0,2,5,4,1,0,0,12,Strong Guy,Warpath,Strong Guy,Warpath,Second attempt,4,"Brought Strong Guy to support Multiple Man. Then brought Warpath to A) bring more 2 costs for Elektra B) synergize with Speed's 4 cost common super well, and C) Uncommon makes huge hands!",,
,,3,(+7),47,Swagolas,75,12,87,1st,Yes (5),5th,29 (4),1st,0 (5.5),1st,3 (9),23.5,,63,9,0,2,3,4,1,1,0,11,Groot,Iron Fist,Groot,Iron Fist,First attempt,3,"The most frustrating thing about hero cloning is when you shuffle the hero deck and you see there was a rare card on the top or close to getting into the HQ :( It happened more than once for me. I only saw 2 rares in the two games combined, which was bad. The henchmen worked great, the chivalrous duels made sometimes hard to keep the city clean. I actually managed to survive all the Master Strikes without a single wound in the first game, that was pretty great. Great game, super fun tournament!",,
,,4,(+6),46,Bakatora971,36,33,69,1st,Yes (5),3rd,27 (7),1st,0 (5.5),6th,2.556 (4),21.5,,3,6,0,2,3,7,2,0,0,14,Domino,Quicksilver,Domino,Quicksilver,Second attempt,4,Failed game one almost drew a bomb on the winning turn that would have ended the game. Very stressful final turn but very fun win. ,,
,,5,(+5),44,Bronson & Lighthouse,9,49,58,1st,Yes (5),2nd,24 (8),1st,0 (5.5),8th,2.417 (2),20.5,,40,6,0,1,3,9,4,0,0,17,Daredevil (Marvel Knights),Punisher,Daredevil (Marvel Knights),Wolverine (X-Force),First attempt,3,Prioritized MK heroes which was helpful and it never hurts when you have MVP Elektra. One hand was super optimized and got all the points. Couldn't improve it the second time even with a little more fight / KO. Thanks for all the behind the scenes work for the tournament!,,
,,6,(+4),46,Handballermann & Efruhuhn,54,22,76,1st,Yes (5),5th,29 (4),1st,0 (5.5),5th,2.621 (5),19.5,,32,9,0,2,1,6,4,0,0,13,Forge,Punisher,Forge,Punisher,Second attempt,1,"This scheme is a mess. Within the first 60% we had drawn all scheme twists. In both games. Gave us a loss in the first game. The scheme is a unnecessary time bomb. The rest of the deck has no impact.
We've got the feeling, that we picked the wrong heroes, but in the end, Speed escalated hard and gave as the win.
The worst setup we ever played, 1 star because of the scheme and our bad card draw. Nothing seems to matter.",,
,,7,(+3),41,Sandals & Mrs Sandals,34,47,81,1st,Yes (5),5th,29 (4),9th,1 (1),3rd,2.793 (7),17,,13,9,0,0,2,3,5,1,0,11,Star-Lord,Warpath,Star-Lord,Warpath,Second attempt,3,"Found lots of fun interactions with these heroes. Multiple Man loves Star Lord, and Hyperspeed revealing cards meant Warpath was happy too! Elektra just hung around with a First Strike and (eventually) a Sai Blades each to stop Strikes doing anything. 
I think I enjoyed it more than my wife, as I picked up Warpath's Rare in game 2 and ruled the roost with it. Having 4 extra cards and an implanted memory chip led to some massive turns! I went full into Hyperspeed game 1 but that wasn't quite as good despite turning my deck over every turn.
She went Star Lord and Multiple Man both times, but didn't Clone a single card in game 1. Game 2 she got his Rares and KOd more cards so enjoyed that game more. 😁",,
,,8,(+2),40,CoreyG,50,26,76,1st,Yes (5),9th,31 (1),1st,0 (5.5),7th,2.452 (3),14.5,,24,8,0,1,2,4,3,0,0,10,Warpath,Wolverine (X-Force),I did not make a second attempt.,I did not make a second attempt.,First attempt,3,"Fun opportunity to use some new cards in my collection from Messiah Complex! Warpath and Speed provided satisfying synergy with the top of the deck. Multiple Man was unique to try. Didn't end up KO-ing as many cards with its rares as Warpath did for the other player. I had a nice turn where I could draw 2 wounds from the top of my deck to add to the 2 which started in my hand to efficiently KO 4 wounds in one turn. Messiah Complex is complex with keywords, but it's been fun with a lot of variety! Great tournament! Cheers Bagel!",,
,,9,(+1),43,Pokeloly,44,22,66,1st,Yes (5),8th,30 (2),1st,0 (5.5),9th,2.2 (1),13.5,,22,8,0,2,2,4,3,0,0,11,Daredevil (Marvel Knights),Warpath,Bishop,Iceman,Second attempt,3,"Definitely quite a hard set up, got very close to losing both times, the scheme is very luck dependent. Decided since this was the last pod I'd try two different sets of hero choices - one with Daredevil and Warpath which has some synergy with the existing heroes, and one with just raw power in Bishop and Iceman. Game 1 went alright, got quite lucky with the scheme twists, but wasn't much KO so I built up quite slow. Game 2, the bishop/iceman side worked very well but my other deck which I was trying to build Multiple Man just couldn't get started as there weren't any of his cards in the HQ.",,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Resurrection Day,1,(+9),49,piplup1112111,21,44,65,1st,Yes (5),1st,18 (9),1st,0 (6.5),2nd,3.611 (8),28.5,,23,6,7,3,9,7,5,0,0,24,Doctor Doom 2099,Havok,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,I got very lucky with both fateful resurrection and HQ,,
,,2,(+8),45,dontfeedthegreen,50,38,88,1st,Yes (5),3rd,22 (7),1st,0 (6.5),1st,4 (9),27.5,,12,5,16,2,7,6,5,0,0,20,Ghost Rider 2099,Doctor Doom 2099,Ghost Rider 2099,Doctor Doom 2099,First attempt,5,"I picked up Telepathic Mastery early and then got two copies of Dark Foretelling, one for each deck, so Fateful Resurrection and obnoxious charges were a non-issue. Then I abused the Scheme to get nice trim decks by sending tons of cards Undercover. Left-hand deck picked up Ghost Rider’s rare and managed to play it three times in one turn with Stingray’s draw cards and a sidekick. It was just a case of mopping up points after that. Dr Punisher’s presidential campaign ended up tied for votes with Shiklah’s while Stingray was close behind as a third party. Second game came close but wasn’t quite as good.",,
,,3,(+7),44,brentmcampbell,31,31,62,1st,Yes (5),2nd,21 (8),1st,0 (6.5),5th,2.952 (5),24.5,,0,2,13,1,8,9,2,0,0,20,Doctor Doom 2099,Ghost Rider 2099,Doctor Doom 2099,Ghost Rider 2099,Second attempt,4,"A bit trickier than I had first anticipated. I thought first the strategy was to always discard to prevent the MM votes, but I soon realized that sometimes you want votes to happen to get rid of Twists and sometimes you want to discard to reshuffle the Villain Deck. Pretty tricky. ",,
,,4,(+6),45,KelgatesKollections,57,18,75,1st,Yes (5),4th,23 (6),7th,2 (2.5),4th,3.261 (6),19.5,,39,4,9,2,7,5,3,2,0,19,Doctor Doom 2099,Ghost Rider 2099,Ghost Rider 2099,Ravage 2099,Second attempt,3,"Ghost Rider and Stingray go brr. There is enough card draw between them in the last game to cycle through my entire deck which also had the Black Swan Rare to get up to 27 attack and clear the way from scheme twists to hit the Mastermind over and over again.

The other hand didn't have enough time to come together as they were throwing Dr. Punisher for presidency to keep the game going.",,
,,5,(+5),45,DRobb & ShadowOfTheBat,33,32,65,1st,Yes (5),5th,28 (4.5),1st,0 (6.5),8th,2.321 (2),18,,1,4,0,2,3,8,0,0,0,13,Havok,Silk,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,Great setup to end the season on.  Having Silk as a hero option and showing up was huge.  See you next season!!!,,
,,6,(+4),44,Kb_Driven,31,51,82,1st,Yes (5),7th,30 (2.5),1st,0 (6.5),7th,2.733 (3),17,,20,7,0,2,5,2,2,1,0,12,Ghost Rider 2099,Doctor Doom 2099,Corvus Glaive,"Captain and the Devil, The",Second attempt,4,"Fun setup, I have tried this scheme a couple of times before but got a better appreciation for how to play it.  I finally realized that you can play a hero during a turn and THEN stack them to the scheme - much smarter :)   The first attempt my candidate was Ghost Rider 2099.  Player 1 got 3 undercover Range to take full advantage of Doom 2099's attack power, while player 2 just kept up with nominating Ghost.  I got a little KO-happy with Player 1, and had to scrounge for some extra recruit during the last several turns. 
In the second game, I switched things up with Corvus and Devil.  I never got much of a KO'd bystander engine running, but the low-cost recruit cards and spectrum abilities were real handy, allowing both players to ramp up pretty solid attack and recruiting.  Dr. Punisher took the nomination and kept up in the election no problem, more villain deck foresight was super-useful, and in the end a more efficient and effective win in Game 2.",,
,,7,(+3),43,realdanl,21,58,79,1st,Yes (5),5th,28 (4.5),7th,2 (2.5),6th,2.821 (4),16,,37,9,16,3,4,4,4,0,0,15,Doctor Doom 2099,Ghost Rider 2099,Doctor Doom 2099,Ghost Rider 2099,First attempt,4,"First attempt had two 4-2 split opening hands, which led to a lot of early pressure on the City and with the Resurrections and Sapiens led to two escapes.  I hoped to do better on a second go, but Shiklah just kept stuffing the ballot box faster than I could turn out voters to the polls.",,
,,8,(+2),39,bamlinden,37,20,57,1st,Yes (5),7th,30 (2.5),1st,0 (6.5),9th,1.9 (1),15,,17,2,0,2,4,7,1,0,0,14,Beast (X-Men),Beast (Illuminati),Beast (X-Men),Beast (Illuminati),First attempt,5,"Awesome setup! I liked the Scheme to begin with and the Villains and Mastermind were great choices to really bung things up for me. LOL. I went double-Beast as I felt I could fend off the twists a little better (and did) and he worked great in a tech-based side. Felt I could've been faster as I got caught with a couple resurrections when attacking the MM, but managed to keep things pretty tidy. Second attempt was a huge mess with early rares clogging up my HQ and no Beasts showing up. I'm going to try this one again before I pack it away. Another great example of how this game can feel fresh each and every time you pull cards out of the box. ",,
,,9,(+1),38,CK,33,70,103,1st,Yes (5),9th,31 (1),9th,3 (1),3rd,3.323 (7),14,,37,30,4,2,4,3,3,1,0,13,Elsa Bloodstone (SHIELD),Spider-Gwen,Elsa Bloodstone (SHIELD),Spider-Gwen,Second attempt,4,"I went for a fun setup, wanting to get a Gwen card drunk on her bystander power. I had nearly all of the special bystanders to look forward to. I picked Spider-Gwen for her bystander rescue common that also powered her up, and so I would have a cheap hero to throw at the scheme. Elsa also had a common that rescued bystanders, and her yellows looked like they would work well with Black Swan.

In the first game I made the mistake of letting the first 2 twists trigger instead of discarding to negate them. Between the master strikes and regular twists I lost on turn 15 with 7 twists out. I won the second game, but it was slow, and I let 3 villains escape. My dream of having President Gwen one shot all of the mastermind tactics was foiled by needing to put nearly all of her cards into the scheme. I did end up with a lot of bystanders, and if the game had gone one more turn I would have finally had a 16 power Gwen card, but Stingray's rare ended up finishing the game a turn early.",,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Escape From Big Trouble in the Galaxy Vol. 2,1,(+10),46,zombiegamer5,37,49,86,1st,Yes (6.5),3rd,30 (7.5),1st,0 (8.5),1st,2.867 (10),32.5,,12,13,12,2,5,5,2,0,0,14,Doctor Doom 2099,Spider-Man 2099,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"This was my first time playing against Ego, the Expansion of the city and eventually the contraction of the city was as fun as I've heard. The interaction with the sealing of city spaces from the scheme was really cool. I definitely liked having something to spend excess attack on. The false Aesir kept stealing Ravager weapons which made it hard to take them down, but I eventually had to face them to get rid of the extra city spaces. Definitely recommended this setup!",,
,,2,(+9),45,JParnell,22,48,70,1st,Yes (6.5),1st,29 (9.5),1st,0 (8.5),5th,2.414 (6),30.5,,26,7,4,3,3,6,3,1,0,16,Bruce Banner (MCU),Cassie Lang,Bruce Banner (MCU),Cassie Lang,First attempt,5,"It's tough for any Ego setup to be anything but a 4 or 5 for me. This scheme is awesome with Ego- I really liked how it was a benefit with a large city, but dangerous with a small one. Banner and Cassie took one deck and absolutely dominated.",,
,,3,(+8),45,Justitiana,68,12,80,1st,Yes (6.5),1st,29 (9.5),7th,3 (3.5),2nd,2.759 (9),28.5,,56,15,11,1,3,6,2,1,0,13,Hulk 2099,Cassie Lang,Hulk 2099,Cassie Lang,First attempt,1,"First off, I really, really didn't like this week's setup. It's only by recruiting 3 very good rares for Deck 1 that I ended up winning in the end and the well played supporting role from Deck 2. I really did not like the combo of False Aesir and Ego. Technically the Quantumnauts were at least normal KO Henchmen, but they were both too strong (because of the full CIty) and too diluted becausse of an extra Villain Group. The City was very hard to handle well, so in attempt 1, even though it went well from halfway through, I still had 3 escapes happen. The combination of Ego and this Scheme was also not very fun to me, but that might just be beacuse I dislike the Scheme anyway.

So despite all these dislikes, I did end up winning attempt 1. Attempt 2 completely went as I imagined this diabolical setup going beforehand. I got a lot of wounds and almost always could just barely attack something in the CIty, or not even that. Mantis felt like a bad hero in general, but she actually played an important role in attempt 1, by getting 3 of her Sefless/Selfish cards into Deck 2 (I guess because of the (3/3/3/2/2/1) distribution that were all the copies), so that Deck 1, which did end up KOing a lot of starters eventually, could draw extra cards and do the fighting that deck 2 mostly just couldn't. The scores of 68 vs 12 probably reflects that and I think at least 3 of those VP were from Undercover cards as well.

The cards that ended up bringing me the win were Black Panther's 5-cost supplemented by other Black Panther cards (a few of the 'draw a card' 2-cost) that can convert its recruit to attack after a strength trigger, Hulk 2099's rare, Cassie Lang's rare and a bunch of Janet van Dyne's cards, as well as her rare. So much Explore ended up happening that I saw the cards that went to the bottom of the Hero Deck starting to reappear again towards the final turns. I made 52 attack in turn 29, which was enough to end it with the CIty situation at that moment.

Loki 2099 was annoyingly shuffling a Master Strike back in once, which probably did come out again, as 5 were totally played with1 left in the Deck, but at least it didn't happen twice or was played as a result of his Fight or Fail effect. The Ravagers were quite strong in this setup, as they were commanding with no other Crew around mostly, but with the rares early on I could get the strong enough turns going. Hulk 2099's Strength common was invaluable as well, sending the many wounds from Thor 2099 and the Master Strikes undercover. Microscopic Size-Changing did help a few times to get both cards from HQ cheaper and defeat several Villains for reduced numbers.

All in all, I think I got very lucky to even win this setup. If attempt 1 was more like attempt 2, I would have simply struggled to defeat anything at all and could also probably not recruit any strong enough cards. My morale was already pretty low in attempt 1 as I could not prevent all escapes, but attempt 2 went so much worse that I think I didn't even know how lucky I had been just yet. Preventing a loss from the Scheme is also too luck-based in my opininon, and in attempt 2 it indeed wasn't preventable.

Thanks to Bageltop Games for organizing the Tournament, it was a lot of fun, even with some of the setups being on the more difficult and less fun side. Some (parts) of these setups I would never come up with by nyyself, as I'd find them too punishing and I mostly just want to have fun when I play. This was a nice chance to get somewhat out of that comfort zone (as is also the case with the Randomizer) and do play the setups I'd never come up with myself. Also the competitive part is a big part of the enjoyment and although I didn't do nearly as well as last tournament I did try my best and that's enough.",,
,,4,(+7),43,Tozar,54,34,88,1st,Yes (6.5),7th,33 (4),1st,0 (8.5),3rd,2.667 (8),27,,20,6,13,2,3,2,1,1,0,9,Freedom Fighters,Jentorra,Ghost Rider 2099,Hulk 2099,Second attempt,2,"A lot of stuff I'd never actually played with before.  Lots to keep track of.  I figured since it was the last round and i wasn't anywhere near the top of the rankings, I just picked my 2 heroes randomly.  Then I picked two different heroes randomly for the second game since it didn't matter how many I burned through at this point.  Now that the tournament is over, need to find a new way to play. :)",,
,,5,(+6),41,Babybreloom,40,35,75,1st,Yes (6.5),3rd,30 (7.5),5th,1 (6),4th,2.5 (7),27,,5,0,7,1,3,5,1,0,0,10,Doctor Doom 2099,Wanda & Vision,Doctor Doom 2099,Wanda & Vision,First attempt,4,"My only escape came from Ego's final tactic -_- Apart from that, this was a killer game. Wanda & Vision paired up so well with Mantis and we got over 30 attack on two separate turns!",,
,,6,(+5),41,loconnole & Klcgolf,41,36,77,1st,Yes (6.5),5th,32 (5.5),1st,0 (8.5),6th,2.406 (5),25.5,,5,13,0,3,4,5,1,0,0,13,Wasp (MCU),Wanda & Vision,Wasp (MCU),Wanda & Vision,Second attempt,5,"Very interesting puzzle to figure out for sure. One went mother daughter combo with Janet and Wasp and the other went heavy on range and tech, second round went much better, both times able to cycle through and get all the rates as well",,
,,7,(+4),40,Cglied,60,19,79,1st,Yes (6.5),8th,36 (3),6th,2 (5),7th,2.194 (4),18.5,,41,13,11,2,3,4,0,1,0,10,Doctor Doom 2099,Wasp (MCU),Doctor Doom 2099,Wasp (MCU),First attempt,5,"Whoa Nelly! This one was a really tough challenge with so much going on; expanding city, needing to keep seals in play, ambush schemes, uru enchanted weapons, I needed a co-pilot just to keep it all straight. After 15 turns, I didn't think I had a chance, but the Dr. Doom 2099 Cyber Mod strategy started to pay off big and helped me get control of the board.  ",,
,,8,(+3),39,Lycanknight_,11,36,47,1st,Yes (6.5),5th,32 (5.5),9th,4 (2),8th,1.469 (3),17,,25,8,0,3,3,6,2,1,0,15,Ant-Man (MCU),Rocket & Groot,I did not make a second attempt.,I did not make a second attempt.,First attempt,2,There were just too many variable card effects that made this set up almost too much to handle. My wife got 62 fighting in a single turn which really saved our butts.,,
,,9,(+2),39,Tuba2k7 & Alicat22,21,11,32,9th,No (1.5),9th,31 (2),7th,3 (3.5),10th,1.032 (1),8,,10,2,0,0,2,1,0,0,0,3,Doctor Strange (MCU),Captain Marvel (MCU),I did not make a second attempt.,I did not make a second attempt.,First attempt,3,We struggled the entire game,,
,,10,(+1),36,evilspacecow,26,14,40,9th,No (1.5),10th,28 (1),10th,8 (1),9th,1.429 (2),5.5,,12,6,0,0,2,7,1,1,0,11,Captain Marvel (MCU),Drax (MCU),Captain Marvel (MCU),Drax (MCU),First attempt,2,Needed more heavy hitters.  Trying to track the growing and shrinking map was difficult at times.,,
