Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,5
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
48,How Many People Are Trying to Buy This Tower Anyways?,1,(+9),43,avataristche,70,32,102,1st,Yes (5),1st,26 (8),1st,0 (5),1st,3.923 (9),27,,38,13,12,3,3,2,2,1,0,11,Star-Lord,Groot,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"One of the easiest Thanos games i've got. If not for the tactics that discarded a gem, it would've been a 22-turn game.",
,,2,(+8),37,Redblock,80,17,97,1st,Yes (5),1st,26 (8),1st,0 (5),2nd,3.731 (8),26,,63,23,12,2,2,6,1,2,0,13,Bishop,Iceman,Bishop,Iceman,Second attempt,4,"Giving Jean Grey and Quake in starting setup was a huge help, scheme itself where helpfull too, as it allowed selective cleaning of HQ. Only real problem was Morg, who cost me game one by cleaning perfect HQ twice, and filling it with Red cards",
,,3,(+7),37,ReoFirestar19,17,82,99,1st,Yes (5),4th,27 (5.5),1st,0 (5),3rd,3.667 (7),22.5,,65,16,10,2,2,2,1,0,0,7,Human Torch,Professor X,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"Using Professor X's Uncommon, I stole lots of turns from the Villain Deck to get those Gems into my build quickly, and it worked! Right side ramped a lot with Bystanders from Jean Grey, being complemented by Professor X and Quake. Left side didn't do much on the VP department, but it had some Gems, too! I wonder if amping my VP per turn by stealing turns like this will mean something for the scoring system, but I had a blast trying this strategy.",
,,4,(+6),34,VenomousDisease,67,11,78,1st,Yes (5),1st,26 (8),1st,0 (5),6th,3 (4),22,,56,5,3,2,1,4,4,1,0,12,Mockingbird,Gamora,Iceman,Human Torch,Second attempt,2,"First game was rough as I was hoping to have more turns to set up. Before I knew it, the city was full and we had only got the shield level to four before the game was over in a disappointing 17 turns.

Game two, decided to change it up with Iceman knowing that a good portion of other cards were also blue to really bring a deck to the forefront and it really proved itself by getting 40+ attack on one turn letting me tear into Thanos. It just would have been nice to get the Colossus/Torch Wound deck working but it just didn't come together. It was very hard to find two working decks throughout here. ",
,,5,(+5),36,Zoratok,11,71,82,1st,Yes (5),4th,27 (5.5),1st,0 (5),5th,3.037 (5),20.5,,60,4,7,2,1,5,3,0,0,11,Professor X,Iceman,Professor X,Iceman,Second attempt,3,I picked Professor X for the chance to gain cosmic threat villains. Range hero synergy worked well for this set up.,
,,6,(+4),33,Techfiend & Kimber_Blue,24,72,96,1st,Yes (5),7th,30 (3),1st,0 (5),4th,3.2 (6),19,,48,8,2,3,1,3,2,1,0,10,Iceman,Star-Lord,Iceman,Star-Lord,First attempt,4,"This was a difficult matchup that was made easier by being able to hit the soul gem early. With Star Lord's Legendary Outlaw card, it made keeping the city clear fairly simple. Both sides also got a Reality Gem, with which we were able to avoid 3 master strikes with. We didn't get to play as much with Jean Grey's bystander shenanigans, though, so we're worried about points per turn.",
,,7,(+3),31,Doomfollow,39,44,83,1st,Yes (5),6th,28 (4),1st,0 (5),7th,2.964 (3),17,,5,8,9,1,0,4,2,0,0,7,Iceman,Human Torch,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"Cool scheme, cool hero combos, no complaints here",
,,8,(+2),34,WilTheGrey,37,49,86,1st,Yes (5),9th,33 (1),1st,0 (5),8th,2.606 (2),13,,12,6,7,2,2,1,1,0,0,6,Star-Lord,Forge,Star-Lord,Forge,Second attempt,4,It was a good setup for story and mechanics,
