Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
,,9,(+1),35,VenomousDisease,53,53,106,1st,Yes (5),9th,31 (1),1st,0 (5),9th,3.419 (1),12,,0,13,11,1,1,11,3,1,0,17,Doctor Doom 2099,Venompool,Doctor Doom 2099,Venompool,First attempt,4,"The hero teams really worked out here. Felt like I could have shaved some time here or there but in game one, the full focus came with getting the Ghost Rider rare early and powering it home to get advantage. 

The Hiroim and Venompool deck was able to get bystanders early and use that to really inflate the victory points and help make both decks equal in terms of victory points. It is always fun playing Hiroim when he has a structure deck to work with.",
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Time to Commit Insecticide,1,(+9),43,citizen51,82,14,96,1st,Yes (5),1st,17 (9),1st,0 (6),1st,5.647 (9),29,,68,10,1,2,6,5,5,1,0,19,Hulkbuster Iron Man,"Miek, the Unhived",Hulkbuster Iron Man,Rick Jones,Second attempt,4,"Had a lot of fun with this one. Game 1 did not go as planned and I was only able to KO the Scheme MM after Twist 7 and never touched Annihulus. I switched up my heroes and Game 2 went a lot better. I tried to make a draw deck and a Smash deck, but the Smash deck wasn’t able to recruit enough cards to take off. However the draw deck went off with 3 back to back turns of drawing the entire deck and almost cleaning the board each time. Really enjoyed the combo of Rick Jones’ transformed rare and Ant-Man’s uncommon.",
,,2,(+8),40,the.melkman & Snapcity57,34,43,77,1st,Yes (5),2nd,19 (8),1st,0 (6),3rd,4.053 (7),26,,9,6,1,4,3,9,4,0,0,20,Hulkbuster Iron Man,Bruce Banner,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,Most fun setup we’ve played in quite a while. We raise a glass (of melk) this week,
,,3,(+7),38,owen_meany & owen_meany's better half,49,49,98,1st,Yes (5),4th,25 (6),1st,0 (6),4th,3.92 (6),23,,0,15,0,3,2,5,3,0,0,13,Amadeus Cho,Wasp,Amadeus Cho,Wasp,Second attempt,5,"1st game got twists early so had a 21 attack god emperor to take down but minimum threat from villains. Second game was opposite where there was a real threat of escape early but only had to take down an 11 attack god emperor. Overall, really enjoyed the set up. Heroes were awesome combination of KO and draw abilities.",
,,4,(+6),39,HatePhD & EditedMist,79,18,97,1st,Yes (5),5th,26 (5),1st,0 (6),5th,3.731 (5),21,,61,6,1,0,4,3,2,0,0,9,Ms. Marvel,Hulkbuster Iron Man,Sentry,Hulkbuster Iron Man,Second attempt,5,"We had a lot of fun, but had to slow down and really plan out who, what and when to hit every body after losing the first attempt on what was going to be the last turn in a win...countdown schemes are a cruel mistress....Smashed our way to victory though. Pretty sure we're in top 3 with no escapes, although it was close a few times lol. Back to back twists were helpful in not moving the city. and hitting stationary targets",
,,5,(+5),39,Swagolas,27,56,83,1st,Yes (5),3rd,20 (7),9th,3 (1),2nd,4.15 (8),21,,29,9,0,2,3,6,5,2,0,18,"Miek, the Unhived",She-Hulk,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"The 4-2 starting hands hurt me a lot, I got 3 early escapes :/",
,,6,(+4),36,Drewfusmcge,48,41,89,1st,Yes (5),6th,27 (4),1st,0 (6),7th,3.296 (3),18,,7,15,0,1,3,5,2,0,0,11,Hulkbuster Iron Man,Totally Awesome Hulk,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,"Wow. Really happy with my game and I don't think I'd be as lucky again so I called it quits as soon as I could. On turn 11, after only a single scheme twist had occured, I had exactly 9 attack to get God-Emperor Doom out of the way right away. I felt like it could have been a bit faster taking down Annihilus, but I did manage to rescue plenty of bystanders along the way thanks to Totally Awesome Hulk and Galactus going back to the city for 7 bystanders with Annihilus' tactic. I unfortunately couldn't get Galactus back before the end of the game, but I think saving about two turns was probably worth it. Very tough setup but I feel like I got insanely lucky",
,,7,(+3),37,3141592ab,60,47,107,1st,Yes (5),8th,29 (2),1st,0 (6),6th,3.69 (4),17,,13,10,0,1,2,1,3,0,0,7,Amadeus Cho,Hulkbuster Iron Man,Amadeus Cho,Hulkbuster Iron Man,Second attempt,5,"I'm not a huge fan of momentum as a keyword. I find it hard to keep track of especially with other things going on. With this setup, there wasn't a lot of other things to track so it wasn't too bad. The first game had much stronger decks but a few early escapes hit me hard so I choose to submit a longer game but with no escapes. Having Amadeus plus ant man plus hulkbuster made an outwit draw deck super strong once it got rolling.",
,,8,(+2),39,Redblock,55,36,91,1st,Yes (5),7th,28 (3),1st,0 (6),8th,3.25 (2),16,,19,7,0,1,2,4,2,1,0,10,Hulkbuster Iron Man,Totally Awesome Hulk,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"Fun setup, drawing 12 cards before Gian ego was good experience",
,,9,(+1),32,Canis & Mamabird,17,36,53,1st,Yes (5),9th,30 (1),8th,1 (2),9th,1.767 (1),9,,19,7,0,1,1,4,1,0,0,7,Bruce Banner,Hiroim,Bruce Banner,Hiroim,Second attempt,4,"always fun trying a new scheme, manage to get god emperor doom, but never touched Annihilus, so lost a lot of points that way. player one went tech deck with Banner and Ant-Man, and after Doom killed Annihilus they were like 3 attack short of hitting him every single turn! player two went red deck with No-NAme and Hiroim, with some hulk assistance and finally got enough attack to smash puny doom!",
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Dr. Claw,1,(+9),40,Doomfollow,24,43,67,1st,Yes (4.5),1st,22 (8),1st,0 (4.5),1st,3.045 (8),25,,19,1,10,1,4,6,3,1,0,15,Agent Phil Coulson,Mockingbird,Kingpin,Gamora,Second attempt,4,Do you ever decide to throw strategy out the window and just go brute force? Thats why I love Kingpin so much,
,,2,(+8),41,Techfiend & Kimber_Blue,38,32,70,1st,Yes (4.5),3rd,25 (6),1st,0 (4.5),2nd,2.8 (7),22,,6,1,14,3,1,5,3,1,0,13,Quake,Mockingbird,Quake,Mockingbird,Second attempt,4,This was a good time. Multiple Man plus undercover heroes meant plenty of deck thinning. We both enjoyed playing the SHIELD expansion and this game delivered.,
,,3,(+7),38,GZUZROCKS & DaBomb,31,29,60,1st,Yes (4.5),2nd,24 (7),1st,0 (4.5),4th,2.5 (5),21,,2,2,9,2,2,7,4,0,0,15,Gamora,Agent Phil Coulson,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"Super fun! We added Phil Coulson to enhance the shield levels and synergize with yelena and Deathlock. We added Gamora to add synergy with Starlord and potentially utilize ""galactic assassin"" to negate shards on an infinity gem. The villain deck was kind to us in that the first few scheme twists came out early on and did not bring out any infinity gems. This was a great jump start. Cool set up and very enjoyable match!",
,,4,(+6),37,Narellish & Ooskarr,19,48,67,1st,Yes (4.5),4th,26 (4),1st,0 (4.5),3rd,2.577 (6),19,,29,0,12,2,1,5,3,2,0,13,Quake,Mockingbird,Quake,Mockingbird,Second attempt,4,"Great set up, Thanks. Our first game we got early escapes with a tough adversary draw, second game was a bit nicer, but lower undercovers for our points total.",
,,5,(+5),34,PragmaticSquid,22,41,63,1st,Yes (4.5),4th,26 (4),1st,0 (4.5),5th,2.423 (4),17,,19,0,8,3,1,2,6,2,0,14,Agent Phil Coulson,Gamora,Agent Phil Coulson,Gamora,Second attempt,4,"Great setup - I'd enjoy this setup more if it wasn't a Villains game - just not used to the dark side rules. Just not used to KOing all wounds. Even so, fun setup with undercover and shards packing serious punch. Gamora was key for me. Her rare cancelling villain shards allowed me to shard dump. Even so, there were 4 stones in the city when it ended. Almost forgot - I went double SHIELD for starters for Deathlok and Coulson.",
,,6,(+4),35,jiggliestpuff,24,32,56,1st,Yes (4.5),4th,26 (4),1st,0 (4.5),7th,2.154 (2),15,,8,1,4,2,2,5,4,2,0,15,Ultron,Rocket Raccoon,Ultron,Green Goblin,Second attempt,4,"I got a few lucky plot twists early on that effectively did nothing, so that helped me get off to a good start. Plus, the last tactic was the one to fill the decks with bindings to that ended up not mattering. I had one deck more focused on tech cards with Goblin and Ultron, and another more on Undercover/Unleash with Yelena. Both benefitted from Star Lord's artifacts building up shards and draw. This was tougher than it looked and a really nice use of a Villains-style game with so many SHIELD heroes.",
,,7,(+3),34,Sylterix,37,28,65,1st,Yes (4.5),7th,28 (2),1st,0 (4.5),6th,2.321 (3),14,,9,0,13,3,1,5,4,0,0,13,Ultron,Black Widow (S.H.I.E.L.D.),I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"Just left the infinity Gems alone, as beating up Strange was easier.",
,,8,(+2),33,ZombieGamer5,22,41,63,1st,Yes (4.5),8th,32 (1),1st,0 (4.5),8th,1.969 (1),11,,19,4,4,0,0,2,3,1,0,6,Kraven the Hunter,Venom (Sinister Six),I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"I had never tried an Infinity Gems setup in Villains before but I thought it was good fun. The city stayed fairly full with the Gems sneaking back into the city but I prioritized no escapes so I managed to avoid that. I'm always a little unsure of how to handle ""conversions"" between Villains terms and heroic Legendary terms so I may have made the game harder on myself (for instance, not sending Hydra agents starter cards undercover with Dethlok cards because they aren't SHIELD) but I still enjoyed it.",
,,9,(+1),33,Kal-el,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Too Many Tyrants,1,(+9),38,Tuba2k7 & Aliayc22,32,50,82,1st,Yes (5),2nd,18 (8),1st,0 (7),2nd,4.556 (8),28,,18,9,0,2,6,19,7,1,0,35,Superior Iron Man,Nova (Avengers),Superior Iron Man,Nova (Avengers),Second attempt,4,"Round one we had a lot of villains escape due to high villain count at the beginning that we couldn’t stop. round two we ended up getting cosmic threat and celestial Boon early, and it allowed us to crush the mastermind with ease. Nezarr The calculator is insane. Both games were fun.",
,,2,(+8),37,Tozar,54,10,64,1st,Yes (5),1st,15 (9),1st,0 (7),4th,4.267 (6),27,,44,3,0,4,5,12,7,2,10,40,Captain Carter,Nova (Avengers),Captain Carter,Nova (Avengers),Second attempt,4,I forgot to use the Celestial Boons in the first game.  Using them in the second game made it go a bit easier with the one that reduces the Mastermind Attack value.,
,,3,(+7),37,Scootsmagoots86,51,68,119,1st,Yes (5),5th,26 (5),1st,0 (7),1st,4.577 (9),26,,17,23,0,5,1,8,5,0,7,26,Apocalyptic Black Widow,Doctor Strange Supreme,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"Great fun. I included the mastermind tactics in the other category for what was left in the villain deck rather than include them as ""villains."" Hope that's ok. Another great set up, keep em coming!!",
,,4,(+6),35,Bn322,28,58,86,1st,Yes (5),3rd,21 (7),1st,0 (7),5th,4.095 (5),24,,30,11,0,3,6,10,5,1,8,33,Ronan the Accuser,Nova (Avengers),Apocalyptic Black Widow,Captain Carter,First attempt,5,This was my shortest have of legendary that resulted in a win.  I hadn't tried most of the ITC stuff so I though I'd go with two heroes that would work with kilmonger and stingray.,
,,5,(+5),35,Mangostrike,79,47,126,1st,Yes (5),6th,29 (4),1st,0 (7),3rd,4.345 (7),23,,32,22,0,3,4,15,4,0,0,26,Apocalyptic Black Widow,Nebula,I did not make a second attempt.,I did not make a second attempt.,First attempt,2,.,
,,6,(+4),35,SavageTeddyBear & Julius Xizor,65,19,84,1st,Yes (5),4th,25 (6),6th,2 (3.5),9th,3.36 (1),15.5,,46,12,0,2,4,8,1,1,9,25,Nebula,Ronan the Accuser,Nebula,Ronan the Accuser,Second attempt,3,Too many tyrants spoil the city.,
,,7,(+3),32,Fives & Echo,81,33,114,1st,Yes (5),7th,31 (2.5),6th,2 (3.5),8th,3.677 (2),13,,48,19,0,4,3,7,2,1,4,21,Star-Lord T'Challa,Black Panther,Black Panther,Apocalyptic Kitty Pryde,First attempt,4,"This was definitely a challenging setup to try to get the best score, but it seemed very winnable. Both Black Panthers were incredibly helpful taking out the celestials, I just wish I got the Tiamut early.",
,,8,(+2),32,Pyromagnus & Shoshielynn,60,58,118,1st,Yes (5),7th,31 (2.5),9th,4 (1),6th,3.806 (4),12.5,,2,12,0,3,3,5,2,1,5,19,Adam Warlock,Apocalyptic Kitty Pryde,Adam Warlock,Apocalyptic Kitty Pryde,First attempt,3,"This is a hard set up especially on a bad shuffle, losing half of the drones and Killmonger hiding in the Villain Deck were massive pains both games. Still got a good combo going with a Shard/Covert focus and the other going Strength/Tech with PHD in Oceanography popping off hard!",
,,9,(+1),31,dontfeedthegreen,56,79,135,1st,Yes (5),9th,36 (1),8th,3 (2),7th,3.75 (3),11,,23,14,0,0,5,6,0,0,3,14,Solo,Captain Carter,Old Man Logan,"Gamora, Destroyer of Thanos",Second attempt,4,"Not a hard match to win. Winning with a low escape count seems like a different story!.I got away with three and felt lucky! 1st game I tried Solo and Captain Carter to try and make extra use of those half points but got a bad shuffle and it went horribly. Second attempt I upgraded to Old Man Logan and Gamora, DoT but still didn’t go great. Exitar escaped early on, which meant Henchmen were rare and city was under pressure throughout.",
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,It's a Bad Day to Be a Bystander,1,(+9),38,NukinFoobs & N3m3sis,111,8,119,1st,Yes (5),2nd,21 (8),1st,0 (7.5),1st,5.667 (9),29.5,,103,49,0,2,6,7,6,1,0,22,Gladiator Hulk,Hulkbuster Iron Man,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"This setup was a ton of fun. Ended up leaning into the discard engine with the Smash keyword to generate tons of card draw. This also led to rescuing tons and tons of bystanders with the 4 cost strength Angel. 1 hand was all we needed as it blew the whole game away and the other kinda spectated. We ended up playing just one attempt since it went so well and we were a bit crunched for time. As always, love the tourneys and can't wait til next time!",
,,2,(+8),36,Jdub,55,21,76,1st,Yes (5),3rd,23 (7),1st,0 (7.5),5th,3.304 (5),24.5,,34,9,0,2,3,7,6,0,0,18,Forge,Colossus,Forge,Colossus,First attempt,4,This game seemed very quick. I liked the way Colossus and Forged worked with Beast I was wanting to try that out with my build. Domino and Angel worked great together providing most of the force and ability to clear out everything.,
,,3,(+7),35,Tex-pa & Grate,46,52,98,1st,Yes (5),7th,28 (2.5),1st,0 (7.5),2nd,3.5 (7.5),22.5,,6,20,0,2,4,3,1,0,0,10,Hulkbuster Iron Man,Ruby Summers,Hulkbuster Iron Man,Ruby Summers,Second attempt,4,Even with 5 heroes with excellent synergy we had to go to our second play for a good score.  Lots of fun with drawing multiple  cards and rescuing bystanders. The feasting of Angel;'s rare was a big setback but enabled to recruit and wallcrawl Beast's rare.  Imaginative  Set up.  Nice work!,
,,4,(+6),35,Cglied & Poulanc,50,37,87,1st,Yes (5),4th,25 (6),5th,1 (4.5),4th,3.48 (6),21.5,,13,17,0,1,6,8,2,0,0,17,Jean Grey,Forge,Jean Grey,Forge,Second attempt,4,Complete disaster in the first game with the absolute worst luck despite having a pretty solid Beast/ Forge/ Domino deck going for Player 1. Second game went okay. Getting Forge's BFG into play gave us a chance with 2 free hits on the Mastermind.,
,,5,(+5),33,Snash108,64,41,105,1st,Yes (5),9th,30 (1),1st,0 (7.5),2nd,3.5 (7.5),21,,23,16,0,2,5,3,3,0,0,13,Hulkbuster Iron Man,Agent Venom,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,,
,,6,(+4),31,eventhorizon0121,36,30,66,1st,Yes (5),1st,20 (9),7th,2 (2),6th,3.3 (4),20,,6,14,0,3,4,10,5,0,0,22,Bruce Banner,She-Hulk,Bruce Banner,She-Hulk,Second attempt,4,Choosing Smash Heroes to pair with the Angel discard Common worked great! We were able to scale quickly and handle the MM. Our two escapes were both from rescuing the Copycat bystander with a full city.,
,,7,(+3),31,Minos_Griffin & Phryne,40,36,76,1st,Yes (5),5th,26 (4.5),7th,2 (2),7th,2.923 (3),14.5,,4,14,0,1,6,7,2,0,0,16,Hiroim,Jean Grey,Hiroim,Jean Grey,First attempt,4,It was a good combination of MM and scheme. We were unlucky with the hero deck but at least we had a good game.,
,,8,(+2),30,Babybreloom,28,52,80,1st,Yes (5),7th,28 (2.5),5th,1 (4.5),8th,2.857 (2),14,,24,15,0,1,3,5,5,1,0,15,Forge,Gladiator Hulk,Forge,Gladiator Hulk,Second attempt,5,"Weirdly I enjoyed the first game (which I lost) more than the second, but both runs of these were awesome! Ended up losing game one after some HUGE pop-offs with Angel with just the face card left, but in Game 2 Angel and Gladiator Hulk played really nicely together, Angel's rare came out, and the tactics ended up pretty evenly ddivided between distinct strategies. This was a ton of fun!",
,,9,(+1),30,Crd1680 & Nicday19,45,26,71,1st,Yes (5),5th,26 (4.5),7th,2 (2),9th,2.731 (1),12.5,,19,9,0,1,3,7,4,1,0,16,Forge,Hulkbuster Iron Man,Forge,Hulkbuster Iron Man,Second attempt,4,"In the second game I had Angel's rare plus several ""discard 1 to draw 2"" type effects, which was fun with Angel's green card - I was able to cycle my deck just about every turn toward the end, which is always a good time!",
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,The Wolf of Phalanx Street,1,(+9),36,FlipFlopManiac,34,53,87,1st,Yes (5),2nd,26 (7.5),1st,0 (6),1st,3.346 (9),27.5,,19,5,13,2,6,4,5,1,0,18,Ghost Rider 2099,"Blade, Daywalker",I did not make a second attempt.,I did not make a second attempt.,First attempt,5,Ghost Rider 2099 quickly becoming one of my favorites.  Cool combo with the +4 wound and Blade's Hunt High and Low.  Infernal Chainsaw go brrrrrrrrrrrrrrrrt.,
,,2,(+8),35,MikeH,38,22,60,1st,Yes (5),1st,25 (9),1st,0 (6),6th,2.4 (4),24,,16,4,3,2,7,5,4,1,0,19,Fantomex,Weapon X (Wolverine),Fantomex,Weapon X (Wolverine),First attempt,4,"I was fortunate: not many MS or ST were played and many of the villains haunted so the city was never under too much pressure. LH focused on weapon X sequence and tech/instinct superpowers (Fantomex, Weapon X, and Elsa) while RH focused on recruit / focus (Doom and Heralds). I was able to summon Galactus from the Hero Deck and use him twice to help defeat the Mastermind. Managing the HQ to minimize Romulus Weapon X Sequence was challenging and fun",
,,3,(+7),35,bigdilly73 & BlackSmithNJ,61,11,72,1st,Yes (5),2nd,26 (7.5),1st,0 (6),5th,2.769 (5),23.5,,50,3,6,4,6,7,0,2,0,19,Fantastic Four United,Brainstorm,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,It was great to see how the cards gained synergy as the game went on,
,,4,(+6),33,prestoja2,31,63,94,1st,Yes (5),6th,30 (4),1st,0 (6),2nd,3.133 (8),23,,32,4,20,1,6,5,5,0,0,17,"Blade, Daywalker",Super-Skrull,"Blade, Daywalker",Hulk 2099,Second attempt,5,"As soon as saw three subvert this new future and a Doomblast, I knew Romulus and his minions didn't stand a chance. Once I strategically recruited Doom 2099's rare and a couple more Doomblasts, it was over. This was really fun, something like this will probably never happen again",
,,5,(+5),33,yeeches,43,38,81,1st,Yes (5),5th,29 (5),1st,0 (6),4th,2.793 (6),22,,5,4,9,3,2,6,2,1,0,14,Marrow,Weapon H,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"Fun setup synergy that didn't feel too complicated. Made one of my first true berserk decks led by Marrow, she's great! I ended up with a really effective Doom deck on the other side with a nice cyber mod ramp, thin deck. Romulus got romped",
,,6,(+4),30,Buya & DSCern,33,47,80,1st,Yes (5),4th,28 (6),8th,1 (1.5),3rd,2.857 (7),19.5,,14,1,16,3,1,5,6,1,0,16,Brainstorm,Ghost Rider 2099,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"We really enjoyed this setup. My partner went with Elsa and Werewolf at night, using moonlight and instinct triggers to get going. I had a slower start but was building up a lot of recruit with the Heralds of Galactus. Eventually I was able to focus 11 into finding Galactus!! He came out hungry and ate 2 of the city spaces and the villains on them, and we were able to smack Romulus for the win.",
,,7,(+3),31,Bronson & Lighthouse,44,39,83,1st,Yes (5),7th,35 (3),1st,0 (6),7th,2.371 (3),17,,5,8,9,0,10,6,2,0,0,18,Super-Skrull,Brainstorm,Super-Skrull,Hulk 2099,Second attempt,5,"Some interesting factors at setup - maximizing Tech and minimizing Weapon X sequences by trying to not choose heroes with 2 or 5 if possible to break up the chain... I imagine some brave souls will go the opposite and choose Fantomex and Weapon X to lean into it - but that just seemed to me to power up Romulus. This lead me to Brainstorm for Black and Super-Skrull for overall strength knowing we'd be ""recruiting"" heroes by fighting them. 

First run in and quickly apparent the Phalanx KO wasn't 'that' bad if it killed our troopers so going for Tech wasn't needed and Brainstorm was just too slow in a 6 hero deck with no other F4. So Hulk 2999 in from the bullpen to try and stave off the excessive master strike wounds. This worked better in being able to keep the city under control but still just felt too slow in turns. So interested in seeing if I was completely wrong and leaning into Weapon X sequence was the way to go instead!",
,,8,(+2),30,Bikk_Bikk,68,16,84,1st,Yes (5),8th,37 (1.5),1st,0 (6),8th,2.27 (2),14.5,,52,4,4,1,1,4,2,0,0,8,Psi-Lord,Spider-Man 2099,Psi-Lord,Spider-Man 2099,Second attempt,5,"I brought Psi-lord along because he had some good recruit. I wanted to attain and feed Galactush heaping portions of the city, I got him and started destroying the city. 
Once we got two uncommon heralds and the rare psilord and uncommon psi-lord we started drawing through the deck consistently with surfer. We found Galactus a couple of times leading to smashing that city, but he whiffed twice in full card draws without heralds so It could've been faster. 
Player two wanted to create a spiderman 2099 werewolf card drawing machine, which we got in game one but it developed late then and we couldn't save from the scheme. This time we missed out on that second covert undercover card so spiderman was bricking rather than flowing. So player two had smaller numbers leading to the much lower VP. 
Fun game though! It feels very exciting to nearly pull off the Galactus city crush. I was one city space away, but by then he was generating 14 attack alone, and the city was all 3-cost so Romulus was easy to slay.",
,,9,(+1),27,allman7359 & Allman,32,44,76,1st,Yes (5),8th,37 (1.5),8th,1 (1.5),9th,2.054 (1),9,,12,3,11,0,1,4,2,0,0,7,Weapon X (Wolverine),Hulk 2099,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,The Mind and the Machine,1,(+9),35,ElongatedMan,29,55,84,1st,Yes (5),1st,27 (8.5),1st,0 (5.5),1st,3.111 (9),28,,26,1,0,2,5,10,7,1,0,25,Banshee,Star-Lord,Dazzler,Storm & Black Panther,First attempt,5,"My friend who is new to Legendary ranked this setup a 5. That's probablly at least in part because he managed to rescue Groot's rare from Random very early in the game. That, coupled with a few of Star-Lord's artifacts and Jubilee's draw engine meant he stacked up shards and attack fast. I did ok with Banshee's Piercing Energy. We played a second game because he wanted to try new heroes, but that game went like 15 turns longer.",
,,2,(+8),34,Loconnole & Klcgolf,37,41,78,1st,Yes (5),1st,27 (8.5),1st,0 (5.5),3rd,2.889 (7),26,,4,0,0,2,4,16,2,1,0,25,Ant-Man,Goliath,Ant-Man,Goliath,Second attempt,5,Ant man + Goliath + Legion is a great combo and Jubilee showed up much better than expected. General strat for picking heroes was to get tech and avoid x men,
