Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,6
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
59,Suffering from Summoning Sixness,1,(+9),43,WilTheGrey,69,33,102,1st,Yes (5),1st,20 (9),1st,0 (5),1st,5.1 (9),28,,36,19,7,4,6,12,7,0,0,29,Gladiator Hulk,Nova (Avengers),I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"Hiroim was definitely the MVP here, and Gladiator Hulk. Keeping things cleared was a priority and the early draws were very much in my favor.  I want to go back and play this one again when I have more time.",
,,2,(+8),43,R3DJ0N,75,28,103,1st,Yes (5),3rd,23 (7),1st,0 (5),4th,4.478 (6),23,,47,22,3,4,4,13,5,0,0,26,Nova (Avengers),Venompool,Nova (Avengers),Venompool,First attempt,4,"Both games went way better than I expected. 1st game player 1 had 3 Hiroim Redeemed fueled by chimichangas and rescued 'victims"". When Goblin 2099 came up he had 0 attack. 2nd attempt Player 2 had the best Ghost Rider 2099 deck I've ever had, with Infernal Chainsaw generating tons of attack (fueled by Shenanigans).",
,,3,(+7),44,ReoFirestar19,63,60,123,1st,Yes (5),6th,26 (4),1st,0 (5),2nd,4.731 (8),22,,3,24,6,4,5,8,2,1,0,20,Bruce Banner,Ronan the Accuser,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"Got Hiroim's Rare, and with some Rally Kree Warriors, I was hoarding Shards and Bystanders to empower my Hiroim ramp cards! The other side cleaned their build amazingly early on, and managed to score lots of points with sheer power alone, from Ghost Rider 2099 to Captain Mar-Vell's Shards and Bruce Banner's bigger hands. No Escapes and two powerful builds meant that the Old One could only Dream of ever waking up. Good stuff!~",
,,4,(+6),49,avataristche,31,53,84,1st,Yes (5),2nd,22 (8),1st,0 (5),7th,3.818 (3),21,,22,14,0,5,4,16,2,0,0,27,Yondu,Quasar,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"The plan was to make a mostly red Hiroim ramp and mostly blue shard sides, and use rider to farm vp. Almost worked, rider didnt show up. Shuffled strikes from the top 3 times with Yondu tho. I am low on vp, hope 22 turns is fast enough to score high.",
,,5,(+5),41,Shaggy427,70,32,102,1st,Yes (5),4th,25 (5.5),1st,0 (5),5th,4.08 (5),20.5,,38,21,8,3,3,14,3,1,0,24,Doctor Doom 2099,Amadeus Cho,Doctor Doom 2099,Nova (Avengers),Second attempt,4,This is a fun set of heroes. I got lucky that Hiroim worked as he did not my first game. Doom and Ghost Rider are very good heroes.,
,,6,(+4),40,Zoratok,76,63,139,1st,Yes (5),8th,30 (2),1st,0 (5),3rd,4.633 (7),19,,13,30,6,3,3,5,5,0,0,16,Adam Warlock,Quasar,Ronan the Accuser,Nova (Avengers),Second attempt,5,"Went for shards on first attempt. Realized bystanders were very powerful engine, so I put in Ronan to help produce more bystanders and shards. Couldn’t complete the game any faster but ended with more VP. Fun and challenging set up.",
,,7,(+3),40,Jean-Sébastien & Geneviève,54,38,92,1st,Yes (5),4th,25 (5.5),1st,0 (5),8th,3.68 (2),17.5,,16,5,12,3,2,11,6,1,0,23,Yondu,"No-Name, Brood Queen",Yondu,"No-Name, Brood Queen",Second attempt,5,"Danger Sense managed the Scheme pretty well, and Infernal Chainsaw did very good as we were able to recruit it early. Fun setup, and we will try it again after the tournament with other Heroes.",
,,8,(+2),36,Dashburn,82,24,106,1st,Yes (5),7th,27 (3),1st,0 (5),6th,3.926 (4),17,,58,16,9,2,3,10,4,1,0,20,Adam Warlock,Phyla-Vell,Doctor Doom 2099,Phyla-Vell,Second attempt,3,Tough setup and Adam Warlock was too slow first game. Hiroim did heavy lifting in getting a win.,
