Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,
Grand Finals,,,,,,,,,,,,,,,,,,,,,,
34,EPIC Dark Phoenix Steals the Weaponized Plutonium,1,Wicked.pepper,59,30,89,1st,Yes (1.5),2nd,23 (1),1st,0 (1.5),1st,3.87 (2),6,,29,9,Iceman,Psylocke,5/5,"Dark Phoenix, I need to take a risk to win this setup. Iceman or bust. By using a lot of blues I took a big risk with the master strikes. Eventually the third strike took out the blue. But by then, my Iceman deck was already in high gear. With Iceman and Doctor Strange I got to draw my entire deck, to hit DP twice in two turns. The piercing energy deck managed to make the final blow. Got rather lucky with my horrors (growing threat, legions upon legions and fight to to end). When seeing this setup I never imagined I could actually beat epic DP. Also, we won't talk about the first try. Started with a good old two strike in two turns, with red and blue gone. Decided to end that game then and there."
,,2,Cerberin,51,17,68,1st,Yes (1.5),1st,21 (2),1st,0 (1.5),2nd,3.238 (1),6,,34,4,Psylocke,Doctor Voodoo,5/5,"The impossible has happend! Epic Dark Phoenix, the Queen of all MMs, is down! I have never ever dreamed that I will defeat her some day! I have only tried it twice in the past with full Spidey deck and full OG Guardians deck and even with them I had terrible losses. But this time I succeeded! And it was hell of a game! I used heavy Artifact deck on Right side, focusing on the two Doctors, and Left was building deck with best Piercing Energy heroes in the game - Phoenix, Banshee and Psylocke. Psylocke's rare was in the initial HQ and I have managed to grab her at turn 5 (or 7, I am not entirely sure). My first use of her was amazing - the top card on the Hero deck was Banshee's rare! On that turn I had 16 PE which was enough to defeat Dark Phoenix twice and get a smaller villain as well. Of course the game was not without twists and turns (pun intended) because I have got 2 MS from the Villain Deck. First one caused all Instinct heroes to dissapear from the Hero Deck and give the MM Enraged MasterMind Horror, the second one KOd all Covert heroes from the Deck and gave her the Endless Hatred Horror (the worst horror possible for the evil queen....). Fortunately only two scheme twists have been played in total and they appeared before the second horror (otherwise I would have been left with 2 cards in the Hero Deck, knowing my luck). Right side has been really helpful with managing the city and preventing villains to escape. But the Final turn was beautifull - with 7 cards in my hand because of Soaring Flighted Obliterating Fire I had the following play: Psylocke's rare (Grabbing another Obliterating Fire from top of the HD) -> 2x Sonar Detection(with X-gene Covert) -> 2x Obliterating Fire -> Sonic Blastwave - > Banshee's Rare -> 1x Shield Trooper (giving PE because of Banshee's Rare) = 21 PE in total which was enough to completely obliterate Dark Phoenix for the last 2 MM Tactics and Final Blow! This was my most satisfying win ever, Thank you for the amazing experience Bagel with this truly Grand Final for the Summer Tournament!!!"
