Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level (no slash),Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,,
34,Annihilus Forges the Infinity Gauntlet,1,Spark001,44,26,70,1st,Yes (2),2nd,24 (2),1st,0 (2),1st,2.917 (3),9,,18,6,Doctor Voodoo,Star-Lord,5,5/5,Got lucky in both games with (Star Dust) coming out early along with Doctor Voodoo’s KO card which allowed me to quickly get any heralds out of my left hand deck so Galactus ability didn’t trigger used same tactic to put the enough gems into the KO pile so the evil win conditions were mute leaving me to focus the shard building side on the right with Star Lord to wipe the board and mastermind.
,,2,ANewEmpire,28,24,52,1st,Yes (2),1st,23 (3),1st,0 (2),3rd,2.261 (1),8,,4,5,Doctor Strange (Avengers),Star-Lord,3,3/5,"This was extremely difficult. First game I scooped around turn 10 since the city was out of control. Very difficult to get VP with the stones. Hit a bystander on my last turn which allowed me to hit Galactus which helped. Left hand focused Dr. Strange with a couple Medusa. Right hand ended up recruiting 5 ""Element Guns"" and 2 Hoggoth which dished out a ton of damage late game. 

Great tournament Bagel. I had a ton of fun competing with this amazing community. "
,,3,MicroDisney0505,43,27,70,1st,Yes (2),3rd,25 (1),1st,0 (2),2nd,2.8 (2),7,,16,4,Gamora,Groot,3,3/5,"I used Groot to ko most of the gems. This made it so no scheme twist added gems to the city. Don't think my turn count was good enough for the win. This scheme can lead to a ton of escapes and I held those to zero, so maybe that was enough."
,,,,                                                              Eliminated ,,,,,,,,,,,,,,,,,,,
E2,Apocalypse Replaces Earth's Leaders with Killbots,1,OllieKitKat & Kylah15,58,23,81,1st,Yes (5.5),1st,26 (10),1st,0 (7),3rd,3.115 (8),30.5,,35,22,Wolverine (X-Men),Scarlet Spider,3,3/5,"Wolverines + Scarlet Spider turned into decent card draw for Ollie. Kylah stuck to Spider Woman & Iron Fist mostly out of necessity for Ollie's deck to function to a stronger capacity. Nothing real special about it. Definitely expected it to be more fun than it was, but a decent average setup. Those +2s on the Horseman can definitely make it rough - at least it did in our first playthrough."
,,2,R3DJ0N,64,34,98,1st,Yes (5.5),4th,30 (7),1st,0 (7),1st,3.267 (10),29.5,,30,33,Black Widow (Avengers),Rogue,5,5/5,I didn't think Immortal and undefeated could be more annoying but then the bystander deck was empty.
,,2,Mangostrike,79,12,91,1st,Yes (5.5),3rd,29 (8),1st,0 (7),2nd,3.138 (9),29.5,,67,33,Black Widow (Avengers),Deadpool (Unaffiliated),4,4/5,"Black Widow/Deadpool worked beautifully together, as did Wolverine/Iron Fist. My second game would have been significantly better if I hadn't pulled Apocalypes' ""Immortal and Undefeated"" 4+ times, adding ~6 turns to my game. I was drawing my whole deck every turn and landing 41+ attack from W/IF!"
,,4,Redblock,16,60,76,1st,Yes (5.5),2nd,28 (9),1st,0 (7),5th,2.714 (6),27.5,,44,19,Cable,Colossus,4,4/5,"Got Spider Woman rare early, so by the end of game deck 2 had 4 out of 5 rares in it"
,,5,Adrian Miller,53,26,79,1st,Yes (5.5),5th,32 (6),1st,0 (7),6th,2.469 (5),23.5,,27,11,Ghost Rider,Blade,3,3/5,Marvel Knights are always good to play with.
,,6,Enoc & Rowan,78,33,111,1st,Yes (5.5),9th,39 (2),1st,0 (7),4th,2.846 (7),21.5,,45,23,Punisher,Forge,5,5/5,Marauders in this scheme with all the extra bystanders was interesting. Overall really fun games!
,,7,Off the Cuff,32,47,79,1st,Yes (5.5),8th,38 (3),1st,0 (7),9th,2.079 (2),17.5,,15,16,Punisher,Scarlet Spider,4,4/5,Anyone who didn't choose Scarlet Spider missed out on some insane synergy
,,8,Iburnicus,70,10,80,1st,Yes (5.5),6th,35 (4.5),8th,2 (2.5),7th,2.286 (4),16.5,,60,24,Gambit,Scarlet Spider,4,4/5,"the synergy and high power gaining was strong on the left side, while the right side was kinda left in the dust ; i bet black widow wouldve been equally as good or better then gambit 
but i still feel like i had a crazy fun line-up available! 
probs not a winner match but i don't think i'll be able to redo the game a 2nd game to compare.
"
,,9,Kharg,48,24,72,1st,Yes (5.5),6th,35 (4.5),8th,2 (2.5),10th,2.057 (1),13.5,,24,11,Daredevil (Marvel Knights),Domino,4,4/5,Wolverine goes BRRRR
,,10,lasombra81,49,52,101,1st,Yes (5.5),10th,45 (1),10th,5 (1),8th,2.244 (3),10.5,,3,23,Moon Knight,Punisher,1,1/5,"Once was enough. I hit Immortal and Undefeated so many times, I just wanted it to end."
