Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,Results Of Week:
,,9,(+2),12,realdanl,40,25,65,1st,Yes (5),8th,32 (1.5),1st,0 (6),9th,2.031 (1),13.5,,15,3,0,0,0,5,2,0,0,7,General Okoye,Star-Lord T'Challa,General Okoye,Star-Lord T'Challa,Second attempt,2,"The Giants returning and ditching my deck turned this into much more of a slog than I'd have liked.  There were certain cards that despite having recruited them early, I only got to play once or twice.  Might have been faster with different heroes, but I'm good to move on.",,
,,10,(+1),11,MicroDisney0505,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,It's Conquerin' Time!,1,(+10),20,Redblock,46,23,69,1st,Yes (5.5),2nd,20 (9),1st,0 (5.5),1st,3.45 (10),30,,23,22,2,2,4,10,4,2,0,22,Ms. Marvel,Totally Awesome Hulk,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"Made one deck out of Ms. Marvel and Red Guardian, other from Viv Vision and Total Hulk. Rest is history. If all your recruit deck is guaranteed to be red Red Guardian goes OP fast, and both Ms. Marvel and Viv are insane bystander engines",,
,,2,(+9),19,the.melk.man & Snapcity57,50,10,60,1st,Yes (5.5),1st,19 (10),1st,0 (5.5),4th,3.158 (7),28,,40,5,4,2,4,7,7,1,0,21,Gwenpool,"Ancient One, The",I did not make a second attempt.,I did not make a second attempt.,First attempt,3,Pasteurize the melk,,
,,3,(+8),16,Bikk Bikk,51,20,71,1st,Yes (5.5),4th,22 (6.5),1st,0 (5.5),3rd,3.227 (8),25.5,,31,4,0,4,3,7,4,2,0,20,"Ancient One, The",White Tiger,"Ancient One, The",White Tiger,First attempt,5,"I've never played Divide and Conquer before. I thought the setup was so intriguing. I have a lot of control of what deck I'm building, I'll be guaranteed to have a class available at all times, unless the deck gets KOed, but even then I can choose the order of KO. 
My thoughts on Ancient one were easy. With Fantastic Four United I knew I'd have a lot of recruit that I could turn into attack. And with Red Guardian I was guaranteed a lot of Covert triggers. With White Tiger I tried for another Covert class KO card. So the theory was both sides could just double down on Covert decks. There is Invisible woman KO and White Tiger KO in there and Ancient One to turn the recruit into attack. 
So Player 1 managed a Hoggoth early which was tormenting the city. I never failed Demonic Bargains because it was early. So while Hoggoth bargained the city, I was able to stock up on Covert cards. I didn't get the KO I wanted but on turn 21 I managed hits two and three on Kang with recruit, got the second turn tactic, and with turn 22  Player 1 got hits 4 and 5 with recruit and ended the game. By turn 20 I had managed one MM hit. By turn 22 the game was won. The power of Ancient One. 
Player 2 was a mixed bag and did manage a lot of recruit, but instead of using it directly I went with focusing it more. It was left effective but it managed well enough. 
Really fun setup with the class based HQ. I thought game 1 went so smoothly and easily I figured the scheme was a tad broken. But game two had an escape on turn 11, so maybe it isn't after all. 
Anyways thanks Ancient One!",,
,,4,(+7),16,R3DJ0N,42,24,66,1st,Yes (5.5),3rd,21 (8),1st,0 (5.5),5th,3.143 (6),25,,18,7,0,4,3,8,5,0,0,20,Brainstorm,"Ancient One, The",Brainstorm,"Ancient One, The",Second attempt,4,A lot of interesting stuff to think about in this set up. Felt like I had to bring in some Instinct to deal with the scheme. First game the hq got clogged with rares and no scheme twists came up until I was about to by one.,,
,,5,(+6),15,Lukas,40,25,65,1st,Yes (5.5),4th,22 (6.5),1st,0 (5.5),6th,2.955 (5),22.5,,15,5,1,4,4,8,3,1,0,20,"Ancient One, The",Ms. Marvel,"Ancient One, The",Ms. Marvel,Second attempt,2,First game had a terrible shuffle and had multiple escapes. The Ancient One and Red guardian are so over powered when you can choose to only buy covert heroes.,,
,,6,(+5),14,Gideon Wyatt & Mrs. Gideon Wyatt,45,66,111,1st,Yes (5.5),10th,34 (1),1st,0 (5.5),2nd,3.265 (9),21,,21,27,1,2,3,2,1,0,0,8,"Ancient One, The",White Tiger,"Ancient One, The",White Tiger,First attempt,4,"Game 2 was 9 turns faster but had 2 escapes and .8 fewer PPT so hopefully this is the right game to submit. Because of the small tech and instinct deck sizes of the given heroes we picked The Ancient One and White Tiger for quick access to their instinct rares and other cards like The Ancient One's draw 2 card. We thought White Tiger's dark memories would work well with The Vishanti's demonic bargains as well. Also, sending villains out to time incursions to the Astral Plane helped mitigate their increased cost since we got 3 MSs by turn 8.",,
,,7,(+4),13,elongatedman7212,59,7,66,1st,Yes (5.5),6th,23 (5),1st,0 (5.5),7th,2.87 (4),20,,52,3,7,4,3,7,3,1,0,18,Black Widow (S.H.I.E.L.D.),Brainstorm,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"Fun setup, but Hand 2 couldn't get the Brainstorm deck going. Hand 1 carried the game w/ Black Widow and Red Guardian. BW's rare is great.",,
,,8,(+3),12,DRobb & ShadowOfTheBat,44,24,68,1st,Yes (5.5),7th,24 (4),1st,0 (5.5),8th,2.833 (3),18,,20,0,0,1,5,8,4,0,0,18,Gwenpool,Super-Skrull,Gwenpool,Super-Skrull,Second attempt,5,"This set up was a blast. The Demonic Bargain was huge in helping sift through decks and made big explosive turns possible, which is always fun.",,
,,9,(+2),11,Astigmatic_oracle,42,43,85,1st,Yes (5.5),9th,31 (2),1st,0 (5.5),9th,2.742 (2),15,,1,9,5,1,1,4,3,1,0,10,Black Widow (S.H.I.E.L.D.),Ms. Marvel,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,I wanted more instinct so I could recruit from the instinct stack and get some of the Vishanti common without risking the pile before I would have to KO it. Ms. Marvel improved Strength and Covert to make those piles strong for the endgame.,,
,,10,(+1),10,allman7359,30,36,66,1st,Yes (5.5),8th,25 (3),1st,0 (5.5),10th,2.64 (1),15,,6,1,0,2,4,6,3,0,0,15,"Ancient One, The",White Tiger,"Ancient One, The",White Tiger,Second attempt,5,"First deck with covert heroes  and final on the ancient, the second deck  ranger heroes and final of viv vison.",,
15,Cosmic Raze,1,(+10),20,Avataristche,54,41,95,1st,Yes (5.5),1st,23 (10),1st,0 (7.5),1st,4.13 (10),33,,13,16,0,2,3,4,5,2,0,16,Bruce Banner,Hulkbuster Iron Man,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"Totally bagelshuffled™ myself, fortunately all whiffed. Tech deck got more vp, however all-other-cards side surprisingly managed to hit mm couple times with Namora's chain-smashing",,
,,2,(+9),18,Jean-Sébastien & Geneviève,57,45,102,1st,Yes (5.5),5th,28 (5.5),1st,0 (7.5),2nd,3.643 (9),27.5,,12,16,0,2,3,2,4,0,0,11,Amadeus Cho,Bruce Banner,Amadeus Cho,Bruce Banner,Second attempt,4,"We had a hard time finding a good hero to go with Namora, so we decided to go green and black for both hands. We could not manage the City on our first attempt (no Drones on 15 cards!), but on the second game they finally showed up and helped trim our decks a bit.",,
,,3,(+8),18,Cobrawarrior521 & Mackirev9,45,34,79,1st,Yes (5.5),4th,26 (7),1st,0 (7.5),5th,3.038 (6),26,,11,10,0,1,2,5,3,0,0,11,Star-Lord T'Challa,Silver Surfer,Star-Lord T'Challa,Silver Surfer,First attempt,4,"Good balance of scheme, villains, and Mastermind",,
,,4,(+7),15,Snash108,62,28,90,1st,Yes (5.5),7th,29 (4),1st,0 (7.5),3rd,3.103 (8),25,,34,13,0,1,1,4,3,1,0,10,Captain Carter,Invisible Woman,Captain Carter,Invisible Woman,Second attempt,4,"4 cost deck versus Hyperspeed. Was tricky keeping it balanced, but think I got a good score.",,
,,5,(+6),14,sword'n'sorcery,48,28,76,1st,Yes (5.5),3rd,25 (8),7th,1 (3.5),4th,3.04 (7),24,,20,9,2,3,1,5,5,0,0,14,Hulkbuster Iron Man,"Uatu, The Watcher",Hulkbuster Iron Man,"Uatu, The Watcher",Second attempt,5,"Hulkbuster + Killmonger + Darkhawk was a really neat combo. That hand both games took a little bit to get going, but then could reliably dish out 15+ attack per turn.",,
,,6,(+5),14,CoreyG,40,22,62,1st,Yes (5.5),2nd,24 (9),1st,0 (7.5),10th,2.583 (1),23,,18,6,0,1,2,9,3,0,0,15,Apocalyptic Black Widow,Bruce Banner,Apocalyptic Black Widow,Bruce Banner,First attempt,4,"My two attempts were very different! I thought my first attempt was decent, ran it back a second time and struggled, and appreciated how my first attempt went even more. Second attempt raked me over the coals with how the MS and ST lined up with my player decks at the time. I dodged several bullets in the first attempt (avoiding wounds from Killmonger's Master Strikes early simply because Killmonger heroes hadn't come out of the Hero Deck yet etc.). My first game with What If, and I had fun lining up Liberate with Bystanders on Villains! Never got the What If keyword to synergize and didn't sweat it too much. Looking forward to more games with What If where I can focus on maximizing What If with things like Gambit, Wiccan, Wallcrawl, etc.! Fun setup and the Scheme helped cycle through the Heroes to see a lot of variety of options! My hero choices were to pair Apocalyptic Black Widow with Darkhawk and Bruce Banner with Killmonger (and a little Namora) with plenty of Tech cards from Bruce Banner to share between both decks. Fun time!",,
,,7,(+4),12,Pokeloly,78,16,94,1st,Yes (5.5),9th,34 (2),1st,0 (7.5),7th,2.765 (4),19,,62,13,0,0,0,4,1,0,0,5,Party Thor,Quicksilver,Party Thor,Quicksilver,Second attempt,4,Realizing afterwards I got lucky with one of the scheme twists whiffing on turn 2 otherwise would have lost,,
,,8,(+3),12,PragmaticSquid,49,45,94,1st,Yes (5.5),8th,33 (3),7th,1 (3.5),6th,2.848 (5),17,,4,11,0,1,2,1,0,0,0,4,Scarlet Witch,War Machine,Scarlet Witch,War Machine,Second attempt,5,Great setup.  Was crazy how often a Strike or Twist really disrupted my turns.  I found it really challenging balancing the Killmongers and trying to make sure I didn't lose too much to the cosmic rays.,,
,,9,(+2),12,waxbottle & Mrs. waxbottle,25,51,76,1st,Yes (5.5),5th,28 (5.5),9th,3 (1.5),8th,2.714 (3),15.5,,26,14,0,2,3,4,2,0,0,11,Star-Lord T'Challa,War Machine,I did not make a second attempt.,I did not make a second attempt.,First attempt,2,"Didn't enjoy! Had very tough enemies at the start of the game, my wife pulled through though for the win.  Not a fan of the keywords where there was a lot to track.",,
,,10,(+1),10,Mangostrike,75,19,94,1st,Yes (5.5),10th,35 (1),9th,3 (1.5),9th,2.686 (2),10,,56,15,0,0,1,3,0,0,0,4,War Machine,Hulkbuster Iron Man,Captain Carter,Bruce Banner,First attempt,1,"I'm not sure what was the goal here. Wounds came in pretty frequently from Masterstrikes, the Subterranea pushing escapes from the streets added to the Scheme loss condition. Not enough recruit to buy Killmonger cards before the betrayal made him switch teams. Namora contributed nothing to either game. I switched hero choices from War Machine and Hulkbuster Iron Man because WM didn't really work out. Bruce was an attempt to get more control over wounds and KO starter cards, but didn't show much in the second game. Captain Carter was okay. Would have loved to drop Namora in favor of HB I-M in a third game. Did everyone else have as many escapes? (I had 3 and 5 escapes in my games!)

I did get to use new heroes for me, so at least there's that. On to the bottom bracket I go!",,
16,Climbing Zemo,1,(+10),18,Justitiana,31,41,72,1st,Yes (5.5),4th,24 (7),1st,0 (7),1st,3 (10),29.5,,10,2,0,3,2,4,4,0,0,13,Ant-Man (Ant-Man),Moon Knight,Ant-Man (Ant-Man),Moon Knight,Second attempt,4,"Attempts 1 and 2 were totally different. In my first attempt Moon Knight's rare appeared very soon and got recruited by deck 1. This contributed to a 15 bystanders rescued difference between attempts 1 and 2. However, in attempt 1, all master Strikes occured and this had a hefty cost on both the total VP and the number of turns played. In both attempts Moon Knights's Instinct Common appeared and helped to KO a couple of starters. In attempt 1 however, the decks needed too many turns to hit Zemo (as the Master Strikes made him harder to hit). Wounds were gained from the first Master Strike and one of his Tactics, the other Wounds were preventable. In attempt 1 Deck 1 got a lot of rares, I think Ant-Man's, Stature's and Jocasta's on top of Moon Knight's. Despite those powerful cards, I could not KO that many starters with that deck, so it still felt pretty weak mostly.

Attempt 2 had a different start, where many more of Drax' cards showed up, and his rare was there from the start. I ended up getting a lot of starters KO'd in deck 2 and overall it was a much smoother game. Only 2 Master Strikes got played and both decks felt decent enough to get stuff done. Deck 1 was mostly Tech draw a card cards and 2 of Ant-Man's Uncommons together, which on luckier turns was enough to even defeat Zemo or just help out in the CIty. Deck 2 also had the majoirty of KO effects in attempt 2 and could get Drax's rare at one point, which made a lot of difference as I ended up with 32 attack in the final turn, due to doubling 16 attack (I had 4 of his artifacts and quite a few semi-strong cards that final turn, and only 3 starters left if I recall correctly), which made me able to first clear the City and get Zemo's last Tactic and hit his Final Blow.

In both attempts the first 5 Twists appeared before I had defeated any Sinister Six Villains. WIth 3 extra attack they were simply too hard to hit early on and if a Scheme Twist showed up, it ended up drawing another Scheme Twist sometimes, which in effect did very little. In attempt 1 Hobgoblin did get returned to the villain deck twice I believe to get me some extra bystanders again, but because that game took 32 turns, the PPT was lower than attempt 2. I found Stature's addition to the Hero Deck funny and midly frustrating, as her triggers could apply to almost no enemies (I mean the defeat a villain with 3 or less attack, that were only Mandroids, and even only if you had 1 or 0 in your Victory Pile). Her Uncommon could use them however, so that's a plus. There was a lot of Tech already available in Stature and Jocasta, so I ended up strengthening that with my Hero Choices Ant-Man and Moon Knight.

Jocasta's Empowered by Tech card could on occasion generate 6 attack (2 from her base strength and 4 from HQ), which helped in both games, but they ended up in the weaker deck both times. That all Hero cards had Wall-Crawl was a funny mechanic to play around, it felt balanced with the Sinister Six being +3 attack and helped to get either stronger attack turns or higher recruit turns with more information/certainty than you'd normally end up with. I was succesful in preventing escapes both attempts and didn't feel too overwhelmed, even when in attempt 2 3 Sinister Six Villains came out pretty soon without enough attack to Deal with them. I feel like the Master Strikes were the most impactful to the 'win condition' as they both slowed your chances at getting the Mastermind sooner and they lost you points.

Overall pretty fun to play, not too great of a challenge and the Wall-Crawl on everything had its charm. No great or powerful synergies either though, so not one of the  most fun games ever either. The consolation effect of getting easier Mandroid hits after a Master Strikes felt good too, but in attempt 1 I had hit a Thunderbird and no Mandroid yet, so I had to KO that one and that felt pretty bad. Attempt 2 had 1 Master Strike appear without any defeated villains and for the second both decks had saved up Mandroids, but luckily I was spared any more Master Strikes after that. Looking forward to week 3!",,
,,2,(+9),17,Handballermann & Efruhuhn,27,20,47,1st,Yes (5.5),1st,20 (10),1st,0 (7),5th,2.35 (6),28.5,,7,1,0,3,5,7,5,1,0,21,Goliath,Ant-Man (Ant-Man),I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"High enemy power level, but our setup gave us also a great power level. Had much fun with Wall-Crawl, gained us early some cards for free. We picked Ant Man and Goliath to play everything around Stature and ignored Drax and Jocasta most of the time.",,
,,3,(+8),15,AntDude & WaspWoman & PowerPupa,38,12,50,1st,Yes (5.5),2nd,21 (8.5),1st,0 (7),4th,2.381 (7),28,,26,2,0,3,2,9,4,0,0,18,Goliath,Ant-Man (Ant-Man),I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"WaspWoman and AntDude felt so good, that PowerPupa got to stay metamorphosing for the week. Lots of tech and strength synergy going around with copious amount of size-changing and everyone with wall crawl made for our quickest Legendary game in tournament play. Highlight was the last turn where Chameleon being placed in the city on a scheme twist meant fighting him could copy Drax's rare right below, allowing for two Zemo hits to close it out.",,
,,4,(+7),15,jorisc3213,48,6,54,1st,Yes (5.5),2nd,21 (8.5),8th,1 (2),3rd,2.571 (8),24,,42,0,0,0,4,4,2,2,0,12,Ant-Man (Ant-Man),Rocket Raccoon,Ant-Man (Ant-Man),Rocket Raccoon,Second attempt,5,"We forgot the wallcrawl ability in the first game during the first half of the game, so second game Ant-Man and Stature obliterated Zemo completely using wallcrawl-size changing-draw combination.",,
,,5,(+6),13,JB007,44,10,54,1st,Yes (5.5),5th,25 (6),1st,0 (7),6th,2.16 (5),23.5,,34,1,0,2,5,5,2,1,0,15,Ant-Man (Ant-Man),Goliath,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,This was a fun setup. I forgot how fun some of these early schemes are. It was tough to maintain VP as Zemo made you KO villains but by KOing mandroids I could keep their fight values low when they entered the city.,,
,,6,(+5),13,Adrian Miller,13,42,55,1st,Yes (5.5),7th,27 (4),1st,0 (7),7th,2.037 (4),20.5,,29,2,0,2,5,4,4,0,0,15,Luke Cage,Gamora,Gamora,Luke Cage,Second attempt,3,Better the second time picking Drax to focus on more to ramp up those attack artifacts as well getting Gamoras rare.,,
,,7,(+4),13,Ocs333,33,45,78,1st,Yes (5.5),8th,30 (3),8th,1 (2),2nd,2.6 (9),19.5,,12,14,0,2,1,0,2,0,0,5,Moon Knight,Vision,Moon Knight,Vision,First attempt,4,Despite the fun mechanics both game was weird. Scheme twists mostly appeared while no SS villains were defeated. On the other hand HQ got stuck with high cost cards. In the end pushed Zemo to 0 attack and cleared the city. Too bad for the one escape (one attack was missing for preventing that). Having only special sidekicks was new for me. Still with wall-crawling and phasing and moon knights powers some cool combos could be created.,,
,,8,(+3),10,Grey Warden,52,15,67,1st,Yes (5.5),9th,35 (1.5),1st,0 (7),9th,1.914 (2),16,,37,5,0,0,4,4,0,1,0,9,Black Knight,Goliath,Black Knight,Goliath,Second attempt,4,"First game, only 1 Black Knight showed up in the Villain Deck. I got Zemo down to the final blow but too many Twists happened early before and S6 got beaten so I lost turns. The second game went waaaayy better. I ended up getting to really use both my hero picks, and beat down a lot of s6.",,
,,9,(+2),9,SharkNate-O & onthegeniusofsamrockwell,23,27,50,1st,Yes (5.5),6th,26 (5),8th,1 (2),8th,1.923 (3),15.5,,4,3,0,1,3,3,5,1,0,13,Ant-Man (Ant-Man),Goliath,Ant-Man (Ant-Man),Goliath,Second attempt,4,"This one was really fun. Mostly because of our hero pick. With Ant-Man and Goliath and all the size changing and wall crawl, it was a great ramp mechanic to clear out the city by turn 2 and was really no ""waiting out the first 5 turns because attack is low"" phase. You could really just get right into it.",,
,,10,(+1),7,Minos_griffin & Phryne,49,17,66,1st,Yes (5.5),9th,35 (1.5),1st,0 (7),10th,1.886 (1),15,,32,14,0,0,0,1,3,0,0,4,Ant-Man (Ant-Man),Hercules,Ant-Man (Ant-Man),Hercules,Second attempt,4,"Fun combination of scheme and mastermind, it was challenging but using antman with stature and jocasta made it possible to win",,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Reading Rainbow,1,(+11),18,dontfeedthegreen,61,19,80,1st,Yes (6),2nd,30 (9.5),1st,0 (7),1st,2.667 (11),33.5,,42,5,0,2,6,10,2,1,0,21,Werewolf by Night,Doctor Strange (Avengers),Werewolf by Night,Doctor Strange (Avengers),First attempt,5,"Both games were a lot of fun, but game 1 was better in every way. Infinity Gems took their sweet time to come out, so I never got Thanos below 18 Attack. Thankfully, Morbius was generating hands of 40+ Attack that could hit Thanos twice, even at this high level. P2 got a very trim deck with Snarling Fangs, but it was P1 spamming card-draw, Winds of Watoomb, Morbin’ Time and Insatiable Craving that did most of the work.",,
,,2,(+10),18,Bronson & Lighthouse,27,55,82,1st,Yes (6),4th,31 (8),1st,0 (7),2nd,2.645 (10),31,,28,3,0,2,3,8,6,1,0,20,Star-Lord,"Gamora, Destroyer of Thanos",Star-Lord,"Gamora, Destroyer of Thanos",Second attempt,4,Fun combo of heroes and deck building possibilities. Getting the Soul Gem early in our second game was a big MVP.,,
,,3,(+9),16,loconnole & Klcgolf,31,26,57,1st,Yes (6),1st,26 (11),1st,0 (7),7th,2.192 (5),29,,5,3,0,5,4,13,3,0,0,25,Star-Lord,Gamora,Star-Lord,Gamora,Second attempt,5,"Our first round we had an atrocious hq/starting hands/villain shuffle. All but 1 card in hq was 5 or 6 cost, we both had a 4 recruit, 2 flight hand AND all 5 of the first villain cards were either black order OR infinity gems

Second round we swapped who shuffled the hero deck and villain deck and that did the trick! I was also able to get the reality gem early which let us put two master strikes on the bottom of the deck, we were never in any huge danger and were able to both build solid decks. ",,
,,4,(+8),16,Sandals & Mrs Sandals,55,28,83,1st,Yes (6),5th,32 (7),1st,0 (7),4th,2.594 (8),28,,27,5,0,2,5,8,2,0,0,17,"Gamora, Destroyer of Thanos","Blade, Daywalker","Gamora, Destroyer of Thanos","Blade, Daywalker",Second attempt,5,"Game 1 suffered from an early expensive HQ combined with an expensive City, so had 3 escapes. We won, mainly thanks to my wife who made 26 Recruit and 38 Attack to finish off Thanos. I had earlier taken 2 tactics in a turn thanks to the Infinity Crusher!
Game 2 seemed closer, but had fewer escapes. I had both Blade and Groot's Rares, my wife had achieved her objectives and KOd all her starters! We took down Thanos the old fashioned way, but in the same number of turns. This was fun!",,
,,5,(+7),14,JParnell,53,41,94,1st,Yes (6),8th,36 (4),1st,0 (7),3rd,2.611 (9),26,,12,8,0,0,2,9,4,1,0,16,"Gamora, Destroyer of Thanos",Gamora,"Gamora, Destroyer of Thanos",Gamora,Second attempt,4,"This was one of the craziest games of Legendary I've ever played. After losing to the scheme pretty quickly in Attempt 1, I changed my strategy to keep Sentries out unless they threatened an escape.

In the 36 turns I played, not a SINGLE INFINTY GEM was revealed from the Villain deck (16 cards left.) I had to hit Thanos for 24 all 5 times. Luckily I had Gamora and Gamora, Attorneys at Brawl to help take him down. ",,
,,6,(+6),13,zombiegamer5,48,32,80,1st,Yes (6),6th,33 (6),1st,0 (7),5th,2.424 (7),26,,16,4,0,3,5,6,6,1,0,21,"Gamora, Destroyer of Thanos",Werewolf by Night,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"The first few rounds were very tense and I was constantly on the verge of a villain escape. The only way I was able to stop escapes was to let most of the villain HQ stay haunted. However, once I started getting better cards and a pile of shards for each player thanks to Groot I was able to stop Thanos from getting too many Darkhold pages pretty decisively. The Ancient One had good synergy with the other heroes, especially Morbius in this game. I really enjoyed using the Infinity Crusher, it was a great late game mechanic that let me take out two Mastermind tactics in one turn (while also throwing in a few shards for the second tactic fight).",,
