Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,,2
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,,
13,Synchronized Swimming,1,(+10),20,GZUZROCKS & DaBomb,17,44,61,1st,Yes (5),1st,22 (9),1st,0 (6),2nd,2.773 (8),28,,27,4,0,3,3,6,4,0,0,16,White Wolf,General Okoye,White Wolf,General Okoye,Second attempt,4,"Swimming in wounds indeed! General okoye and white wolf were all stars for us in this matchup. Okoye’s “sovereign bodyguard” was great for mitigating wounds, weakening opponents, and enhancing decks with draw. White wolf also embraced the wound fest and dealt some out himself. Falcon/soldier helped create combos. Rictor was good for shatter effects and stranger’s soulbind helped keep the henchman from going back into the city via mastermind tactics. We might have been able to get the mastermind sooner but the streets would easily get out of hand so we had to prevent escapes a few turns instead. Good set up. Wounds were sticking to everyone like mosquitoes.",,
,,2,(+9),19,Flipflopmaniac,30,44,74,1st,Yes (5),4th,26 (5),1st,0 (6),1st,2.846 (9),25,,14,4,0,2,4,2,5,1,0,14,"Gamora, Destroyer of Thanos",Star-Lord T'Challa,"Gamora, Destroyer of Thanos",Star-Lord T'Challa,Second attempt,5,"Usually Taskmaster gives me a bunch of Strikes and clogs the city up with high-powered henchmen, but this time he took it easy on me and only performed three Strikes.  The fun puzzle for this was keeping Henchmen Soulbound as much as possible to take the bite out of Tactics and the Thunderbolts.

Both sides took advantage of Winter Soldier's Atone and stocked up on multicolored cards; MCU side leaned more on Ranged, Comic side took Instinct. I figured since the Giants were gonna keep the discard pile stocked I would take advantage of it.",,
,,3,(+8),18,Techfiend,33,29,62,1st,Yes (5),3rd,25 (7),1st,0 (6),5th,2.48 (5),23,,4,4,0,1,2,6,4,0,0,13,"Gamora, Destroyer of Thanos",Star-Lord T'Challa,"Gamora, Destroyer of Thanos",Star-Lord T'Challa,Second attempt,5,"This setup was wild. I could not have had 2 more dissimilar games. That said, my results were almost identical at the end. During the first attempt, I was able to keep the wounds well under control with Gamora's Destroy an Infinity Stone and Strange Supreme's Ward of the Vishanti. I consistently got 1 attack less than I needed to hit Taskmaster. I kept the city clean, and eventually overpowered TM. 

The second try was COMPLETELY different. I got smacked with several early wounds, and didn't see any wound removal until late. This attempt hinged on the left side going heavy card draw with Gamora, which allowed me to get the most of he Wield the Blade of Thanos. The right side played with Strange Supreme and Rictor's Ranged cards to keep the city barely under control. I was on the edge of escapes this whole game. I did get to hit Taskmaster on turn 5 with only 0 cost cards in my hand because he'd already been wounded by the twists twice!

Consistent across both tries was the deck milling done by the Giants of Jotunheim. With TM causing them to rotate back into the city, and Jester's fight effect dropping 3(!) henchmen into the city at once, the discards were real. 

Overall, I think the heroes I chose worked well in this setup, and I love playing with the What If...? set. Can't wait for week 3!",,
,,4,(+7),17,ChuckBauer,40,26,66,1st,Yes (5),4th,26 (5),1st,0 (6),4th,2.538 (6),22,,14,5,0,2,2,5,3,1,0,13,Black Widow (S.H.I.E.L.D.),Star-Lord T'Challa,Black Widow (S.H.I.E.L.D.),Star-Lord T'Challa,Second attempt,5,"Thanks to a turn 1 twist, and an unheard of inverse 4/2 starting hand, I scored a turn 2 hit on  Taskmaster! Both heros I brought were primarily to strengthen Dark Memories, while the other side went with a blue/yellow deck, since there was plenty of support for that already there!",,
,,5,(+6),16,piplup1112111,33,29,62,1st,Yes (5),2nd,24 (8),9th,2 (1),3rd,2.583 (7),21,,4,6,0,2,2,5,3,0,0,12,M,Stepford Cuckoos,Stepford Cuckoos,M,Second attempt,5,"I choose stepford Cookoos and M for their low cost and amazing clone synergy, so one hand recruited them and the other hand recruited everyone else.

My second game allowed me to fight the mastermind on turn 5 and 9 due to recruiting stepford's rare turn one but then not much else happened until i fought the remaining 3 mastermind cards near the end.",,
,,6,(+5),16,Pizza (.gaxim) & Extra Cheese (Rolf101),48,24,72,1st,Yes (5),7th,30 (3),1st,0 (6),6th,2.4 (4),18,,24,2,0,3,6,0,7,2,0,18,General Okoye,Black Widow (S.H.I.E.L.D.),Black Widow (S.H.I.E.L.D.),General Okoye,First attempt,4,"Planned to abuse all the blue to shatter, bind, and what if. Turns out just going yellow with the draw from the general and falcons 3 attack was enough to body task master.",,
,,7,(+4),15,WarpedPoodle,45,25,70,1st,Yes (5),8th,32 (1.5),1st,0 (6),7th,2.188 (3),15.5,,20,5,0,1,0,4,2,0,0,7,Shatterstar,Multiple Man,Shatterstar,Multiple Man,First attempt,4,"I think the SHATTER keyword ability is too strong, especially when against the mastermind.  CLONE is a great way to get lots of good cards of the same price to use with TACTICAL FORMATION.  The Frost Giant henchman were interesting, they actually aided with deck milling.  At one stage I got down to only 3x Wounds in the wound deck but managed to build it back up again FTW.",,
,,8,(+3),14,AdamantiumGambit,31,24,55,1st,Yes (5),4th,26 (5),8th,1 (2),8th,2.115 (2),14,,7,5,0,3,2,6,3,0,0,14,Black Widow (S.H.I.E.L.D.),White Tiger,Black Widow (S.H.I.E.L.D.),White Tiger,Second attempt,3,Having to fight Henchmen over and over became frustrating,,
