Pod,Setup,Rank,Points Earned,Total Points,Name(s),VP 1,VP 2,"Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,Bst. Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Lv.,Comments,,Results Of Week:
,,5,(+5),22,Sandals,27,38,65,1st,Yes (5),6th,28 (4),3rd,1 (6),3rd,2.321 (7),22,,11,3,4,7,6,6,0,0,23,Stature,Polaris,I did not play a second attempt.,I did not play a second attempt.,First attempt,2,"Taskmaster's Thunderbolts were a mean addition! Thankfully we only saw 2 Twists so the Mandroids were manageable and provided some much needed KO. Stature went a bit wild in my deck, stomping on the Shield Elite to give me big bonuses, which I eventually used to take out Maria. My wife started off fighting the big stuff, but then had to resort to clearing the City for me to hit the Mastermind. Not a 'fun' set up, but a decent challenge and an interesting puzzle.",,
,,6,(+4),21,Justitiana,36,23,59,1st,Yes (5),5th,26 (5),6th,3 (3.5),5th,2.269 (5),18.5,,13,3,1,3,9,7,0,0,20,Banshee,Polaris,Banshee,Polaris,Second attempt,4,"This looked to be a very hard setup, but then I remembered we could 'cheat' by using Piercing Energy. So I added Polaris and Banshee and honestly, both games felt like a breeze, at least to tackle the Scheme part of the puzzle. WIth Maria Hill, especially in the beginning, the city is going to flood and this was a huge problem in both my attempts. However, in game 1 I couldn't prevent 1 late game escape (of Jester). In my second attempt I aimed at doing better in the escape part, but completely failed, partly due to a worse start from the Villain Deck (Master Strike very early). So I couldn't get that dream online, it even became 2 escapes pretty soon. After that I could manage it OK, but eventually a third escape happened. I was like: ""aw, shit, this might have been a waste of time."". but, it was a game with exactly as many VP as the first but 9 turns faster. So I gambled a bit and went ahead to submit the second attempt.

Decbuilding Wise, I just built the Banshee cards, together with some Polaris and Phoenix for Piercing Energy. It actually bit me in the ass a bit as well, as sometimes you'd just get one PE too few and it was like a hand full of wounds (due to Thor Corps and S.H.I.E.L.D. Officers requiring actual Attack points). This sorted itself out in a way though. In game 1 Deck 2 got Polaris' rare very earrly on and it made everything that much simpler. In Attempt 2 however, I got Banshee's rare into deck 1, while deck2 had the brunt of the other Piercing Energy cards. So both decks could hit Maria sometimes without needing to clear the annoying S.H.I.E.L.D. Officers in the city. I guess Piercing Energy isn't OP, but it sure made things a lot easier. Especially the Mandroid Super Sentinels. Those were just insanely strong very early on in both games. (Game 2 I drew 3 Scheme Twists in a row). It however, didn't matter at all as 1 PE could defeat 1 Mandroid. Game 1 had a great start with this, getting 3 mandroids with 1 Phoenix 4-cost. Game 2 didn't get as lucky, but the strategy was sound and luck/execution was while not objectively 'better' (counting the 2 extra escapes as a big loss), at least a lot 'faster'.

I think I played on the higher side of average this game, but I'm not sure if everyone picks the same heroes as I did. If they do, others might have an even better execution/luck strike and get it done even faster and/or with fewer escapes and/or more points. Game 1 felt like a drag, I think I drew many more Mandroids in total, as the Villain Deck at the end was the same size as after attempt 2, but it lasted 9 turns longer. Getting lucky with the flips from the Villain Deck is a huge one in this setup too, as more points is better, but getting the required attack/PE for those bigger cards is not a guarantee and might actually risk more escapes.

KO-ing was very good in both games, getting a few early KO's in due to mandroids and some from Polaris' 6-costs and Phoenix' 3 costs. The Thor Corps and S.H.I.E.L.D. Officers felt almost as bad to gain as wounds though, although they surely helped build the more expensive cards. Soaring Flight is one of the greatest/strongest keywords in my opinion, because it can guarantee getting a 7-cost in turn 3/4 (from Polaris' recruit card) or 2/4 PE for either Banshee's 3-cost/Phoenix' 4-cost) the immediate next turn (for the same deck). It was awesome to play this. I don't give it a 5/5, because I think it was kind of mean, but letting us pick PE heroes wasn't mean :). Also, it didn't feel that fun, I think because of Thor Corps and Taskmaster's Thunderbolts. You might know me well enough by now to understand I think more points equals more fun (which might not always be true, but I'd say it's an overall trend which doesn't break easily). I don't think there were that many points to be had in this setup, so that's another reason for a 4/5 and not a 5/5. I did have a blast though. Let's find out what's in store for next week!
",,
,,7,(+3),19,captaincardone & paisley5002,12,43,55,1st,Yes (5),4th,25 (6),8th,8 (2),6th,2.2 (4),17,,31,4,1,4,5,12,2,0,24,Banshee,Polaris,Banshee,Polaris,Second attempt,3,,,
,,8,(+2),19,Dr_Polygon,43,16,59,1st,Yes (5),8th,31 (2),6th,3 (3.5),9th,1.903 (1),11.5,,27,5,2,1,7,9,0,0,19,Polaris,Apocalyptic Kitty Pryde,Polaris,Apocalyptic Kitty Pryde,First attempt,3,"I just don't like Maria Hill. She is so frustrating to play against. My first game got close to an easy win around turn 20 when my decks started to get some synergy, but then the inevitable clog of Officers began and it was the usual struggle to make a decent hand after that. I felt proud of only 3 escapes, but it was a slog.",,
,,9,(+1),18,JB007,61,22,83,1st,Yes (5),9th,40 (1),9th,10 (1),8th,2.075 (2),9,,39,5,0,1,0,0,0,0,1,Banshee,Polaris,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,It was rough with Hill’s double shield clearance. I was reluctant to KO starters for that very reason so I had rather bloated decks but with piercing energy around it helped. The hard part was still having enough fight to get rid of shield officer villains in the city as I couldn’t use piecing energy on them. Argh. Led to some dead turns and this was the closest ever. The last card was a acheme twist and that would have made a draw!,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Zemo Pest Control ™,1,(+9),25,Avataristche,80,45,125,1st,Yes (4.5),2nd,24 (6.5),1st,0 (4.5),1st,5.208 (7.5),23,,35,48,3,3,4,4,1,0,15,Captain America (1941),"Steve Rogers, Director of S.H.I.E.L.D.",I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"Instinct side took off, eventually getting cap's rare and replaying it with double agent. Wolvie tucked a twist for extra safety",,
,,2,(+8),23,Wicked.pepper,100,25,125,1st,Yes (4.5),2nd,24 (6.5),1st,0 (4.5),1st,5.208 (7.5),23,,75,49,3,3,3,3,1,0,13,Captain America (1941),Venompool,Captain America (1941),Venompool,Second attempt,5,This was a lot of fun. Had to keep in mind that there was little recruitment in the hero deck. That is were the first attempt faltered. The second attempt was way better. Venompools uncommon was raking those bystanders in. Other hand was a Man out of Time deck. It was so much fun! MVP was definitively Venompool!,,
,,3,(+7),22,Zorotok,57,36,93,1st,Yes (4.5),1st,23 (8),1st,0 (4.5),4th,4.043 (5),22,,21,26,3,2,7,2,2,0,16,Captain America (1941),"Steve Rogers, Director of S.H.I.E.L.D.",Captain America (1941),"Steve Rogers, Director of S.H.I.E.L.D.",Second attempt,5,Lost the first game due to a bad shuffle. 6 twists at turn 24. I decided to play 2 more cards from Cap 75th because I figured I wouldn’t have an opportunity to play them again in the tournament. 3 caps played very nicely together but it was “unbeatable squirrel girl” that delivered the final blow which switcherooed in Steve Roger’s “save the world”. Best game I’ve played in quite a while.,,
,,4,(+6),22,Extra cheese & Pizza,63,53,116,1st,Yes (4.5),5th,26 (4),1st,0 (4.5),3rd,4.462 (6),19,,10,38,3,2,4,3,1,0,13,Venompool,"Steve Rogers, Director of S.H.I.E.L.D.",Venompool,"Steve Rogers, Director of S.H.I.E.L.D.",Second attempt,4,"Extra cheese venompooled into digesting bystanders. Pizza Steve rogered into rescuing bystanders until he had 8 cards in his deck. He was buying shield officers just to ko them for bystanders.
",,
,,5,(+5),20,Buya & DSCern,55,36,91,1st,Yes (4.5),4th,25 (5),1st,0 (4.5),6th,3.64 (3),17,,19,18,1,3,3,5,1,0,13,Carnage,Jessica Jones,Carnage,Jessica Jones,Second attempt,5,"We had good results with Jessica and Carnage in our first match, so we just ran it back with the same duo to see if we could improve our results. In the second match we had better luck with Scheme Twists and getting the cards we wanted in the HQ, and we both got Savior earlier. Jessica is one of my favorite characters so it was nice to bring her along, and Carnage was triggering his Extreme Violence often for us. Fun setup!",,
,,6,(+4),19,dontfeedthegreen,62,42,104,1st,Yes (4.5),6th,27 (2.5),1st,0 (4.5),5th,3.852 (4),15.5,,20,27,2,1,3,4,0,0,10,Venompool,Jessica Jones,Venompool,Jessica Jones,First attempt,4,"Game 1 was decent if a little slow. I managed to Switcheroo into 2 copies of Can I Get a Little Gratitude? Which was great giving extra rescue effects and extra Bystanders. Eg I rescued the Cloning Technician and then got to buy three copies of Hungry for Action for the price of one. Never saw Play to the Crowd which would have helped pick up the pace. Game 2 did say Play to the Crowd, which worked well, but while I finished earlier, overall that game didn’t go as well, I let a Villain escape early on and I didn’t collect nearly as many extra Bystanders/VP, so I decided to submit game 1.",,
,,7,(+3),18,GZUZROCKS & gzuzrules,51,38,89,1st,Yes (4.5),6th,27 (2.5),1st,0 (4.5),7th,3.296 (2),13.5,,13,13,2,2,4,2,1,0,11,Venompool,Howard the Duck,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,Fun set up! Really had to LEAN into heroes that could rescue bystanders! Venompool and Howard the Duck helped in this regard.,,
,,8,(+2),17,Jinjoz,43,44,87,1st,Yes (4.5),8th,29 (1),1st,0 (4.5),8th,3 (1),11,,1,18,1,3,3,2,0,0,9,Venompool,Wolfsbane,Venompool,Wolfsbane,First attempt,5,"Really solid gameplay, I felt pretty confident about the heroes I selected. I think Venompools Shenanigans card is very strong as long as you play around it. I actually felt a lot better about my second attempt but looking at the numbers my first attempt just barely outdid my second attempt. Great game",,
,,9,(+1),16,Techfiend,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
