Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments
11,Red Skull's Inner Demons,1,BradyVBBB#6846,19,56,75,1st,Yes (5),1st,16 (8.5),6th,1 (4),1st,4.688 (9),26.5,,37,10,5,6,9,7,0,8,35,Elektra,Wolverine (X-Force),Elektra,Wolverine (X-Force),First attempt,4,Speed run. Had some crazy combos.
,,2,bikk_bikk,41,35,76,1st,Yes (5),4th,19 (6),1st,0 (7),3rd,4 (7),25,,6,24,3,3,10,8,0,12,36,Black Widow,Angel,Black Widow,Angel,Second attempt,5,Black widow saved the day. Pairing her with this scheme led to a lot of bystanders on the left. Just allowed her to excel on that side. Right went with lots of spidey and angel leading to a lot of drawing cards. Iron fist and cap added a nice amount of oomph to both hands.
,,3,croy_boy,44,44,88,1st,Yes (5),5th,21 (4.5),1st,0 (7),2nd,4.19 (8),24.5,,0,30,2,4,10,3,0,11,30,Black Widow,Wolverine (X-Force),I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"I'm honestly in shock at how well I did. I left Red Skull at Final Blow because I figured I could keep hitting villains and demons for ≥4 VP/Turn. I used a Doombot to reshuffle my Iron Fist/Cap Deck on turn 2 with one of each IF non-rare, and then drew them all on the next turn which allowed me to get a Cap uncommon and everything was smooth sailing from there. Other side went Black Widow, got an uncommon Spidey about halfway in, and thanks to early No Mercy, Doombots, and MSs, I KO'd every SHIELD card from that deck, I was drawing it (and often my whole deck) every turn. Game ended when the BW deck finally got Covert Ops, killed an Endless Armies, the following 5 demons, and the last RS in one turn. I ended up with 22/24 SHIELD cards KO'd (thanks Red Skull, BW, Doombots, and Wolvie!). I figure other people move done as well as me (this is a pretty easy setup, that screams ""BRING BLACK WIDOW!""), but I enjoyed playing Legendary on easy mode for a little bit. I hope I don't regret using up 2 of the strongest heroes, but XF Wolvie and BW were too good for this setup."
,,4,Redblock,34,18,52,1st,Yes (5),1st,16 (8.5),1st,0 (7),6th,3.25 (3.5),24,,16,15,3,5,11,7,0,11,37,Colossus,Hulk,Colossus,Hulk,Second attempt,4,"Setup was so simple you had to play perfectly to have a chance of advancing. I went green and embraced wound engine, Cap+ Hulk + Colosus for wound abuse kinda worked, lets hope  it will be enough. P.S. Hydra villain group will make results check hard, with endless armies and Supreme Hydra."
,,5,AntDude,43,35,78,1st,Yes (5),5th,21 (4.5),1st,0 (7),4th,3.714 (6),22.5,,8,23,2,5,12,6,0,7,32,Angel,Cyclops,Angel,Cyclops,Second attempt,3,"I haven't played Red Skull in so long, and he is really such a pushover and hands out lollipops with his Master Strikes and his Tactics. Mentally it was a challenging setup for the tournament because I was second-guessing my hero selections and every in-game decision to make sure I wasn't missing a faster route to victory. First attempt went ok, but an HQ clogged by core Spidey led to one Goblin Queen villain escape. But there were enough glimpses of hope that the Angel/Cyclops combo would ramp up quick if I had a better HQ. I came very close to subbing in core Black Widow for my 2nd attempt given how many Bystanders were rescued via the scheme, but I didn't think the ramp would be fast enough. 2nd was much better, and the devastating combo of Angel's Drop off a Friend and Diving Catch was recruited early by one deck, and then got even better with more of those plus Cyclops's commons and uncommon. The other deck featured Cap and Iron Fist with the occasional Spidey and pulled its own. A significant amount of KO potential outside of the Hero cards helped this ramp quickly and Red Skull was vanquished (hopefully quickly enough to advance!)."
,,6,Cobrawarrior521 & Cobrev,28,24,52,1st,Yes (5),3rd,18 (7),1st,0 (7),9th,2.889 (1),20,,4,5,5,5,9,4,0,12,35,Elektra,Hawkeye,Elektra,Hawkeye,First attempt,3,"After having collected so many expansion packs, I forgot how simple the core set and mastermind can be. It was nice to go back to basics for a bit."
,,7,yeeches,28,50,78,1st,Yes (5),7th,22 (3),7th,2 (2.5),5th,3.545 (5),15.5,,22,25,3,4,8,7,0,9,31,Elektra,Rogue,Elektra,Rogue,Second attempt,3,Red Skull is very forgiving but I still felt pretty tense trying to optimize this one. VP really took off in second attempt but couldn't finish quicker without more escapes. Hero synergy was solid and really came together for me without any rares!
,,8,GamerGump & Kendycrow,40,38,78,1st,Yes (5),8th,24 (1.5),7th,2 (2.5),6th,3.25 (3.5),12.5,,2,3,2,5,9,4,0,8,28,Wolverine (X-Force),Black Widow,Wolverine (X-Force),Black Widow,First attempt,3,"Scheme did not pop for us, for better or worse, allowing us to make quick work of the goblin queens. Red Skull is a very lack luster Mastermind. Did we have fun sure, but not a real challenge."
,,9,cubbiesnextyr/sjoschko,50,25,75,1st,Yes (5),8th,24 (1.5),9th,3 (1),8th,3.125 (2),9.5,,25,15,3,6,7,4,0,8,28,Hulk,Hawkeye,Cable,Colossus,Second attempt,4,"The low attack needed to kill Red Skull was deceptively easy, but the scheme included needing to prevent the ""Goblin Queen"" Jean Grey from escaping and inevitably all the high value Jean Grey cards are the ones that came out, making it more difficult to attack her than the mastermind."
,,10,Freeclint,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Strange Bedfellows,1,Jinjoz,19,78,97,1st,Yes (4.5),1st,21 (8),1st,0 (5),1st,4.619 (8),25.5,,59,7,3,6,13,7,1,0,30,Venompool,Sabretooth,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"Pretty sure I used up every single ounce of luck that I physically and mentally possess in this game. I got a great start with gaining a handful of Thanos Cards and Venompool to rescue and KO bystanders for extra attack. Other decks was able to go almost exclusively Kingpin I got an insane top deck with one of Dr. Strangers Mastermind cards, top decking two Rares. Also got my hands on Kingpins rare card and I ended up going infinite attack with him for the win."
,,2,Adrian Miller,44,70,114,1st,Yes (4.5),2nd,33 (6.5),1st,0 (5),3rd,3.455 (6),22,,26,16,2,5,9,4,0,0,20,Venompool,"Namor, the Sub-Mariner",I did not play a second attempt.,I did not play a second attempt.,First attempt,4,Namor v Namor
,,3,NukinFoobs & N3m3sis,60,65,125,1st,Yes (4.5),4th,35 (5),1st,0 (5),2nd,3.571 (7),21.5,,5,27,0,4,7,3,2,0,16,Green Goblin,Ultron,Green Goblin,Ultron,First attempt,4,Our first game started a bit slow but ended up really taking off with one of us using a kingpin deck and the other raking in tons of points with ultron and green goblin. The 2nd game went horrible. After about halfway through we realized we weren't even going to get closed to winning. Dormammu still had 5 tactics left and we lost from Dr. Strange using his master strike to reveal the last plot twist.
,,4,R3DJ0N,70,33,103,1st,Yes (4.5),2nd,33 (6.5),1st,0 (5),5th,3.121 (4),20,,37,4,4,5,7,4,1,0,21,"Namor, the Sub-Mariner",Sabretooth,"Namor, the Sub-Mariner",Sabretooth,Second attempt,4,Spider-Man is a menace.
,,5,Mwade93,64,53,117,1st,Yes (4.5),6th,37 (3),1st,0 (5),4th,3.162 (5),17.5,,11,0,3,10,4,4,0,5,26,Venom (Venomverse),Sabretooth,Venom (Venomverse),Sabretooth,First attempt,3,Interesting game.  Had a tough time building up enough attack to take out all of the tactics until Thanos' ultimate came out.
,,6,Brentcampbell9790,57,53,110,1st,Yes (4.5),5th,36 (4),1st,0 (5),6th,3.056 (3),16.5,,4,3,2,2,7,1,2,0,14,Sabretooth,Old Man Logan,Sabretooth,Old Man Logan,Second attempt,5,"That was a great thematic setup! My plan was to blitz Dormammu before he could get more tactics but both of my games had 4 Scheme Twists in the first 6 VD cards. Oh well. I knew going in I wanted Sabretooth, so I chose Old Man Logan to complement him and Carnage. I had plenty of KOing on the Instinct side which led to me getting a hit on the MM every left hand turn. The Kingpin/Thanos side kept the city clear while I used Thanos' rare to build up bystander KOs for MM hits. Unfortunately, both hands took too long to get their engines going so my high turn count reflects that. Very fun games though. My first game Black Cat sit in the city the whole game but game 2 I was able to take her out twice so that felt like a small victory since her Elusive 6 makes her tricky to fight."
,,7,OllieKitKat,56,60,116,1st,Yes (4.5),7th,40 (2),1st,0 (5),7th,2.9 (2),13.5,,4,3,1,4,5,1,1,0,12,Enchantress,Captain Marvel,Enchantress,Venompool,First attempt,3,"Both games lasted the exact number of turns. Game two actually had Kingpin go infinite, but  with two escapes it didn't make the cut for submission even though it was 0.2 PPT more. 

Game 1 had a better distribution of the Villain Deck, but only one side was able to effectively thin and Kingpin was very late to the party. So Carnage did a bulk of the work. 

Game 2 was ultimately a more fun game (I'd give it a 4 on its own, because the Bystander mechanic definitely felt more useful than Captain Marvel ended up being). 

Both games having all 4 Drained Tactics coming in really made for a long game and the Demonic Bargains usually felt bad on one side or the other and with minimal KO power the Wounds were frustrating; especially in the second playthrough. 

Overall, I continue to like Carnage. Venompool surprised me (Thank god Shenanigans only came out a few times and was pretty quickly KOd by Enchantress to get recruit. Kingpin is always fun when he shows up. Thanos would have been but he was pretty useless these go-arounds.  Captain Marvel is a absolutely solid hero set imo, but the lack of her draw common was unfortunate.  Alright - I think I've talked enough. Thank you for coming, have a nice day!"
,,8,Aaron4DotOh,71,45,116,1st,Yes (4.5),8th,42 (1),8th,1 (1),8th,2.762 (1),7.5,,26,2,1,2,3,2,0,0,8,Captain Marvel,Sabretooth,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Fun game, it just took a long time, which will likely hurt my chances, so I’m hoping it took others in my pod a long time too. I dedicated one player to Thanos and his bystander KO engine and the other to Kingpin and his New Recruit engine. The other 3 characters supported those 2 nicely. It just took a bit of time to build up to big numbers. Thankfully, I got lucky and got Utter Annihilation somewhat early, so I was able to draw that multiple times."
,,9,DanDare10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,10,Guardian06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,Lower Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Magnetic Levitation vs. Extended Incarceration,1,Mangostrike,28,25,53,1st,Yes (4.5),1st,18 (8),3rd,2 (5.5),2nd,2.944 (7),25,,3,3,3,3,8,7,2,0,23,Invisible Woman,Silver Surfer,Gambit,Wolverine (X-Men),Second attempt,2,"First game with FF synergy did not work at all. Way too much recruit and no attack. Second game went beautifully and was able to whittle the decks down to pure heroes (no shield) and get most of each deck in hand each turn. First tactic won on turn 13 and then final blow on turn 18. Hoping that’s faster than most, but my escapes won’t help much."
,,2,jgoodnough,35,26,61,1st,Yes (4.5),3rd,21 (5),1st,0 (7.5),3rd,2.905 (6),23,,9,5,0,2,8,7,1,0,18,Cyclops,Gambit,Cyclops,Gambit,First attempt,4,"Two games were very different.  The first I was able to keep my city clean and no one escaped.  The second, due to a run of twists, several villains were able to get away.  Very enjoyable game"
,,3,TheMelkMan & Snapcity57,35,41,76,1st,Yes (4.5),7th,25 (2),1st,0 (7.5),1st,3.04 (8),22,,6,7,1,2,2,9,0,0,14,Cyclops,Rogue,Cyclops,Rogue,Second attempt,2,It was difficult to prevent any villains from escaping. It would’ve been fun to use some other expansions
,,4,WingedCrusader,40,15,55,1st,Yes (4.5),3rd,21 (5),3rd,2 (5.5),6th,2.619 (3),18,,25,6,1,2,3,5,0,0,11,Cyclops,Rogue,Cyclops,Rogue,First attempt,4,got unlucky at the start then my engine kicked in
,,5,ggyppt,40,19,59,1st,Yes (4.5),3rd,21 (5),5th,3 (2.5),4th,2.81 (5),17,,21,3,3,2,4,8,1,0,18,Iron Man,Mr. Fantastic,Iron Man,Mr. Fantastic,First attempt,3,Had to go with raw power in my character choices this week so hopefully I don't lose out of the tournament
,,6,meimbatman,26,19,45,1st,Yes (4.5),2nd,19 (7),5th,3 (2.5),8th,2.368 (1),15,,7,5,1,4,12,6,1,0,24,Gambit,Wolverine (X-Men),Gambit,Wolverine (X-Men),Second attempt,4,The second game I was able to get my hands up with some card draw and some attack so I had a quicker time of things than game 1 which took 7 more turns.
,,7,DRobb & ShadowOfTheBat,44,28,72,1st,Yes (4.5),8th,26 (1),5th,3 (2.5),5th,2.769 (4),12,,16,7,1,3,2,8,1,0,15,Gambit,Wolverine (X-Men),Gambit,Hulk,First attempt,4,A lot of enemies coming out the deck!
,,8,Sandals,26,32,58,1st,Yes (4.5),6th,24 (3),5th,3 (2.5),7th,2.417 (2),12,,6,3,1,2,6,7,0,0,16,Thing,Gambit,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,Lost a few good cards to Doombots which slowed me down. My wife went for Thing early which paid off with a lot of recruit! Between us we bought 3 Rares. Chaining Twists early led to 3 escapes but from turn 8 we were back on track with the City under control. Doubt we were quick enough to trouble the top of the table though!
,,9,captaincardone & paisley5002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,10,KensieBensie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,11,Sway,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Gamma Ray Roulette,1,Silverfox & BLUsHINgETHeR,47,38,85,1st,Yes (7.5),2nd,27 (9),1st,0 (6),1st,3.148 (10),32.5,,9,2,3,2,2,2,0,0,9,Wolverine (X-Force),Mr. Fantastic,Jean Grey,Hulkbuster Iron Man,First attempt,2,This Scheme was no fun! We like to keep our hero’s we recruit. Our HQ wasn’t the greatest starting out but we made it through with a win.
,,2,zorotok,27,46,73,1st,Yes (7.5),1st,24 (10),1st,0 (6),3rd,3.042 (8),31.5,,19,2,2,3,5,4,0,0,14,Korg,Iron Fist,Korg,Iron Fist,First attempt,4,Colossus made for some interesting wound cycling. Very fun!
,,3,Justitiana,20,66,86,1st,Yes (7.5),3rd,28 (7.5),1st,0 (6),2nd,3.071 (9),30,,46,3,1,1,3,2,1,0,8,Forge,Invisible Woman,Forge,Invisible Woman,Second attempt,3,"This one was pushing the limits on the fun scale. I lost my first attempt despite having 2 disappearing acts in HQ, so 1 for each Hand/Deck. THose freaking Scheme Twists Mutated them away from their usefulness EVERY SINGLE TIME. I didn't get close to winning at all in my first attempt, I even thought that it went pretty well because of the difficult setup. but I could get in my second attempt right after and boy was I surprised by the difference in luck/shuffle. First off, a Scheme Twist on turn 1, we can call that a win with this one. Phalanx on turn 3 and 4 if I recall correctly, making the early Trooper K.O. for both Decks. I included Forge in my setup, both for the chance of his Rare helping out (which, spoiler, it really friggin' did!), but also to create a chance of defeating Phalanx later on in the game without having to K.O. better heroes because all of his carrds are Tech.

Deckbuilding wise the second attempt was skewed hugely in favor of Hand 2, which got disappearing act to work beautifully and very early on. My deck was 8 or 9 cards for a long time. I ended up being able to buy Forge's rare AND able to trigger it almost every turn (first time around it didn't work yet, but with 3 other Tech cards in a deck of 8/9 it wasn't that hard (2 of those were the discard 1 to draw 2, so I could reliably draw almost all my cards. if not all my cards). Hand 1 had a rough game, the schem twists were harder for deck 1 than deck 2, with also gaining a wound from Colossus's 1 cost. 20 points was in hindsight pretty good for a deck that could make at most 10 attack at one point.

The difficulty was also in the setup. Red King Transforming from a ""Clear the city or I won't let you fight me"" and Masterstrike ""Here, have a wound while I gloat at you"" into a ""If you don't beat me before I Master Strike again I'll play another card from the Villain Deck and hide behind them and if you DO defeat me first my Tactics won't be good for you!"" Without Forge's rare beating the guy twice I don't think I would have made it. Perhaps there was a better chance with different hero choices, but this felt right for me, although the first attempt went really badly.

I hope I'm still in it for next week. Good luck to you all and see your results soon!"
,,4,GZUZROCKS & DaBomb,31,50,81,1st,Yes (7.5),3rd,28 (7.5),1st,0 (6),5th,2.893 (6),27,,19,1,1,1,3,1,1,0,7,Gladiator Hulk,"Skaar, Son of Hulk",I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"I never knew wounds could be SO FUN! We brought in gladiator hulk and his son Skar to embrace the joys of wounded fury. Between all the heroes, there were no tech cards so we could embrace further wounds from the master strikes. Near the end, we clocked up some serious hulk damage! Hulk smash indeed! Great set up!"
,,5,Gideon Wyatt & Wife,55,29,84,1st,Yes (7.5),5th,29 (6),1st,0 (6),4th,2.897 (7),26.5,,26,1,1,1,5,1,1,0,9,Mockingbird,Deathlok,Mockingbird,Deathlok,First attempt,4,"Mockingbird and Deathlok were the GOATs! P1 was sending every SHIELD person undercover who showed up. Managed to pick up Deathlok rare early and was getting double digit attack and recruit every 3 turns with how thin my deck was. Had to mutate a to Grey Hulk'd Threaten and Bribe card, letting me burn stars for attack. It's not often that I feel like recruiting will hurt my deck, but that did happen. P1 hit the MM for all 4 tactics before P2 took the final blow. P2 went with the Colossus and Thing deck, while we both used Brood Queen as twist and KO fodder. P2 wasn't able to get enough of the wound block cards early enough but was able to feast some of the wounds away. Shield bros really had more fun, but final blow came from a Thing rare and Colossus rare combo. Game felt good and like we were in control the whole time. Game 2, not so much."
,,6,Snatchcat,70,25,95,1st,Yes (7.5),6th,33 (5),1st,0 (6),6th,2.879 (5),23.5,,45,4,0,1,2,0,0,0,3,Korg,Hiroim,Deathlok,Forge,Second attempt,4,"This setup is more annoying than difficult, with so many cards that can mess up your whole turn in the Villain Deck. Also needing to have a clear city on Red King's default side can get frustrating, and the pressure to hit him increases as the game gets near the end."
,,7,Astigmatic_Oracle,49,22,71,7th,No (2.5),8th,34 (2.5),1st,0 (6),7th,2.088 (4),15,,27,2,3,0,1,1,0,0,5,Mr. Fantastic,Bruce Banner,Mr. Fantastic,Bruce Banner,Second attempt,3,"Am I just cosmicly unlucky or do I suck? The world may never know. Lost both matches. First try, over half the villain deck was still there so I wasn't really able o evaluate my hero choices. Second try both decks started to click, but I'd have a good hand and then I'd lose it to a scheme twist and I could draw a MS so I was stuck with Red King on his hard side."
