Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments
,,,,,,,,,,,,,,,,,,,Strikes,Twists,Villains,Henchmen,Bystanders,Other,Total,1,2,1,2,,,
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,
,,,,Upper Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Big Ego, Little Points",1,Jean-Sebastien & Genevieve,20,5,25,1st,Yes (5),2nd,31 (7),1st,0 (7),4th,0.806 (6),25,,15,11,0,1,5,5,0,0,11,Apocalyptic Kitty Pryde,Gamora (MCU),Apocalyptic Kitty Pryde,Gamora (MCU),First attempt,3,"It was very difficult for me to choose Heroes for this setup. I went with the Draw cards mechanism provided by Banshee and Psylocke to take advantage of Gamora Artifacts, and Kitty was added in the mix to ko unwanted cards. Second hand mostly cleaned up HQ, but managed to get a few vps with undercover from special officers."
,,2,Jalt & KaitieAlt,13,17,30,1st,Yes (5),2nd,31 (7),6th,1 (4),2nd,0.968 (8),24,,4,20,2,1,7,2,1,0,13,Rocket & Groot,Venompool,Rocket & Groot,Venompool,Second attempt,1,"This was rough. Lost the first round by the scheme. Would have had more escapes on the 2nd turn if it wasn't for bonding. My hope of using Groot/Venompool for bystanders kinda worked, but with little KO power this took way too many turns to finish the game."
,,3,Wicked.pepper,21,12,33,1st,Yes (5),2nd,31 (7),8th,7 (2),1st,1.065 (9),23,,9,27,1,2,8,4,0,0,15,Captain Marvel,Venompool,Captain Marvel,Venompool,Second attempt,4,"Ar first glance MicroDisney wants to watch the world burn. But the setup was actually fun and very well put together. It seems impossible, but is actually winnable."
,,4,Bronson & Lighthouse,18,12,30,1st,Yes (5),7th,37 (3),1st,0 (7),3rd,0.811 (7),22,,6,20,3,1,1,5,0,0,10,Apocalyptic Kitty Pryde,Venompool,Apocalyptic Kitty Pryde,Venompool,First attempt,1,"I appreciated the creativity of the setup, and enjoyed the idea of theory crafting heroes for a super unique puzzle. However the tournament aspect meant you really couldn’t do this without Venompool (will be surprised if anyone places without him). The timer on the scheme was kinda mean and torpedoed our second game. Between shuffle luck for ST, MS, and useless piercing energy clogging HQ, will not be sad to never play this setup again. ;)"
,,5,HatePhD & editedmist,11,9,20,1st,Yes (5),8th,38 (1.5),1st,0 (7),5th,0.526 (5),18.5,,2,13,1,1,3,0,0,0,5,Apocalyptic Kitty Pryde,Venompool,Apocalyptic Kitty Pryde,Venompool,First attempt,4,"man, that game was about as well as it could have gone. We maxed out on the guaranteed VP coming out of the VD, which was stressful. We managed to have no escapes, at the cost of our turn count. I hope it worked out in the end though...."
,,6,ChuckBauer,12,2,14,1st,Yes (5),6th,35 (4),1st,0 (7),8th,0.4 (2),18,,10,9,0,2,4,1,0,0,7,"Namor, the Sub-Mariner",Old Man Logan,"Namor, the Sub-Mariner",Old Man Logan,Second attempt,4,"Since 2 of the 5 heroes were utterly useless, and fighting villains would put them in my deck, I figured I wouldn't need to recruit from the HQ much. As a result, I picked Old Man Logan, primarily for Loner, since it was an easy 4 attack. He also brought along some decent KO power to get rid of the recruit cards, once i was rolling. This also allowed Psylocke to have some use, since her 2-cost instinct card replaces itself itself, and could trigger Logan's KO.

Also brought Namor, to trigger Cabal triggers, and was able to teleport Thanos' Strength common to regularly trigger Namor's 4 cost strength card, for an easy 4 attack.He also brought more(triggerless) KO power/card draw as a bonus."
,,7,Babybreloom,10,3,13,1st,Yes (5),1st,27 (9),9th,9 (1),7th,0.481 (3),18,,7,9,4,1,9,5,0,0,19,Venompool,"Namor, the Sub-Mariner",Venompool,"Namor, the Sub-Mariner",First attempt,5,"I really loved this! In Game 2 I was able to get a decent Bystander Engine going with Kid Marvel and Venompool, but it took too many turns to win. Game 1 just gave me an Early Thanos and we made quick work of Ego from there. I'd KO'd 28 bystanders by the end of the game! I'm almost sad submitting this score, honestly, because G2 felt SO MUCH BETTER. I was able to clear the trap AND the Symbiote Armor, but it just wasn't enough to outclass the few bystanders I was able to rescue/officers I could send undercover in G1 with the fast gameplay of it."
,,8,Loconnole & Klcgolf,7,10,17,1st,Yes (5),5th,34 (5),7th,6 (3),6th,0.5 (4),17,,3,11,3,2,2,4,0,0,11,"Namor, the Sub-Mariner",Venompool,"Namor, the Sub-Mariner",Venompool,First attempt,1,This was maniacal and frustrating. Ended up picking venompool solely to rescue bystanders and namor to ko stuff. Second game lost on a scheme twist timer which is also the worst way to lose. Did win the first but don't feel great about it.
,,9,Pervavita & Catswifti,0,3,3,1st,Yes (5),8th,38 (1.5),1st,0 (7),9th,0.079 (1),14.5,,3,3,0,2,4,2,0,0,8,Gamora (MCU),Apocalyptic Kitty Pryde,Gamora (MCU),Lady Thor,Second attempt,3,"This was probably the hardest we have ever had to chose our heroes; we did use all 3 in the end. Kitty Pride still feels like she should have been a good choice but the city we couldn't manage and our decks were just unwieldy to be any good. 
Second run Lady Thor was here and she did what was expected turning all the extra recruit into fight. 
Gamora was a powerhouse both games. The last turn of the game she drew enough cards to clear multiple villains from the city and hit Ego down to all but one hit; mark Thanos snapping away a bystander to get the last hit and rescue 3 for our only VP on the game to mark down. "
10,Deadpool's Evil Ant-ics,1,Sneke#1302,37,68,105,1st,Yes (5),1st,23 (8.5),1st,0 (5.5),1st,4.565 (9),28,,31,34,3,3,6,3,1,0,16,Deadpool (Mercs for Money),Venompool,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"Very fun setup, 'can I get a little gratitude' from Venompool went crazy against the schemes. gave me a very early tourist couple and banker rescue effects both doubled to buy Wonderman rare under the bank for free very early. The mighty were scary but also helped give villian deck info on many turns."
,,2,MicroDisney0505,29,81,110,1st,Yes (5),3rd,26 (6.5),1st,0 (5.5),2nd,4.231 (8),25,,52,25,3,2,2,1,0,0,8,"Skirn, Breaker of Men",Wasp,Wasp,"Skirn, Breaker of Men",First attempt,2,"Red She Hulk was the MVP. I would send all but 4 attack and then I would fight her. This got me both wolverinepool cards and few other villains before she revealed a master strike and finally ended up in my victory pile.

One side focused on drawing cards and the other side focused on range cards, empowered range, and hq manipulation. 
Good game over all, but don't like Hyper-insane healing factor. If that card was not in the game it would have had a higher fun level."
,,3,Techfiend,52,65,117,1st,Yes (5),5th,33 (5),1st,0 (5.5),3rd,3.545 (7),22.5,,13,42,0,2,3,1,2,0,8,"Kuurth, Breaker of Stone",Venompool,"Kuurth, Breaker of Stone",Venompool,Second attempt,3,"This was more challenging than I expected. I leaned into the blue/green for Wonder Man's empower. Rescued a ton of bystanders due to schemes and Venompool. Second attempt went faster, with more overall VP that the first, but it seemed like the twists cane at just the wrong time. They require immediate attention, since 2 back to back starting at twist 5 means game over if you don't reduce the ants. 2 attack each isn't bad, but kept me from being able to hit Evil Deadpool as early as I wanted to. 

Decently fun, but equally as frustrating, especially with all the wounds Evil Deadpool hands out. Hoping I've done enough to advance, but I've got my doubts.  "
,,4,dontfeedthegreen,29,50,79,1st,Yes (5),3rd,26 (6.5),1st,0 (5.5),6th,3.038 (4),21,,21,16,0,3,6,5,1,0,15,Carnage,"Nul, Breaker of Worlds",Ant-Man,Stingray,Second attempt,4,"I hate Evil Deadpool but my games actually went great. First attempt I tried Carnage and Nul. I hadn’t really played Nul outside of Solo mode so I didn’t realise how much his cards can hurt the other player but after some early escapes P2 was clobbering everything with Nul’s Maul and lots of Strength draw cards. P1 was a bit of a Wound/Binding sponge but that actually helped Doc See Future Timelines and he had some good turns too. Had to shuffle Hyper-Insane Healing Factor back in no less than three times so it took 32 turns overall. Next up, I tried Stingray and Ant-Man and couldn’t have asked for a better game. Both decks got a Sting of the Stingray’s Sting in the first two turns and everything went well from there, including hitting the Healing Factor Tactic last to finish in less time, with more VP and zero escapes!"
,,5,AdamantiumGambit,42,22,64,1st,Yes (5),1st,23 (8.5),1st,0 (5.5),9th,2.783 (1),20,,20,18,2,2,10,1,2,0,17,Venompool,Carnage,Venompool,Carnage,First attempt,4,I was overrun by scheme twists on my second attempt and ended up failing. The setup was straightforward and fun!
,,6,Off the Cuff,60,55,115,1st,Yes (5),7th,35 (3),1st,0 (5.5),4th,3.286 (6),19.5,,5,34,0,0,1,3,1,0,5,Venompool,"Kuurth, Breaker of Stone",I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Even losing a turn from Ms. Marvel, getting early Rares made this a blowout"
,,7,coldvein & raja,61,47,108,1st,Yes (5),8th,38 (1.5),1st,0 (5.5),7th,2.842 (3),15,,14,22,1,1,0,0,0,0,2,Stingray,Venom Rocket,Stingray,Venom Rocket,Second attempt,5,Very challenging. Down to the wire in both attempts.  Being able to draw cards and move villains were very important.
,,8,SharkNate-O & onthegeniusofsamrockwell,49,55,104,1st,Yes (5),6th,34 (4),9th,1 (1),5th,3.059 (5),15,,6,39,2,0,4,2,0,0,8,Venompool,Stingray,Slapstick,Stingray,Second attempt,4,"This one was definitely more challenging. We went with Venompool at first because of his synergy with the bystander mechanic, and seemed pretty strong on paper, however, during the game he ended up not get used much, so we was swapped out with Slapstick for the class synergy and it was a much better choice. We enjoyed the challenge of hero building in this game. The game was overall fun and challenging which is what we overall like. (P.S. FUCK Dealpool's Healing Factor!)"
,,9,snash108 & SBPKECN,67,39,106,1st,Yes (5),8th,38 (1.5),1st,0 (5.5),8th,2.789 (2),14,,28,26,0,3,0,0,0,0,3,"Kuurth, Breaker of Stone",Slapstick,"Kuurth, Breaker of Stone",Slapstick,Second attempt,4,"Snash108 built a Wonder Man deck(aka lots of ranged). Brought Slapstick along to add Ranged/Strength, as well to rescue extra bystanders using Excessive Violence.

SBPKECN focused on moving the things to the bridge and stabbing them with Nerkkod and Kuurth. "
,,10,CaptainMetroidica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
