Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,7
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
73,Behold a Pale Spider and his Bagel was eaten.,1,(+9),58,R3DJ0N,53,8,61,1st,Yes (5),1st,17 (9),1st,0 (7),2nd,3.588 (8),29,,45,3,0,4,3,9,4,1,0,21,Forge,Daredevil (Marvel Knights),I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"Started with ultimate nulifier in the hq, so I knew I wanted one player to save up for that. So I was getting copies of Focus Chi and over drive. Living Weapon came out, then the next turn I was able to setup guaranteed draw 4 from it by buying Ultimate Nulifier. Eventually that player also got bfg and sentient starship. Focus chi was consistently hitting 0, 3-9, and with Ultimate Nulifier I could focus that into hitting Apocalypse without worrying about his tactics. I know I won't be that lucky again, so for the first time in a tournament I'm submitting my first attempt without trying for a second.",
,,2,(+8),53,HatePhD & EditedMist,74,18,92,1st,Yes (5),2nd,22 (8),6th,2 (3.5),1st,4.182 (9),25.5,,56,43,1,4,4,6,4,0,0,18,Jean Grey,Bishop,Drax the Destroyer,Groot,First attempt,5,Only bystander I didn't save was tucked under Famine. I hope that everyone struggled with the city a bit... hate to be the only one with 2 escapes...,
,,3,(+7),55,Doomfollow,71,22,93,1st,Yes (5),5th,27 (5),1st,0 (7),3rd,3.444 (7),24,,49,25,0,2,1,5,2,1,0,11,Forge,Punisher,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"Good challenge, then I remembered everything had Wall Crawl, so player 1 just kind of went crazy with Mr Fantastic Combos (although I had a turn where I got the ""If this isn't the last tactic"" 3 times in a row...)",
,,4,(+6),58,Redblock,16,63,79,1st,Yes (5),3rd,24 (7),6th,2 (3.5),4th,3.292 (6),21.5,,47,21,0,2,5,4,2,2,0,15,Punisher,Forge,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"Brutal setup, only saved by wallcrawl on everyone. Got one deck to getting BFG every turn with ""boom goes the dynamite"" and lots of draw, and still got hit by Undounted and Undefeated three times in a row.",
,,5,(+5),50,david-h11,53,37,90,1st,Yes (5),6th,28 (3.5),1st,0 (7),5th,3.214 (5),20.5,,16,19,0,3,3,3,3,1,0,13,Gamora,Groot,Gamora,Groot,Second attempt,5,"Really tough but fun game! Heaviest I’ve leaned into shards for one of these games and definitely helped. So many turns where I just scraped together enough attack to keep the city at bay, never had less than 3 in the city generally it felt relentless! Had to hit apocalypse only 7 times which is always a win. Thanks so much Kylah for organising this! Always so much fun!",
,,6,(+4),52,Jean-Sébastien & Geneviève,50,13,63,1st,Yes (5),4th,25 (6),1st,0 (7),9th,2.52 (1),19,,37,5,0,2,2,6,5,0,0,15,Angel,Colossus,Angel,Invisible Woman,Second attempt,4,"Though setup! Our first try with Colossus did not go as expected, so we changed for Invisible Woman for our second try. Much better! We were lucky to draw Immortal and Undefeated as the 4th tactic, and probably saved a few turns because of that.",
,,7,(+3),49,avataristche,28,59,87,1st,Yes (5),6th,28 (3.5),1st,0 (7),7th,3.107 (3),18.5,,31,8,0,1,4,3,3,0,0,11,Groot,Moon Knight,Groot,Moon Knight,Second attempt,3,The only SL card to show up was his rare. At least no escapes.,
,,8,(+2),55,the.melkman. & Snapcity57,33,63,96,1st,Yes (5),8th,30 (1.5),9th,5 (1),6th,3.2 (4),11.5,,30,26,3,2,1,2,2,0,0,7,Blade,Forge,I did not make a second attempt.,I did not make a second attempt.,First attempt,1,"This is the exact same mastermind and scheme (and therefore both villains as well) combo from week 3 of the last tournament. We’d prefer to see a greater degree of randomness, rather than the reuse of these themed scenarios (and not enough themed about melk).",
,,9,(+1),46,Sandals & Mrs Sandals,17,69,86,1st,Yes (5),8th,30 (1.5),8th,4 (2),8th,2.867 (2),10.5,,52,28,1,2,0,3,1,1,0,7,Jean Grey,Bishop,Jean Grey,Bishop,First attempt,2,"Ooof, that was a tough one! We got absolutely hammered in game 2 by 3 strikes in 4 turns right towards the end, with Pestilence escaping in the middle of that to discard so many good cards.
Game 1 was going a similar way due to not seeing a Henchmen until like turn 12, but it swung hard to us when I hit Chameleon above Jean's rare. This game me enough attack to hit another villain, giving breathing room, and a news reporter drew me the recruit I needed to buy it. From that point on I was off to the races.
Star Lord was incredibly useful, as his artifacts came into play straight away and we made great use of Legendary Outlaw to copy both Shards and draws. It was a real frustration putting 3 Element Guns and a Chip on top of my deck after a Strike! 
Despite the win, both my wife and I found this a little too un-fun, but that was mostly the Horsemen and Apocalypse KOing non-greys at the worst time. ",
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,A World Worthy of Conquering.,1,(+9),52,Citizen51,41,42,83,1st,Yes (5.5),2nd,30 (7.5),1st,0 (8),2nd,2.767 (8),29,,1,5,0,1,7,3,3,1,0,15,Star-Lord,Nova (Avengers),I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"Fun setup, but Epic Beyonder is tough. The scheme actually makes it easier than normal to get Rares from the HQ, unfortunately I didn't get as many twists as I might have liked to be able to really take advantage of that. If this was regular Beyonder, probably would have rated it as a 5 (and finished several turns sooner). Happy with my hero choices, but ended up getting more use out of the pre-selected heroes than I thought I would going into the game.",
