Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level (no slash),Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,
,,,,                                                            Grand Finals,,,,,,,,,,,,,,,,,,,
34,EPIC Morgan le Fay's War of Kings,1,MicroDisney0505,56,12,68,1st,Yes (1.5),1st,17 (2),1st,0 (1.5),1st,4 (2),7,,44,8,Wonder Man,Ms. Marvel,4,4/5,"I got Wonder Man's rare and made the HQ all green. This helped the 3 one hit Wonder cards I got. Wonder man helped find rock solid to get into the streets (this being a high ravage card to help Gorgon).
I don't think I could have done any more to get more vp per turn. This has been a great tournament and if I lose this match, great job spark001. You have been a great opponent and I say congratulations to you."
,,2,Spark001,37,37,74,1st,Yes (1.5),2nd,23 (1),1st,0 (1.5),2nd,3.217 (1),5,,0,4,Crystal,Karnak,4,4/5,"Interesting setup used left side used both Crystal and Super Skrull to lower the deck and get out Crystals more productive cards like, while the right used Karnak, Gorgon and Nova to good effect in managing the field and dealing with Morgan Le Fay.
 Morgan’s master strikes proved troublesome but manageable and even though some twists came out early again there was enough to deal with them only the villains in both proved slow in showing up leading to a low vp score on both, hopefully it’s enough but either way great tournament."
,,,,                                                              Eliminated ,,,,,,,,,,,,,,,,,,,
E7,Kingpin Traps Heroes in the Insane Asylum,1,OllieKitKat & Kylah15,19,52,71,1st,Yes (6.5),1st,21 (9),1st,0 (5.5),1st,3.381 (9),30,,33,3,Elektra,Iron Fist,5,5/5,"Games were relatively similar. Elektra & Iron FIst on one side, with a splash of Sunspot.  The other side got Blade/Iron Fist & Rogue. Rogue's copy card was pretty useful, but Blade really stole the show in both games. But both sides had some fun, so this one's a 5/5."
,,2,lasombra81,20,64,84,1st,Yes (6.5),2nd,26 (8),1st,0 (5.5),2nd,3.231 (8),28,,44,3,Wolverine (X-Men),Wolverine (X-Force),4,4/5,Berserker Rage for the win.
,,3,Redblock,59,30,89,1st,Yes (6.5),3rd,28 (6),1st,0 (5.5),3rd,3.179 (7),25,,29,3,Punisher,Warlock,4,4/5,"5 twists is evil, game one was over in 12 turns, game two went better"
,,4,Kharg,18,62,80,1st,Yes (6.5),3rd,28 (6),1st,0 (5.5),4th,2.857 (6),24,,44,4,Iceman,Storm,4,4/5,Decided to go with some Iceman for the last game of the tournament. One guess on which hand used him.
,,5,R3DJ0N,19,48,67,1st,Yes (6.5),3rd,28 (6),1st,0 (5.5),6th,2.393 (4),22,,29,3,Mirage,Thor (Avengers),3,3/5,1st game I lost in 12 turns. 2nd game I had a got Mirage's & Blade's rares and two of the copy powers. The scheme is annoying because it can turn a great turn into a nothing turn but mostly because with 2 players you could lose on turn 5.
,,6,Adrian Miller,57,27,84,1st,Yes (6.5),6th,35 (4),1st,0 (5.5),5th,2.4 (5),21,,30,3,Iron Fist,Hulk,4,4/5,Hulk SMASH!!!
,,7,Off the Cuff,51,37,88,7th,No (2),7th,38 (3),1st,0 (5.5),7th,2.316 (3),13.5,,14,4,Wolverine (X-Force),Forge,4,4/5,"Used Rogue's rare to copy Copy Powers in order to copy the Rare. Took me a while to wrap my head around that stack, but it let me hit Kingpin twice in one turn at least"
,,8,Iburnicus,10,20,30,7th,No (2),9th,21 (1),1st,0 (5.5),9th,1.429 (1),9.5,,10,2,Cyclops,Mirage,2,2/5,"the twist ended the game early, in game 2 it just took longer"
,,9,Mangostrike,21,57,78,7th,No (2),8th,36 (2),9th,1 (1),8th,2.167 (2),7,,36,3,Cyclops,Professor X,1,1/5,"Not sure if it was my chosen heroes lacking synergy or the Psychotic breaks destroying any hope of a plan, but this was the least agency I’ve ever had in a game and felt really boring. Sad to go out of the tournament on such a note."
