Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level (no slash),Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,,
,,2,Snash108 & SBPKECN,16,65,81,1st,Yes (7.5),3rd,20 (12),7th,1 (6.5),1st,4.05 (14),40,,49,5,Gambit,Symbiote Spider-Man,5,5/5,Symbiote Spider Man and Elektra whipped Carnage's behind!!
,,3,Adrian Miller,43,31,74,1st,Yes (7.5),5th,22 (10),1st,0 (11.5),7th,3.364 (8),37,,12,6,Angel,Iceman,5,5/5,Iceman is one of my favs
,,3,Kharg,18,49,67,1st,Yes (7.5),2nd,19 (13),7th,1 (6.5),5th,3.526 (10),37,,31,4,Symbiote Spider-Man,Wolverine (X-Men),5,5/5,"The Symbiote Spider-Man and Elektra deck came out pretty hard. Was only able to get Elektra's uncommon early on, but that was all I needed with all the Spider-Man I was recruiting. The last few turn I was drawing all my deck with up to 29 attack. Carnage never had a chance

Other hand had an okay Moon Knight deck."
,,5,Baldulf,35,31,66,1st,Yes (7.5),4th,21 (11),1st,0 (11.5),8th,3.143 (6.5),36.5,,4,7,Angel,Wolverine (X-Men),4,4/5,Fun heroes plus tons of feast and KO make for some slick decks!
,,6,Bronson,37,68,105,1st,Yes (7.5),11th,28 (3),1st,0 (11.5),2nd,3.75 (13),35,,31,15,Hulk,Spider-Man,1,1/5,"Ready to not play Carnage for awhile - feasting on Rares hurts, even in a win!"
,,7,Wicked.pepper,59,62,121,1st,Yes (7.5),14th,33 (1),1st,0 (11.5),3rd,3.667 (12),32,,3,19,Deadpool (Unaffiliated),Symbiote Spider-Man,4,4/5,Moon Knight and Deadpool with a touch of Emma Frost makes for a solid deck. Elektra and Symbiote Spiderman also worked great together. The HQ did get a little flooded with 3 Sai Blades that I couldn't afford on one side and didn't want on the other side. But the decks worked fine without it
,,8,ItStartsWith1,41,39,80,1st,Yes (7.5),6th,23 (9),11th,2 (3),6th,3.478 (9),28.5,,2,9,Angel,Gambit,5,5/5,"After 2 basically unavoidable early escapes, 2 very powerful decks came to be. Pure synergy, X-Men everywhere. Nearly over-KO’d, but got it just right and started drawing full decks every turn. Carnage was a little annoying, but ultimately couldn’t stand up to Heroes on this day."
,,9,Iburnicus,16,63,79,1st,Yes (7.5),9th,26 (6),1st,0 (11.5),12th,3.038 (3),28,,47,7,Spider-Man,Symbiote Spider-Man,5,5/5,"what a fun game that was! some moon knight synergy with emma frost and the other side pure low costs (+electra's 6drop) game 1 won in 22 turns and game 2 in 26 but overall i think game 2 will score better cuz of the 0escapes and a bit more VP/bystanders.
"
,,10,Off the Cuff,45,42,87,1st,Yes (7.5),11th,28 (3),7th,1 (6.5),10th,3.107 (5),22,,3,10,Deadpool (Unaffiliated),Symbiote Spider-Man,4,4/5,Why couldn't this have been a setup I got during the actual tournament?
,,10,Astigmatic_Oracle,45,32,77,1st,Yes (7.5),7th,25 (7.5),11th,2 (3),11th,3.08 (4),22,,13,1,Symbiote Spider-Man,Deadpool (Unaffiliated),5,5/5,Never could get that Elektra payoff uncommon.
,,12,lasombra81,56,24,80,1st,Yes (7.5),10th,27 (5),7th,1 (6.5),13th,2.963 (2),21,,32,4,Angel,Colossus,3,3/5,-
,,13,Guru Mike & MargaretWestlake,20,50,70,1st,Yes (7.5),7th,25 (7.5),11th,2 (3),14th,2.8 (1),19,,30,3,Iceman,Wolverine (X-Men),3,3/5,"Wolverine coupled with Elektra built fast ... not quite fast enough for us to prevent 2 escapes, but much faster than the other combos we had in the setup."
,,14,Jmaster1324,42,46,88,1st,Yes (7.5),11th,28 (3),14th,4 (1),8th,3.143 (6.5),18,,4,7,Bishop,Iceman,4,4/5,"I got 3 Twists up front on my first game and thought ""Welp this one is in the bag"" then I couldn't capitalize on it. It took more turns than my second try. I think I could have done much better. I think I failed to plan for the villains in this game. I picked heroes based on who would do better with KOing cards when I should have picked based on wounds. Not to mention how many turns both runs had where I couldn't fight anyone not even a Sentinel"
