Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,5
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
49,Avengers Disassemble!,1,(+9),39,zoratok,67,15,82,1st,Yes (5),1st,28 (9),1st,0 (7.5),1st,2.929 (9),30.5,,52,12,0,2,3,7,2,1,8,23,"Ancient One, The",The Vishanti,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,I enjoyed the game. Dr. Voodoo did much better than I expected.,
,,2,(+8),41,avataristche,65,29,94,1st,Yes (5),3rd,33 (7),1st,0 (7.5),2nd,2.848 (8),27.5,,36,16,0,1,3,5,2,0,5,16,"Ancient One, The",Apocalyptic Black Widow,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,very close to escapes during multiple turns,
,,3,(+7),38,Tex-pa,66,27,93,1st,Yes (5),4th,35 (6),5th,1 (4.5),4th,2.657 (6),21.5,,39,16,0,3,3,3,1,0,3,13,Party Thor,"Uatu, The Watcher",Party Thor,Star-Lord T'Challa,Second attempt,4,"
We were greatly benefited by 3 scheme twists in a row in the early part of the game that all missed on hero KOs.  The HQ was later full of non-Avengers after the scheme transformed so that a win was not in jeopardy. Player 1 had a strong dark memories hand but it took about 4 rounds longer than it should have to win due to some untimely Master Strikes.  Challenging and fun setup.",
,,4,(+6),36,jorisc3213,37,35,72,1st,Yes (5),2nd,32 (8),5th,1 (4.5),6th,2.25 (4),21.5,,2,8,0,1,2,8,3,0,4,18,Captain Carter,"Ancient One, The",I did not make a second attempt.,I did not make a second attempt.,First attempt,4,The ancient one providing the astral play saved me from some escapes and easier targets.,
,,5,(+5),38,Sandals & Mrs Sandals,53,42,95,1st,Yes (5),7th,41 (3),1st,0 (7.5),5th,2.317 (5),20.5,,11,11,0,1,3,3,0,0,2,9,"Ancient One, The",The Vishanti,"Ancient One, The",The Vishanti,Second attempt,2,"I may have hated my first play but my opinion softened on a second go. It's still a horrible set up, but more because I dislike the constituent parts rather than any combinations that have appeared. 
Anyway, my wife was the star both times, defeating Scarlet Witch almost as soon as she appeared. This meant the scheme never Transformed in either game, which was huge in letting us win. 
In game 1 I had one of those ""If it can go wrong it did"" games, and as I said in Chat I ended up with more grey than I started with, along with 5 wounds! 
Game 2 was better for me, but both our decks slowed down just at the wrong time to enable a quick finish. A long game but no escapes and a decent score. Hopefully that's enough not to be last!",
,,6,(+4),35,Slothy,68,32,100,1st,Yes (5),5th,36 (5),7th,2 (2.5),3rd,2.778 (7),19.5,,36,28,0,2,4,6,3,0,2,17,Apocalyptic Black Widow,Party Thor,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"Certainly challenging since the scheme disallows much of the available sets. I am not sure Party Thor was great, but Apocalyptic Black Widow performed very well.",
,,7,(+3),40,Jean-Sébastien & Geneviève,47,38,85,1st,Yes (5),6th,39 (4),1st,0 (7.5),7th,2.179 (3),19.5,,9,10,0,1,1,6,0,0,1,9,Star-Lord T'Challa,"Ancient One, The",Star-Lord T'Challa,"Ancient One, The",Second attempt,3,The Ancient One Astral Confrontation was key in this game and allowed us to better manage the City and never trigger the Scheme transformation.,
,,8,(+2),36,Snash108,28,46,74,1st,Yes (5),8th,42 (2),7th,2 (2.5),9th,1.762 (1),10.5,,18,7,0,2,0,6,3,0,2,13,Clea,"Ancient One, The",I did not make a second attempt.,I did not make a second attempt.,First attempt,3,,
