Pod,Setup,Rank,Points Earned,Total Points,Name(s),VP 1,VP 2,"Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,Bst. Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Lv.,Comments,,Results Of Week:
,,9,(+2),25,Wicked.pepper,44,39,83,1st,Yes (5.5),10th,29 (1),1st,0 (5.5),8th,2.862 (3),15,,5,4,2,4,6,3,0,0,15,Agent Phil Coulson,Quake,Agent Phil Coulson,Quake,Second attempt,3,"S.H.I.E.L.D. has been a while, I liked that. Not sure if it will be fast enough, the S.H.I.E.L.D. level took a while to build up. MVP was Silver Surfers 'The Power Cosmic'.",,
,,10,(+1),24,AntDude & WaspWoman,53,18,71,1st,Yes (5.5),8th,27 (2.5),1st,0 (5.5),10th,2.63 (1),14.5,,35,1,1,6,7,2,1,0,17,Nightcrawler,Iceman,Nightcrawler,Iceman,First attempt,4,"So many KOs to be had! WaspWoman cleaned up here with a solid Bishop/Iceman deck build, that thinned quickly and ended up with Bishop, Iceman, and Nightcrawler's rares. She was extremely worried about feasts, but she got her deck down to 6 cards (three of them rares!), and feasting was no longer a concern.",,
39,Chess Anyone?,1,(+10),31,Tozar,22,53,75,1st,Yes (5.5),1st,18 (10),1st,0 (6.5),1st,4.167 (10),32,,31,15,2,5,9,6,1,0,23,Daredevil (Iron Fist),Wasp (Ant-Man),Daredevil (Iron Fist),Wasp (Ant-Man),Second attempt,3,"First attempt, I forgot to recruit heroes correctly for Chivalrous Duel.  Had to take another crack at it.  Second attempt was much better.",,
,,2,(+9),30,KelgatesKollections,73,21,94,1st,Yes (5.5),2nd,23 (9),1st,0 (6.5),2nd,4.087 (9),30,,52,35,2,4,7,4,1,0,18,Electro,Green Goblin,Electro,Green Goblin,Second attempt,5,"The chess game was an artful master piece on Morgan Le Fay and the villainous side of Electro/Green Goblin. I knew with me getting close to a potential top 16 I had to pull out all the stops here and try and line up the combo of discard for this villains game. 

Game one was a check-mate for Morgan as I was able to unlock the combo but was a bit late in doing so as I only had one Electro uncommon to try and go off every turn and ended on 33 turns.

Turn 2 however, I was able to greedily steal the Green Goblin rare early and two Green Goblin make another Hydra unit have dodge with 2 green goblin kidnap a bystander if you discard a card to really get the engine purring. I could hear the Goblin screaming happily as I thinned my deck out with Electro's common enough to cycle through my deck ever turn that netted me +2 Bystanders with a Morgan hit.

This allowed me to only need to buy Madam Hydras plus any other dodge and a Black Knight Rare to finish the job in fantastic fashion and ten turns earlier than my previous fight. Turn 23 with a massive VP score on one side in the hopes it will be enough. 

Will the Green Goblin's laugh get me the win and top 16? Tune in to find out more on this exciting episode of Amazing Spider-Man... HAHAHHAHAHAHAHAH!!",,
,,3,(+8),30,Chuck Bauer,42,37,79,1st,Yes (5.5),3rd,25 (8),1st,0 (6.5),6th,3.16 (5),25,,5,7,3,5,5,2,1,0,16,Hulkling,Wasp (Ant-Man),Hulkling,Wasp (Ant-Man),Second attempt,4,"Hulkling was brought primarily for his uncommon. Brought wasp for extra covert and card draw. Hulking was on fire on one side, while Wiccan shredded on the other!",,
,,4,(+7),28,Justitiana,75,29,104,1st,Yes (5.5),6th,31 (4.5),1st,0 (6.5),4th,3.355 (7),23.5,,46,24,1,2,4,3,0,0,10,Ant-Man (Ant-Man),Ultron,Ant-Man (Ant-Man),Ultron,First attempt,3,"The heroes provided kind of sucked and didn't support my choices that well. Which may be my fault for choosing the wrong ones then. However, Chivalrous Duel and getting Thor down as soon as possible didn't prove easy. My first attempt felt rather slow, but I managed to not let anything escape. Getting the 7 attack from the same hero source for Morgan Le Fay turned out to be challenging. Like I said, the heroes provided didn't do great at that either. Wiccan had cards that could give you 3 attack per card, but then you would need 3 of them. His other common provided recruit and that didn't help, unless you had 3 of them with an Irresistible bribe. Black Knight actually helped my first game, but his recruit common is one of the worst cards in the game (imo), at least for this setup, his other common requires a mono-coloured HQ (which happened in HQ), combined with his 6-cost or another of his Empower commons.

My choices were made with the hope for a lot of additional bystanders rescued, which didin't turn out that great. In game 1 I did get the Ultron uncommon for that in HQ from the start (the other 2 didn't show up), in the second game he only turned up near the end and only kdinapped/rescued 4 bystanders. In game 1 he didn't do much better, as I ended up drawing him without many triggers most turns I did draw him. What did help though, was that Ant-Man and Ultron (which both went into deck 1 in game 1 and into deck 2 in game 2) could defeat Morgan Le Fay if you got a little lucky (Ultron's 2-cost required his uncommon and 4 other Tech cards (counting the uncommon), or another copy of itself and 3 other tech cards. Ant-Man's cards luckily had lots of draw and the uncommon benefited from that draw as well. Also, not having recruit in that hero deck helped a lot to get to 7 for Morgan. Deck 2 for Game 1 (Deck1 for game 2) got the Enchantress' cards, Soul Sacrifice and Irresistible Bribe, which helped KO and defeat Thor or other problems in the city. The Ultron and Ant-Man deck could almost not KO anything and also usually not prevent the Master Strike effect (because it didn't get many/any covert cards).

Managing the City felt like a bit of a puzzle. The Master of Evil (WW II), came too soon to really benefit from their savior bonuses/prevent their penalties, so I just let them hang out in the city until I didn't get penalties or just didn't get any benefits. Asgardian Warriors are meh Henchmen, they didn't help very much, but at least they didn't actively make the game harder either. KO-ing proved to be a problem for both Decks. In game 1 took the chance of Thor overrunning by choosing to defeat Morgan Le Fay instead (as I finally had 7 attack from a single source). Thor did in fact overrun by Plot Twist as well the next turn, but it was only Asgard's second Triumph. I think if I hadn't done that, game 1 would probably also have lasted many turns longer.",,
,,5,(+6),26,Buya & DSCern,50,42,92,1st,Yes (5.5),4th,27 (7),9th,1 (1.5),3rd,3.407 (8),22,,8,21,3,2,5,2,1,0,13,Mysterio,Electro,"Steve Rogers, Director of S.H.I.E.L.D.",Captain America (1941),Second attempt,4,"Since we got a lot of Bystanders in our first game without really trying, we decided to play into it in our second game by bringing Steve Rogers and Captain 1941. Both sides did decently, with the major hurdle for us being getting through Morgan's Chivalrous Duel. Eventually my deck was able to get Enchantress' bribery and recruit game going, and my partner was getting enough attack via the two Steves to start whittling her down. We had fun with this setup, thanks!",,
,,6,(+5),26,jwigand,71,32,103,1st,Yes (5.5),8th,32 (3),1st,0 (6.5),5th,3.219 (6),21,,39,18,3,1,2,2,0,0,8,Ant-Man (Ant-Man),Goliath,Ant-Man (Ant-Man),Goliath,First attempt,3,Thor just kepy coming and coming. I enjoyed this set up. The chivalrous duel made me pay attention to recruiting only certain characters for fighting. It was different but enjoyable.,,
,,7,(+4),25,JustHarold,40,53,93,1st,Yes (5.5),5th,30 (6),1st,0 (6.5),8th,3.1 (3),21,,13,14,1,3,5,2,0,0,11,Daredevil (Iron Fist),Falcon,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,Wish I had time for a round 2. Duel was difficult,,
,,8,(+3),24,Off the Cuff,51,48,99,1st,Yes (5.5),9th,35 (2),1st,0 (6.5),9th,2.829 (2),16,,3,17,0,1,2,2,1,0,6,Ant-Man (Ant-Man),Dr. Octopus,Ant-Man (Ant-Man),Dr. Octopus,Second attempt,4,"Both games ended up with the exact same VP score, but 1 took 1 less turn and 1 less escape",,
,,9,(+2),23,Ocs333,63,34,97,1st,Yes (5.5),6th,31 (4.5),9th,1 (1.5),7th,3.129 (4),15.5,,29,22,2,0,4,3,1,0,10,Wasp (Ant-Man),Cloak & Dagger,Wasp (Ant-Man),Speedball,First attempt,4,"Had fun theory crafting. Unfortunately in practice not everything turned out great, been quite unlucky and had escaping villains in early game. (Besides Thor). 
Combos that worked out:
1st game: enchantress 6cost + 3cost, with KOing a card of at least 3 cost, and having extra red (from wasp mostly).
1st game: amulet of avalon. Cloack and dagger really helped in keeping the HQ mostly red and/or blue. So two of tlblack knights common could also hit Morgana. 
2nd game: could buy black knight rare, which after having Thor could one hit Morgana.
Combo looking good in theory:
Speedballs common could be quite easily triggered, and would be a cheap option for getting 4 attack out of the cards. But only two of them appeared in the HQ/lair, so the only time it worked out was when I drew arount 8 cards in one turn.

Chivalrous duel is still super annoying. Having rounda of lik 12-15 attack midgane with an empty cit, but no chance to hit mastermind is a real pain. On one hand you have to keep deck thin, but its hard to do when you have to keep the HQ going, searching for combo cards. 

Also: Namorita was useful against Thor. May check out the Speedball- Cloak and Dagger combo as a third option just for fun.

Too bad for the early overrun in both games... (2nd game was 5 turns longer, with almost same VP/turn). ",,
,,10,(+1),21,Dre 2 point 0,75,31,106,1st,Yes (5.5),10th,39 (1),1st,0 (6.5),10th,2.718 (1),14,,44,20,0,0,2,0,0,0,2,Speedball,Wasp (Ant-Man),I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"This was actually a great puzzle to solve! Eventually, Black Knight and Speedball were built up enough in the left hand to take out Morgana every few turns. Right hand was there any time Thor showed up to keep him from getting a final Triumph of Asgard. It really came down to the wire though!",,
40,Death and Tax Evasion,1,(+10),30,Zer00verride,44,62,106,1st,Yes (5),1st,22 (9),3rd,1 (6.5),1st,4.818 (9),29.5,,18,15,1,3,5,9,0,0,18,Angel,Wolverine (X-Men),Angel,Wolverine (X-Men),Second attempt,4,"Really enjoyed the setup, the only thing stopping it getting a 5 was the scheme being able to cause escapes just due to the shuffle, with no way to react (except hellcats rare happening to ve in your hand.)
It was a tough decision for hero choices as my original thought was to go with double wolverine but Photon made me consider discard synergy instead and went with Angel. Really glad I did this as they worked together really well with a sprinkling of domino's cards. They did the heavy lifting while wolverine and he'll cat built up both sides generating over 20 attack onthe final few turns.",,
,,2,(+9),28,captaincardone & paisley5002,30,75,105,1st,Yes (5),2nd,26 (7.5),3rd,1 (6.5),2nd,4.038 (8),27,,45,7,0,1,4,5,0,0,10,Iceman,Wolverine (X-Men),Iceman,Wolverine (X-Men),Second attempt,4,"Paisley had a blast Ice Manning the enemies to death. I supported by buying anything not blue or green. Also, we weren't sure if locations were villains or other, so we put them under villains. There was one location in the villain deck at the end, in case we were wrong.",,
,,3,(+8),27,dontfeedthegreen,52,42,94,1st,Yes (5),4th,27 (5.5),1st,0 (8.5),5th,3.481 (5),24,,10,3,0,3,1,2,0,0,6,Ghost Rider,Iron Fist,Ghost Rider,Iron Fist,First attempt,4,"Well, my 2nd attempt did a good job of showing me just how lucky my 1st attempt was! 2nd was a quick loss, but first was great: not once did I draw Goons followed by a Twist. The Goons were also spaced out so I could defeat them for KOs without letting anything escape. Once they were in my Victory Pile, I KO’d them with Blazing Hellfire. Between Hell on Wheels and Focus Chi I had a lot of Recruit and one deck picked up Living Weapon along with more rares later. I even found Ghost Rider’s rare useful! Also, the Destroyer was one of the first Villains to appear so I was able to take out and KO a bunch of Shield cards. Great game, I could have actually finished sooner but there were so many points sitting in the city and my decks were going so well that I just had to grab some!",,
,,4,(+7),26,Loconnole & Klcgolf,76,32,108,1st,Yes (5),4th,27 (5.5),5th,2 (4.5),3rd,4 (7),22,,44,7,0,1,2,8,0,0,11,Iceman,Jean Grey,Iceman,Jean Grey,First attempt,3,Our first game Iceman was clutch on killing stuff and hell cat did her job of sending Maggia goons to the bottom or to our vp before they could come out,,
,,5,(+6),26,Shaggy427,42,41,83,1st,Yes (5),6th,28 (4),1st,0 (8.5),6th,2.964 (4),21.5,,1,5,0,0,2,9,0,0,11,Cable,Speed,Speed,Punisher,First attempt,2,"Super tough. The special rule should've been extended to turn 5/6 for this one. Also, Photon is like my least favorite hero lol. I hate the hyper speed mechanic!",,
,,6,(+5),25,zombiegamer5,72,37,109,1st,Yes (5),7th,29 (3),7th,4 (3),4th,3.759 (6),17,,35,4,2,1,0,6,0,0,9,Thor (Avengers),Iceman,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Organized Crime Wave was a tricky scheme but I definitely enjoyed it. I made sure to have plenty of Ranged cards and very few tech cards to avoid most of the fight effects from the villain groups. I've never been so wary of the Maggia Goons before, they really can swarm and take over the city in a single villain phase so I had to be careful to manage the city even more deliberately than usual. This was all complicated by the locations which made it undesirable to fight in certain areas but ai had to do so anyway because the Maggia would not stay in the victory piles. The Grim Reaper was also tricky since you had to fight him once as a mastermind, once as a location and fight locations whenever possible to lower his strength",,
,,7,(+4),23,Dr_Polygon,19,24,43,1st,Yes (5),2nd,26 (7.5),8th,5 (1.5),9th,1.654 (1),15,,5,5,0,1,3,3,0,0,7,War Machine,Ronin,War Machine,Ronin,Second attempt,3,"Whew. I am glad to be through that one. So much going on in the city, I was doing everything i could to prevent escapes while trying to tackle the mastermind. It felt like a struggle from the very first round all the way to the end.",,
,,8,(+3),23,OleRockyTop,61,17,78,1st,Yes (5),9th,40 (1),5th,2 (4.5),8th,1.95 (2),12.5,,44,5,0,0,0,2,0,0,2,Ghost Rider,War Machine,Cable,Speed,First attempt,4,This scheme is already rough and the added locations didn't make it any easier. Came down to the wire both games. Fortunately got lucky with my scheme twists.,,
,,9,(+2),22,jiggliestpuff,45,34,79,1st,Yes (5),8th,30 (2),8th,5 (1.5),7th,2.633 (3),11.5,,11,5,1,0,2,5,0,0,8,Iron Man,Darkhawk,Wolverine (X-Men),Quicksilver,Second attempt,4,"At first I tried to use tech heroes together like Iron Man and Darkhawk with Domino, but I got overwhelmed by early master strikes making villains too strong and getting tons of wounds. Total disaster! Round two I switched to using Wolverine, Quicksilver and Hellcat to draw through the deck and that made all the difference--as did getting Wolverine and Monica's rares. The other deck mostly used the strength Quicksilver cards to hyperspeed after thinning the deck. It was down to the wire but I was generating so much attack by the end I could hit Grim Reaper even with some locations in play.",,
,,10,(+1),20,coldvein & raja,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Higher, Further, Faster",1,(+10),28,GZUZROCKS & gzuzrules,27,41,68,1st,Yes (5.5),1st,21 (9),1st,0 (6.5),3rd,3.238 (7),28,,14,22,4,4,8,3,1,0,20,Havok,Nova (Champions),I did not play a second attempt.,I did not play a second attempt.,First attempt,4,Fun set up! Definitely needed to bring in some strong heroes due to the strength of the villains/mastermind. Havok and nova were a great help.,,
,,2,(+9),27,Iceman & Spooderman,47,27,74,1st,Yes (5.5),2nd,24 (8),1st,0 (6.5),4th,3.083 (6),26,,20,28,2,4,7,3,0,0,16,Nova (Champions),Darkhawk,Nova (Champions),Darkhawk,Second attempt,5,"first attempt KOed both 9 cost rares on the first twist and then 2 other rares as the game progressed. In the second attempt, Iceman recruited 3 rares. Much easier when you have rares to spare.

Fingers crossed they make the cut, but I think it'll be number 16 if they make it...",,
,,3,(+8),27,realdanl,60,80,140,1st,Yes (5.5),7th,38 (3),1st,0 (6.5),1st,3.684 (9),24,,20,24,0,3,0,0,0,0,3,Black Panther,Havok,Black Panther,Havok,Second attempt,3,"The decks did what I thought they would, though in the first game cards ideal for one strategy would end up in the deck running the other, lest they feed the Scheme.  That first game was quicker but had several escapes.  Second was more in control, but I got VP greedy and took too long; a win, but not likely good enough to rate well in this venue.",,
,,4,(+7),26,SilverFirePrime,35,55,90,1st,Yes (5.5),5th,32 (5),1st,0 (6.5),5th,2.813 (5),22,,20,8,2,1,3,1,2,0,9,Nova (Champions),Polaris,Nova (Champions),Polaris,First attempt,4,Pretty much the haymaker throwing matchup I expected.  Realizing late game that I was safe from losing via scheme twist unless the city went to hell took a lot of pressure off and made the game really fun.,,
,,5,(+6),25,pspblink & Adaline,31,28,59,1st,Yes (5.5),3rd,27 (6.5),1st,0 (6.5),8th,2.185 (2),20.5,,3,14,4,3,11,5,0,0,23,Dr. Strange (Illuminati),"Captain Marvel, Agent of SHIELD",I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"Setup was fun, enjoyed it overall",,
,,6,(+5),24,Bronson & Lighthouse,40,78,118,1st,Yes (5.5),6th,33 (4),7th,1 (2.5),2nd,3.576 (8),20,,38,16,1,3,2,0,2,0,8,"Captain Marvel, Agent of SHIELD",Lady Thor,Black Panther,Dr. Strange (Illuminati),Second attempt,2,"It was better than the movie. ;)

First round we tried going all out for blue/green synergy. The lack of KO ability clogged the decks with wounds, the city was overrun and while we hung around we lost to the scheme.

Second round we pulled in the Doctor for his common KO card, which worked really well on one hand but we could never combo it frequently enough on the other. Expecting the one escapee to sink us. ",,
,,7,(+4),22,JB007,48,24,72,1st,Yes (5.5),3rd,27 (6.5),7th,1 (2.5),6th,2.667 (4),18.5,,24,14,2,3,6,2,0,0,13,Nova (Champions),Ronin,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,Overall quite a lot of fun. I don’t remember ever battling Deathbird (I haven’t owned the Xmen expansion for that long) and she was tough. I got lucky that the oxygen level went bust in early turns so I wasn’t in much danger of losing from KOs. Only 6 ended up in the KO pile!,,
,,8,(+3),22,Narellish & ooskarr,45,56,101,1st,Yes (5.5),8th,39 (2),1st,0 (6.5),7th,2.59 (3),17,,11,18,0,1,1,1,1,0,4,Banshee,Polaris,Banshee,Polaris,First attempt,4,We struggled through this game. Our Piecing Energy strat worked but took a while to get going. But at least it kept the city free for no escapes.,,
,,9,(+2),20,ElongatedMan,24,49,73,9th,No (1),9th,37 (1),9th,4 (1),9th,1.973 (1),4,,25,15,0,0,2,2,0,0,4,Banshee,Psylocke,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,"My first game was obviously a disaster, but I'm sick and I don't have another run in me :(
I just didn't want to come this far and have to drop out.",,
,,10,(+1),20,Aaron4DotOh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Adult Swim,1,(+10),27,Jinjoz,19,79,98,1st,Yes (8.5),2nd,31 (9),1st,0 (9),3rd,3.161 (8),34.5,,60,20,0,2,3,1,0,0,6,Solo,Venom (Venomverse),I did not play a second attempt.,I did not play a second attempt.,First attempt,2,"Went pretty decent, had one deck be focused on reaching bystanders and the other one .. didn't do much lol.",,
,,2,(+9),27,brentmcampbell & ruuhaku,62,61,123,1st,Yes (8.5),3rd,36 (8),4th,1 (5),1st,3.417 (10),31.5,,1,31,0,2,0,0,0,0,2,Old Man Logan,Carnage,Old Man Logan,Carnage,First attempt,3,"Deceptively tough setup. We chose Logan and Carnage hoping to get some early KO's from their kit......neither KO cards appeared either game. Oh well. Played way more Gwenpool than I ever had previously. Her Covert common kinda kicks some butt and her bystander rescue card came in clutch for covering up the Ghost Racers. Got really lucky and pulled Evil DPs Tactics in just the right order every time. Anyway, it was a fun little setup that made us strategize consistently.",,
,,3,(+8),26,Ashyy23,53,29,82,1st,Yes (8.5),1st,25 (10),9th,2 (1.5),2nd,3.28 (9),29,,24,8,5,5,2,2,0,0,14,Apocalyptic Kitty Pryde,Carnage,Apocalyptic Kitty Pryde,Carnage,Second attempt,2,Fortunate enough to have no strikes come out before I could finish deadpool with carnage’s combo.. albeit being a one sided hand.,,
,,4,(+7),24,PragmaticSquid,87,29,116,1st,Yes (8.5),4th,37 (7),4th,1 (5),4th,3.135 (7),27.5,,58,26,0,1,0,1,0,0,2,Stingray,Totally Awesome Hulk,Ms. Marvel,Venom (Venomverse),Second attempt,4,Great setup - Deadpool is always a good time,,
