Pod,Setup,Rank,Points Earned,Total Points,Name(s),VP 1,VP 2,"Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,Bst. Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Lv.,Comments,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,MS,ST,VG,HM,BST,N/A,Total,1,2,1,2,,,,,4
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
37,Let My People Go,1,(+10),37,SnekeTV,52,39,91,1st,Yes (6),1st,25 (10),1st,0 (5.5),1st,3.64 (10),31.5,,13,5,3,6,4,2,0,0,15,M,She-Hulk,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Was fun, but the time pressure got to me, playing this as late as I could have. M actually had me wanting to get more wounds and she hulk gave the extra 3 cost support/recruit needed. solid setup.",,
,,2,(+9),34,Avataristche,53,36,89,1st,Yes (6),3rd,29 (8),1st,0 (5.5),3rd,3.069 (8),27.5,,17,2,1,2,2,2,2,0,9,Caiera,She-Hulk,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Wounds, WOUNDS EVERYWHERE!",,
,,3,(+8),35,MicroDisney0505,35,66,101,1st,Yes (6),5th,32 (6),1st,0 (5.5),2nd,3.156 (9),26.5,,31,15,1,1,4,1,1,0,8,Fantastic Four United,Strong Guy,I did not play a second attempt.,I did not play a second attempt.,First attempt,1,Struggled to pick heroes. The game was a slog. I just felt so disheartened by the setup I didn’t want to play again. Looking back on it She hulk might have been a better choice of a hero.,,
,,4,(+7),32,Redblock,43,47,90,1st,Yes (6),4th,31 (7),1st,0 (5.5),4th,2.903 (7),25.5,,4,3,2,3,2,1,1,0,9,General Okoye,White Wolf,General Okoye,White Wolf,Second attempt,3,"It was total slog, got one epic turn out of Scars rare, but it was way too late",,
,,5,(+6),32,Adamantiumgambit,47,30,77,1st,Yes (6),2nd,28 (9),1st,0 (5.5),6th,2.75 (5),25.5,,17,4,1,1,3,4,0,0,9,Fantastic Four United,General Okoye,Fantastic Four United,General Okoye,Second attempt,2,"The villain setup was unique, but I don't care for Skaar and King BP, which made choosing and recruiting Heroes seem more like a chore than it usually is.",,
,,6,(+5),31,Jean-Sebastien & Genevieve,38,57,95,1st,Yes (6),6th,34 (4.5),1st,0 (5.5),5th,2.794 (6),22,,19,5,2,2,1,1,0,0,6,M,"Miek, the Unhived",M,"Miek, the Unhived",Second attempt,3,"We tried something different this time, 1 player focusing on 3-cost cards and the other player pretty much everything else. This made KOing with Death's Head very difficult for one of us, but we managed the city well and got no escape. Psy-Lord was useless as usual in our games, I still can't find a way to make him work reliably (or at all for that matter). We got Miek rare and could use it transformed once and it really helped.",,
,,7,(+4),28,R3DJ0N,28,63,91,1st,Yes (6),6th,34 (4.5),1st,0 (5.5),7th,2.676 (4),20,,35,6,0,1,3,2,0,0,6,Fantastic Four United,Strong Guy,Fantastic Four United,Strong Guy,Second attempt,4,Was trying to bring in more recruit for shattering and focusing. Sadly didn't succeed with Psi-Lord's focus. Strong Guy went off the second game but still wasn't super fast but a win against Exodus is a win. Maybe if I hadn't drawn 2 masterstrikes in the first 2 turns and had to spend so much on KOing them.,,
,,8,(+3),26,NukinFoobs & N3m3sis,65,29,94,1st,Yes (6),8th,37 (2.5),1st,0 (5.5),8th,2.541 (3),17,,36,6,0,0,0,2,0,0,2,General Okoye,White Wolf,Fantastic Four United,She-Hulk,First attempt,3,"Had a tough 2 games. Decided to go for okoye for wound manipulation and white wolf to help weaken villains. Ended up taking a long time due to having to skip a turn multiple times to put wounds back. Game 2 felt better but an extremely I'll timed Mastermind Tactic ruined a potential win turn, then it took 5 more turns later.",,
,,9,(+2),26,Mangostrike,63,30,93,1st,Yes (6),8th,37 (2.5),1st,0 (5.5),9th,2.514 (2),16,,33,5,1,0,1,1,0,0,3,Fantastic Four United,M,Fantastic Four United,"Joe Fixit, Grey Hulk",Second attempt,5,Skaar was awesome. I got his rare in both games and was able to use Pharaoh to put him out of time for 2 turns back to back. Really like this setup as it was different. The game went on way too long though with only 3 cards left in the deck. I think FFU could have been replaced with General Okoye for better effect.,,
,,10,(+1),25,Adrian Miller,39,29,68,10th,No (1),10th,35 (1),1st,0 (5.5),10th,1.943 (1),8.5,,10,7,1,0,3,0,1,0,5,Rictor,Gladiator Hulk,I did not play a second attempt.,I did not play a second attempt.,First attempt,1,.,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Fancy Feast,1,(+10),33,the.melkman. & Snapcity57,35,44,79,1st,Yes (5.5),1st,19 (9),1st,0 (5.5),1st,4.158 (10),30,,9,1,5,8,8,3,1,0,25,Quake,Agent Phil Coulson,Agent Phil Coulson,Quake,Second attempt,3,Undercover melking,,
,,2,(+9),31,JParnell,47,30,77,1st,Yes (5.5),6th,23 (5),1st,0 (5.5),2nd,3.348 (9),25,,17,2,3,5,6,5,2,0,21,Iceman,Quake,Iceman,Quake,First attempt,4,"Around turn 17 I was wondering if I was never going to get the ""Iceman draw"" but it just happened to show up a few turns later. I'm opting to select the ""slower"" game between the two (by 4 turns) because the PPT was much higher. We'll see if that ends up being a fatal mistake!",,
,,3,(+8),31,Yeeches,27,38,65,1st,Yes (5.5),4th,21 (7),1st,0 (5.5),4th,3.095 (7),25,,11,1,2,5,8,7,1,0,23,Wolverine (X-Force),Domino,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"I pulled out the big guns for this one to go for a speedy high draw game. Was hitting 8-12 pretty quickly with all the early KOs happening. Feast didn't catch me too bad. Pulled some nice Iron Fist cards as well. Fun and straight forward game, could have been a struggle with more turns and more forced KOs!",,
,,4,(+7),29,Sandals,48,8,56,1st,Yes (5.5),1st,19 (9),1st,0 (5.5),6th,2.947 (4.5),24.5,,40,2,2,6,11,6,0,0,25,Thing,Scarlet Spider,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Well, that was unexpectedly fast! My wife picked up lots of recruit, which gave her Silver Surfer's rare, which gave her Thing's rare. She then fought everything! Key was getting Endless Hunger to eat 5 of her starters...
I meanwhile had barely gotten going. I'd made a decent Scarlet Spider/Mockingbird deck and had just hit Shield Level 2, but still, can't complain!",,
,,5,(+6),28,Zorotok,1,55,56,1st,Yes (5.5),1st,19 (9),1st,0 (5.5),6th,2.947 (4.5),24.5,,54,3,3,7,10,5,0,0,25,Iceman,Professor X,Iceman,Professor X,Second attempt,5,Range heroes went the distance. Submitted the second attempt with fewer turns but first attempt was more fun to play. Carnage is always a worthy opponent.,,
,,6,(+5),28,snash108 & SBPKECN,58,25,83,1st,Yes (5.5),7th,25 (4),1st,0 (5.5),3rd,3.32 (8),23,,33,2,4,6,6,1,2,0,19,Iceman,Moon Knight,Iceman,Moon Knight,Second attempt,4,"Tried to build a Ranged/Covert deck in one hand, and a Instinct/Tech in the other. Ranged side(snash108) was successful! Instinct side(SBPKECN) treaded water. 

Carnage went hungry with all but 1 of his tactics, as the deck was empty! At one point,this happened, and I had enough recruit after all my attacking was done, so I bought another Iceman card, paid 2 recruit 2 draw a card with Silver Surfer, drew the Iceman card and hit Carnage again. 

Absolutely ridiculous!!",,
,,7,(+4),26,Extra cheese & Pizza,45,35,80,1st,Yes (5.5),8th,27 (2.5),1st,0 (5.5),5th,2.963 (6),19.5,,10,1,2,4,6,3,2,0,17,Invisible Woman,Quake,Invisible Woman,Quake,Second attempt,4,Pretty fun. We got to the realization that we should get our decks small enough to become unfeastable but still got mastermind every turn or any villains attempting to escape.,,
,,8,(+3),25,WingedCrusader,43,19,62,1st,Yes (5.5),5th,22 (6),1st,0 (5.5),9th,2.818 (2),19,,24,3,1,6,7,7,1,0,22,Wolverine (X-Force),Iceman,Wolverine (X-Force),Iceman,First attempt,4,"Ice man does ice man things but actually it was bishop that really carried the blue, iceman was there to enable the bishop uncommon.  I got all 3 of them in my deck! The other deck was able to pick up mockingbird rare but it only came in on the 2nd last turn.  It was interesting we were trying to figure out if we wanted an extra turn to kill more things, and we ended up taking the extra turn but I hope it doesn't come around to bite us in the butt!",,
