Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level (no slash),Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,
,,,,                                                            Lower Bracket,,,,,,,,,,,,,,,,,,,
33,M.O.D.O.K. Hypnotizes Every Human,1,ANewEmpire,48,23,71,1st,Yes (3),1st,17 (5),1st,0 (3.5),1st,4.176 (5),16.5,,25,10,Jocasta,Nova (Avengers),4,4/5,"Thank you again for the extra time. 

Left hand focused on attack, drawing (tech combos) and Ant Man's Giant Ego. Right hand was all recruit to hit Transformed MODOK, recruited a lot of Maria Hill and a racked up a ton of shards with Mar-Vell."
,,2,Spark001,56,46,102,1st,Yes (3),4th,25 (2),1st,0 (3.5),2nd,4.08 (4),12.5,,10,21,Adam Warlock,Wonder Man,4,4/5,"Both games were interesting to play kept with focusing each side with collecting shards and building up enough buy power to deal with either side of M.O.D.O.K in a 1,2 combo or using the attack power to deal with the twists while the other side dealt then with the villains."
,,3,Cerberin,38,51,89,1st,Yes (3),3rd,24 (3),1st,0 (3.5),3rd,3.708 (3),12.5,,13,20,Nova (Avengers),"Joe Fixit, Grey Hulk",5,5/5,"I forgot how fun this scheme could be! The choice for the henchmen groups made it a bit tricky as one Sidera Marris stood on the bridge from turn 1 gaining non-stop shards and by the end of the game was 15 attack! Left side focused heavily on tech + some Strength cards from Joe Fixit (using combo with his tech commons and Uncommon which helped clearing out some of the tougher villains) while Right side focused mainly on Ranged cards from Nova, Mar-vell and Namora also getting some Fixit cards to utilize the recruit. Unfortunately Ant-Man appeared only once with one copy of his uncommon which I used (not to its full potential) on the Left side. With the Ranged side I have managed to hit MODOK on turn 10 (while he was on his recruit side) and after that on turn 12 I have recruited Nova's Rare which was the MVP. I chose Nova for this setup hoping his rare would appear because it would render MODOK helpless in both his forms (as Cosmic Threat reduces his attack, it does not give me attack to fight him with), so I consider myself lucky. By the end of the game Left has used Joe Fixit's rare once on the MM, and Right has recruited Mar-Vell's rare as well. My final turn was epic conclusion of the game as Right side has generated 42 attack (with the help of 17 gathered shards of course and couple of Joe Fixit cards) and has cleared the whole board and the MM, including that nasty Henchman on the Bridge! Overall really good setup with unexpected combination of heroes!"
,,4,OllieKitKat & Kylah15,30,48,78,1st,Yes (3),2nd,22 (4),1st,0 (3.5),4th,3.545 (2),12.5,,18,23,Hulkbuster Iron Man,Yondu,5,5/5,"Honestly probably one of the most fun setups in the tournament this go around. We struggled to decide which route to go, but finally decided to split the hero deck up between tech/draw shenanigans & shard/danger sense shenanigans.  We think it worked out pretty good. Thankfully Namora didn't come out too strong cause she really could have thrown a wrench in our decks. 

Both games were rather similar, but Game 1 actually had 0.1 ppt higher, but was 6 turns longer. So we've chosen to submit Game 2.  Excited to see what other routes people chose. "
,,5,NukinFoobs & N3m3sis,36,71,107,1st,Yes (3),5th,34 (1),5th,1 (1),5th,3.147 (1),6,,35,25,Hiroim,Hulkbuster Iron Man,4,4/5,Went with hulkbuster to work with ant man and the strength mar-vell. Used Hiroim to abuse the coverts and extra bystanders from the scheme. Overall went very well. Modok transforming made trying to hit him take a bit longer and the one escape early on from the Leader was very unfortunate.
,,,,                                                              Eliminated ,,,,,,,,,,,,,,,,,,,
E5,Stryfe Splices Humans with Spider DNA,1,R3DJ0N,61,15,76,1st,Yes (6),2nd,19 (10),1st,0 (7.5),2nd,4 (10),33.5,,46,13,Angel,Professor X,4,4/5,Diving catch was MVP
,,2,Enoc & Rowan,63,29,92,1st,Yes (6),4th,22 (8),1st,0 (7.5),1st,4.182 (11),32.5,,34,25,Domino,Cable,5,5/5,The team worked amazingly well together
,,3,Snash108 & SBPKECN,20,40,60,1st,Yes (6),3rd,20 (9),1st,0 (7.5),3rd,3 (8.5),31,,20,4,Cable,Forge,4,4/5,Ranged versus Tech.
,,4,Mangostrike,27,45,72,1st,Yes (6),5th,24 (7),1st,0 (7.5),3rd,3 (8.5),29,,18,5,Gambit,Storm,4,4/5,"First game I got two Cyclops' recruit cards, so was able to pickup Storm's rare on the 3rd turn of the game. Ran through that game fast with only 18 turns (but a low VP of 43). Second game took too long (24 turns), but was able to draw my entire deck with Gambit/Iceman, hit the mastermind twice, then drop Cyclops' rare to net an ADDITIONAL 36 attack for the final strike and city cleanup. I think that turn was a total of ~69 attack for a very satisfying finish to this tournament."
,,5,Adrian Miller,21,23,44,1st,Yes (6),1st,17 (11),1st,0 (7.5),10th,2.588 (2),26.5,,2,0,Forge,Cable,5,5/5,Was one of my better games
,,6,Astigmatic_Oracle,25,49,74,1st,Yes (6),6th,25 (5.5),1st,0 (7.5),5th,2.96 (7),26,,24,5,Angel,Iron Man,4,4/5,"First try everything was clicking pretty well. Second try was worse on every metric, so obviously submitted the first game. Just goes to show how random Legendary can be."
,,7,Redblock,40,39,79,1st,Yes (6),9th,28 (3),1st,0 (7.5),6th,2.821 (6),22.5,,1,7,Storm,Thor (Avengers),5,5/5,"Setup looked deceptively easy, but hit hard like a truck"
