Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,Bystanders Rescued,Scheme Twists in the Villain Deck,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,
,,,,                                                            Lower Bracket,,,,,,,,,,,,,,,,,,
46,King Hyperion Ruins the Perfect Wedding,1,R3DJ0N#6458,21,49,70,1st,Yes (2),1st,21 (2.5),1st,0 (3),2nd,3.333 (2),9.5,,10,6,Storm & Black Panther,Colossus & Wolverine,4/5,"I was worried when King Hype pushed Nighthawk out of the city early on. But early scheme twists actually helped me get the rares for x-23 & Colossus&wolverine. Between Life & Death Incarnate, Hellfire cultists, & shapeshifted copycats, I KO'd enough to have a pretty nice Berserker deck. Hopefully this was good enough to make it to the final."
,,2,Mr_Giraffe,60,33,93,1st,Yes (2),1st,21 (2.5),2nd,1 (1.5),1st,4.429 (3),9,,22,5,Beast (X-Men),Beast (Illuminati),4/5,Was able to use upside down thinking early to get Hercules Rare and start the bystander ramp…I used Phoenix’s commons to dwindle down the deck and got a Dr of beat down along with berserk to put and end quickly to Hyperion….the other hand had a good crystal combo going but nothing beats Dr of beat down with all strength and tech deck
,,3,OllieKitKat/Kylah15,33,34,67,1st,Yes (2),3rd,25 (1),2nd,1 (1.5),3rd,2.68 (1),5.5,,2,6,Colossus & Wolverine,Captain Britain,4/5,"Controlled the city much easier than expected. Berkserking was DEFINITELY the route to go.  Captain Britain was a pretty solid choice. Crystal's ""good"" cards never even showed up, only her draw a card common."
