Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
,,3,(+8),27,ChuckBauer,75,19,94,1st,Yes (6),5th,33 (5.5),1st,0 (7),2nd,2.848 (9),27.5,,56,4,0,2,6,2,0,0,0,10,Morbius,Photon,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,,
,,4,(+7),25,owen_meany & owen's better half,46,42,88,1st,Yes (6),7th,34 (4),1st,0 (7),5th,2.588 (6),23,,4,4,0,0,4,3,2,0,0,9,"Gamora, Destroyer of Thanos","Uatu, The Watcher",Darkhawk,Photon,Second attempt,1,"Brutal setup. Scheme plus Mastermind and Villains made for a tough and not so fun first game. Switched up the heroes and made all the difference as did a much luckier card draw from Villain deck. If I had to play the scheme again (which I won't by choice) would have chosen Green/Yellow heroes as they were the first collected for the ""Zoo."" I feel if I played this another 10 times, I'd probably lose each time. Just a really luck based scheme.",
,,5,(+6),24,Justitiana,60,22,82,1st,Yes (6),5th,33 (5.5),1st,0 (7),7th,2.485 (4),22.5,,38,4,1,1,4,4,2,0,0,11,Elsa Bloodstone (Marvel Knights),Werewolf by Night,Elsa Bloodstone (Marvel Knights),Werewolf by Night,First attempt,4,"A decently difficult setup. This Scheme had its imprint in my head that it was very hard, and my games sort of confirmed that. I tried to play around the first 5 Scheme Twists, which was annoying but succesful in attempt 1 and pointless and unseccesful in attempt 2. Early Schemes are nice, so you can recruit more colours safely, but the shuffle was merciless on attempt 2. Not a lot of early Scheme Twists and a city filled with very strong enemies. Mandarin's Rings are a cool Henchmen Group, but their 4 attack instead of 3 was a real challenge, especially in attempt 2.

I chose Werewolf by Night and Elsa Bloodstone as my heroes in the hope that they would have a lot of synergy and that after two schemes most of their cards would be safe to get. In attempt 1 the 'draw a card for every Mandarin ring' tactic was the last one and it was defeated by the deck that had 5 rings in the Victory Pile, I only had 3 cards left in my deck and discard combined, but Elsa's rare was one of the drawn cards, which allowed me to also hit the Final Blow and the Tactic that became a Location. I then noticed that Frigga, Mother of Thor was still in the City, delaying my victory by 2 turns.

Deck 2 was built around Tech cards in both games, but it was the weaker deck in attempt 1 and the stronger deck in attempt 2. Deck 1 was a good blend of (among others) Werewolf by Night's Strength Commons (recruited just after a very early Scheme Twist), Blade, Daywalker's Instinct Uncommon and some of Elsa Bloodstone's Tech Commons. Werewolf by Night and Blade, Daywalker were very effective in KO-ing starters and the occasional wound, but at one point I had no recruit left in deck 1. I doubled down on that and generated between 10 and 26 attack per turn depending on what cards I drew. I could get Blade, Daywalker's Rare from a Party Skrull and Elsa Bloodstone's Rare from an Opera Singer while I still had some recruit left in my Deck.

Attempt 2 gave so many early wounds from Master Strikes and Rampages that it would have been a feat just to win, but after 7 twists that game was lost. In Attempt 1 only 3 Heroes were collected for the Interstellar Zoo, so not too worrisome. 

Thanks to Kylah for another fun setup, Mandarin's Rings do have some KO and depending on the master strikes coming after the rings you could choose to send them back to the City and defeat them again. The forced Heroes were a bit of a jumble. Siryn and War Machine were a little anti synergistic with the Scheme and Mastermind, but I guess that was by design; anti synergy is Kylah's signature for making harder setups and making sure all colours were present in the Hero Deck was a way to make sure the Scheme could not be 'cheated' . Getting Mandarin weaker by getting his rings was the safe but sure way to win, and I got lucky that I had enough time to finish that way in attempt 1. Attempt 2 was drastically different, but that's the shuffle randomness in action.",
,,6,(+5),23,waxbottle & mrs. waxbottle,30,48,78,1st,Yes (6),3rd,32 (7.5),1st,0 (7),9th,2.438 (2),22.5,,18,6,0,2,2,6,2,0,0,12,Darkhawk,Rictor,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,"Heroes work nicely together.  Scheme wasn't very interesting, though it did make me lose a few cards.  Hyperspeed was pretty cool.",
,,7,(+4),21,GZUZROCKS & DaBomb,40,43,83,1st,Yes (6),3rd,32 (7.5),10th,2 (1),4th,2.594 (7),21.5,,3,5,3,1,5,4,2,0,0,12,M,Scarlet Witch,M,Scarlet Witch,Second attempt,4,"Oh my goodness! This was extremely difficult! We got soooo close to a win in our first game but ultimately lost after 36 turns! The second game went better but was still very challenging and really could have ended with a loss on a scheme twist pull for the last 4 turns (thank goodness we were able to hit the MM one last time before a scheme twist was revealed). ""M"" really helped a lot in this matchup and so did Scarlet Witch (3 cost cards for the win!). M's basic card also helped clean up our hands of the many wounds being dealt to us by the set up. Both games we managed to get War Machine's rare which was very helpful. A really challenging set up that I feel fortunate to have actually won....but felt luck really helped us out on the second match. oof! thanks for the spanking Kylah! :-)",
,,8,(+3),20,Bolt_Flashun,46,53,99,1st,Yes (6),9th,40 (2),1st,0 (7),8th,2.475 (3),18,,7,5,0,0,2,0,0,0,0,2,"Uatu, The Watcher",Darkhawk,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"I was lucky to have a LOT of scheme twists early in the game so they whiffed. It was a very close win, I was able to defeat Frigga (After I defeated The Mandarin) thanks to The Nightbringer Ring that allowed me to put a Master strike on top of the Scheme Twist that would have caused me to loose.",
,,9,(+2),21,realdanl,67,23,90,1st,Yes (6),8th,35 (3),8th,1 (2.5),6th,2.571 (5),16.5,,44,11,2,1,3,4,1,0,0,9,Strong Guy,Werewolf by Night,Strong Guy,Werewolf by Night,First attempt,2,"Not my favorite Scheme, but at least it forced me to use a Hero I dislike whose best Common effect works antithetically to the Mastermind.

Four Strikes by turn 10, and didn't see more than one Henchman until about turn 20, so lots of Wounds and a long-swollen Mastermind.  Things were looking dire, so I chanced my first hit on the Mandarin when the other hand didn't have tech, and lost that 1-in-4 gamble so had an escape.  

I did manage to not lose a single Hero card to the first 5 Twists, so at least that bought me the time for things to otherwise come together for a Win.  The second game wasn't so lucky.",
,,10,(+1),19,ElongatedMan,34,18,52,10th,No (1),10th,35 (1),8th,1 (2.5),10th,1.486 (1),5.5,,16,2,0,1,2,4,2,0,0,9,Werewolf by Night,"Wong, Master of the Mystic Arts",Werewolf by Night,"Wong, Master of the Mystic Arts",First attempt,3,"First game was started off brutal, with a lot of tough villains filling the city and wounds being handed out. I managed to get things under control with only 1 escape, and I had the Manarin on the ropes with only the final blow left, but couldn't hit him again before the scheme twist that ended the game.

I thought for sure I could do better, so I stayed up late to get another game it. It was worse. It was much, much worse.",
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,It's a Nice Day for a Bite Wedding,1,(+10),26,HatePhD & EditedMist,17,68,85,1st,Yes (5.5),2nd,26 (9),1st,0 (6),2nd,3.269 (9),29.5,,51,13,0,2,3,8,3,2,0,18,Ms. Marvel,Apocalyptic Kitty Pryde,Apocalyptic Kitty Pryde,Ms. Marvel,Second attempt,5,"""I don't want to say we had fun just because we stomped him...I do think we played it well though.""

Glad we brought Kitty to hide at-risk rares from that Boblin the Zomblin. Even with that he ate 2 rares in each game and sat fat and pretty at 13 most of each game. I was able to buy Kitty's rare in the second attempt and ignore two of his fight affects. #top3?
",
