Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,"By-
standers
rescued","Hero Choice 1
(Attempt 1)","Hero Choice 2
(Attempt 1)","Hero Choice 1
(Attempt 2)","Hero Choice 2
(Attempt 2)","Attempt
Used",Fun Level (no slash),Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,,,,,
33,Cosmos War,1,BleshInTheFlesh,107,24,131,1st,Yes (3),2nd,19 (4),1st,0 (3),1st,6.895 (5),15,,83,15,Amadeus Cho,Hulkbuster Iron Man,Amadeus Cho,Hulkbuster Iron Man,First attempt,5,5/5,Cho's rare was awesome in doing big damage to the masterminds and villains. Didn't see that card on the second round sadly.
,,2,JustHarold,101,6,107,1st,Yes (3),1st,17 (5),1st,0 (3),2nd,6.294 (4),15,,95,14,Amadeus Cho,Korg,Amadeus Cho,Korg,Second attempt,5,5/5,I liked how the scheme twist was basically a free turn. Was sitting on a full city most of the time on game 2 so twists helped a bunch. 2nd hand just kept clearing the henchmen while hand 1 was going full combo no strikes hit (actually was going to have 2 on the next 2 turns.
,,3,Jean-Sebastien & Genevieve,60,88,148,1st,Yes (3),4th,29 (2),1st,0 (3),3rd,5.103 (3),11,,28,9,Rick Jones,Star-Lord,Rick Jones,Star-Lord,Second attempt,4,4/5,"Drax and Star Lord were the All Stars. Drax rare (Avatar of Destruction) was played 3 times in the game, and in one occasion generated 48 attack!!!"
,,4,OllieKitKat & Kylah15,46,76,122,1st,Yes (3),3rd,27 (3),1st,0 (3),4th,4.519 (2),11,,30,10,Korg,Caiera,Korg,Caiera,First attempt,4,4/5,SMASH!
,,5,R3DJ0N,100,30,130,1st,Yes (3),5th,30 (1),1st,0 (3),5th,4.333 (1),8,,70,10,Gamora,Star-Lord,Gamora,Star-Lord,First attempt,3,3/5,"Guess which side had Sentient Starship and Godslayer Blade, and a handful of other artifacts. Not to mention 4 copies Legendary Outlaw. Regularly getting over 20 attack was great, and the final turn was more than 40 after getting set up by Force of Eternity.  Game two was looking pretty good until Morg showed up and buried all the cards I was building for, ultimately it was slower. 

Gamora was my first pick because I wanted more shards and to ignore the shards Magus and  the kree could stack up in the city. I went back and forth on pick 2 seriously considering Groot or someone with Feast. "
,,-,Sparky001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-
,,,,                                                            Eliminated,,,,,,,,,,,,,,,,,,,,,,
E8,Apocalypse Brings About Ragnarok,1,Jalt,38,41,79,1st,Yes (6.5),1st,24 (7),1st,0 (6),1st,3.292 (7),26.5,,3,14,Bishop,Warpath,Bishop,Warpath,First attempt,4,4/5,"I chose Bishop and Warpath to try and pair with the other heroes. I didn't think this would be a hard set up but I wasn't sure how well they would mash up. I didn't want to change heroes for the 2nd playthrough and it went pretty terrible so I got lucky on playthrough 1.

I had either a great (or terrible) shuffle and had 3 strikes and 1 twist hit in the first 4 cards, so that helped me get set-up without loosing anything for my first few turns. I was able to get Shatterstar's rare by turn 10 and clone it so I focused on KO and draw power so I could start hitting Apocalypse. I could have finished the game earlier but I twice pulled Apocalypse's Immortal Tactic after shattering him and ended up having to fight him 7 times."
