Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,"By-
standers
rescued","Hero Choice 1
(Attempt 1)","Hero Choice 2
(Attempt 1)","Hero Choice 1
(Attempt 2)","Hero Choice 2
(Attempt 2)","Attempt
Used",Fun Level (no slash),Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,,,,,
35,EPIC Poison Thanos Enthrones the Barons of Battleworld,1,BleshInTheFlesh,38,26,64,1st,Yes (1.5),2nd,17 (1),1st,0 (1.5),1st,3.765 (2),6,,12,2,Agent Venom,Venom (Venomverse),Silk,Spider-Gwen,Second attempt,4,4/5,1st round was terrible. 2nd round got crazy lucky and pulled 2 silk uncommons early and was able to combo well with gamora to have a low turn count. lots of fun when you get lucky like that.
,,2,MicroDisney0505,37,21,58,1st,Yes (1.5),1st,16 (2),1st,0 (1.5),2nd,3.625 (1),6,,16,6,Silk,Stepford Cuckoos,I did not play a second attempt.,I did not play a second attempt.,First attempt,1,1/5,"Not enough ways to get vp in this game. Thankfully stepford cuckoo made it so I could fight symbiotic armor before it bonded. That, 1 lord shingen, and magma men were the only villains worth vp I saw all game. Silk drawing and gamora's trigger artifact were awesome."
,,,,                                                            Eliminated,,,,,,,,,,,,,,,,,,,,,,
E12,Galactus' Super Hero Civil War,1,Snatchcat,67,59,126,1st,Yes (6),1st,35 (8),2nd,3 (6.5),2nd,3.6 (7),27.5,,8,6,Beta Ray Bill,Lady Sif,Beta Ray Bill,Namora,Second attempt,4,4/5,"Never felt like my heroes clicked the way I wanted them to, but they still got the job done. A few early escapes when I got too many wounds, otherwise not too bad."
,,2,Coldvein & Raja0629,60,85,145,1st,Yes (6),2nd,38 (6),4th,4 (4.5),1st,3.816 (8),24.5,,25,6,Siryn,She-Hulk,Siryn,She-Hulk,First attempt,5,5/5,Quite challenging and tough to contain escapes.
,,3,AdvSwaY,72,55,127,1st,Yes (6),5th,40 (4),1st,2 (8),3rd,3.175 (6),24,,17,6,"Captain Marvel, Agent of SHIELD",Rick Jones,"Captain Marvel, Agent of SHIELD",Rick Jones,Second attempt,5,5/5,"One would think that loading up on Joe Fixit cards would give enough recruit to hit Network Nightmare, nope. Was able to keep the city in check but the game dragged trying to either wait for a master strike or enough recruit to hit Modok. I gave up and just loaded up on officers and finished the job really late in the game. Captain marvel and Rick Jones worked as well as i hopped, really fun setup."
,,4,GZUZROCKS & MyBestPardner,60,27,87,1st,Yes (6),2nd,38 (6),4th,4 (4.5),5th,2.289 (4),20.5,,33,6,Gladiator Hulk,Rick Jones,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,This was fun but challenging. Gladiator hulk's transformed card worked great in combining with photon and joe fix it (discarding but pulling the hulk card back in). It was challenging fighting modok in his transformation to “recruitment attack” and we barely won just as the frost giants were making a stampede at the end! Pretty epic ending!
,,5,CGlied,55,53,108,1st,Yes (6),2nd,38 (6),8th,8 (1),4th,2.842 (5),18,,2,6,"Miek, the Unhived",Rick Jones,"Miek, the Unhived",Rick Jones,First attempt,3,3/5,"Weird games. In my first run, I was in constant scramble mode and could barely keep ahead of anything, but edged out a victory with only a few cards left in the villain deck. For the second game, I was in constant control at about turn 20. Unfortunately, I over optimized my decks and could never land enough recruit to put the finishing blow on the transformed MODOK once all the Master Strikes had been played. I just let it slip away."
,,6,Astigmatic_Oracle,46,44,90,6th,No (2),6th,40 (3),2nd,3 (6.5),6th,2.25 (3),14.5,,2,6,She-Hulk,"Skaar, Son of Hulk",She-Hulk,"Skaar, Son of Hulk",Second attempt,2,2/5,Not enough deck slimming and too many wounds. I was only able to hit MODOK once
,,7,Mangostrike,44,37,81,6th,No (2),7th,37 (2),7th,6 (2),7th,2.189 (2),8,,7,4,Quicksilver,Speed,Quicksilver,Speed,Second attempt,2,2/5,I hate MODOK. I don’t think I’ve ever beaten him and this game moved so fast with the clones and giants. Brutal.
,,8,Off the Cuff,37,27,64,6th,No (2),8th,32 (1),6th,5 (3),8th,2 (1),7,,10,4,Korg,Lady Sif,She-Hulk,Lady Sif,Second attempt,1,1/5,"For how many times I shuffled any deck this game, I sure had a knack for always making it the worst shuffle possible."
