Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,
,,,,                                                            Lower Bracket,,,,,,,,,,,,,,,,,,
30,Doctor Strange Predicts Future Crime,1,R3DJ0N#6458,53,21,74,1st,Yes (2.5),2nd,19 (3),1st,0 (3.5),1st,3.895 (4),13,,32,4,Green Goblin,Bullseye,1/5,This set up is too swingy and luck dependent for my taste. My first game I lost on turn 7 from masterstrikes and schemes chaining together. I got incredibly lucky on my second try. I got Perfect Aim fairly early thanks to Break the Silence.  8 attack wasn't hard to get and I eventually had a turn where I generated 20 attack just off Perfect Aim.  I also only hit 2 scheme twists which was the main factor in winning this set up.
,,2,Zer00verride,25,41,66,1st,Yes (2.5),1st,18 (4),3rd,2 (2),3rd,3.667 (2),10.5,,16,1,Green Goblin,Ultron,4/5,"After my first game (that ended on turn 8 after a Scheme twist on turns 6, 7 and 8) I would be lieing if I said I was not dreading playing the second but this time things went much more my way. Black bolt carrying the right hand side keeping the city clear while Goblin, Ultron and electro got rolling with dodge, generating 24 attack in the last turn. I was dreading every turn of the villain deck right until the end."
,,3,MicroDisney0505,44,24,68,1st,Yes (2.5),3rd,21 (2),1st,0 (3.5),4th,3.238 (1),9,,20,2,Enchantress,Loki,3/5,"Sometimes it is better to have luck than skill. Only saw 2 scheme twists. None revealed by master strikes.  The master strike let me know when to hit Spiderman.  Soul Sacrifice of Enchantress let helped me get Loki's rare on turn 6. Mystique's Turn the Tide revealed Soul sacrifice so I got Electro's rare the next turn. Loki let me keep putting Blackbolt cards back in the HQ so I could recruit them again,  KOing more cards."
,,4,Guardian06,55,48,103,1st,Yes (2.5),4th,28 (1),4th,3 (1),2nd,3.679 (3),7.5,,7,7,Medusa,Mysterio,2/5,"Woof.
What a deceptively challenging setup. MM alone? Not too bad. Scheme alone? Tough, but manageable. The freaking henchmen alone? Not all that bad. Put them together? Death.
I definitely changed my strategy a lot after the smacking I received my first game (which also started with a Scheme Twist, so that was fun lol) by focusing all Throne's Favor in one hand, and most Sinister Six in the other; managed to win with just two cards left in the Villain Deck.
I really didn't enjoy this game, other than the puzzle it presented: I spent serious thought between playthroughs on my strategy. I still score it low because, even once my decks where built up enough to have good turns consistently, I still was just barely managing the city and it was pretty stressful. 
I have no idea of my stats are enough to carry me on to the semi-finals, so if not I'd like to thank everyone (especially Bagel) for allowing me to join this tournament. It's been such a fun addition to my summer! "
31,Kingpin's Intergalactic Kree Nega-Bomb,1,OllieKitKat & Kylah1,21,68,89,1st,Yes (3),1st,19 (4),1st,0 (3),1st,4.684 (4),14,,47,33,Elektra,Domino,5/5,"Angel did Angel things. Nightcrawler was pretty shy and only lightly showed up.  Elektra with all the 1s and 2s was pretty fun. Black Cat & Domino both had some nice discard synergy with Angel too, which further helped him go off the rails and stomp Kingpin."
,,2,Cerberin,51,33,84,1st,Yes (3),3rd,25 (2),1st,0 (3),2nd,3.36 (3),11,,18,4,Scarlet Spider,Gamora,4/5,"I only had time near the tournament end to play the setup. I have decided to go with Scarlet Spider and Black Cat on right, and Angel+Nightcrawler with the help of Gamora on the left. With 4 Scheme Twist I had a relatively bad luck pulling 2 scheme twists from the Nega-Bomb deck, also chose not to have any protection vs. Kingpin MS and got hit twice by it. The setup was interesting and I have only won because I recruited 3 of the rares (Gamora's, Scarlet Spider's & Nightcrawler's) relatively early which helped me with regular sweeps of the city.  One crucial moment was when I fought Kingpin and got his Criminal Empire MM Tactic (not as his last) which filled up the city, but luckilly the next card was bystander. Left hand delivered the final blow generating 26 attack on last turn defeating Kingpin, Jigsaw and one of two Sentinel O*N*E. Really tough setup if luck is not on your side!"
,,3,Redblock,38,39,77,1st,Yes (3),2nd,24 (3),1st,0 (3),3rd,3.208 (2),11,,1,12,Wolverine (X-Force),Elektra,4/5,"Wasted first try due to misunderstanding the scheme, second time went better, Angel + X Wolvie gave me all the draw I needed"
,,4,yeeches,41,25,66,4th,No (1),4th,28 (1),4th,2 (1),4th,2.357 (1),4,,16,9,Spider-Woman,Daredevil (Marvel Knights),2/5,Very rough luck pulling twists from the stack early! I think my hero strategy was sound but I just couldn't get there fast enough in either attempt.
