Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,Strikes,Twists,Villains,Henchmen,Bystanders,Other,Total,1,2,1,2,,,,,1
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
,,3,(+9),9,Jinjoz,42,41,83,1st,Yes (6),9th,33 (3),3rd,1 (8.5),3rd,2.515 (9),26.5,,1,13,0,4,1,0,3,0,8,Strong Guy,Quake,Strong Guy,Quake,First attempt,4,"Really happy with my hero choices, they complimented the other heroes very well. Clone is one of the best abilities in the game so I really wanted to make sure M got supported. But ya solid game, just got slowed down a little early due to scheme twists.",,
,,4,(+8),8,captaincardone & paisley5002,55,27,82,1st,Yes (6),5th,30 (7),10th,6 (2),2nd,2.733 (10),25,,28,13,2,3,1,0,2,0,8,Stepford Cuckoos,Quake,Stepford Cuckoos,Quake,First attempt,4,This was fun. Wounding all the villains is always a good twist to the general game.,,
,,5,(+7),7,Techfiend,22,53,75,1st,Yes (6),6th,32 (5),1st,0 (10.5),9th,2.344 (3),24.5,,31,5,0,3,4,0,1,0,8,King Black Panther,Quake,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,None,,
,,6,(+6),6,Loconnole & Klcgolf,31,33,64,1st,Yes (6),2nd,27 (10),8th,4 (3.5),7th,2.37 (5),24.5,,2,4,0,4,5,1,2,0,12,Mockingbird,Deathlok,Mockingbird,Wanda & Vision,Second attempt,5,Very fun puzzle to solve. Switching gears to optimize Queen Storm with Wanda & Vision was an excellent pivot to help get Killmonger down more easily. 1 player did that the other did Phil and Mockingbird and M was barely present at all,,
,,7,(+5),5,Kb_driven,23,59,82,1st,Yes (6),10th,34 (2),3rd,1 (8.5),5th,2.412 (7),23.5,,36,6,0,3,3,0,1,0,7,Quake,Mockingbird,Yelena Belova,Mockingbird,Second attempt,5,"I enjoyed this setup a lot!  I really thought game one was a loss, but Queen Storm saved the day with two clutch wounds on Killmonger that allowed me to salvage a win.  Quake wasn't as effective as I'd hoped, so in game 2, I brought in Yelena and gained a new appreciation for her abilities.  She worked amazingly well with Mockingbird, putting together some huge turns and stole the game from deck 1, which focused more on M and 3-costs.  Ended up only being one turn less on 2nd attempt, but I think it was an overall better game so that's my submission.",,
,,8,(+4),4,Gideon Wyatt & Mrs. Gideon Wyatt,26,50,76,1st,Yes (6),6th,32 (5),5th,2 (6),6th,2.375 (6),23,,24,4,1,2,2,0,2,0,7,Quake,Siryn,Quake,Siryn,Second attempt,3,I thought Siryn would be a good hero to choose as she has only red and blue to pair well with Queen Storm's empower and she would help with activating Coulson's and M's cards. Quake and Storm were a good combo as well. The hero deck shuffle in both games was a little rough. Game one Coulson was able to build up his shield level but kept getting hit with small hand sizes from the MS and I couldn't recruit an M to save my life. Game 2 was the exact opposite. Turns out Sinister Clones aren't all they are cracked up to be.,,
,,9,(+3),3,Pervavita & Catswifty,59,11,70,1st,Yes (6),6th,32 (5),5th,2 (6),10th,2.188 (2),19,,48,6,1,3,4,0,1,0,9,Black Panther (Avengers),King Black Panther,Black Panther (Avengers),King Black Panther,First attempt,4,"Fun setup, we screwed up not using the wound benefits from villains so probably robbed us of a few points. The plan was using Black Panthers multi class cards to negate Killmongers MS’s and with BP’s heavy red we would also get our SHIELD clearance high for added points and card draw. It worked out just too slowly.",,
,,10,(+2),2,silverthorn3436,14,17,31,1st,Yes (6),1st,24 (11),11th,10 (1),11th,1.292 (1),19,,3,1,2,5,3,0,6,0,16,King Black Panther,White Wolf,King Black Panther,White Wolf,Second attempt,5,"First attempt was a bust when I realised I was playing Wound completely wrongly on Killmonger. Second attempt went well, although I lost a lot of escapees (most of the heroes) because I got all of the Mister SInister Clones in the first 7 turns. Barely used the abilities on the non-Black Panther heroes. Overall, an enjoyable experience.",,
,,11,(+1),1,Jmaster1324,28,62,90,1st,Yes (6),11th,38 (1),8th,4 (3.5),8th,2.368 (4),14.5,,34,6,0,2,1,0,0,0,3,Quake,Princess Shuri,Mockingbird,Quake,Second attempt,3,KM isn't usually much of an issue for me but boy he just his league kept healing him making some of my turns useless. My first game I tried to make 2 decks work but in the end it made neither deck really work. So for my second run I went all SHIELD Level which is always fun. I ended up having more points in Undercover in deck 2 than deck 1 had total.,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Hela's Obedience School,1,(+10),10,Pyromagnus & Shoshielynn,51,10,61,1st,Yes (6.5),1st,22 (10),1st,0 (8),2nd,2.773 (9),33.5,,41,9,3,3,6,4,1,0,17,She-Hulk,Spider-Man Noir,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,N/A,,
,,2,(+9),9,Off the Cuff,28,45,73,1st,Yes (6.5),2nd,26 (8.5),1st,0 (8),1st,2.808 (10),33,,17,10,2,6,5,4,0,0,17,Amadeus Cho,Iceman,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"I saw a few people saying it was pointless to support Thor in this setup. Jokes on them, cause Thor and Iceman were the combo that won me the game, though, granted, putting anyone with Iceman is a bit cheap",,
,,3,(+8),8,Jean-Sebastien & Genevieve,30,41,71,1st,Yes (6.5),2nd,26 (8.5),1st,0 (8),3rd,2.731 (8),31,,11,9,1,4,4,4,1,0,14,Bruce Banner,Iron Fist,Bruce Banner,Iron Fist,First attempt,4,"Difficult setup with no sidekicks, difficult recruitment because of the scheme and master strike crowding the city. Korg was the All-Star with lots of card draw and Smash. Did not used Thor except for 1 Mjolnir. Our game 2 was a loss with 2 escapes, so I guess the setup as a whole was very luck-dependant.",,
,,4,(+7),7,snash108 & SBPKECN,52,22,74,1st,Yes (6.5),5th,31 (5),1st,0 (8),5th,2.387 (6),25.5,,30,9,1,5,2,4,1,0,13,Forge,Gladiator Hulk,Forge,Gladiator Hulk,Second attempt,4,"Brought Forge to support Punisher, and Gladiator Hulk to support Korg. Thor was there, but wasn't key to either deck. BFG ended up shredding through Hela pretty effectively!",,
,,5,(+6),6,GamerGump,18,55,73,1st,Yes (6.5),4th,28 (7),6th,1 (4.5),4th,2.607 (7),25,,37,10,3,7,2,5,0,0,17,Hulkbuster Iron Man,Beta Ray Bill,Beta Ray Bill,Forge,Second attempt,4,"Hela is not the most difficult mastermind, only getting Fenris wolf on the first mastermind tactic was pain.   The scheme kicked my but in the first round. Finding a draw/discard loop with Forge, Beta Ray Bill, and Korg created an OP attack.",,
,,6,(+5),5,coldvein & raja,37,33,70,1st,Yes (6.5),5th,31 (5),1st,0 (8),7th,2.258 (4),23.5,,4,10,2,2,6,3,0,0,13,Iron Fist,Gladiator Hulk,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,Hela never goes down without a fight.  Nice combination of support villains to keep it interesting.,,
,,7,(+4),4,PragmaticSquid,44,36,80,1st,Yes (6.5),8th,35 (3),6th,1 (4.5),6th,2.286 (5),19,,8,9,0,3,3,2,1,0,9,Beta Ray Bill,Forge,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,The much maligned Thor ended up with a couple of Mjolnir's which he used to pummel Hela.  A punisher tech concentration with punisher thinned the deck.  The obedience disks kept all the races away.,,
,,8,(+3),3,freeclint,39,24,63,1st,Yes (6.5),5th,31 (5),10th,4 (1),8th,2.032 (3),15.5,,15,10,1,3,4,3,0,0,11,Hulkbuster Iron Man,Iron Man Noir,Hulkbuster Iron Man,Iron Man Noir,Second attempt,5,"Pod 7 lamentations:  Attempt one, still in progress, but that damn wolf resurrecting wrecked me.  Surtur came back into HQ with his crown, ragnorok occurs, man if it can go wrong, so far it does.  Had to KO Hulkbuster's rare before I ever used it.  My escapes and KO'd heroes is off the charts.  Punisher I think forgot the dynamite.  First Boom Goes the Dynamite showed up after turn 32.  Everything went better recruit wise in #2.  One deck was strictly tech and the other was a hodge podge that leaned more towards strength, and it got HulkBuster Rare and then it was in business and worthy as well.  Punisher remembered his dynamite this time and Hail of Bullets was killing villains.",,
,,9,(+2),2,CoreyG,28,30,58,9th,No (1.5),9th,37 (2),8th,2 (3),10th,1.568 (1),7.5,,2,4,0,1,3,1,2,0,7,Hulkbuster Iron Man,Iceman,Hulkbuster Iron Man,Iceman,First attempt,3,"Rough time! I was hit with 4 of Hela's M.S. early (before any Henchmen or could defeat any other 3+ VP Villains), so I took on a ton of wounds early which had to be mitigated. As I worried, Thor felt like a trap after 2 rounds of trying to make him work. I was hoping Iceman's card draw could help me draw enough to become Worthy, but Iceman's 2-cost draw cards and Thor's 5-cost Worth-enabling cards wanted to hide in the Hero Deck. The deck never really popped off. Korg was my all star, and Hulkbuster felt like a great choice for the setup in both of my attempts. I appreciated having the Maggia Goons as the Henchmen paird with the Subjugate Scheme. It was nice to prioritize KO-ing my Troopers and holding onto my Agents longer as I would need the recruit for increasing-costed HQ heroes while still having a recruit outlet by fighting Maggia Goons. This was actually my first attempt at Hela (as HoA is a more recently acquired set for me), and she is tough!",,
,,10,(+1),1,GreyWadejokis,41,27,68,9th,No (1.5),10th,34 (1),9th,3 (2),9th,2 (2),6.5,,14,11,0,1,0,0,1,0,2,Cable,Bruce Banner,Cable,Bruce Banner,First attempt,5,Thank you for creating this,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,J. Jonah Jameson's Symbiote Switcheroo,1,(+10),10,MicroDisney0505,28,66,94,1st,Yes (5.5),2nd,24 (8.5),1st,0 (6),1st,3.917 (10),30,,38,20,2,7,11,7,1,0,28,Ant Army,Jentorra,Ant Army,Jentorra,Second attempt,1,"Ant army, Cassie Lang, and Beta Ray Bill worked really well together. That hand had less vp, but did more work. They just kept getting villainous weapons and clearing angry mobs.",,
,,2,(+9),9,ElongatedMan,59,14,73,1st,Yes (5.5),2nd,24 (8.5),1st,0 (6),4th,3.042 (7),27,,45,25,2,6,16,3,1,0,28,Ant Army,Ant-Man (MCU),Ant Army,Ant-Man (MCU),Second attempt,5,Very fun setup for my first attempt at a tournament. So many different keywords had me spamming the keyword bot! Cassie and her dad make a great team.,,
,,3,(+8),8,Dr_Polygon,41,23,64,1st,Yes (5.5),1st,22 (10),1st,0 (6),6th,2.909 (5),26.5,,18,18,4,6,14,5,1,0,30,Ms. America,Valkyrie,Ms. America,Valkyrie,First attempt,5,Awesome fun. Great setup.,,
,,4,(+7),7,Extra cheese & Pizza,52,34,86,1st,Yes (5.5),4th,27 (6.5),1st,0 (6),3rd,3.185 (8),26,,18,11,2,8,11,5,1,2,29,Ant-Man (MCU),Jessica Jones,Ant-Man (MCU),Jessica Jones,First attempt,5,Pizza was able to stop the deck from playing a couple of times with cassie lang quantum beacon and even got to put a couple villains in vp with jessica Jones full art. Probably one of the funnest games we played. Extra Cheese was green and size changing.,,
,,5,(+6),6,Narellish & ooskarr,61,45,106,1st,Yes (5.5),6th,30 (4.5),1st,0 (6),2nd,3.533 (9),25,,16,37,3,4,9,4,1,0,21,Carnage,Venompool,Carnage,Venompool,Second attempt,4,"We found it easier than we thought when first reading it, but really enjoyed our games. Looking forward to the rest of the weeks now. Thank you for running this.",,
,,6,(+5),5,CombatantMoth & QueenKate34,56,6,62,1st,Yes (5.5),4th,27 (6.5),1st,0 (6),9th,2.296 (2),20,,50,13,2,4,14,5,1,0,26,Thor (Heroes of Asgard),Lady Sif,Thor (Heroes of Asgard),Lady Sif,Second attempt,5,"Thor (HoA), Lady Sif, Beta Ray Bill and Cassie Lang worked well together as there are a ton of 5 cost for Worthy, Artifacts which make Sif's Weapon Master great and the card draw for BRB helped cycle the deck and get good cards in your hand which helped with activating Size-Changing. Overall, a very fun game!",,
,,7,(+4),4,realdanl,57,38,95,1st,Yes (5.5),10th,32 (1),1st,0 (6),5th,2.969 (6),18.5,,19,16,2,5,8,4,1,0,20,Ant Army,Man-Thing,Ant Army,Man-Thing,Second attempt,4,Never did see the Ambush Scheme.,,
,,8,(+3),3,iburnicus,44,30,74,1st,Yes (5.5),8th,31 (2.5),1st,0 (6),8th,2.387 (3),17,,14,17,3,2,9,4,2,0,20,Jentorra,Jessica Jones,Jentorra,Jessica Jones,First attempt,5,"what a great setup! 
so much going on but never a moment of big despair.
hope rest of the pod had as much fun as me and i hope i didnt underperform cuz it def didnt feel like it!",,
,,9,(+2),2,DRobb & ShadowoftheBat,26,42,68,1st,Yes (5.5),6th,30 (4.5),1st,0 (6),10th,2.267 (1),17,,16,4,4,5,10,2,1,0,22,Jessica Jones,Jentorra,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Good Game, could have went at master mind harder",,
,,10,(+1),1,Chuck Bauer,68,20,88,1st,Yes (5.5),8th,31 (2.5),10th,3 (1),7th,2.839 (4),13,,48,17,2,6,9,3,0,0,20,Ant-Man (MCU),Jentorra,Ant-Man (MCU),Jentorra,Second attempt,4,"Brought Jentorra to assist Howard the Duck and Cassie, Ant-Man joined to assist with strength as well. Turns out that Beta Ray Bill , Cassie and Ant-Man are a phenomenal team!",,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Arachnophobia,1,(+11),11,JParnell,21,37,58,1st,Yes (6),1st,16 (10.5),1st,0 (7.5),2nd,3.625 (10),34,,16,14,1,5,9,5,2,0,22,Silk,High Tech Spider-Man,Silk,High Tech Spider-Man,Second attempt,5,"Game 2 yielded 2 copies of Shadowed Spider pretty early, and we just rode those to victory with as much 2 cost Coordinate on the other side as possible. I love a good Spider-game every now and then.",,
,,2,(+10),10,Zer00verride,82,12,94,1st,Yes (6),5th,23 (7),1st,0 (7.5),1st,4.087 (11),31.5,,70,34,2,4,8,3,1,0,18,Spider-Gwen,Happy Hogan,Spider-Gwen,Happy Hogan,Second attempt,4,Originally was going to take 2 spider heroes but thought I would give Happy a shot and it seemed to work pretty well one side coordinating a card to the other to get extra recruit. The other side being spider heroes doing spider things. Only worry is it might have been a bit slow compared to double spider.,,
,,3,(+9),9,Allman,44,14,58,1st,Yes (6),3rd,17 (9),1st,0 (7.5),6th,3.412 (6),28.5,,30,12,1,5,10,5,2,0,23,Scarlet Spider,Silk,Scarlet Spider,Silk,First attempt,1,I dont like only 2 cost recruit,,
,,4,(+8),8,Shaggy427,57,32,89,1st,Yes (6),6th,25 (5),1st,0 (7.5),3rd,3.56 (9),27.5,,25,23,2,0,7,3,0,0,12,Silk,Black Swan,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,"This felt pretty linear given the three spider heroes in the seeding. It will be interesting to see the ramifications of losing them down the line. 

On a positive note, it felt very winnable at all points and the scheme itself is good for bystander farming to rack up the point totals for the tournament score. 

Overall, good time but wish there was a little more build diversity that was competitive.",,
,,5,(+7),7,Iceman & Spooderman,45,43,88,1st,Yes (6),6th,25 (5),1st,0 (7.5),4th,3.52 (8),26.5,,2,25,0,3,4,3,0,0,10,High Tech Spider-Man,"Peter Parker, Homecoming",I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"They killed it. Only the High Tech rare came out, and they pretty much quit buying new cards around turn 10.",,
,,6,(+6),6,Avataristche,49,8,57,1st,Yes (6),4th,19 (8),1st,0 (7.5),8th,3 (3),24.5,,41,11,1,6,8,6,0,0,21,Silk,Spider-Gwen,I did not make a second attempt.,I did not make a second attempt.,First attempt,2,Meh,,
,,7,(+5),5,jiggliestpuff,26,22,48,1st,Yes (6),1st,16 (10.5),10th,2 (2),8th,3 (3),21.5,,4,14,3,4,9,5,1,0,22,Silk,Spider-Gwen,Silk,"Peter Parker, Homecoming",Second attempt,5,"Spider-Gwen ended up being dead weight in game 1 since the board filled up pretty quick and I couldn't take down the booster Sinister Six (especially Sandman, phew). I really love the Homecoming expansion and swapping in Homecoming Peter really made things flow better (getting Liz for free from a mastermind tactic weakened both Kravens, helped with recruiting cheap heroes with wall crawl, and getting rid of hidden witnesses). A lot of luck due to Danger Sense and getting the rare cards for Silk and Spider-Man Noir in the same turn helped too!",,
,,8,(+4),4,jwigand,46,40,86,1st,Yes (6),6th,25 (5),11th,3 (1),5th,3.44 (7),19,,6,24,0,2,3,1,0,0,6,Agent Venom,Spider-Gwen,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,I enjoyed the set up. I believe I did everything correctly.,,
,,9,(+3),3,royalroast,40,53,93,1st,Yes (6),11th,31 (1),1st,0 (7.5),8th,3 (3),17.5,,13,34,2,1,4,2,0,0,9,Spider-Gwen,"Peter Parker, Homecoming",I did not play a second attempt.,I did not play a second attempt.,First attempt,2,Got tired of all the bystanders and the inability to use Gwen's power because rooftops was always full until the end.,,
,,10,(+2),2,jpilger,30,48,78,1st,Yes (6),9th,28 (3),1st,0 (7.5),11th,2.786 (1),17.5,,18,22,3,3,5,1,0,0,12,Agent Venom,Silk,Agent Venom,Silk,Second attempt,4,"I enjoyed theming this game to the Spider-Island storyline, but I don't think it helped me do well.",,
,,11,(+1),1,brentmcampbell & ruuhaku,34,63,97,1st,Yes (6),10th,29 (2),9th,1 (3),7th,3.345 (5),16,,29,26,2,1,2,2,0,0,7,Spider-Woman,Silk,Spider-Woman,Silk,First attempt,4,"Fun setup with lots of spidery interactions. I love having all my cards Wall-Crawl to the top of my deck if I so chose. The city stayed surprisingly full due to the MS and Scheme Twists constantly putting Villains back in. One player played play full recruit with Peter's Allies and the other a full 2-cost Spider deck. The recruit side had a turn 4 MM hit and a 2nd hit on turn 8 but mostly fizzled out after that. The Spider-man side took more time to get going, but when it did, it was pulling 12+ Attack every turn. The 2nd attempt had fewer turns but less VP overall so even with the escape I figured this run would be better.",,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Kingpin's Cash Caper: Banking on Buffoonery,1,(+10),10,the.melkman. & Snapcity57,22,80,102,1st,Yes (5),1st,22 (9),1st,0 (7),1st,4.636 (9),30,,58,31,4,6,6,5,6,0,27,Angel,Darkhawk,Angel,Photon,Second attempt,2,The melking was Angelic,,
,,2,(+9),9,orbrover,32,35,67,1st,Yes (5),3rd,24 (7),1st,0 (7),5th,2.792 (5),24,,3,6,1,5,4,5,2,0,17,Wolverine (X-Men),Punisher,Wolverine (X-Men),Punisher,Second attempt,4,I kind of with this wasn't a required question. Sorry. :-),,
,,3,(+8),8,zombiegamer5,34,58,92,1st,Yes (5),4th,30 (5.5),6th,1 (2.5),2nd,3.067 (8),21,,24,11,1,0,0,0,1,0,2,Bishop,Punisher,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"It definitely wasn't an easy scenario, I only had two cards left in the villain deck by the time I landed the final blow. I really liked the synergy between Gambit and Daredevil, I got extra cards almost every turn as a result. Thematically, I enjoyed the idea of Kingpin stealing the Mandarin's Rings. I did my best to keep the Bank space clear to avoid cascading scheme twist kidnappings. At one point I pulled three scheme twists in one villain phase so a Ring henchman had 6 bystanders. Overall I would recommend playing this if you're bored waiting for your next tournament game and want to play a game just for fun. Thanks Kylah!",,
,,4,(+7),7,Tozar,33,39,72,1st,Yes (5),4th,30 (5.5),1st,0 (7),8th,2.4 (2),19.5,,6,8,3,4,3,2,3,0,15,Blade,Rogue,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,Thanks for the setup.,,
,,5,(+6),6,Bronson & Lighthouse,61,49,110,1st,Yes (5),9th,36 (1),1st,0 (7),4th,3.056 (6),19,,12,22,2,0,1,0,0,0,3,Elektra,Punisher,Elektra,Punisher,First attempt,3,"Total straight forward, non evil setup, in a Kylah run tournament - I didn’t think there was such a thing! ;)",,
,,6,(+5),5,THS_coconutgamer,48,53,101,1st,Yes (5),6th,33 (4),6th,1 (2.5),3rd,3.061 (7),18.5,,5,20,0,0,0,0,0,0,0,Wolverine (X-Men),Ronin,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,Thank you,,
,,7,(+4),4,Powerprime,27,59,86,1st,Yes (5),7th,34 (3),1st,0 (7),7th,2.529 (3),18,,32,15,2,4,4,3,3,0,16,Emma Frost,Punisher,Emma Frost,Punisher,Second attempt,3,So going into this I wanted to quit. I have played so much core and dark city to teach this game that I didn’t want to play this scenario. The hero’s that were pick is what made it fun. After looking them over I found the creativity of the hero’s interacting with bribe was a go choice and Is what save this set up for me.,,
,,8,(+3),3,Ashyy23,23,27,50,1st,Yes (5),2nd,23 (8),6th,1 (2.5),9th,2.174 (1),16.5,,4,1,4,3,7,3,7,0,24,Angel,Elektra,Ghost Rider,Elektra,Second attempt,3,Nil,,
,,9,(+2),2,OleRockyTop,53,39,92,1st,Yes (5),8th,35 (2),6th,1 (2.5),6th,2.629 (4),13.5,,14,21,1,2,4,1,0,0,8,Iceman,Storm,Iceman,Storm,Second attempt,4,First run was rough with a bunch of master strikes and scheme twists early on. Also Venom captured a bunch of bystanders from those master strikes and I didn't have a way to deal with him before he escaped.,,
,,10,(+1),1,David_leavitt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Ultron's Wakandan Coup: Rise of the Metal Monarch,1,(+11),11,SnekeTV,43,38,81,1st,Yes (6.5),3rd,28 (9),1st,0 (7.5),1st,2.893 (11),34,,5,5,1,4,4,1,1,0,11,King Black Panther,Tigra,King Black Panther,Tigra,Second attempt,3,"Was a fun setup, and found it interesting utilising thrones favour for defence, but I feel like a master strike is either devastating when it hits, or if you have a tech or happen to have no discard pile at the time, it mades the game not challenging enough. Wish I could combo more with maximus, but once his cards finally showed in the HQ Ultron took them for himself :P",,
,,2,(+10),10,Drewfusmcge,33,37,70,1st,Yes (6.5),2nd,26 (10),1st,0 (7.5),4th,2.692 (8),32,,4,5,1,3,6,1,0,0,11,Ant-Man (Ant-Man),King Black Panther,Ant-Man (Ant-Man),King Black Panther,Second attempt,4,"Not too bad! Having King Black Panther basically just ignores this scheme entirely since he's constantly taking the throne's favor. Plenty of tech to stave off Ultron's master strikes with Ant-Man and Maximus, across both games he only got empowered from a master strike once, the rest came from his tactic that takes the top three cards of the hero deck. Both attempts had a similar points per turn, but attempt 2 had seven fewer turns so I had to go with that one. Lots of fun, can't wait to play some more!",,
,,3,(+9),9,Adrian Miller,39,25,64,1st,Yes (6.5),1st,25 (11),1st,0 (7.5),5th,2.56 (7),32,,14,4,1,4,5,5,0,0,15,White Wolf,Wonder Man,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,.,,
,,4,(+8),8,KelgatesKollections,43,48,91,1st,Yes (6.5),8th,33 (4),1st,0 (7.5),2nd,2.758 (10),28,,5,4,1,2,1,1,1,0,6,Ant-Man (Ant-Man),Stature,Ant-Man (Ant-Man),Stature,Second attempt,4,"I decided to add some flavor with Ant-Man here versus Ultron. I had the idea of building out a Tech based side with the help of the card draw feature with Ant-Man and Stature 

While the other side was General Okoye and Stature's strength of defeating Attack's of 3 for free(To get around Shield Clearance) to have both sides try and have a counterstrike to this mission.

Game one went really well, minus me fumbling at the start and had 2 villains escape but game two I didn't have any of my finisher cards.(Ant-Man +1 attack for each drawn card.) or Stature's +1 for each Attack of 3 in VP Pile. Luckily I picked up an early Pym's Particles(Ant-Man's Rare) to allow me to strike Ultron over and over again just in time for the victory. Despite Game 2 being a turn slower, it generated more VP because of no villains escaping with ultimately is what I put in.

It is funny to see how a well planned game can work, but not generate the same amount of VP as a plan that is not giving you the hero cards you need in the moment.",,
,,5,(+7),7,CK,49,30,79,1st,Yes (6.5),4th,29 (8),9th,1 (2.5),3rd,2.724 (9),26,,19,4,2,4,2,2,0,0,10,Ant-Man (Ant-Man),White Wolf,Ant-Man (Ant-Man),White Wolf,First attempt,4,"I thought I'd fill the hero deck with tech heroes to counter Ultron, only for Ultron to get empowered by all my tech heroes! T_T",,
,,6,(+6),6,Tuba2k7 & Aliayc22,42,38,80,1st,Yes (6.5),6th,32 (5.5),1st,0 (7.5),6th,2.5 (6),25.5,,4,4,0,4,0,4,0,0,8,King Black Panther,White Wolf,King Black Panther,White Wolf,First attempt,4,Very fun game. Thrones Favor is a fun mechanic. Second game master strikes hit early and couldn’t get enough attack to finish Ultron off.   First time playing black panther set so we enjoyed the game.,,
,,7,(+5),5,dyn0mike27,32,47,79,1st,Yes (6.5),6th,32 (5.5),1st,0 (7.5),8th,2.469 (4),23.5,,15,4,1,2,4,0,0,0,7,Ant-Man (Ant-Man),King Black Panther,King Black Panther,Princess Shuri,Second attempt,3,Both games would have been a cakewalk if not for Ultron’s Tactic that puts 3 cards from the Hero deck into his Empowered pile.,,
,,8,(+4),4,Marvel0582 & Allison095,41,42,83,1st,Yes (6.5),9th,34 (3),1st,0 (7.5),9th,2.441 (3),20,,1,5,0,2,4,0,0,0,6,King Black Panther,White Wolf,King Black Panther,White Wolf,Second attempt,4,"Decently challenging. We lost our first game, used the same heroes for attempt to and barely got the win!",,
,,9,(+3),3,caseystahl1125,41,15,56,1st,Yes (6.5),5th,30 (7),11th,6 (1),10th,1.867 (2),16.5,,26,3,1,2,4,2,0,0,9,Princess Shuri,Jocasta,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,I had a log jam of villians escape early as I was building my deck. My strategy to go all tech with my heroes lowered Ultrons hit points. I was unable to get any great combos and no rares came out to play. I barely won with schemes almost causing the 5 tribes of Wakanda to be defeated. Narrow win,,
,,10,(+2),2,Montax30,42,47,89,1st,Yes (6.5),10th,36 (2),9th,1 (2.5),7th,2.472 (5),16,,5,2,1,2,0,0,0,0,3,Black Panther,King Black Panther,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,Tried to attempt a multi colored deck,,
,,11,(+1),1,viz_maximoff & cummylootr,18,20,38,11th,No (1),11th,31 (1),1st,0 (7.5),11th,1.226 (1),10.5,,2,1,0,1,1,0,0,0,2,Princess Shuri,Goliath,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,This was difficult af.,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Lilith 2024: The Demon You Know You Want,1,(+10),10,Buya & DSCern,30,44,74,1st,Yes (4.5),1st,22 (7),1st,0 (5.5),3rd,3.364 (5),22,,14,13,4,7,6,4,0,0,21,Apocalyptic Black Widow,Werewolf by Night,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"We went with Apocalyptic Black Widow for her Liberate abilities, which we thought would do good here with the amount of Bystanders. We also went with Werewolf by Night to try and elect him president! During the course of the game though we had to switch tactics and start nominating Star-Lord T'Challa as not enough Werewolf cards showed up. We had a lot of KO (more than we expected) and were able to build up both sides pretty well. I took advantage of an early Ghost Rider ""Death Beyond Death"" to really take advantage of the KO and Liberate from the henchmen in this game.",,
,,2,(+9),9,R3DJ0N,46,67,113,1st,Yes (4.5),4th,32 (4),1st,0 (5.5),1st,3.531 (7),21,,21,15,0,4,3,4,1,0,12,Hulk 2099,Clea,Hulk 2099,Clea,First attempt,4,"Was hoping to get some early hits on on Lilith with Hulk 2099's uncommon but it didn't come out so I had to keep building up. Was able to keep the city clear most of the later game though, even if player 1 had to spend a lot of turns countering negative advertising. Eventually got Hulk's rare for player 2 and they were able to hit Lilith almost every turn. T'Challa was my candidate, is he still the president if he was behind on votes when the game ended? Game 2 was terrible opened with Blackout on moonlight and didn't slow down with hunt for victims until there were 5 bystanders KO'd.",,
