Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,Strikes,Twists,Villains,Henchmen,Bystanders,Other,Total,1,2,1,2,,,,,1
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
2,Black Widow's Inner Struggle,1,(+10),10,Dre 2 point 0,42,50,92,1st,Yes (7),2nd,27 (8),1st,0 (6.5),1st,3.407 (9),30.5,,8,19,3,2,11,1,1,0,18,Deadpool (Unaffiliated),Falcon & Winter Soldier,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"What a close call! Only one card was left in the hero deck. I had really great decks going pretty quickly, but I didn’t see a second Elite Assassin villain until turn 21! It hurt to see all those rares get KO’d, but I managed to get Deadpool’s, which let me shift starter heroes to the deck that could put them undercover with ease.",,
,,2,(+9),9,Yeeches,46,47,93,1st,Yes (7),3rd,28 (7),1st,0 (6.5),2nd,3.321 (8),28.5,,1,16,2,2,9,2,2,0,17,Captain America,Falcon & Winter Soldier,Captain America,Falcon & Winter Soldier,Second attempt,4,I went for full-on Dark memories and Captain's colors. Terrible draw first game but better luck on take 2. Had 1 deck down to 7 cards after all the undercover I did while waiting for more assassins to show lol. Weird & challenging games !!,,
,,3,(+8),8,Chapmaca7,14,77,91,1st,Yes (7),4th,32 (6),1st,0 (6.5),3rd,2.844 (7),26.5,,63,24,0,1,9,2,0,0,12,Deadpool (Unaffiliated),Hawkeye,Deadpool (Unaffiliated),Hawkeye,Second attempt,4,Really fun game! Awful first attempt but really turned it around on second attempt. Right hand only had 5 cards in deck at end of game due to KO and undercover.,,
,,4,(+7),7,MrTInce,23,28,51,1st,Yes (7),1st,22 (9),1st,0 (6.5),7th,2.318 (3),25.5,,5,7,2,3,13,6,0,0,24,Iron Man,Red Guardian,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"I'll be honest, I got really lucky with the cards in the hero deck being able to set one side as covert and the other all tech. Wish I could have got more villains but with the MM you have to hit him while you can.",,
,,5,(+6),6,AntDude & WaspWoman,27,47,74,6th,No (2.5),7th,30 (3),1st,0 (6.5),5th,2.467 (5),17,,20,19,1,1,7,3,0,0,12,Red Guardian,Deadpool (Unaffiliated),Red Guardian,Deadpool (Unaffiliated),Second attempt,1,"This was brutal, so many wasted turns with thin decks full attack. The short pseudo-timer scheme with Indestructible Man stretching the game out was a very rough and very Kylah combination. A very upsetting setup for WaspWoman’s return.",,
,,6,(+5),5,Mangostrike,19,48,67,6th,No (2.5),8th,27 (2),1st,0 (6.5),4th,2.481 (6),17,,29,30,2,2,9,1,0,0,14,Iron Man,Hawkeye,Deadpool (Unaffiliated),Spider-Man,Second attempt,4,"This was brutal. I had more than enough attack each turn to take out any opponent, but only had the Elite Assassins villain group come out of the deck 3 times in 27 turns. The final twist took out my Hero Deck, so perhaps recruiting differently would have been a better choice, but this was so frustrating to get 3 twists on turns 24, 26, 27 when all I needed was an Elite Assassin to show up. Not a great start to the tournament, but a really interesting setup that blocks BW's OP strength from running away with the game.",,
,,7,(+4),4,bdst,60,20,80,1st,Yes (7),5th,44 (5),9th,5 (1),8th,1.818 (2),15,,40,15,0,0,5,0,0,0,5,Emma Frost,Yelena Belova,Emma Frost,Yelena Belova,First attempt,2,"I figured the only way to win was to create a ""reserve"" of 41 Heroes and only recruit 15 . (14 in the end because of an escaping Doombot). Emma was just a ""place-holder""; I recruited none of her cards. 

Meant a lot of hands were just ""chuck-ins"" in mid-game because I didn't want to recruit and didn't have enough attack. A side effect of this was that it was easy to get rid of wounds.

I got deck 1 down to 6 cards: 2 dangerous rescue, 1 covert operations and 3 troopers.",,
,,8,(+3),3,hatephd & EditedMist99,38,39,77,6th,No (2.5),6th,32 (4),7th,2 (3),6th,2.406 (4),13.5,,1,26,1,2,7,3,1,0,14,Hawkeye,Nick Fury,Hawkeye,Nick Fury,Second attempt,3,"We were not in control at any point of the game. We watched helplessly as all rares were KO'ed in both games... we hit MM twice in the second game though, so that was progress.",,
,,9,(+2),2,scootsmagoots1986,15,6,21,6th,No (2.5),9th,22 (1),8th,4 (2),9th,0.955 (1),6.5,,9,1,4,3,9,5,1,0,22,Thor (Avengers),Yelena Belova,Thor (Avengers),Yelena Belova,Second attempt,3,I think I just picked the wrong heroes and was stubborn and wanted to make it work on the second game. Definitely not playing that combo of heroes again!,,
,,10,(+1),1,_captaintoad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bastion's Fearful Fury: Heroes' Havoc,1,(+10),10,Adamantiumgambit,56,21,77,1st,Yes (7),2nd,23 (8.5),1st,0 (8.5),1st,3.348 (10),34,,35,24,4,3,9,1,0,0,17,Skadi,Nick Fury,Skadi,Nick Fury,First attempt,3,"I was at the mercy of the villain deck for both rounds. I saw a lot of Henchmen and not enough Villains for good vp the first round, and got overwhelmed with twists and master strikes right of the bat the second round. I really like how Nick Fury and Skadi work together, though",,
,,2,(+9),9,NukinFoobs & N3m3sis,36,44,80,1st,Yes (7),4th,24 (6.5),1st,0 (8.5),2nd,3.333 (9),31,,8,16,3,3,5,3,4,0,18,M,Stepford Cuckoos,M,Stepford Cuckoos,Second attempt,4,"Both games went pretty well with our 2nd game taking one less turn and earning 1 less total VP. We were worried the scheme twists would ko the HQ so we wanted fast moving hard hitting decks which both M and the Cuckoos helped with a lot. With all the closing from the villain deck the scheme twists got pushed to the top fairly quickly and despite us clearing the city and masterminds pretty efficiently, both games went down to 1 more scheme twist and we would lose. Overall really fun setup.",,
,,3,(+8),8,GZUZROCKS & gzuzrules,28,33,61,1st,Yes (7),2nd,23 (8.5),5th,1 (6),4th,2.652 (7),28.5,,5,14,2,4,6,4,1,0,17,Multiple Man,"Greithoth, Breaker of Wills",I did not play a second attempt.,I did not play a second attempt.,First attempt,4,Fun set up. Player 1 aimed for a Deadpool oddball cast of “odd” heroes. Player 2 went heavy on siren and managed to shatter hero’s for some big play cards. Great fun!,,
,,4,(+7),7,pspblink & Adaline,17,26,43,1st,Yes (7),1st,21 (10),1st,0 (8.5),9th,2.048 (2),27.5,,9,4,2,5,13,5,2,0,27,Emma Frost,Storm,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,Would play again!,,
,,5,(+6),6,Bikk Bikk,18,54,72,1st,Yes (7),7th,28 (4),1st,0 (8.5),5th,2.571 (6),25.5,,36,18,1,4,5,3,3,0,16,Black Widow (Avengers),Captain America,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"Siryn is a stud. Right hand ended with just 9 cards. Thanks to her rare culling the starting cards out (just one remained). Shattered the MMs super consistently.

I expected to go with odd cards with the Left hopefully getting a lot of Widow but that never came. The deck ended up bloated and just managed one MM hit. 

Still fun though!",,
,,6,(+5),5,Canis & MamaBird,32,37,69,1st,Yes (7),6th,25 (5),6th,2 (3.5),3rd,2.76 (8),23.5,,5,24,1,5,9,2,2,0,19,Black Widow (Avengers),Wolverine (X-Men),Black Widow (Avengers),Wolverine (X-Men),Second attempt,4,"went Black widow on one sides, and Siryn on the other, Widow had 17 bystanders at the end of the game. was hesitant about eliminating Widow and Wolverine this early, and Wolvie ended up not being used game two, but still felt like it went pretty well.",,
,,7,(+4),4,CaptainMetroidica,28,32,60,1st,Yes (7),4th,24 (6.5),6th,2 (3.5),6th,2.5 (5),22,,4,15,2,3,6,6,2,0,19,Shatterstar,Wolverine (X-Men),Shatterstar,Wolverine (X-Men),Second attempt,3,I got very very lucky in only having 3 strikes come out over the course of the game which kept the numbers needed to hit the mastermind pretty low. The scheme felt like it was constantly knocking me down. Decks never really got going well because I didn't have many purchasing options.,,
,,8,(+3),3,energythief,41,46,87,8th,No (2),8th,36 (3),6th,2 (3.5),7th,2.417 (4),12.5,,5,23,0,2,0,1,0,0,3,"Greithoth, Breaker of Wills",Wolverine (X-Men),"Greithoth, Breaker of Wills",Wolverine (X-Men),First attempt,3,This was my first time playing two-handed solo and my brain hurts!,,
,,9,(+2),2,Alec2ElectricBoogaloo,45,23,68,8th,No (2),9th,33 (2),6th,2 (3.5),8th,2.061 (3),10.5,,22,21,1,2,3,4,0,0,10,Black Widow (Avengers),"Greithoth, Breaker of Wills",Black Widow (Avengers),"Greithoth, Breaker of Wills",First attempt,2,"got a good 2 decks in the first game but not fast enough, stalled for multiple turns in the second",,
,,10,(+1),1,KeeblerPowell,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Warpath,"Nul, Breaker of Worlds",I did not make a second attempt.,I did not make a second attempt.,First attempt,3,"This made me feel really a lot like a dummy. I am very new to this and I was not understanding that there was a difference between how each set calls different things. I was able to get the plot down to 0 fear but I think I cheated a lot. so I put down that I lost. I had a card that referenced bindings, but there was a thing that said that those are not the same as wounds. So I had to use the card but not gain the bindings. Seeing as I don't know what bindings are I think that should rule me as a loss. Like to worst baddest most horrible kind of loss. Please forgive me and make me the biggest dummy of my Pod. I promise to do better in the next round. Be on the look out for a video review. It will be bad. I wouldn't watch it. 
(I only rated this a three because I don't think I did anything correctly. lol)",,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Galactus's Destructive Kidney Stones,1,(+10),10,dontfeedthegreen,44,38,82,1st,Yes (6.5),1st,23 (9),2nd,2 (7.5),1st,3.565 (9),32,,6,13,1,4,7,7,0,0,19,Mr. Fantastic,Quasar,Mr. Fantastic,Wanda & Vision,Second attempt,5,"1st game got a rough shuffle with early strikes swallowing the city. Couldn’t stop 2 Terrax’s from escaping. Quasar performed well and pulled it back for a slow win. Mechanized Plate Mail + Vibranium Nanites was key. 2nd game used Wanda & Vision and got an even rougher shuffle, was down to 1 city space for about half the game. Still couldn’t prevent 2 escapes, but got a quicker win with better points per turn. Glad I used Mr Fantastic. He was Semi-Bombastic. P1 was drawing 11 card hands towards the end of the game.",,
