Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,,6
,,4,(+7),36,Cglied,51,115,166,1st,Yes (6),2nd,24 (8.5),1st,0 (6.5),7th,6.917 (4),25,,64,39,0,1,5,7,1,1,0,15,Spider-Gwen,Banshee,Spider-Gwen,Banshee,First attempt,3,"I was able to get Spider-Gwen's Save the Day and keep the city pretty clear which made it extremely useful. If I had been able to get 2 or 3 into my deck, it would've been game over for Mojo in near record time. As it was, I did okay. The lack of scheme twists popping up was tough, because I had a bunch of empty recruit and would've loved the chance to rescue some Hidden Witnesses.",,
,,5,(+6),33,Travjon,113,87,200,1st,Yes (6),6th,27 (5),1st,0 (6.5),4th,7.407 (7),24.5,,26,51,0,2,2,5,2,1,0,12,Phoenix,Spider-Gwen,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"This was a fun setup with a ton of bystanders. I tried to capitalize with Spider-Gwen's card that powers up from bystanders, but I didn't see it until near the end of the game. I chose Phoenix because I thought her ability to KO and the piercing energy would be useful. I didn't really see any of her cards, unfortunately. I did have one Obliterating Fire that came in clutch early to help clear out the city. My right hand focused on ranged heroes. Captain America (Falcon) and Spider-Man Noir's ranged cards really comboed well together.",,
,,6,(+5),35,jiggliestpuff,95,58,153,1st,Yes (6),2nd,24 (8.5),1st,0 (6.5),9th,6.375 (2),23,,37,34,0,2,3,6,5,0,0,16,Legion,Banshee,Legion,Banshee,Second attempt,4,"First game had a lot of twists and villains come out right away that made it tough to get started, but the Piercing Energy engine came together in game 2 and it was a huge difference. That said I had more fun in the first game where I had to actually deal with the hidden witnesses and human shields the real way rather than cheese it.",,
,,7,(+4),34,Buya & DSCern,150,79,229,1st,Yes (6),7th,29 (4),9th,2 (2),1st,7.897 (10),22,,71,62,0,1,1,4,3,1,0,10,Spider-Gwen,"Steve Rogers, Director of S.H.I.E.L.D.",Spider-Gwen,"Steve Rogers, Director of S.H.I.E.L.D.",First attempt,4,"This game was a total point salad, and we definitely focused on rescuing as many Bystanders as we could. That said it was a no-brainer for us to take Spider-Gwen, but we had a small discussion of either Steve Rogers or Silk for our 5th Hero. I'm glad we went with Steve, because my partner's deck which was focused on Steve cards went crazy with rescuing Bystanders. I did ok with Gwen, but we took a while to clear the Rooftops so my progress was halted a bit. Hopefully our scores hold up, but I think everyone will go crazy with their scores for this setup. I hope our confidence with our results is no mirage!",,
,,8,(+3),33,Gambit.n.rogue,104,130,234,1st,Yes (6),9th,33 (2),1st,0 (6.5),5th,7.091 (6),20.5,,26,52,0,1,3,0,1,1,0,6,Agent Venom,Captain America (1941),Agent Venom,Captain America (1941),First attempt,5,Bystanders were the key!,,
,,9,(+2),32,MysticRuby,77,115,192,1st,Yes (6),8th,30 (3),1st,0 (6.5),8th,6.4 (3),18.5,,38,42,0,0,2,3,4,0,0,9,"Steve Rogers, Director of S.H.I.E.L.D.",Corvus Glaive,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,Not sure if Corvus Glaive was the exact right choice but he did fine enough.,,
,,10,(+1),30,Dre 2 point 0,126,83,209,10th,No (1),10th,39 (1),10th,3 (1),10th,5.359 (1),4,,43,46,1,0,0,0,0,0,0,0,Luke Cage Noir,Jubilee,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,oof.,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,The Plague Panther,1,(+10),36,eventhorizon0121,24,23,47,1st,Yes (5.5),4th,35 (4.5),1st,1 (7),3rd,1.343 (6),23,,1,6,0,0,3,2,3,0,0,8,Princess Shuri,Superior Iron Man,Rictor,Shatterstar,Second attempt,4,"My first game had the 4 copies of the HT Common Recruit in the first 3 turns. HT and M's common Wound givers were the rest of the HQ. From that muddy start, I saw escapes but ended up pulling out a win. My second game went far better but ended up winning slower, but with fewer escapes and more VPs. It was tricky managing the Ghost Riders with a Villain group that becomes heroes.",,
,,2,(+9),36,loconnole & Klcgolf,14,36,50,1st,Yes (5.5),4th,35 (4.5),5th,3 (4),1st,1.429 (8),22,,22,1,0,1,1,4,1,1,0,8,Captain Marvel,Lady Thor,Captain Marvel,Lady Thor,Second attempt,5,Once we figured out the scheme this was very fun! The heroes worked really well together. Lady Thor and Captain marvel work so well together and m can really ramp. Hoping the three early escapes don't screw us over too badly,,
,,3,(+8),36,Lycanknight_,18,31,49,1st,Yes (5.5),6th,37 (3),1st,1 (7),4th,1.324 (5),20.5,,13,5,0,0,0,5,1,0,0,6,Captain Marvel,General Okoye,Captain Marvel,White Wolf,Second attempt,1,"This setup has to be one of the worst I’ve ever played. Not because the setup bad but the combination of the scheme, mastermind mechanic, and really human torch made for an extremely tough experience. It was to stressful for us to really even want to try a second time but we made it this time.",,
,,4,(+7),34,ggyppt,22,21,43,1st,Yes (5.5),2nd,32 (6.5),7th,5 (1.5),2nd,1.344 (7),20.5,,1,12,0,0,4,6,1,0,0,11,Lady Thor,Captain Marvel,Lady Thor,Captain Marvel,Second attempt,3,"I had both a good Range deck and a good multicolor deck going by the end of it. Ended up being a interesting scenario overall, and I realized as I was cleaning up I ended up making it harder on myself cause I put down my mastermind back down midgame on it's epic side and didn't realize it till cleanup. I don't know the cards well enough to get that something was off, so yeah, did that. Wouldn't have changed much except maybe a turn so I am just submitting it rather than do a runback, especially since it made the game harder, but was a fun realization at the end of the game",,
,,5,(+6),35,Mangostrike,16,20,36,1st,Yes (5.5),2nd,32 (6.5),6th,4 (3),6th,1.125 (3),18,,4,5,0,2,0,5,2,2,0,11,Multiple Man,Invisible Woman,Mr. Fantastic,Silver Surfer,First attempt,1,"This was just awful. Ambush Night of the Living Dead was tough to deal with and second game was over in 17 turns (after pulling 7 twists!) without any engines set up, and I even had 2 rares in my hands already. Without the Ghost Racers this would be fun, but that pushed it too far for me to find any enjoyment. I’ll be glad to get some time off of legendary after this.",,
,,6,(+5),33,JB007,21,10,31,1st,Yes (5.5),1st,31 (8),7th,5 (1.5),7th,1 (2),17,,11,2,0,1,1,4,4,2,0,12,King Black Panther,Invisible Woman,I did not make a second attempt.,I did not make a second attempt.,First attempt,1,I never liked this scheme and this was absolutely brutal. I barely won. I had one wound in the wound stack! One! One more twist and I would have lost.,,
,,7,(+4),31,iburnicus,19,16,35,7th,No (1.5),7th,31 (2),1st,1 (7),5th,1.129 (4),14.5,,3,2,0,2,3,5,2,0,0,12,"Namor, the Sub-Mariner",King Black Panther,"Namor, the Sub-Mariner",King Black Panther,Second attempt,2,"its a lot of resource management,
i felt great after hitting killmonger 2 times, 
but soon after that the wound stack was running low and i didnt have enough recruit to return wounds back to the stack, locking me out of the game.
game 1 went even worse running me 4vp total...",,
,,8,(+3),27,Keeblerpowell,2,8,10,7th,No (1.5),8th,15 (1),4th,2 (5),8th,0.667 (1),8.5,,6,2,0,4,4,10,9,0,0,27,Mr. Fantastic,Thing,Mr. Fantastic,Thing,Second attempt,4,This thing kicked my butt!!! so many Scheme Twists!!!!,,
,,9,(+2),27,ItStartsWith1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,10,(+1),28,AdamantiumGambit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Singing Into the Void,1,(+10),36,JParnell,32,39,71,1st,Yes (6.5),1st,26 (10),1st,0 (6),1st,2.731 (10),32.5,,7,2,0,2,3,7,5,0,2,19,Angel,Gladiator Hulk,I did not make a second attempt.,I did not make a second attempt.,First attempt,2,"I don't love either version of Sentry, but I did love the Heroes I picked this week.",,
,,2,(+9),35,Hatephd & Editedmist,37,36,73,1st,Yes (6.5),2nd,30 (8.5),1st,0 (6),2nd,2.433 (9),30,,1,8,0,1,3,7,3,0,3,17,Jean Grey,Angel,Hiroim,Angel,Second attempt,5,None of the bystander engines worked. Should have just smashed,,
,,3,(+8),32,sethlikespizza,24,48,72,1st,Yes (6.5),2nd,30 (8.5),1st,0 (6),3rd,2.4 (8),29,,24,1,0,1,3,6,1,0,3,14,Bishop,Iceman,Bishop,Iceman,Second attempt,4,"We made good hero choices so we were able to pull off some fun combos, the setup wasn't as hard as we thought it would be!",,
,,4,(+7),33,wingedcrusader,43,29,72,1st,Yes (6.5),4th,31 (7),1st,0 (6),4th,2.323 (7),26.5,,14,2,0,1,0,4,2,0,4,11,Bishop,Iceman,Bishop,Iceman,First attempt,5,"Super fun! Iceman and bishop tried to do their thing, it got there eventually, but the base setup with the topdeck manipulation was already insane!",,
,,5,(+6),30,jorisc3213,31,56,87,1st,Yes (6.5),6th,38 (4.5),1st,0 (6),5th,2.289 (6),23,,25,3,2,0,0,1,2,0,2,5,Bishop,Jean Grey,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"Heroes synergized rather well. We never play the sentry, so was a fun experience to try him out. Especially his unique card.",,
,,6,(+5),28,Drewfusmcge,33,55,88,1st,Yes (6.5),8th,39 (3),1st,0 (6),6th,2.256 (5),20.5,,22,3,0,0,1,1,2,0,3,7,Angel,Photon,I did not make a second attempt.,I did not make a second attempt.,First attempt,2,Meh. Didn't have much time this week and I've been under the weather. Glad to have a win after last week but I don't expect to do well this week. Do not reccomend making your hero choices while on cough medicine,,
,,7,(+4),28,sword'n'sorcery,35,48,83,1st,Yes (6.5),6th,38 (4.5),1st,0 (6),8th,2.184 (3),20,,13,3,0,1,1,2,0,0,0,4,Hellcat,Nightcrawler,Hellcat,Nightcrawler,Second attempt,3,"Some very unlucky draws in the first game made me lose very quickly. I played a lot better in the second game. I think I could probably have done even better with a bit more luck. I really liked my hero choices and thought they all played well together. I did really miss having bishop, but I used him in a previous week, so that's the way it goes. My decks were just too unrefined.",,
,,8,(+3),29,DrPolygon,45,36,81,1st,Yes (6.5),5th,36 (6),10th,2 (1),7th,2.25 (4),17.5,,9,2,1,0,1,0,3,0,2,6,Caiera,Bishop,Caiera,Bishop,First attempt,4,"Good synergy with starting heroes. Also I beat Sentry, which is great, because I rarely do. Good times.",,
,,9,(+2),27,caseystahl1125,46,26,72,9th,No (1.5),9th,42 (2),1st,0 (6),9th,1.714 (2),11.5,,20,2,0,0,0,0,0,0,0,0,Iceman,Jean Grey,Iceman,Jean Grey,Second attempt,5,This was hard but fun.I lost both games. Im looking forward to seeing others in my pod that won in 20 turns or less with 100 plus points.,,
,,10,(+1),25,Pyromagnus & shoshielynn,17,7,24,9th,No (1.5),10th,24 (1),1st,0 (6),10th,1 (1),9.5,,10,1,0,2,3,8,4,0,6,23,Bishop,"No-Name, Brood Queen",Bishop,Speed,First attempt,3,This is your daily reminder to read the Scheme before you start and to pay attention to the game state at all times.,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,No More Mercs,1,(+10),26,Montax30,46,27,73,1st,Yes (5.5),2nd,31 (6.5),3rd,1 (5.5),1st,2.355 (8),25.5,,19,0,0,1,4,3,3,2,8,21,Ant-Man (Ant-Man),Jocasta,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,Chivalrous Duel isn't difficult if you can get the rares.,,
,,2,(+9),32,RedRutan,32,43,75,1st,Yes (5.5),4th,34 (5),1st,0 (7.5),2nd,2.206 (7),25,,11,4,0,2,4,13,1,1,0,21,Ant-Man (Ant-Man),Bruce Banner,Ant-Man (Ant-Man),Rick Jones,Second attempt,4,"The objective each games ws to make one hand and all-tech deck and benefit from Ant Man drawing lots of cards. The first game hardly saw Ant Man turm up, and the first six draws from the villain deck were all tough villains, so plenty of escapes, the scheme transformed and a loss on T35. Secomd game was better, with plenty of eatly henchman. The city was easily under control by T20, and the only delay was waiting for enough attack to show up under a single Hero Name to take out the last tactic and final blow. With good hand draws I could have won by T30.",,
,,3,(+8),30,Joebro6616,25,35,60,1st,Yes (5.5),1st,29 (8),5th,2 (4),3rd,2.069 (6),23.5,,10,0,0,1,4,4,6,1,10,26,"Bob, Agent of HYDRA","Joe Fixit, Grey Hulk",I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"I liked this setup,made me put more strategy into the combat especially with chivalrous duel and the Deadpool corps 1/2 damage",,
,,4,(+7),29,Jmaster1324,26,38,64,1st,Yes (5.5),2nd,31 (6.5),6th,3 (2.5),4th,2.065 (5),19.5,,12,4,0,0,2,5,4,0,5,16,Amadeus Cho,Hulkbuster Iron Man,Hulkbuster Iron Man,Amadeus Cho,First attempt,2,.,,
,,5,(+6),29,Cubbiesnextyr & Wife,34,41,75,1st,Yes (5.5),5th,37 (4),3rd,1 (5.5),5th,2.027 (4),19,,7,6,0,1,3,4,2,1,4,15,Hiroim,Wasp (Ant-Man),I did not make a second attempt.,I did not make a second attempt.,First attempt,4,Really enjoyed this one.,,
,,6,(+5),20,SharkNate-O & onthegeniusofsamrockwell,19,49,68,1st,Yes (5.5),6th,38 (3),1st,0 (7.5),6th,1.789 (3),19,,30,5,0,2,3,4,5,0,3,17,Darkhawk,Jocasta,Darkhawk,Jocasta,Second attempt,3,"It was an okay game. We've played this scheme a few times before in our previous tournament games. Our second game went way better than our first. However, on the second one, one player got hosed by early scheme twists, which made their deck develop a little slower. However, they way the heroes in the HQ came out, it ended up being where one player was able to keep the city clear and the other player ended up just picking up Solo cards and focused on the Chivalrous Duel on Morgan.",,
,,7,(+4),26,elongatedman7212,23,43,66,7th,No (1.5),7th,42 (2),8th,4 (1),7th,1.571 (2),6.5,,20,7,1,0,1,2,2,0,2,7,Quicksilver,War Machine,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,"The setup was ok, but my game was a disaster. It seemed like I never had what I needed at the right time. Wrong colors for size change/U-Foes fight effects, wrong costs for outwit, wrong heroes for chivalrous duel, etc. Decks were too bloated b/c I couldn't trigger any of the KO effects and b/c I was trying to get the HQ to a place where I could survive the scheme. Oh and no sidekicks :( Would like to try it again but I have to get to bed.",,
,,8,(+3),24,WarpedPoodle,18,18,36,7th,No (1.5),8th,25 (1),6th,3 (2.5),8th,1.44 (1),6,,0,3,0,3,5,16,4,0,0,28,Jocasta,Ant-Man (Ant-Man),Jocasta,Ant-Man (Ant-Man),Second attempt,2,Tough scheme.  Lost to scheme timer very quickly both games.,,
,,9,(+2),23,Ceej,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,10,(+1),24,Greywadejokis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Mole Man in the Mirror,1,(+10),35,aitmanga,27,45,72,1st,Yes (7.5),1st,22 (10),1st,1 (10),1st,3.273 (10),37.5,,18,3,9,2,6,6,4,0,0,18,Mockingbird,Stepford Cuckoos,Mockingbird,Stepford Cuckoos,Second attempt,5,"Our first game was a bit slow. One player did get a good engine going on with the Stepford Cuckoos (though a bit late into the game), but player 2 even with tons of draw and recruit generation had no way to convert them to attack to hit the mastermind. City was kept under check, we kept a Sentinel in the streets to prevent Burrows (even if we sacrificed some KOs) and we survived with only one escape but with a high number of turns.

Game 2 was an entirely different beast were everything just clicked. Both players went with the same game plan but this time player 2 got Silver Surfer & Mockingbird rares with a sizable Undercover pile and the uncommon Surfer to convert recruit into attack and win the game faster. The scheme wasn't that big of an issue, though it did prevent us from finishing one or two turns earlier because of the discards, and master strikes hit when the city was devoid of Subterranea Villains save for that one escape. ",,
,,2,(+9),35,Scootsmagoots1986,39,32,71,1st,Yes (7.5),2nd,28 (9),2nd,2 (8.5),3rd,2.536 (8),33,,7,5,0,3,3,2,4,0,0,12,Mr. Fantastic,Spider-Woman,Mr. Fantastic,Spider-Woman,Second attempt,5,"This was a great scenario. I think the villains, henchmen, mastermind and scheme really meshed well with each other and made it a perfect mix of challenging and fun!",,
,,3,(+8),34,Cobrawarrior521 & Mackirev9,31,43,74,1st,Yes (7.5),3rd,30 (8),2nd,2 (8.5),4th,2.467 (7),31,,12,6,1,3,2,2,1,0,0,8,M,Stepford Cuckoos,Moon Knight,Spider-Woman,Second attempt,1,The combination of cards was tough. Multiple scheme twist limited our hands and extended the game quite a bit,,
,,4,(+7),33,owen_meany,24,61,85,1st,Yes (7.5),6th,36 (5),4th,3 (6),5th,2.361 (6),24.5,,37,3,13,0,1,1,3,0,0,5,Mockingbird,Moon Knight,I did not make a second attempt.,I did not make a second attempt.,First attempt,2,"Hoping we played it right, but based on the scheme were consistently playing hand of 3 as couldn't get a lot of the same card names to show up in the HQ. That made for a not so fun game, though I think Mole Man is an ok Mastermind. Black Cat performed well and I think is underrated. Silver Surfer is terrible without more recruit, which this setup didn't have for us. ",,
,,5,(+6),25,coldvein & raja0629,29,40,69,1st,Yes (7.5),4th,35 (6.5),7th,4 (3),6th,1.971 (5),22,,11,2,2,1,0,2,0,0,0,3,Agent Phil Coulson,Invisible Woman,Agent Phil Coulson,Invisible Woman,Second attempt,4,"Rough set but, we made it through.",,
,,6,(+5),20,jgoodnough and daughter,26,33,59,1st,Yes (7.5),4th,35 (6.5),10th,6 (1),7th,1.686 (4),19,,7,1,8,0,1,3,1,0,0,5,Mockingbird,Deathlok,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,fun game,,
,,7,(+4),21,Ironclad4521,48,21,69,7th,No (2.5),9th,23 (2),7th,4 (3),2nd,3 (9),16.5,,27,2,2,0,2,2,1,1,0,6,Invisible Woman,Warpath,Invisible Woman,Warpath,Second attempt,3,Lost both games. Thought I picked well with IW (with some support) and in the first game was KOing so much which Warpath also helped with so both decks were low but that happened way too early and meant I struggled to recruit as high cost cards came out... lesson learned or so I thought. Second game was over due to a MS sending to two same villains out and I couldn't do anything about it cos the attack was too high. I liked this setup but felt so much of what happened was outside my influence but then again better heroes may have helped. C'est la vie. ,,
,,8,(+3),18,canis & Mamabird,26,20,46,7th,No (2.5),8th,40 (3),4th,3 (6),9th,1.15 (2),13.5,,6,4,1,0,0,0,0,0,0,0,Shatterstar,Spider-Woman,Shatterstar,Spider-Woman,First attempt,3,"ran the villain deck out, team spider got one good turn and that was it, just a slog. second game went even worse, had 6 subterranea in the escape pile :( just not our week",,
,,9,(+2),25,thablackknight1,26,35,61,7th,No (2.5),7th,41 (4),7th,4 (3),8th,1.488 (3),12.5,,9,4,0,0,0,0,0,0,0,0,Siryn,Invisible Woman,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,Had a lot of pressure to start with villains coming in but got the city under control. Focused too much on that and.let mole man grow from one of his tactics out of range but no duplicates so no immediate loss. Fun setup,,
,,10,(+1),25,Hendrek,5,0,5,7th,No (2.5),10th,16 (1),4th,3 (6),10th,0.313 (1),10.5,,5,0,0,4,4,8,8,2,0,26,M,Multiple Man,M,Multiple Man,Second attempt,1,Nope,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,A Box of Scraps,1,(+10),37,Justitiana,64,10,74,1st,Yes (7),1st,23 (8),1st,3 (7.5),1st,3.217 (8),30.5,,54,8,0,2,0,4,7,0,0,13,Apocalyptic Kitty Pryde,Black Widow (Avengers),Apocalyptic Kitty Pryde,Black Widow (Avengers),First attempt,2,"Against all odds and my expectation my first attempt was actually pretty good. Looking at the setup I was kind of angry that two of the worst/hardest henchmen were in this game. Combined with the Mastermind and Scheme, there were only 2-7 cards that would not put pressure on the CIty (2 bystanders and potentially 5 master strikes with a non-empty Bank). With my first card being a Master Strike Thor Corps weren't that easy to defeat anymore (3 troopers at least were not going to cut it). Luckily I chose Heroes that would be able to provide the KO that was sorely lacking from the setup, while also preventing unwanted KOs from Ghost Racers due to being Covert cards.

Deck/Hand 1 got a very good start with some of Apocalpytic Kitty Pride's cards early on, 1 of her 5-cost and 2 of her 4-costs. And also a couple of Black Widow's 3-costs. Deck 2 got some Superior Iron-Man cards. and bought the blue Iron Man cards that showed up and some Tony Stark cards. Deck 1 ended up getting 2 copies of Apocalyptic Kitty Pride's 5-costs and they were very strong, as most cards available were tech. I did end up burying the Ultimates, as I didn't think I could afford them, which turned out to be correct. KOing all starters really drove up the power level of Deck 1. 20-ish attack turns happened from turn 19 and onward, when all starters had been KO'd.

Still with all these good things happening, I could not prevent all escapes. 3 Villains ended up escaping anyway (and all 7 Twists got played as well). The 4th escape was a Wolverinepool, who didn't do any damage (with his Escape effect) and got shuffled back into the Villain Deck, so didn't end up counting as an escape.

Attempt 2 was more like the nightmare I expected looking at the setup. With fewer Scheme Twists, HQ just didn't bring any good cards, or at least I didn't draw them at the same turns and didn't get any KOs going. 6 escapes at turn 20 with only 2 Twists played and not even a chance at building good Decks.

Thematically the setup was pretty cool, with a lot of Iron Man variants against Iron Monger, but technically I could see people disliking it because of the Scheme and Henchmen chosen. Ghost Racers could not be buried by Thor Corps, as they end up in the discard piles and decks and not the VIcotry Pile. This meant that you need a lot of luck and/or strong cards in HQ and preferably both decks to be able to bury the Ghost Racers. Which if you couldn't do it, would potentially threaten multiple escapes at once. They tecnically do have a KO Fight effect, but it's the worst one in the game, lmiting to Attack only and perhaps forcing you to KO actual good cards if you didn't have Troopers left and no Covert to prevent it.

Evil Deadpool Corpse was pretty fun, but the Revenge effect made them tough as well. Iron Foes weren't all that threatening, but with all the pressure on the City, Justin Hammer was actually pretty strong and ended up escaping Twice, along with a Thor Corps member.

I'm curious what will be in store for last week. I hope Bagel wil grant me something cool as Henchmen, like Sentinels, Hydra Base or anything with a normal ""KO one of your Heroes"". A Big Challenge is fine, as long as we're given the tools to succesfully deal with it :D",,
,,2,(+9),35,Babybreloom,41,35,76,1st,Yes (7),2nd,27 (7),1st,3 (7.5),2nd,2.815 (7),28.5,,6,0,0,2,6,4,7,2,0,21,Hawkeye,Stingray,Stingray,Hawkeye,Second attempt,3,"First game I got wrecked hard, but we came online fast in game two and the draw power started hitting fast. Most of those escapes all happened on one turn, when a Twist caused RotLD shenanigans, but other than that it all ran pretty clean!",,
,,3,(+8),36,zombiegamer5,33,51,84,1st,Yes (7),3rd,36 (6),3rd,5 (6),3rd,2.333 (6),25,,18,3,0,0,0,1,0,0,0,1,Happy Hogan,High Tech Spider-Man,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,"(Note: zombiegamer5 accidentally gave enemies with Striker +1 per Twist instead of per Strike)

Maybe I just had particularly bad luck but I drew scheme twists very early so I had several escapes before I could do anything to stop the striker Thors who kept getting more powerful and the Ghost Racers who kept coming back. I've never cone so close to losing in two different ways and still manged to win. Which is good enough because I don't have tome for a second attempt. I tried Happy Hogan for the first time since I heard he is really good but couldn't trigger his best cards like wound blocking and KOing a Master Strike. Very stressful game overall, but maybe others chose more strategically. I loved the idea of thematically having Happy Hogan and High Tech Spider-Man helping Iron Man take down Iron Monger even if the synergies didn't always work ",,
,,4,(+7),35,Mikeygill97,50,17,67,4th,No (3),4th,38 (5),4th,6 (3.5),4th,1.763 (5),16.5,,33,3,0,0,1,1,0,0,0,2,High Tech Spider-Man,Ultimate Spider-Man,I did not make a second attempt.,I did not make a second attempt.,First attempt,1,Too many wounds and not enough KO's.,,
,,5,(+6),30,Lasombra81,3,11,14,4th,No (3),5th,22 (4),4th,6 (3.5),6th,0.636 (3),13.5,,8,0,0,1,5,8,10,1,0,25,Lady Thor,Peter's Allies,I did not make a second attempt.,I did not make a second attempt.,First attempt,2,None,,
,,6,(+5),19,Freeclint,5,6,11,4th,No (3),6th,18 (3),4th,6 (3.5),7th,0.611 (2),11.5,,1,0,0,2,4,9,8,0,3,26,Captain Marvel,Black Panther,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"The heroes lost this version of Armor Wars big time.  Early Strikes and Twists were crippling.  Only one smuggler was stopped, all the armor secrets were stolen.  Was huge fun, and some of my hero choices in earlier rounds made me pick differently than I wanted.  Wish I had time for second attempt, and plan to replay this one at some point.",,
,,7,(+4),17,ReyReyPod,6,5,11,4th,No (3),7th,17 (2),8th,7 (1),5th,0.647 (4),10,,1,1,0,2,1,6,9,1,0,19,High Tech Spider-Man,Stingray,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,I got Justin HAMMERED!,,
,,8,(+3),29,Gideon Wyatt & Mrs. Gideon Wyatt,4,0,4,4th,No (3),8th,12 (1),4th,6 (3.5),8th,0.333 (1),8.5,,4,0,0,2,4,9,15,1,0,31,Captain Marvel,Lady Thor,Captain Marvel,Lady Thor,First attempt,1,Brutal game. Never really had the chance. Both games ended on turn 12 so the Bagel shuffle didn't matter. Just didn't get the chance to make anything happen. There is probably a win in that set up if the scheme didn't have an escape loss.,,
,,9,(+2),30,MikiP2023,13,29,42,-,No,-,36,-,6,-,1.167,-,,16,5,0,1,1,6,2,0,0,10,Maximus,Black Widow (Avengers),Magik,Black Widow (Avengers),Second attempt,4,Was fun! The game was an adrenaline rush having to play 2 cards of villain deck. We will try this one again to try and win ! All the different Iron Mans made it interesting. Never played with any of the movie card expansions yet so mas fun to see all the different scenes lol,,
,,10,(+1),26,allman7359,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
