Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,,6
,,5,(+6),41,Off the Cuff & hanoott,34,28,62,1st,Yes (6.5),1st,23 (9.5),1st,0 (7.5),7th,2.696 (4),27.5,,6,5,0,4,5,6,3,1,0,19,Phyla-Vell,Quasar,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,We shuffled 4 Twists to the bottom 7 cards of the Villain Deck.,,
,,6,(+5),41,GZUZROCKS & DaBomb,44,26,70,1st,Yes (6.5),5th,28 (5.5),1st,0 (7.5),8th,2.5 (3),22.5,,18,9,0,3,3,6,3,0,0,15,Phyla-Vell,Yondu,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,Fun set up! A classic fav scheme. We added yondu and phyla vel to help maximize shard utility. Adam warlock “matter card” that lets you burn two shards to get a hero at half cost helped us get some 8 boat hero cards early on which ended up getting the work done that needed to be done. :),,
,,7,(+4),40,realdanl,34,65,99,1st,Yes (6.5),5th,28 (5.5),10th,3 (1),2nd,3.536 (9),22,,31,8,0,0,6,7,1,0,0,14,Quasar,The Vishanti,Quasar,The Vishanti,Second attempt,2,"I really don't like this Scheme much, it's all too random with the massive hero deck and what makes it into the HQ.  First playthrough had no escapes but took way too long (though interestingly enough, both players had the same exact VP piles) so I'm going with the second run, despite the escapes.",,
,,8,(+3),40,Swagolas,57,56,113,1st,Yes (6.5),8th,35 (3),7th,2 (3),6th,3.229 (5),17.5,,1,13,2,0,2,1,3,0,0,6,Amadeus Cho,"Ancient One, The",Amadeus Cho,"Ancient One, The",First attempt,5,"I was thinking about bringing heroes that use danger sense to manipulate the annoying and challenging VD, but I felt like I couldn't really plan my strategies for the deck building because of the scheme, so I just used the hero tier list made from the votes on the server, and picked the two highest rated options I had available. I also used the heroe's tier list ratings to decide on who to pick when the schemes occured. It was really helpful for this game. But the game itself was really challenging! I barely won my first game (next card in the VD would've been the losing scheme), and I lost my second one. One of my smartest moves was to put ""Dr. Strange, possessed by Zom"" to the Astral plane, so he doesn't get the bonuses from his 3 bystanders, and he also carried a shard which even made Magus weaker (one less villain with a shard in the city).
I am hoping to get to play some of the newer sets on the last week, the newest one for me so far was Black Panther. Can't wait to see the other's results and hero choices!",,
,,9,(+2),37,CK,50,45,95,9th,No (1.5),9th,41 (2),7th,2 (3),9th,2.317 (2),8.5,,5,9,0,0,1,0,0,0,0,1,Captain Mar-Vell,Yondu,Captain Mar-Vell,Yondu,First attempt,3,"Tough setup. I used Captain Mar-Vell and Yondu for Danger Sense,  thinking I would push twists to play early and thin out the excess heroes in the HQ. That worked to an extent in the first game, but it was too slow to build up strength. I was able to push the last 2 twists to the end of the deck though, so I lasted as long as possible. I almost won the first game. I was set up to hit the mastermind for the 5th time on turn 40, but on turn 39 I got the tactic that forces you to hit the mastermind with only recruit. Brutal way to end the game. Second game was worse. I wasn't able to get enough attack or danger sense cards to stave off a loss for as long.

I was hoping my hero choices would make things more interesting, but I think because they were a bit on the weaker side they made the game feel like it was dragging out.",,
,,10,(+1),33,Pervavita & Catswiftie,29,33,62,9th,No (1.5),10th,30 (1),7th,2 (3),10th,2.067 (1),6.5,,4,6,0,0,2,4,3,0,0,9,"Ancient One, The",She-Hulk,"Ancient One, The",She-Hulk,Second attempt,2,Both games were a slog. The shard management also contributed to the lack of fun. Nothing felt like it would work fast enough to even manage the city as everything grew so fast and even when we would start to manage the city something would happen to fill the city or wreck our hands.,,
59,Promoting From Within,1,(+10),43,PragmaticSquid,34,51,85,1st,Yes (5.5),4th,26 (7),1st,0 (6),2nd,3.269 (9),27.5,,17,6,3,3,4,2,3,0,0,12,Nova (Avengers),Ravage 2099,Nova (Avengers),Ravage 2099,Second attempt,5,"Ravage is a beast.  I got his engine going early in the game and with his villain deck detection and Yondu's Danger Sense, I was able to time the strikes and schemes well and kept rolling up high VP villains until they were going to kick in.  My favorite tourney round so far.",,
,,2,(+9),42,Pizza (.gaxim) & Extra Cheese (Rolf101),67,31,98,1st,Yes (5.5),6th,29 (5),1st,0 (6),1st,3.379 (10),26.5,,36,3,19,0,2,5,1,1,0,9,Doctor Doom 2099,"Dr. Punisher, Soldier Supreme",Doctor Doom 2099,"Dr. Punisher, Soldier Supreme",First attempt,4,Cyber mod blue and black ftw,,
,,3,(+8),41,jpilger,29,47,76,1st,Yes (5.5),1st,24 (9),10th,1 (1),3rd,3.167 (8),23.5,,18,5,9,0,4,7,3,0,0,14,"Dr. Punisher, Soldier Supreme",Doctor Doom 2099,"Dr. Punisher, Soldier Supreme",Doctor Doom 2099,First attempt,3,"Seemed a bit easy.  Maybe just a good draw with lots of winter soldier draw and the big agent Venom, dr Punisher (and eventually Winter Soldier) cards being easily recruited early.  Lots of cars draw thanks to W.S. And Dr Punisher.  I liked the scheme a lot, but the alchemex adapting masterminds were kind of underwhelming because they always had tech cards in the escape pile so only one or their modifiers ever triggered in a really negative way.",,
,,4,(+7),39,KelgatesKollections,37,35,72,1st,Yes (5.5),5th,27 (6),1st,0 (6),6th,2.667 (5),22.5,,2,2,9,3,3,5,3,0,0,14,Spider-Man 2099,Beast (Illuminati),Spider-Man 2099,Beast (Illuminati),First attempt,4,"The first game I was able to get Ghost Rider's rare early to continue my tech engine. I got really lucky in the villain deck to only show two Master Strikes, one of which happened after the Alchemex was gone. Though Scheme Twists I was less fortunate with as Proxima Midnight became a Mastermind fairly early.

With Ghost Rider's Rare and a good Tech/Strength deck with the other side being Covert with a splash of range for shards. I was able to get a good mix on taking enemies out on both sides rather effectively. I did take a bit longer on turns because of all the Masterminds, mostly Proxima Midnight but felt good actually getting the win where it could have been trouble.",,
