Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,8
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
85,A Tide Pod for a Tied Pod,1,(+4),62,R3DJ0N,33,23,56,1st,Yes (2.5),1st,22 (4),3rd,1 (2),2nd,2.545 (3),11.5,,10,5,7,2,5,18,4,1,0,30,Punisher,Iron Fist,Blade,Colossus,First attempt,3,"1st game had an unfortunate escape, due to Molat Boga being the first tactic and chaining into a twist. 2nd game I had much better decks on both sides but no Elite Assassins came up after I shuffled the first 2 back in.",
,,2,(+3),61,Redblock,41,11,52,1st,Yes (2.5),2nd,23 (3),1st,0 (3.5),3rd,2.261 (2),11,,30,5,0,2,1,18,4,1,0,26,Gamora,Wolverine (X-Force),I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"Setup bit too random for final fight, you could make infinite combo on turn 3, and still need to wait for elite assasins, and with extra villain group random factor gets bigger.",
,,3,(+2),57,Doomfollow,44,35,79,1st,Yes (2.5),3rd,29 (2),4th,2 (1),1st,2.724 (4),9.5,,9,15,8,2,3,12,2,0,0,19,Blade,Elektra,Angel,Darkhawk,Second attempt,4,"Twist and Mastermind Combo created a difficult, but fun scenario. I decided to forget strategy and just choose two of my favorite heroes instead, probably a bad idea as I wasn't able to beat it without escapes, but I still had a good time! Big thanks to Kylah The Bear for organizing and running this tournament!",
,,4,(+1),56,the.melkman. & Snapcity57,36,35,71,1st,Yes (2.5),4th,35 (1),1st,0 (3.5),4th,2.029 (1),8,,1,2,10,2,3,17,2,0,0,24,Photon,Iceman,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,Tide pods can’t touch the melk stains,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
