Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,"By-
standers
rescued","Hero Choice 1
(Attempt 1)","Hero Choice 2
(Attempt 1)","Hero Choice 1
(Attempt 2)","Hero Choice 2
(Attempt 2)","Attempt
Used",Fun Level (no slash),Fun Level,Comments
32,The Grandmaster's Clash of the Monsters Unleashed,1,Sparky001,67,23,90,1st,Yes (3),1st,19 (5),1st,0 (3),1st,4.737 (5),16,,44,5,Ms. Marvel,Black Bolt (Inhumans),Ms. Marvel,Black Bolt (Inhumans),First attempt,4,4/5,"Having looked at the cards in the setup in choosing whom to add I could see a lack of buying power so thought about adding in 2 champion hero’s to combat that lack with there versatile nature yet when i noticed Novs had been used early I notice in the last setup Black Bolt stood out with the buying and attack power so he came to the front.
 Strangely enough the first game became the black bolt show as nearly all his cards ended up at the top followed by ms marvels rare this made things easier have also got black bolts rare turning a tricky setup to manageable with good attack power every 2 rounds on the left side due to the KO effect of “don’t speak” and his recruit ability.
 In all a fun setup."
,,2,Jean-Sebastien & Genevieve,26,58,84,1st,Yes (3),2nd,21 (3.5),1st,0 (3),2nd,4 (4),13.5,,32,5,"Miek, the Unhived",She-Hulk,"Miek, the Unhived",She-Hulk,Second attempt,5,5/5,"Transform is a favorite keyword of us, so we selected heroes to have a lot of it. Our second try did not show many twists (only 3), so we did not fight a lot of Monsters Unleashed, hence not a lot of VPs."
,,3,BleshInTheFlesh,44,20,64,1st,Yes (3),2nd,21 (3.5),1st,0 (3),5th,3.048 (1),10.5,,24,6,She-Hulk,Phyla-Vell,Ms. Marvel,Quasar,Second attempt,4,4/5,Good game
,,4,Redblock,56,40,96,1st,Yes (3),5th,29 (1),1st,0 (3),3rd,3.31 (3),10,,16,6,Yondu,Captain Mar-Vell,Yondu,Captain Mar-Vell,Second attempt,3,3/5,"Captain Mar-vells rare saved me a lot, also Yondu - Mar-vell combo of gain ton of shards - use shards as piercing energy was great. And please no more contest of champions... pretty please"
,,5,Avataristche,60,19,79,1st,Yes (3),4th,25 (2),1st,0 (3),4th,3.16 (2),10,,41,3,Phyla-Vell,Captain Mar-Vell,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,"A bunch of early strikes really slowed it down. Unfortunately i dont have time for a rematch, hope this'll do."
,,6,Frank7666,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-
,,,,                                                            Eliminated,,,,,,,,,,,,,,,,,,,,,,
E6,Indestructible Man's Five Families of Crime,1,Ashyy,30,47,77,1st,Yes (4),1st,21 (4),1st,7 (4),1st,3.667 (4),16,,17,7,Yelena Belova,Red Guardian,Yelena Belova,Red Guardian,Second attempt,4,4/5,Finding elite assassins to hit was hard due to there being 4 villain groups.. arghhh
,,2,Off the Cuff,26,31,57,2nd,No (2),2nd,27 (2.5),2nd,8 (2),2nd,2.111 (3),9.5,,5,11,Black Widow (S.H.I.E.L.D.),Red Guardian,Black Widow (S.H.I.E.L.D.),Red Guardian,First attempt,2,2/5,"Indestructible Man's Fight effect is debilitating in this setup. Normally, playing two cards from the Villain Deck whenever you fight him wouldn't be that bad, but here you're almost guaranteed an Escape."
,,3,GZUZROCKS & MyBestPardner,19,23,42,2nd,No (2),2nd,27 (2.5),2nd,8 (2),3rd,1.556 (2),8.5,,4,7,Man-Thing,Daredevil Noir,Man-Thing,Daredevil Noir,First attempt,4,4/5,This was a fun set up but hard as nails. I just couldn’t beat this one. I think I would need some stronger heroes….and better skill. Lol.
,,4,Pervavita & CatSwiftie,21,14,35,2nd,No (2),4th,24 (1),2nd,8 (2),4th,1.458 (1),6,,7,3,Black Widow (S.H.I.E.L.D.),Yelena Belova,Black Widow (S.H.I.E.L.D.),Yelena Belova,Second attempt,3,3/5,Two runs and we had almost no ability to manage the city. We had our HQ also get hit with multiple Rares early in both games.
E7,Mole Man Replaces Earth's Leaders with Killbots,1,Mangostrike,51,13,64,1st,Yes (4),2nd,19 (6),2nd,2 (5.5),1st,3.368 (7),22.5,,38,9,Mr. Fantastic,Invisible Woman,Mr. Fantastic,Invisible Woman,First attempt,4,4/5,Me. Fantastic and Iron Man drawing a constant stream of cards on the left and Invisible woman on the left KOing all my shield starter cards. Haven’t had a chance to get F4 synergy before and it was fun.
,,2,Snatchcat,23,51,74,1st,Yes (4),3rd,26 (5),4th,3 (3.5),2nd,2.846 (6),18.5,,28,10,Mr. Fantastic,Hawkeye,Gambit,Emma Frost,First attempt,4,4/5,Just focused on card draw using either tech or instinct to get massive hands. Mr. Fantastic started to slap hard at the end!
,,3,AdvSwaY,53,16,69,1st,Yes (4),4th,28 (4),1st,1 (7),5th,2.464 (3),18,,37,18,Deadpool (Unaffiliated),Black Widow (Avengers),Deadpool (Unaffiliated),Black Widow (Avengers),Second attempt,3,3/5,too tired
,,4,CGlied,21,30,51,1st,Yes (4),1st,18 (7),6th,4 (1.5),3rd,2.833 (5),17.5,,9,4,Mr. Fantastic,Invisible Woman,Mr. Fantastic,Invisible Woman,First attempt,5,5/5,Super fun setup. I opted to go with more FF sets to round out the hero deck. Had a lot of success with a tandem of Human Torch + Wolverine on side and Mr. Fantastic + Invisible Woman on the other. Got very lucky on the draw and the game came together nicely.
,,5,Astigmatic_Oracle,30,49,79,1st,Yes (4),6th,32 (2),2nd,2 (5.5),4th,2.469 (4),15.5,,19,15,Mr. Fantastic,Nick Fury,Mr. Fantastic,Nick Fury,First attempt,4,4/5,This setup was all about drawing cards for me.
,,6,Coldvein & Raja0629,32,42,74,1st,Yes (4),7th,35 (1),4th,3 (3.5),6th,2.114 (2),10.5,,10,9,Storm,Hulk,Storm,Hulk,First attempt,4,4/5,Pretty easy for the most part.  Hard to accumulate points before ending the game.
,,7,jgoodnough,40,12,52,1st,Yes (4),5th,30 (3),6th,4 (1.5),7th,1.733 (1),9.5,,28,10,Thor (Avengers),Thing,I did not play a second attempt.,I did not play a second attempt.,First attempt,1/3,4/5,Lots of fun this game
