Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,"By-
standers
rescued","Hero Choice 1
(Attempt 1)","Hero Choice 2
(Attempt 1)","Hero Choice 1
(Attempt 2)","Hero Choice 2
(Attempt 2)","Attempt
Used",Fun Level (no slash),Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,,,,,
30,EPIC Zarathos' War for the Dream Dimension,1,MicroDisney0505,43,50,93,1st,Yes (1.5),1st,20 (2),1st,0 (1.5),1st,4.65 (2),7,,7,3,Clea,Elsa Bloodstone (Marvel Knights),Clea,Elsa Bloodstone (Marvel Knights),Second attempt,5,5/5,"Tigra prevented several haunts with can't surprise a cat. Elsa Bloodstone worked well in the sets given.  Thanks to all the instinct are of the slayer almost always gave both recruit and attack. Player 1 was consistently getting 10 cards per hand thanks to 2 Agamotto cards Oshtur helped so wounds from demonic bargain from Vishanti and Clea didn't matter. Blade, daywalker made for very thin decks by the end. Early game I almost didn't have enough recruit to take care of the Astral plane, but then a haunt happened so I gained more recruit cards."
,,2,R3DJ0N,51,12,63,1st,Yes (1.5),2nd,21 (1),1st,0 (1.5),2nd,3 (1),5,,39,8,Werewolf by Night,"Wong, Master of the Mystic Arts",Werewolf by Night,"Wong, Master of the Mystic Arts",First attempt,5,5/5,"Because of the villains going all over, I figured the bridge would almost always be empty so I wanted to use Wong. I also wanted some more Instinct to trigger Tigra, Werewolf by night has some. Maybe I just wanted to used the new stuff.  A bunch of scheme twists and Master-strikes clumped up so they didn't have targets. That also let me avoid recruiting on turns when I knew Zarathos was about to haunt, just in case he would have a higher target.   After playing my 2nd attempt I realize I got very lucky on the first attempt. 2nd game Iron Spider would not go away. She hulk went to the astral plane then escaped and gave extra wounds."
,,,,                                                            Lower Bracket,,,,,,,,,,,,,,,,,,,,,,
31,Thanos' Ritual Sacrifice to Summon Chthon,1,JustHarold,10,47,57,1st,Yes (3),1st,18 (5),1st,0 (3.5),2nd,3.167 (4),15.5,,37,2,Bishop,Iceman,Bishop,Iceman,Second attempt,4,4/5,Finally got to play with standard sidekicks. Iceman is broken.
,,2,OllieKitKat & Kylah15,26,61,87,1st,Yes (3),3rd,25 (3),1st,0 (3.5),1st,3.48 (5),14.5,,35,17,Iceman,Iron Fist,Iceman,Iron Fist,First attempt,5,5/5,"Nice group of heroes. Neither of us were a huge fan of the setup (mainly the villains).  Kylah's last turn was bonkers - being able to rescue bystanders and KO with Werewolf by Night.  He ended up with all 5 rares and the next to last bystander ended up being the Photographer. Second game was fun too, but just not fast enough or nearly as much VP.  It was hard enough getting VP in this one, so the bystander thing definitely came in handy in the end."
,,3,Jalt,52,18,70,1st,Yes (3),2nd,23 (4),1st,0 (3.5),3rd,3.043 (3),13.5,,34,8,Groot,Iceman,Groot,Iceman,First attempt,4,4/5,Iceman and Captain Marvel make almost a cheat combo. Two Master Strikes hit early and didn’t get any heroes and 2 bystanders got KO’d and everything else was a breeze. If more gems had shown earlier or if more Goons had given me KO power to clear out my grays from my Ice/Marvel side I could’ve probably beaten this even faster.
,,4,RemingtonChase,54,11,65,1st,Yes (3),4th,27 (2),1st,0 (3.5),4th,2.407 (2),10.5,,43,7,Forge,Iceman,Forge,Iceman,First attempt,4,4/5,"First game Forge and Domino were the MVPs, second game Marvel and Iceman. Werewolf by Night was good for both teams. Unfortunately, no sight of Chthon."
,,5,Hatephd & EditedMist99,56,17,73,1st,Yes (3),5th,36 (1),5th,3 (1),5th,2.028 (1),6,,39,11,Angel,Jean Grey,Angel,Jean Grey,First attempt,5,5/5,"So game one we won technically. Had to hit Cthhon, though...game two that squidbilly came out so fast it was demoralizing hopefully a win with 3 escapes is good enough to break through to the next round."
