Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,,3
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,,
24,The Duel with the Dragon Maklu,1,(+10),30,Avataristche,115,11,126,1st,Yes (5.5),1st,25 (10),1st,0 (6.5),1st,5.04 (10),32,,104,44,0,3,6,4,1,2,0,16,Ant-Man (Ant-Man),Viv Vision,Ant-Man (Ant-Man),Viv Vision,Second attempt,5,"My first try totally bagelshuffled, i lost 4 duels by turn10. The second game, well, when tech works it works. During my final turn i played 18 cards, recruited 7, rescued 21 bystanders abd generated 57 attack.",,
,,2,(+9),29,Redblock,42,47,89,1st,Yes (5.5),2nd,27 (9),1st,0 (6.5),2nd,3.296 (9),30,,5,13,0,2,5,5,3,0,0,15,Doctor Strange (Avengers),Viv Vision,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"One of more advanced hero comboes, to tally attack totals after all the micro size changing, artifacts, versatiles and cheering crowds had to do heavy bookkeeping, and you constant have to keep track on twist number, to check what artifacts keep in play, and what to discard",,
,,3,(+8),28,GZUZROCKS & DaBomb,43,51,94,1st,Yes (5.5),3rd,30 (7.5),1st,0 (6.5),4th,3.133 (7),26.5,,8,7,0,0,4,4,3,0,0,11,Doctor Strange (Avengers),Angel Noir,Doctor Strange (Avengers),Nova (Champions),Second attempt,5,"This was a very cool set up. Initially, scheme sounded pretty insane but doc strange and voodoo had artifacts in the hero colors which helped win the duels. I could visualize these two magicians just staying out on the front lines with a force field of magical protection while the rest of the crew fought the battle. :) first game we tried to use angel noir thinking he would help with combos but he didn’t bring much power to the game which we really needed to fight the chunky villains and Foom. Second game we used Nova instead which really helped bring in some extra power and helped secure a win sooner than our first game. Still, it took awhile to get our hands refined enough to get Foom in both games. Great thematic set up! Props to Bagel!",,
,,4,(+7),25,dontfeedthegreen,55,47,102,1st,Yes (5.5),6th,32 (5),1st,0 (6.5),3rd,3.188 (8),25,,8,15,0,1,2,2,5,0,0,10,Clea,Daredevil Noir,Clea,Ms. Marvel,Second attempt,4,"I knew I needed to fill both decks with both Colors, so I went with Clea as she has commons in Science and Magic Colors but doesn’t have a lot of Color-based triggers. Game 1 tried Daredevil Noir but his pseudo-wall-crawl didn’t really help my speed as the game was a frustrating 39 turns long. Switched to Ms Marvel for game 2, and managed a faster win with just as much VP thanks to her Bystander engine. P2’s deck was really thin with her and rescuing loads but struggled to build enough Attack/Colors to hit Foom. P1 had a great start and some early hits with Gwen and Ms Marvel’s rares but stalled when they ran out of Bystanders for Gwen’s Cheering Crowds. It didn’t help that a Strike with 3 MU Villains in the city buried three 7-cost cards and a Staff of Legba!",,
,,5,(+6),25,the.melk.man & Snapcity57,57,32,89,1st,Yes (5.5),3rd,30 (7.5),1st,0 (6.5),6th,2.967 (5),24.5,,25,9,0,0,3,3,3,1,0,10,The Vishanti,Clea,Clea,The Vishanti,Second attempt,1,Too much multi-cultural melking,,
,,6,(+5),22,Handballermann & Efruhuhn,47,47,94,1st,Yes (5.5),5th,31 (6),1st,0 (6.5),5th,3.032 (6),24,,0,10,0,1,4,5,1,0,0,11,Ms. Marvel,Wonder Man,Ms. Marvel,Wonder Man,First attempt,3,"It took a while to get to all hero classes and hit the mastermind. Had early legendary heroes, but otherwise bad luck drawing heroes. It was fun, because we had luck.
Second game was worse in every aspect.

It was hard to get any combos, because we needed to play around every hero class, which took away some fun.",,
,,7,(+4),22,Justitiana,51,42,93,1st,Yes (5.5),7th,34 (3.5),1st,0 (6.5),8th,2.735 (3),18.5,,9,6,1,1,2,3,2,0,0,8,Doctor Strange (Avengers),Clea,Doctor Strange (Avengers),Clea,First attempt,4,"Making the Hero Choices was a bit difficult, trying to balance the colours for the Scheme led me to Doctor Strange and Clea. Doctor Strange and Doctor Voodoo both have the advantage that some of their cards are artifacts, which mean they could help even better to avoid losing Duels. There weren't a lot of really strong Heroes available to choose from anyway, at least I didn't see any super obvious synergies.

In both my games the first 3 Duels were lost because they came before I could build my decks. In the first attempt I ended up with 4 duels being won by Fin Fang Foom, in attempt 2 that stayed at 3. Deckbuilding wise I went with a mix of everything for both decks, with the end result in attempt 1 being a deck 2 that could carry its weight with a lot of Doctor Voodoo's cards and some of Doctor Strange's card draw Common as MVPs. Deck 1 was far from useless and got great use out of one copy of Clea's Uncommon, a couple of Gwenpool's bystander Commons and one or two of Iron Man Noir's attack Commons. 

Getting to the 12 or 14 attack usually required to attack Fin Fang Foom took a lot of turns and with an average of 2-3 attack per card played, it wasn't an easy thing to do without extra draw (which was not abundant). Doctor Voodoo's Ritual Artifacts were the welcome ones to make 4+ attack reliably. Attempt 1 took 34 turns, but never felt impossible. Attempt 2 took 33, but suffered from a lot worse flow, that made awkward turns where the City was completely empty while hitting Fin Fang Foom was not doable yet. Attempt 1 also had more luck with the Bystander rescue effect from Gwenpool. She only rescued 1 bystander in attempt 2, but in attempt 1 she got 3.

The required diversified portfolio to attack Fin Fang Foom was something to struggle to get together in both games. In both games Deck 1 ended up KOing the most starters, but in attempt 2 the rest of the cards could not hit hard enough even with (almost) no starters left.. Attempt 2 saw Deck 2 recruit 4 rares, the only one escaping recruitment by a Demolish being the Iron Man Noir one, which funnily enough was the only rare recruited in attempt 1. The challenge to not lose from the Scheme was a fun one, although I became a bit anxious as the first 3 Twists were not avoidable to fail for me in both games. Luckily Twist 4-6 were by then more or less safely preventable from becoming Duels Won. In attempt 1 the last few turns were very tense as one more unlucky draw of a Scheme Twist would end in a loss, while the rest of the game felt really manageable and only the Final Blow was required. After winning, the last 2 Scheme Twists turned out to be really near the bottom, but while playing I of course couldn't know that.

Attempt 1 ended up giving me quite a few more VP than attempt 1 while being only 1 turn slower han attempt 2, so I ended up submitting that one. Doctor Strange is one of my favorite Heroes in this game. Not only do I like the character a lot, but also his Ritual Artifact cards can both be saved for a turn when you need them (whilst requiring some setup to play them again) as well as giving you some draw from his other Common. He might not get into crazy numbers or ramp like some other Heroes, but I find a card that gives you 3 attack for 3 cost  AND can be saved for a later turn has no small impact either. Clea was also fun, her Demonic Bargain comboing nicely with Iron Man Noir's 3-cost, which is on its own pretty weak, even with 3 attack, because of his downside. That downside was semi-useful in this setup too, to save cards that you needed for a Duel for a next turn to draw them guaranteed.

All in all not an easy setup, as Fin Fang Foom is no easy Mastermind, but I'm very glad it wasn't Epic Fin Fang Foom, as then I think the available heroes were simply too weak to manage that. Curious to see what week 4 will bring!",,
,,8,(+3),21,Techfiend,43,44,87,1st,Yes (5.5),9th,36 (2),1st,0 (6.5),9th,2.417 (2),16,,1,7,0,1,0,4,1,0,0,6,Ant-Man (Ant-Man),Doctor Strange (Avengers),Ant-Man (Ant-Man),Doctor Strange (Avengers),First attempt,3,"Both games went super slow. Chose Dr. Strange to have artifacts that would protect me from the scheme, but..... ugh.",,
