Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,
27,EPIC Malekith the Accursed Crashes the Moon into the Sun,1,Wicked.pepper,23,52,75,1st,Yes (2),2nd,23 (2),1st,0 (2),1st,3.261 (3),9,,29,39,Beast (Illuminati),Ruby Summers,4/5,"Well, Shapeshifting Symbiote and Doctor of Beatdown 'saved the day'. The tech/strength bystander deck really did the work. Although Ruby/Mirage also gave punches that gave you (waking) nightmares. I also was lucky with that deadly 9th twist being two turns away before ending the game. Second game went on longer, had more VP, but the points per turn were a little lower. That game had a better strenght/tech deck, but missing the Save the Day got me less bystanders."
,,2,OllieKitKat & Kylah15,19,40,59,1st,Yes (2),1st,21 (3),1st,0 (2),3rd,2.81 (1),8,,21,28,Beta Ray Bill,Ruby Summers,4/5,Couldn't resist going the discard route. Early master strikes and weapons being ko'd + Kylah recruiting Ruby's rare on turn 5 + getting Stormbreaker at appropriate times just made for a smooth ride. (Not to mention the lucky top deck bystander when we thought we were about to have an escape)
,,3,R3DJ0N#6458,26,56,82,1st,Yes (2),3rd,27 (1),1st,0 (2),2nd,3.037 (2),7,,30,35,Silk,Spider-Man Noir,4/5,"I initially though a discard deck with beta reta bill and ruby summers would be the winning deck, unfortunately I used Bill last week. I went with spiders. Silk is great. Save the day from Spider-Gwen generated a lot of attack as long as I could keep the rooftops cleared,  which was easier thanks to villainous weapons not pushing. There were a lot of bystanders in this scenario. I think of the 35 I rescued 20 of them were normal. I ended up failing 3 sunlight orbits because I couldn't recruit enough spiders, (silk and gwen don't make recruit)."
,,,,                                                            Lower Bracket,,,,,,,,,,,,,,,,,,
28,Emma Frost's Secret Hydra Corruption,1,Cerberin,51,30,81,1st,Yes (3.5),3rd,22 (3.5),1st,0 (4),1st,3.682 (6),17,,21,1,Mirage,Medusa,5/5,"This setup was really cool, my first attempt was disaster due to too much grey Maria Hills, that's why I decided to play it again. Second try was much better, Left was focusing on Mirage/Wolfsbane and Right was leading an All-Inhumans team. Mirage really helped with the waking nightmares and she generated crazy amount of attack with her uncommon (with the help of Wolfsbane of course) that was enough to clear the city on several occasions. Right was finally getting enough attack to fight Emma Frost twice in a row and I hit her ""Diamond form"" tactic that costed me 2 additional turns for the final victory. Overall the setup was super fun and secretly challenging with the scheme."
,,2,Zer00verride,28,32,60,1st,Yes (3.5),2nd,21 (5),1st,0 (4),4th,2.857 (3),15.5,,4,1,Medusa,Karnak,5/5,The 2nd game I ended up with so much KO power. There was only one starting card in either deck left at the end. Emma Frost at that point didnt stand a chance. Was most happy that the right hand side managed to get a deck based on Crystal working as when that gets going she hits hard.
,,3,MicroDisney0505,37,19,56,1st,Yes (3.5),1st,20 (6),1st,0 (4),5th,2.8 (2),15.5,,18,1,Medusa,Mirage,5/5,"Between scheme, circus of crime, Black bolt, Medusa, and Wolfsbane so much ko of Grey's. Mirage took care of the Grey cards that ended up in my hand. Could have ended the game a turn early except for the card that wouldn't let me hit Emma until the start of my next turn. So excited to choose and play with 2 of my top 5 heroes."
,,4,Avataristche,40,25,65,1st,Yes (3.5),3rd,22 (3.5),1st,0 (4),3rd,2.955 (4),15,,15,1,Mirage,Photon,3/5,"I got hq locked by 4 rares, but both sides managed to ko down to ""hit mm every turn"" by that point."
