Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,Bystanders Rescued,Scheme Twists in the Villain Deck,Hero Choice 1,Hero Choice 2,Fun Level,Comments
27,Emperor Vulcan Changes the Outcome of WWII,1,Wicked.pepper,35,45,80,1st,Yes (3),1st,34 (4),1st,2 (4),3rd,2.353 (2),13,,5,0,Captain America (Falcon),Adam Warlock,4/5,"This was though, I am glad I chose Adam Warlock, without his shards I would have never came close to winning. I chose Falcon for another shot at avoiding wounds, but with 4 master strikes in the first 8 turns, it was a failure. Luckily I have enough discard fodder this way..."
,,2,Off the Cuff,64,33,97,1st,Yes (3),2nd,37 (3),2nd,3 (2.5),1st,2.622 (4),12.5,,8,0,Captain America (Falcon),Wolverine (X-Men),5/5,"Getting Cyclops' rare early proved to be critical; I never got a chance to spend the Throne's Favor, but neither did anyone else."
,,3,TheDanInBlack,41,45,86,4th,No (1),4th,35 (1),2nd,3 (2.5),2nd,2.457 (3),7.5,,4,0,Wolverine (X-Men),Medusa,3/5,"Scheme was fun, but I just couldn’t manage the city, keep the throne’s favor from Vulcan, and hit Vulcan. I tried. Also Wolverine’s wound-control common was hiding most of the game."
,,4,Dre 2 point 0,43,45,88,1st,Yes (3),3rd,40 (2),4th,8 (1),4th,2.2 (1),7,,7,0,Black Bolt (Inhumans),Medusa,4/5,"Cap ‘41 and Venom made for great partners, as long as Cap kept Venom from eating all the bystanders they rescued. And Venom helped lengthen the game by slinging bystanders out into each capital before a Scheme Twist. Compared to my second attempt, this was a great game!"
,,5,THSmjsmith & THS_coconutgamer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,                                                            Lower Bracket,,,,,,,,,,,,,,,,,,
28,Zombie Green Goblin & the God-Emperor of Battleworld,1,Lamertien,15,70,85,1st,Yes (2.5),1st,28 (4),1st,0 (2.5),2nd,3.036 (3),12,,12,3,Silk,Spider-Gwen,3/5,"First match was a dirty win. Bad luck with the thoughest Villains right at the beginning; won the game by defeating the God-Emperor after the 7th twist; second game was so much better - MVP was Spider-Gwen rescuing many Bystanders and producing great attack values; my second hand was a Spidey Deck, and I easily had 20-30\\\ almost every turn as soon as I had enough Spidey-Cards. I hate Sentry, and Miek didn't fit with my Spideys either, but I really had to win this game ;-)"
,,2,JParnell,53,54,107,1st,Yes (2.5),2nd,33 (2.5),1st,0 (2.5),1st,3.242 (4),11.5,,2,3,Wolverine (X-Men),Soulsword Colossus,5/5,"Got lucky with the Scheme, and KO'd the God Emperor while it was at 13 attack. Sentry is horrible, and is rocketing down my ranking of Heroes."
,,3,CrimsonY#5104,57,43,100,1st,Yes (2.5),2nd,33 (2.5),1st,0 (2.5),3rd,3.03 (2),9.5,,3,2,Apocalyptic Kitty Pryde,Old Man Logan,5/5,"Holy sh*t this game went almost perfectly, I had done one where the HQ got clogged with money and couldn't deal any damage, but second try was almost perfect, we did logan Left, yellow + tech and I got a couple sad agoraphobia starting up, luckily they comboed into phase out and energy drain for a quick started deck ko, zombie viper helped by coming back 5 times somehow.
Once logan was capped at 16 dpr with 6 cards... I KOed my recruit and bought Sidekick to draw into 19 dmg, recruiting 1 last turn just to KO for 1 dmg. What a thrill ride.
Logan and Kitty pride forever (Miek helped.. ok even sentry was useful xD)"
,,4,MicroDisney0505,33,77,110,1st,Yes (2.5),4th,38 (1),1st,0 (2.5),4th,2.895 (1),7,,3,1,Old Man Logan,Wolverine (X-Men),2/5,"Second game was going better,  but 8 scheme twists in the first 15 cards made me lose. So game 1 got submitted.  The turn after a rare showed up Zombie Green Goblin got it. I could have bought it too that turn. Leader played extra cards so the next turn would have been a loss for me."
29,Apocalypse Weaves a Web of Lies,1,Hobbes#4833,12,56,68,1st,Yes (3),1st,26 (4),1st,0 (4),3rd,2.615 (2),13,,11,4,Black Widow,Elektra,1/5,"This was probably my best game ever against Apocalypse, I got so lucky so many times"
,,2,Mangostrike,85,20,105,1st,Yes (3),2nd,29 (3),2nd,1 (2.5),1st,3.621 (4),12.5,,36,2,Black Widow,Hiroim,5/5,I managed to get Hiroim's rare and Widow's Covert Operation into a 11 card hand with 2 mission accomplished and 2 Dangerous Rescue. That's 4/11 cards giving me bystanders every 2 turns. Then Punisher knocking out my 0pt heroes and some villains too. Second hand wasn't doing much other than crowd control. First time I've really had Widow utilize a Bystander Engine.
,,3,ItStartsWith1,82,39,121,1st,Yes (3),3rd,37 (2),2nd,1 (2.5),2nd,3.27 (3),10.5,,27,1,Black Widow,Nightcrawler,4/5,"With elimination on the line, busted out the guns, and Natasha did not disappoint. Was able to get her engine running early, and actually over KOd that deck. I was very lucky, as the last scheme twist was the last villain card, allowing me to hit Apocalypse twice on that final turn. I needed all the time, as his Strike set me back entire entire turns. Game 2 was a loss…"
,,4,meimbatman,49,25,74,4th,No (1),4th,34 (1),4th,2 (1),4th,2.176 (1),4,,25,0,Black Widow,Jean Grey,4/5,I just didn't see any of the really good Jean Grey/Black Widow bystander cards until way too late so it took way too long to ramp up.  I hit him 3 times but then got the final twist and lost.
30,Fin Fang Foom Forges the Infinity Gauntlet,1,Ashyy,23,68,91,1st,Yes (2.5),1st,30 (3),1st,0 (2.5),1st,3.033 (3),11,,23,4,Black Widow,Ms. Marvel,2/5,Ooof this setup was hard 🥺
,,2,Barrit,43,19,62,1st,Yes (2.5),2nd,33 (2),3rd,3 (1),2nd,1.879 (2),7.5,,5,3,Dr. Strange,Proxima Midnight,2/5,
,,3,Grey Warden,28,46,74,3rd,No (1),3rd,41 (1),1st,0 (2.5),3rd,1.805 (1),5.5,,8,0,Thanos,Arkon The Magnificent,4/5,"We came close, what killed us was the 3rd hit on FFF killed Arkons rare and made me discard Deadpool's rare. If that hadn't happened, we would have won in turn 41. Final turn was the one card that played extra from the VD so we got that extra turn lol 8 Bystanders saved... 22 KO'd"
,,4,CaptainMetroidica,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-
31,Belasco's Midtown Bank Robbery,1,Mikeygill97,29,42,71,1st,Yes (2.5),1st,24 (4),1st,0 (3),1st,2.958 (4),13.5,,7,2,Rogue,She-Hulk,5/5,Got Rogue's rare early which helped win the game along with Groot's rare as well.
,,2,Snash108,56,38,94,1st,Yes (2.5),4th,33 (1),1st,0 (3),2nd,2.848 (3),9.5,,27,3,Gladiator Hulk,Mirage,5/5,Always love playing with Angel. Throw in heroes with Smash and he just gets better!!!
,,3,Zer00verride,41,31,72,1st,Yes (2.5),2nd,27 (3),1st,0 (3),4th,2.667 (1),9.5,,10,5,Mirage,Gladiator Hulk,4/5,"Hulk is King is probably the most satisfying card to play in this game, particularly paired with several discard mechanics. Was a very close result between this and my other game which scored more VPs but took longer. Hope I submitted the right one."
,,4,Redblock,26,58,84,1st,Yes (2.5),3rd,30 (2),4th,1 (1),3rd,2.8 (2),7.5,,18,3,Rocket Raccoon,Mirage,4/5,"At least this was not Belasco with Massive earthquake generator, where was enough KOd heroes to loose that 4 times"
32,Uru Enchanted Iron Man Imprisons Unregistered Superhumans,1,OllieKitKat/Kylah15,23,59,82,1st,Yes (2),1st,20 (3),1st,0 (2),1st,4.1 (3),10,,22,6,Black Widow,Hercules,5/5,"Both games ended on Turn 20 oddly enough but this one (the first of the two) definitely outshined. Deadpool slung bystanders into the city and once Black Widow rescued them there was no contest. Hercules/Cyclops/Jessica played well on their own and thinned their deck enough to adequately control the city, but Widow punched on the final turn for 44 attack, it just works."
,,2,Organous#0462,50,12,62,1st,Yes (2),3rd,25 (1),1st,0 (2),2nd,2.48 (2),7,,5,3,Skadi,Photon,4/5,"The theme was almost plausible. All the selected heroes seem likely to oppose such a thing. I was also able to combo pretty well here, and I always enjoy calculated risks."
,,3,iburnicus,36,12,48,1st,Yes (2),2nd,21 (2),1st,0 (2),3rd,2.286 (1),7,,2,5,Darkhawk,Skadi,4/5,"fast game, early rare pickups of cyclops and skadi helped beating iron man before he could really arm up on uru enchanted weapons"
33,The Hydra Super-Adaptoid's Five Families of Crime,1,ClobberinTime & megablueJJ67,38,38,76,1st,Yes (2),1st,29 (3),1st,6 (2.5),2nd,2.621 (2),9.5,,8,5,Groot,Stingray,3/5,We got Thor & Stingray's best cards after defeating Paibok the Power Skrull. Shards helped fill in gaps with hands with little to no attack.
,,2,FlipFlopManiac,39,64,103,1st,Yes (2),3rd,36 (1),1st,6 (2.5),1st,2.861 (3),8.5,,12,1,Stingray,Deathlok,1/5,"Submitting first game.  MCU side took draw-junk until I grabbed some Surge of Powers and then waited until a Call Lightning showed up, helped a little with keeping the city clear.  Comic side was able to string together Deathlok/Stingray tech synergy for more consistent fighting, Deck Chairs On The Titanic setting up Superpowered Swimsuit nicely and Guns on my Guns having more targets (core set SHIELD Agents count!).  Second game had 8 escapes in 17 turns."
,,3,WrightHandMan65,37,33,70,1st,Yes (2),2nd,31 (2),3rd,7 (1),3rd,2.258 (1),6,,8,3,Captain America,Hawkeye,2/5,"Wow!! This is the kind of Legendary I love to hate. Tough and gritty to the bitter end. My first match I pulled 4 Scheme Twists in a row from 3 different Villain Decks 😭 Lost that game frustratingly fast.. My second go around was not much better but I came out on top in the end thanks to Caps “Perfect Teamwork” Cards 🛡

I actually won the game against the Tactic “Thor’s Hammer” using Thor’s “Call Lighting” card. I guess the Super-Adaptoid could replicate his hammer but not his lighting 🤣"
