Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,Bystanders Rescued,Scheme Twists in the Villain Deck,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,
25,Mephisto's Korvac Saga,1,R3DJ0N#6458,13,53,66,1st,Yes (2.5),1st,24 (4),1st,0 (3),1st,2.75 (4),13.5,,4,3,Punisher,Black Widow,4/5,I was hoping Boom Goes the Dynamite would help me deal with the wounds but only 1 copy total showed up through both games. Covert Operation let me win by taking down Korvac even though I only hit the mastermind once. 
,,2,Avataristche,37,35,72,1st,Yes (2.5),2nd,28 (3),1st,0 (3),2nd,2.571 (3),11.5,,2,4,Moon Knight,Punisher,3/5,"First try i got 4 rares in hq by turn 7, after 6 turns of getting nothing done, i called it reset. Second try did it somehow. Punisher was able to thin the deck enough for nightcrawler and Moon Knight to get to 10 attack. Black Cat actually helped a lot. And warriors were there too, i guess."
,,3,SilverFirePrime,47,25,72,1st,Yes (2.5),3rd,29 (2),1st,0 (3),3rd,2.483 (2),9.5,,3,3,Scarlet Spider,Symbiote Spider-Man,3/5,"Solid setup.  Nothing spectacular about it, but nothing horrible about it either."
,,4,AntDude & WaspWoman,19,39,58,1st,Yes (2.5),4th,30 (1),4th,1 (1),4th,1.933 (1),5.5,,3,3,Angel,Beta Ray Bill,4/5,"On paper, we were very excited with our alternative plan to handle the wounds Mephisto was handing out with Angel's and Beta Ray Bill's discard power. It was moderately successful, but we never saw a single Diving Catch card in either game. Black Cat, on the other hand was very abundant. AntDude's unenjoyable strategy was to simply clear Black Cat and the Warriors Three out of the HQ so WaspWoman could power up her deck with Angel and BRB. Nightcrawler's teleport was very friendly in waiting for Korvac Revealed too!"
26,J. Jonah Jameson Hacks Cerebro Servers To...,1,Cerberin,16,54,70,1st,Yes (2.5),1st,16 (4),1st,0 (3),1st,4.375 (4),13.5,,8,7,Thing,Nick Fury,5/5,"I've had pretty lucky VD shuffle and during my entire game I have drawn 3 scheme twists and 0 master strikes. Left hand went with Nick Fury/Agent X-13 Shield combo with all the officers from the Angry mob stack, Right hand used a strategy with Strong Guy and Thing. Squirrel girl was used only for switcheroo but really helped a lot to get the right cards at the right time. 4 attack was not a lot to generate for an Angry Mob/MM fight and I've got super lucky with two Terraxes sitting in the city each with 3 bystanders when Right hand had 4 Strength cards in play. Really amazing game, I still do not know what was the unveiled part of the scheme!"
,,2,Mr_Giraffe,44,16,60,1st,Yes (2.5),2nd,18 (3),1st,0 (3),2nd,3.333 (3),11.5,,1,5,Captain America ,Jessica Jones ,4/5,Cap helped me get a lot of recruit to get Squirrel Girls rare very early. Switcharoo helped with Strong Guys formation. Those were the downfalls of Mr Grumpy news editor 
,,3,Adrian Miller,34,39,73,1st,Yes (2.5),3rd,30 (2),1st,0 (3),3rd,2.433 (2),9.5,,1,4,"Steve Rogers, Director of Shield ",Jessica Jones,3/5,"Went back and forth on the fun, went one side Strong Guy with Strength and the other side random cards. Felt it was better to get JJJ done as soon as I could. Got lucky that I didn’t have the veiled scheme affect me but was hoping to have it done before it was revealed."
,,4,Drewfusmcge ,33,24,57,1st,Yes (2.5),4th,32 (1),4th,7 (1),4th,1.781 (1),5.5,,2,1,Thing ,Shatterstar,3/5,"Oof. Really wish we had two attempts on this one. I only failed one twist in the first half but always had a full city, which screwed me in the second half. Thing showed up super late so I barely got to use him. Shatterstar did ok but definitely could have been better. Probably should have saved him for a higher attack mastermind, oh well. Gg"
