Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,Bystanders Rescued,Scheme Twists in the Villain Deck,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,
40,Lady Deathstrike Predicts Future Crime,1,Cerberin,30,27,57,1st,Yes (1.5),1st,14 (2),1st,0 (2),1st,4.071 (2),7.5,,2,5,Shatterstar,Rictor,5/5,"All heroes worked great together in this setup with the Instinct/Ranged focus! Left side relied on Warpath's uncommon (2 copies of it) to thin the deck and Wolverine and Rictor for draw power. On the Right side I focused mainly on Shatterstar with the help of the divided Falcon card and Rictor, I have grabbed and cloned Shaterstar's rare on turn 10 which helped a lot with Lady Deathstrike. The biggest luck was to draw a scheme twist when the 3 top cards of the villain deck were MS, MS and henchman. After only 14 turns I have delievered the final blow on her which was probably my fastest win ever!"
,,2,R3DJ0N#6458,65,24,89,1st,Yes (1.5),2nd,27 (1),2nd,2 (1),2nd,3.296 (1),4.5,,4,1,Tigra,Hulk,3/5,
,,,,                                                            Lower Bracket,,,,,,,,,,,,,,,,,,
41,The Hydra Super-Adaptoid Enthrones the Barons of Battleworld,1,Avataristche,61,20,81,1st,Yes (2.5),1st,23 (4),1st,0 (2.5),1st,3.522 (4),13,,11,2,Mockingbird,Black Swan,5/5,"So, my first try went pretty dope, i got rid of almost all grey (had like 3 total by the end), and rescued a ton of totally not-amys (also managed to fizzle triggered Swan's rare by revealing 2 twists, 2 ms and a bot). But the second try i reduced shield side to 6 cards with 3 ramps within them, and it was faster with the same vp somehow (recruiting random shield cards to send undercover definitely helped)."
,,2,Lamertien,46,27,73,1st,Yes (2.5),2nd,25 (3),1st,0 (2.5),2nd,2.92 (3),11,,4,2,Mockingbird,Deathlok,5/5,Nice setup! Both game went very similar with easy wins in 25 and 26 turns. I really thought of another Bystander-grabbing hero at first. But then I decided to play my most loved Shield heroes Bobby & Deathlok because I'm not sure Shield heroes might be an option in the upcoming matches IF I succeed! I didn't rescue many Bystanders BUT I send 10+ Heroes undercover :-) I was glad to see Cap in that Setup which made things much easier! I was never in lack of recruit! Fun game!
,,3,Snash108,56,47,103,1st,Yes (2.5),4th,36 (1),1st,0 (2.5),3rd,2.861 (2),8,,10,1,Agent Phil Coulson,Mockingbird,4/5,"Had a SHIELD side and a spextrum side, though both were able to use SHIELD level due to the HYDRA villains. Got super lucky with 3 twists right at the top of the deck, so the scheme was not a threat at all.

Lots of card draw from,Mockingbird and a copy of Elsa's Uncommon led to a grand victory(though not as swift as I would have liked)!"
,,4,ClobberinTime & megablueJJ67,45,20,65,1st,Yes (2.5),3rd,27 (2),1st,0 (2.5),4th,2.407 (1),8,,9,4,Iron Fist,Elektra,3/5,"We were a little bummed the mastermind was Hydra Super-Adaptoid (previously fought during week 3). But this may have worked to our advantage since we hand an idea of what to expect. We were lucky that two scheme twists occurred when the city was empty. Also, we fought Groot from Planet X and cleared the city except for one Splintered Half-Groot. Then a scheme twist occurred, and it (a bystander) ascended to become a mastermind lol."
42,Emma Frost's Tornado of Terrigen Mists,1,SilverFirePrime,27,47,74,1st,Yes (2.5),2nd,26 (3),1st,0 (3),1st,2.846 (4),12.5,,5,4,Venom (Sinister Six),Gorgon,4/5,"With Multiple Man and Super Skrull's repeatable KO uncommon, this was a bad setup for Emma Frost."
,,2,OllieKitKat/Kylah15,11,54,65,1st,Yes (2.5),1st,23 (4),1st,0 (3),2nd,2.826 (3),12.5,,2,9,Wolverine,Hulk,4/5,"An early rush of Wolverine/Bullseye in the HQ really put Kylah in a great place. Multiple Man quickly let us KO our greys. Master Strikes were either early or didn't really hurt us too bad, and very lucky on scheme twists not swarming us with wounds. This definitely was one of those games where knowing when to stop or strategically recruit at the end came in very handy."
,,3,Organous#0462,51,30,81,1st,Yes (2.5),3rd,32 (2),1st,0 (3),3rd,2.531 (2),9.5,,1,2,Wolverine,Electro,3/5,"Overall very average. The theme is not *entirely* unrealistic, at least in the villain deck. But nothing really stood out."
,,4,Off the Cuff,48,28,76,1st,Yes (2.5),4th,33 (1),4th,1 (1),4th,2.303 (1),5.5,,2,3,Crystal,Karnak,4/5,
43,Hela Captures Baby Hope,1,Mr_Giraffe,60,22,82,1st,Yes (2.5),1st,24 (4),1st,1 (3.5),1st,3.417 (4),14,,5,4,Thor (Heroes of Asgard),Iceman,5/5,Iceman and Thor are a match made in heaven and then Nick fury KOng the greys made great work. The other hand had hyperspeed with Darkhawk which was a great strategy but all blue hero with Iceman plus mjolnir is almost an instant win if the HQ is on your side
,,2,Wicked.pepper,42,70,112,1st,Yes (2.5),2nd,33 (3),1st,1 (3.5),2nd,3.394 (3),12,,30,3,Gambit,Black Widow,3/5,"This setup screams for Black Widow, time to get the guns out. The bystander payoff ended up arriving a little late, but Pure Fury dominated (with only 4 basics left in total). Hela is so rough.."
,,3,JParnell,36,32,68,1st,Yes (2.5),3rd,34 (2),3rd,3 (2),3rd,2 (2),8.5,,8,2,Psylocke,Forge,3/5,
,,4,Mikeygill97,41,32,73,1st,Yes (2.5),4th,37 (1),4th,6 (1),4th,1.973 (1),5.5,,10,8,Beast (X-Men),Wolverine (X-Force),5/5,"I thought it was going to come to a loss until it was down to two cards left in the villain deck...but Thanks Fury's rare on one hand, and the other hand having Wolverine and his awesome drawing powers, I was able to send Hela back to Hades where she belongs!"
