Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,"Hero Choice 1
(Attempt 1)","Hero Choice 2
(Attempt 1)","Hero Choice 1
(Attempt 2)","Hero Choice 2
(Attempt 2)",Attempt Submitted,,Fun Level,Comments
,,6,illmatic,35,47,82,1st,Yes (5.5),7th,30 (3.5),1st,0 (7.5),7th,2.733 (4),20.5,,12,18,M,Captain Mar-Vell,M,Rictor,Second attempt,4,4/5,"Resubmitting as I noticed other left more in-depth comments, and I'd like to as well.  Clone sets (M + Stepford) didn't provide great recruit towards non-Clone heroes, and they can make for some really large decks due to having no KO abilities.  However, they can build up more attack early in the game than non-cloning cards due to their frequency + Tactical Formation, and they handled the Celestials well due to duplicate classes.  That allowed me to keep the city clear while I waited on Hiroim's transform card to get OP with bystander count (thank you Sinister Clones).  Pretty good set-up, I got hurt in Game 1 by not buying prison ship recruits early enough, and when Hulkbuster's 8-point card came up late, it blocked my ability to manage the count on the ship."
,,7,CaptainMetroidica,35,41,76,1st,Yes (5.5),7th,30 (3.5),1st,0 (7.5),8th,2.533 (3),19.5,,6,15,Korg,M,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,5/5,"The Celestials were in the set up, and they are my absolute favorite villain group so that was a real treat! I got the one that reduces mastermind threat by 1/5th, Nezarr, on the third turn. That was the only thing that let me get ahead as fast as I did. Left side had 3 Celestials downed and the right had 1. Really let me do some churning and rescuing more bystanders. The Lords of Netherworld didn't really throw too much of a roadblock for me. The cloning worked really well in my favor, and is bringing me around on liking the mechanic more. Overall, great set up! Only had time for one play so hopefully it does well!"
,,8,Mikeygill97,40,38,78,1st,Yes (5.5),9th,31 (2),1st,0 (7.5),9th,2.516 (2),17,,2,11,M,Doctor Voodoo,M,Doctor Voodoo,First attempt,4,4/5,Decided to go with M because of her 3 abilities and Dr. Voodoo for some flavor for some Artifact possibilities but it didn't happen as much as I had hoped. Overall still a fun game.
,,9,Bronson,56,45,101,1st,Yes (5.5),10th,32 (1),7th,1 (3.5),5th,3.156 (6),16,,11,22,Bruce Banner (World War Hulk),Gladiator Hulk,Bruce Banner (World War Hulk),Gladiator Hulk,Second attempt,2,2/5,"Double cloning the Cuckoos was fun, but otherwise just had a hard time ever feeling great about our decks. If Dormammu had a higher strength feel like we would have been toast. We got a good thing going on one hand with Gammenon's bystander mechanic fly-wheeling with Ronan's 4-cost. Hindsight on deck building might have leaned stronger in bystander mechanics for the 2 free-agents."
,,10,Swagolas,48,17,65,1st,Yes (5.5),5th,27 (5.5),10th,4 (1),10th,2.407 (1),13,,31,1,Phyla-Vell,Quasar,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,"On turn 5 I already had 8 Mr. Sinister Henchmen enter the city, that’s how I got the 4 escapes.
The setup in theory was bystander-based, but I couldn’t really make a use from the effects.
Pretty much the whole game I got so lucky with my hand 1 draws, so half way to the game I decided to just boost up my hand 1 as much as possible even with hand 2’s plays. I was able to hit Dormammu 3x on my last turn! (2 transforms for Hulkbuster Iron Man, a bunch of card draws, shards and burn-a-shard effects from Quasar…)"
3,Arnim Zola Provokes a Clash of Nations,1,Drewfusmcge,23,25,48,1st,Yes (6),1st,21 (10),1st,0 (7.5),2nd,2.286 (9),32.5,,2,1,Gamora,Star-Lord,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,5/5,"Wowwwww. King BP and White Wolf on one side, Star-Lord and Angel Noir on the other. Only saw one Gamora card the whole time, but it didn't matter. I got an early Mind Stone which gave me enough recruit to get both King BP and White Wolf's rares. Never once had a master strike to mess up my HQ and eventually got Zola down to only 6 attack. My other side had three Star-Lord's Element Guns generating shards so it was a quick one. Lots of fun!"
,,2,dontfeedthegreen,30,35,65,1st,Yes (6),3rd,28 (8),1st,0 (7.5),1st,2.321 (10),31.5,,5,2,Star-Lord,Drax the Destroyer,Star-Lord,Daredevil Noir,Second attempt,2,2/5,"Zola can be frustrating, especially when King Black Panther’s rare shows up in the HQ. The Infinity Gems are a pain too, especially in tournaments where you’re having to hit high VP Villains for little to no VP benefit. I actually think Drax was the better Hero choice but my game with him got railroaded by an unbroken March of Infinity Gems leading to an escape at the start of the game. Daredevil Noir got a better shuffle and managed more VP in less time with zero escapes, so I went with that one!"
,,3,RemingtonChase,34,38,72,1st,Yes (6),4th,32 (7),1st,0 (7.5),3rd,2.25 (8),28.5,,4,2,Princess Shuri,Iron Man Noir,Princess Shuri,Iron Man Noir,Second attempt,4,4/5,"Enjoyable combo. Brought in Iron Man Noir and Shuri to emphasize tech strats (though Shuri didn't show up as early as I would've liked). I was able to build strong decks and keep things confidently under control, but due to a non-ideal HQ things lasted longer than I would've liked."
,,4,ChuckBau3r,25,33,58,1st,Yes (6),2nd,27 (9),7th,1 (3.5),4th,2.148 (7),25.5,,8,2,Gamora,Star-Lord,Gamora,Star-Lord,Second attempt,5,5/5,"Brought Gamora/Star-Lord to reduce the printed attack available to be in the HQ. Gamora was also highly supported with all the covert cards available in the randomized pool. Shards also made the scheme easier, as they provided attack that didn't get discarded on a twist. Just always kept a non-henchman villain available, and I never lost one scheme challenge!!"
,,5,caseystahl1125,31,31,62,1st,Yes (6),5th,33 (6),1st,0 (7.5),7th,1.879 (4),23.5,,0,1,Gamora,Star-Lord,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,My strategy was to have all recruit in the HQ...Zola was approx. 14 hit points each turn for me becasue I had King Black Panther Rare and Angel Noir Rare that I couldn't recruit from HQ..made this scenario more difficult
,,6,D4Waterfall,36,30,66,1st,Yes (6),6th,35 (4.5),1st,0 (7.5),6th,1.886 (5),23,,6,6,Captain America (1941),Winter Soldier,Captain America (1941),Winter Soldier,First attempt,4,4/5,Heavy RNG on this one. First time through was about golden with getting 2 space gems to farm. Absolute trash on second attempt. Wasn't expecting it but had fun with Identical Twin Brother kicking out high scratches.
