Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,"Hero Choice 1
(Attempt 1)","Hero Choice 2
(Attempt 1)","Hero Choice 1
(Attempt 2)","Hero Choice 2
(Attempt 2)",Attempt Submitted,,Fun Level,Comments
,,9,FlipFlopManiac,21,43,64,8th,No (1.5),9th,25 (1),6th,2 (3.5),8th,2.56 (2),8,,22,5,Rick Jones,Spider-Woman,Rick Jones,Spider-Woman,Second attempt,2,2/5,"The mix of heroes was fun.

Every other aspect of that setup can take a running leap."
,,-,CGlied,49,35,84,-,Yes (6.5),-,22 (-),6th,2 (-),-,3.818 (-),-,,14,6,Bruce Banner (World War Hulk),Moon Knight,Bruce Banner (World War Hulk),Moon Knight,Second attempt,2,2/5,"This scheme seemed to be a race to find the quickest way to 8 attack. Not much you can do to mitigate against the scheme outside of recruiting no attack cards early . I couldn't worry about getting a nice engine going with a synergized deck. ""Hulk Smash! And Fast!"" was the order of the day."
8,Annihilus Infiltrates the Lair with Spies,1,Snatchcat,41,66,107,1st,Yes (6),4th,30 (7.5),1st,0 (9),1st,3.567 (11),33.5,,25,20,Speedball,Cloak & Dagger,Wiccan,Hulkling,Second attempt,4,4/5,"My first attempt went ok, but I had bad luck with the Villain Deck, and Enchantress' ""Soul Sacrifice"" never came out. Running it back I chose heroes based more on their colors and had much better luck with the Villain Deck. The side that got Soul Sacrifice in this game was going nuts with KO and ended up with just 5 cards in their deck lol. And speaking of sacrificed souls, Thanos threw 29 people to their doom in this game, making his rare an Utter Annihilation for Annihilus!"
,,2,Mr_Giraffe,62,44,106,1st,Yes (6),4th,30 (7.5),1st,0 (9),3rd,3.533 (9),31.5,,18,16,Juggernaut,Loki,Loki,Juggernaut,Second attempt,5,5/5,Decided to go with juggernaut as one of my choices as Thanks has a lot of higher cost cards and they made a great pair as did Loki and the enchantress. Fun setup the 2nd turn around…..the first attempt Annihilus just zoomed through the city
,,3,MicroDisney0505,48,39,87,1st,Yes (6),2nd,26 (10),1st,0 (9),6th,3.346 (6),31,,9,13,Cloak & Dagger,Speedball,Cloak & Dagger,Speedball,Second attempt,5,5/5,"This game had great hero synergies. Thanos and Speedball took advantage of KOed bystanders. Cloak & Dagger and Storm & Black Panther took advantage of Multiclass and Divided cards. Both games were good. My turn count on the first was a bit longer, but I felt no need to change heroes."
,,4,AdvSwaY,20,65,85,1st,Yes (6),1st,24 (11),7th,3 (3),2nd,3.542 (10),30,,45,17,Hercules,Venom (Sinister Six),Hercules,Venom (Sinister Six),First attempt,3,3/5,Utter Annihilation Thanos > Annihilus
,,5,Jmaster1324,62,54,116,1st,Yes (6),9th,34 (2.5),1st,0 (9),4th,3.412 (8),25.5,,8,24,Electro,Green Goblin,Electro,Green Goblin,First attempt,4,4/5,Not sure if you saw my other comment but these two were far more fun and I don't think Thanos was to blame lol. I ended up slightly worst off than what I submitted last time but not by much. I was so close to infinite electro but game 1 did end with me dodging until I have more than enough attack to clear the city including momentumed Galactus.
,,6,Hatephd & EditedMist99,66,52,118,1st,Yes (6),11th,35 (1),1st,0 (9),5th,3.371 (7),23,,14,23,Captain Marvel (Secret Wars Vol. 1),Lady Thor,Captain Marvel (Secret Wars Vol. 1),Lady Thor,First attempt,5,5/5,"The first run was so smooth. Strikes revealing strikes and twists landing the turn after we bought the last spy. Took our time beating everyone foolish enough to step into the city, which included the big G twice."
,,7,John_P,43,32,75,1st,Yes (6),3rd,27 (9),6th,1 (6),10th,2.778 (2),23,,11,15,Black Panther (Illuminati),Cloak & Dagger,Black Panther (Illuminati),Cloak & Dagger,First attempt,3,3/5,"Man I thought I was going to be done for when I drew Weaponized Galactus and a Command Strike in the first three turns, but then proceeded to just get henchman and bystanders until I could build up a solid hand. Super lucky"
,,8,Babybreloom,56,41,97,1st,Yes (6),6th,32 (5.5),7th,3 (3),7th,3.031 (5),19.5,,15,13,Proxima Midnight,Captain Marvel (Secret Wars Vol. 1),Proxima Midnight,Captain Marvel (Secret Wars Vol. 1),Second attempt,5,5/5,"I ALWAYS love Thanos games, especially when I get to pair him with a Cabal hero. Every hero in the setup pulled their own weight really effectively. I'm thrilled to be a part of this!"
,,9,dyn0mike27,40,55,95,1st,Yes (6),6th,32 (5.5),7th,3 (3),8th,2.969 (4),18.5,,15,2,"Captain America, Secret Avenger",Magik,"Captain America, Secret Avenger",Magik,First attempt,4,4/5,"First game was super fun! Don’t think we did the best but the left sides’s Sidekick deck really popped off late game, and right side built a solid mostly-ranged deck for some killer combos. Didn’t see a Rare until turn 30 and got lucky that Galactus didn’t show up until late game as well. Second playthrough was more brutal with bad starting hands, clogged HQ, and overrun city. And yet somehow we ended up with the same exact turns and escapes on both plays, just had 5 more VP on the first play. Also, dummy me forgot to count Bystanders. wompwomp"
,,10,Off the Cuff,53,40,93,1st,Yes (6),8th,33 (4),7th,3 (3),9th,2.818 (3),16,,13,13,Proxima Midnight,Psi-Lord,Proxima Midnight,Psi-Lord,Second attempt,4,4/5,"First game I played was the first time I managed to get an Enchantress engine working. Second game was the first time I got a Thanos engine working. Psi-Lord and Proxima worked amazingly together both games. Storm and Black Panther were also there,"
,,11,iburnicus,27,64,91,1st,Yes (6),9th,34 (2.5),7th,3 (3),11th,2.676 (1),12.5,,37,11,"Namor, the Sub-Mariner",Super-Skrull,"Namor, the Sub-Mariner",Super-Skrull,First attempt,4,4/5,"first game went great! exactly like planned deck wise.
it felt tough but i felt like i had it in control (it got close in the end though) 
2nd game since i already racked up a win i rolled with the same hero choices to just see if i could get a better score, but hq got clogged by high cost pretty much from the start,
i crawled back to the final blow but the plot got the better of me."
