Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,
9,The Supreme Intellegence Destroys the Nova Corps,1,OllieKitKat & Kylah15,11,61,72,1st,Yes (4),1st,23 (7),1st,0 (5),1st,3.13 (7),23,,50,9,Gamora,Rocket Raccoon,4/5,"Went in thinking Guardians were going to handle the game on their own, but Iron Fist decided this was going to be his show! We didn't even finish the second play through when we got to the same turn count and had less VP and was about to have an escape."
,,2,Ths_coconutgamer and ths_mjsmith,15,47,62,1st,Yes (4),2nd,24 (6),1st,0 (5),4th,2.583 (4),19,,32,2,Adam Warlock,Captain Mar-Vell,5/5,"I really don't think I would have beaten this one as soon as I did without the gracious presents of nezarr. Sure the adam warlock, captain mar-vel , and nova combo was a nice shard farm, but ultimately it was the drax and iron fist combo that pulled through with the help of a celestial being."
,,3,AntDude & WaspWoman,59,27,86,1st,Yes (4),5th,32 (3),1st,0 (5),2nd,2.688 (6),18,,32,9,Forge,Star-Lord,5/5,"I love games where my own expectations of certain cards are proven wrong. WaspWoman invested early in Knives of the Hunter, a card I usually think is mediocre at best, and found herself with 4 within no time. Those extra attacks really helped get over the attack thresholds of early Celestials and prevent escapes. Also, WaspWoman’s starting officer was Yo-Yo (!!!), so she was able to ensure she had a Nova Centurion each turn while not needing to recruit any more. Quite possibly our best experience with this scheme!"
,,4,BearclawMcgraw & SnaerSnare,27,64,91,1st,Yes (4),6th,35 (2),1st,0 (5),3rd,2.6 (5),16,,37,9,Gamora,Phyla-Vell,4/5,"Really big struggle at the start of the game, because 7 twists ran by in the first twenty turns. Luckily, the last two were at the bottom of the deck XD"
,,5,Avataristche,62,13,75,1st,Yes (4),4th,31 (4),1st,0 (5),7th,2.419 (1),14,,49,9,Punisher,Ronan the Accuser,2/5,I thought my first attempt was bad until i tried it again. I guess i am going down.
,,6,TheDanInBlack,40,32,72,1st,Yes (4),3rd,29 (5),7th,2 (1),6th,2.483 (2),12,,8,1,Quasar,Star-Lord,3/5,Of course Tiamat escaped on both plays…
,,7,yeeches#4500,37,55,92,1st,Yes (4),7th,36 (1),6th,1 (2),5th,2.556 (3),10,,18,10,Star-Lord,Rocket Raccoon,4/5,"One of my favorite schemes, especially with Special Officers! I got pretty lucky in the back half, Knowhere (lol) close to losing the scheme but hitting the mastermind became a bit drawn out. I got plenty of Celestial Boons which was fun and made up for unlucky/slow synergy from the hero deck. I was hoping for Drax & Iron Fist to shine more, Nova and Star-Lord performed as well as I hoped with Artifacts counting towards Cosmic Threat. I might have done better with someone else besides Rocket but he bridged the gap well enough."
10,Maximus Resurrects Heroes with Norn Stones,1,Wicked.pepper,54,39,93,1st,Yes (5),2nd,31 (6),1st,1 (7),2nd,3 (6),24,,15,10,Ultron,Warlock,3/5,"Maximus is rough with Venom and Dr Oc. That abomination level is so high. Added Ultron and Warlock for the 0 base attack cards and synergies. Managed to win in the second try, but it was rough!"
