Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,,4
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,,
35,The Shawshank Abomination,1,(+10),37,Jean-Sébastien & Geneviève,25,21,46,1st,Yes (5.5),1st,15 (10),1st,0 (7.5),2nd,3.067 (9),32,,4,0,0,4,5,17,6,2,0,34,Medusa,Phoenix Force Cyclops,Medusa,Phoenix Force Cyclops,First attempt,4,"First time we were fighting Arnim with this scheme and it was a very fun! Never thought we would use Phoenix Force Cyclops in a tournament, but it worked well enough.",,
,,2,(+9),35,R3DJ0N,38,39,77,1st,Yes (5.5),3rd,25 (8),1st,0 (7.5),1st,3.08 (10),31,,1,2,4,3,5,13,3,0,0,24,Captain America (1941),Captain Britain,Captain America (1941),Captain Britain,First attempt,2,I don't feel like I figured out the puzzle of when to spend stuff on revealing or leave it covered to keep Ultimate Abomination low.,,
,,3,(+8),38,Avataristche,20,42,62,1st,Yes (5.5),2nd,22 (9),1st,0 (7.5),6th,2.818 (5),27,,22,0,0,4,4,13,5,1,0,27,Medusa,Phoenix Force Cyclops,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"Should be fast enough for top half, i hope.",,
,,4,(+7),32,Snash108,40,31,71,1st,Yes (5.5),4th,27 (6.5),1st,0 (7.5),7th,2.63 (3.5),23,,9,2,0,4,4,9,5,0,0,22,Agent Venom,Captain Britain,Agent Venom,Captain Britain,Second attempt,4,"Brought Captain Britain to capitalize on the Team diversity, as well as very little printed attack. Then wanted a nother unique team, which was either going to be Agent Venom or Corvus Glaive, but since Corvus needed some Cabal support, I went with Agent Venom. Went pretty smoothly!",,
,,5,(+6),29,ChuckBauer,40,31,71,1st,Yes (5.5),4th,27 (6.5),1st,0 (7.5),7th,2.63 (3.5),23,,9,1,0,1,5,9,5,0,0,20,Agent Venom,Captain Britain,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"Tricky setup!! Hard to plan, when you don't even know what is in the HQ! Therefore tried to make everything work with anything else!",,
,,6,(+5),29,MysticRuby,52,38,90,1st,Yes (5.5),6th,31 (3.5),7th,1 (3.5),3rd,2.903 (8),20.5,,14,4,0,2,4,8,3,0,0,17,Agent Venom,Captain Britain,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,Really pressed for time this week with physics class. Might have permanently lost my place in the rankings. Oh well. Would have liked a second attempt but see re:physics,,
,,7,(+4),30,Pizza (.gaxim) & Extra Cheese (Rolf101),28,60,88,1st,Yes (5.5),6th,31 (3.5),7th,1 (3.5),5th,2.839 (6),18.5,,32,2,0,0,3,6,4,1,0,14,Phoenix Force Cyclops,"Captain and the Devil, The",Silk,Spider-Gwen,Second attempt,4,Literally just for turns we got hit by master strike then a scheme twist. Didn’t get to play until turn 4,,
,,8,(+3),27,Sandals & Mrs Sandals,69,20,89,1st,Yes (5.5),6th,31 (3.5),9th,2 (1.5),4th,2.871 (7),17.5,,49,6,0,3,3,7,2,0,0,15,Captain Britain,"Steve Rogers, Director of S.H.I.E.L.D.",Captain Britain,Captain America (1941),First attempt,3,"Tale of two very different games, both marred by escapes that we could do nothing about.
Game 1 was at least a 4, maybe a 5 on the Fun scale. There were cool interactions between the scheme and the villains/Mastermind, we got our stuff working, albeit slowly, and we took out Zola fairly quickly once we started hitting him.
Game 2 was some of the least fun I've ever had in this game. By turn 7 we'd had as many escapes as the first game, and they kept coming. We were both always just short of fighting anything, not helped by the first two cards I revealed in the HQ gave Zola (and the villains above them) +15 attack. We eventually were able to get him once I'd bought Ruby's Rare, and it *was* a quicker game, but not by enough to make up for the awful start.
Captain Britain was the standout hero here, very glad I picked him for both games!",,
,,9,(+2),22,Bronson & Lighthouse,39,34,73,1st,Yes (5.5),6th,31 (3.5),1st,0 (7.5),10th,2.355 (1),17.5,,5,2,0,2,1,12,3,0,0,18,Beast (Illuminati),Captain Britain,Beast (Illuminati),Captain Britain,Second attempt,4,"Very creative setup - nice combo of scheme and mastermind. Not being able to see all of the available recruits led to a more limited deck and probably a longer game (thank goodness for sidekicks being available). We tried keeping the HQ more covered than not, to reduce abomination for all.",,
,,10,(+1),26,dontfeedthegreen,54,29,83,1st,Yes (5.5),10th,35 (1),9th,2 (1.5),9th,2.371 (2),10,,25,5,3,2,3,6,3,0,0,14,Captain America (Falcon),Captain Britain,Captain America (Falcon),"Steve Rogers, Director of S.H.I.E.L.D.",First attempt,3,"SUCH a frustrating match. Felt like it could have so easily swung into a quick win for the Heroes but both games dragged on with high turn counts and Strikes/Fateful Resurrection aligned to leave me with 2 escapes both games. I really thought the 2nd game was going better, but Strikes landed nearly every time P2 drew Ruby’s rare, often making it unplayable, and that game ended up going 2 turns longer than the first, even though I felt like I played it better. Got a little more PPT using Steve but the Captain Britain game was quicker so it got submitted. Looking forward to seeing someone having won this in <20 turns because the cards lined up for them. I expect I’ll be at the bottom of the pack for this one.",,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
