Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,,Results Of Week:
36,Simply... Sinister,1,(+10),31,realdanl,79,27,106,1st,Yes (5.5),3rd,25 (8),1st,0 (8.5),2nd,4.24 (9),31,,52,11,3,3,3,8,0,5,2,21,Symbiote Spider-Man,Spider-Gwen,Symbiote Spider-Man,Spider-Gwen,Second attempt,3,"First attempt met a lot of bad luck shuffles, so the second is the entry but I'm pretty sure that this Hero Deck can still do better.",,
,,2,(+9),29,Off the Cuff & hanoott,48,40,88,1st,Yes (5.5),2nd,20 (9),5th,1 (6),1st,4.4 (10),30.5,,8,4,6,4,2,5,4,6,4,25,Spider-Gwen,Symbiote Spider-Man,Spider-Gwen,Symbiote Spider-Man,Second attempt,5,"On the final turn, the Spider-Man 2099 / Warpath deck generated 30 Attack, which was exactly enough to fight all 3 remaining Tactics. Unreal turn, crazy synergy.",,
,,3,(+8),28,Bakatora971,36,40,76,1st,Yes (5.5),1st,18 (10),7th,4 (3),3rd,4.222 (8),26.5,,4,4,2,2,0,8,4,4,1,19,Doctor Doom 2099,Stepford Cuckoos,Spider-Gwen,Symbiote Spider-Man,Second attempt,3,Bagel shuffle game one had all sinister out of deck by turn 9 and 10 escapes by turn 14 where I called the game lost and started over. Changed heroes both hands were doing very well. Right hand drew 8-10 cards a turn thanks to warpath. Left hand was a spider deck consistently drawing. Still couldn't keep up with the city. The bagel of all shuffles.,,
,,4,(+7),28,Techfiend,85,30,115,1st,Yes (5.5),7th,32 (4),1st,0 (8.5),4th,3.594 (7),25,,55,7,3,1,1,1,4,3,2,12,Agent Venom,Symbiote Spider-Man,Agent Venom,Symbiote Spider-Man,Second attempt,4,"The beginning of this one was frantic, trying to keep the ambitions from escaping. Once I got the left side spider deck going, it became much easier. The right side went for Spiderman 2099 and agent venom, and ended up with all 3 of the high cost rares.",,
,,5,(+6),25,KelgatesKollections,63,33,96,1st,Yes (5.5),6th,31 (5),1st,0 (8.5),7th,3.097 (4),23,,30,1,2,1,1,4,0,0,2,8,Symbiote Spider-Man,Stepford Cuckoos,Symbiote Spider-Man,Stepford Cuckoos,Second attempt,4,"Knowing from my week 3 game, this was going to be another sluggish game where I will need to manage the city spaces very carefully. We wanted to combine Symbiote Spider-Man with Silk and the two drops from Warpath and Cuckoos to make a really good 2 or less deck to spin out attack early and often. 

The other side had a 3 theme deck with the Cyber Mod of Spiderman 2099 and the Cuckoo's 3 cost range card to continue to build up attack and card draw while also consistently thinning out our hero deck to get more of the 2 or less spider-friends. The Sandwoman Mastermind was no joke and slowed us down a lot as we had to keep managing the city to be able to knock her down a peg. A bit of a slow game with 31 turns but a win/moderate VP and no escapes is a win I'll take in this book.",,
,,6,(+5),26,jdub,45,68,113,1st,Yes (5.5),8th,34 (3),1st,0 (8.5),6th,3.324 (5),22,,23,8,3,1,1,3,0,2,2,9,Agent Venom,"Captain and the Devil, The",Agent Venom,"Captain and the Devil, The",First attempt,5,Any game where I can use silk and agent venom I love. Additionally all the years I have owned this game I have never used the ambitions deck for any reason so it was great fun to actually have it and use it this week. This has been my favorite game I've played and we won't talk about game two.,,
,,7,(+4),24,Flipflopmaniac,59,35,94,1st,Yes (5.5),4th,27 (7),7th,4 (3),5th,3.481 (6),21.5,,24,5,3,1,3,5,0,2,3,14,Symbiote Spider-Man,Agent Venom,Symbiote Spider-Man,Agent Venom,First attempt,3,"A good, fair setup that I managed to make absolutely frustrating with the VD shuffle.  I went with Agent Venom for more Wall-crawl, more Spider triggers for Silk and earlier attack to keep the city clear.  Unfortunately I kept getting ill-timed Clones and Beasts pushing the city even with clearing Clones so before turn 8 I had all 4 escapes.  Once both sides got the 2's engine online it got a lot easier.  Comic side got all three Shadowed Spiders and got 36 attack on turn 22, took a couple turns off due to Strike complications and finished the job.",,
,,8,(+3),22,bamlinden,24,62,86,1st,Yes (5.5),5th,30 (6),6th,2 (5),8th,2.867 (3),19.5,,38,5,3,1,0,4,0,3,2,10,Moon Knight,Spider-Gwen,Moon Knight,Spider-Gwen,Second attempt,5,Really enjoyed this setup (I feel like I say that often). There's no easing into this one. Barely got through my opening hands and was already faced with escapes. Untimely cards in both attempts meant early escapes). Able to fend off the challenges and started getting my decks working. Moon Knight worked really well with Warpath and built the ever-popular Spidey deck on the other side. Was hoping for a little more deck-thinning but it wasn't in the cards. Ha. A really nice mix of villains and the Scheme and Mastermind had some simple but solid synergy. Both attempts I thought I could've won it sooner...but felt like things were on the verge of falling apart every couple turns. Loved it. Curious to see how my heroes stacked up against the others. Will be happy if I'm middle of the pack this week.,,
,,9,(+2),23,allman7359,67,22,89,1st,Yes (5.5),9th,38 (1.5),7th,4 (3),10th,2.342 (1),11,,45,2,11,1,3,4,0,3,6,17,Shatterstar,Black Swan,Doctor Doom 2099,Ghost Rider 2099,Second attempt,3,,,
,,10,(+1),21,Lycanknight_,57,42,99,1st,Yes (5.5),9th,38 (1.5),10th,5 (1),9th,2.605 (2),10,,15,8,3,0,0,1,0,0,0,1,Ravage 2099,Rictor,Elsa Bloodstone (SHIELD),Multiple Man,Second attempt,3,"First time around sucked!! We have starting HQ full of 5 and 6 costs for too long and we were lucky to finish it out just to lose to the masterminds. Second time though was much better, though we took all the way to the last villain card to finish we still finished and beat the sinister 6 2099 mastermind.

Great setup challenging and fun.",,
37,Monsters vs. Aliens,1,(+10),35,the.melk.man & Snapcity57,53,22,75,1st,Yes (5.5),1st,19 (9.5),1st,0 (6.5),2nd,3.947 (9),30.5,,31,12,0,4,6,9,4,0,0,23,She-Hulk,Gladiator Hulk,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,Shelob’s melking,,
,,2,(+9),31,piplup1112111,37,30,67,1st,Yes (5.5),1st,19 (9.5),1st,0 (6.5),3rd,3.526 (8),29.5,,7,15,0,3,7,9,4,0,0,23,Hulkbuster Iron Man,Beast (Illuminati),I did not make a second attempt.,I did not make a second attempt.,First attempt,5,The game went way better than I thought it did,,
,,3,(+8),31,Lukas,68,43,111,1st,Yes (5.5),8th,28 (3),1st,0 (6.5),1st,3.964 (10),25,,25,18,0,2,5,4,3,0,0,14,Amadeus Cho,Black Swan,Amadeus Cho,Black Swan,Second attempt,5,I don’t play with Cabal much but Black Swan and Corvus Glaive did alright.,,
,,4,(+7),29,DRobb & ShadowOfTheBat,31,38,69,1st,Yes (5.5),3rd,20 (8),1st,0 (6.5),6th,3.45 (5),25,,7,12,0,3,5,11,3,1,0,23,Agent Venom,Spider-Gwen,Agent Venom,Gladiator Hulk,Second attempt,4,"Oh man, was this one tough. Just looking at it we knew that variance would hit hard and fast, and we lost the first game without touching the Mastermind. We regrouped in game two and knew we had to go hard at the Mastermind. While that strategy proved effective, we did not get punished so severely the second game, so that helped a lot. Not as fun as last week, but we are enjoying continuing to learn!",,
,,5,(+6),30,GamerGump & Kendycrow,43,41,84,1st,Yes (5.5),5th,25 (6),1st,0 (6.5),8th,3.36 (3),21,,2,16,0,2,6,4,4,0,0,16,Agent Venom,Spider-Gwen,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,"We were super lucky with our villain deck getting only a few Scheme Twists, so that did not impact anything. The limited wounds were actually going to kill us. Lots of bystanders which is always nice.",,
,,6,(+5),28,Adrian Miller,45,22,67,1st,Yes (5.5),4th,21 (7),1st,0 (6.5),9th,3.19 (2),21,,23,11,0,3,4,9,4,1,0,21,Agent Venom,Black Swan,Agent Venom,Black Swan,First attempt,4,.,,
,,7,(+4),33,Redblock,42,73,115,1st,Yes (5.5),9th,33 (2),1st,0 (6.5),5th,3.485 (6),20,,31,22,0,1,4,5,2,0,0,12,Captain Britain,Soulsword Colossus,Captain Britain,Soulsword Colossus,Second attempt,4,"Picked Soulsword colosus to deal with wounds (he also helped with Super Skrulls rare) and captain Britain because he becomes quite effective in this mix of teams. First game had too much escapes, also failed to notice Culling blade has ""may"" so sparned Shapeshifting copycats. Second game went better, but took long time",,
,,8,(+3),25,Tozar,30,52,82,1st,Yes (5.5),6th,26 (4.5),1st,0 (6.5),10th,3.154 (1),17.5,,22,12,0,2,4,6,4,0,0,16,Agent Venom,Spider-Gwen,Agent Venom,Spider-Gwen,First attempt,4,At first I thought burning through the Wound stack was going to be an issue to game around.  Turns out it wasn't really.,,
,,9,(+2),25,AdamantiumGambit,27,62,89,1st,Yes (5.5),6th,26 (4.5),9th,1 (1.5),7th,3.423 (4),15.5,,35,22,0,1,4,8,2,2,0,17,Hiroim,Soulsword Colossus,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,Really fun setup. Hiroim was an MVP with all the Bystanders flying around,,
,,10,(+1),23,Justitiana,35,91,126,1st,Yes (5.5),10th,36 (1),9th,1 (1.5),4th,3.5 (7),15,,56,29,0,1,1,3,1,0,0,6,Hiroim,Soulsword Colossus,Hiroim,Soulsword Colossus,First attempt,3,"Brutally Different games during both attempts. First attempt I didn't get much extra recruit at first and kept getting mostly 2 attack cards that sometimes gained Wall-Crawl from the Spider-Infected. But in this attempt the CIty felt stressful throughout the entire game. Spider-Queen's starting 8 attack value might seem laughably unimpressive, but with almost no sources of KO (at least not from Henchmen, and it felt scarce otherwise too) and therefor a lot of Starters, it took quite some time to get her Final Blow in and both the Wound Deck and Monster Unleashed Pile/Stack got close to Evil Wins.

Attempt 2 went more recruit focused at the start and the result was a much sooner victory. The City felt mostly manageable in attempt 2, but an unlucky early Marcus Symbiote Centaur pushed out 2 Villains, one of Which was Ghost Deadpool (he haunted me in my first game too...), which resulted in early wounds. In Attempt 2 only 4 wounds were dealt out, of which 2 were even prevented by Soulsword Colossus, so totally different feel of a game compared to the 10 Wounds that were really dealt out in attempt 1 (and I can't remember how many were prevented in that attempt).

Deckbuilding Wise things were also night and Day. In my second attempt getting Miek's rare very early on got me Soulsword Colossus' rare the next turn, as Miek's rare got Wallcrawled. This did take a boosted turn with Super-Skurlls extra draw for next hand, but after that Deck 1 Snowballed hard and got the available copies of Hiroim's 4-costs. Deck 2 was kind of bad in attempt 2, with Corvus Glaive's 2-cost, which stayed recruit only for a long time, without really buying any really good cards. In Attempt 1 Deck 1 was the weaker deck with Mostly Soulsword Colossus and some Hiroim 3-costs, which did work out to get extra bystanders for the first defeated Villain, but as Deck 2 was much stronger with mostly Instinct cards and 4 copies of Corvus Glaive's3-cost the superstar cards of Hiroim's 4-costs went to deck 2 in attempt 1.

Due to the many bystanders from Spider-Infected and some other Villains I ended up with 29 bystanders rescued in attempt 1 (and I believe also 19 KO'ed bystanders from Corvus 3-cost). In attempt 1 Corvus' Uncomoon didn't show up though. In attempt 2 he did, but only 3 Bystanders got KO'ed that game. Hiroim's Transformed 5-cost  was the only really strong card I was able to get in Attempt 1, where it ended up ramping up to 11 attack for one copy. In attempt 2 the rares of Miek and Soulsword Colossus were the heavy hitters, but Hiroim's 5-cost was no joke either eventually even becoming 7 or 8 attack in the final turns.

Both attempts struggled very hard with KOing starers. Even with the KO options from Soulsword Colossus' 3-cost and Hiroim's 6-cost added to Miek's 4-cost, the decks struggled to get rid of Starters and even later in the game there were the dreaded turns with only starters and sometimes even wounds (which is not as bad if you want to Heal anyway). In attempt 1 I got a lot of Wounds too, even with some prevented, but they also did not help the decks get really strong. I noticed again during these games that without KOing a lot of Starters, 2 or 3 attack cards don't really cut it. Or at least,  you don't get reliable and consistent strong hands. That's whjy I was very happy with Hiroim'sd Transformed cards, as they were the welcome exception in my games.

I really enjoy building strong decks, and usually KOing starters is an essential and rewarding as well as fun part of that. WIth most available options just providing 2-3 attack per card, neither of my decks felt really strong, especially in Attempt 1 where I got 0 rares.Maybe I still make the rookie mistake of not buying enough Officers if the HQ lacks recruit Heroes, but my experience has already shifted from focusing too much on recruit and too little on attack (which leads to CIty Management problems) to trying to at least get 1 deck some early attack cards to prevent escapes as much as possible, usually both decks get some early attack cards.

Preventing Wounds from  the Scheme Twists was easier than I'd imagined, as defeating Tim Boo Ba wasn't that hard, but if you managed that early on you'd get a pass on those Wounds for the rest of the game. That the Master Strike could also give Wounds was a rather nasty thing to juggle besides that though. At least the Villains were pretty much Wound-free, excepting Ghost Deadpool. Not a very fun setup for me, as it to me was still a serious challenge, but I really like to be able to KO more. Preventing all escapes proved too hard for me in both games, but I also blame the lack of KO options for the resulting weaker and slower decks.",,
38,Kang of the Hill,1,(+10),27,Buya & DSCern,58,58,116,1st,Yes (6),1st,30 (10),1st,0 (6.5),1st,3.867 (10),32.5,,0,9,0,3,5,2,3,1,0,14,Cassie Lang,Bruce Banner (MCU),Cassie Lang,Bruce Banner (MCU),First attempt,5,"Kang was pretty beefy, but we got beefy too! Cassie was probably our favorite Hero that we brought along, as she had nice interactions with all of the Henchmen we had to fight. The other heroes were no slouch either, as I leaned into Scott's Heist abilities to get some big attacks going on. Bruce Banner didn't show up in either game, which was disappointing. I guess he still has issues getting the Big Guy to show up =P",,
,,2,(+9),28,Pervavita & Catswiftie,56,64,120,1st,Yes (6),3rd,32 (7.5),1st,0 (6.5),3rd,3.75 (8),28,,8,12,1,0,5,3,2,1,0,11,Werewolf by Night,Bruce Banner (MCU),Bruce Banner (MCU),Jentorra,Second attempt,4,"Our first game had a terrible starting HQ with two rare and an uncommon (6 cost) as our only 3 slots. Even with the slow start we only had one escape. 
Werewolf by night did fine game one but we found the chip/punch deck just couldn’t produce enough green to hit triggers. 
Game 2 Jentorra came in to fix the lack of green and though her triggers didn’t hit often she allowed Bruce to hit his triggers consistently. Heist also hit well most turns giving a few strong turns.",,
,,3,(+8),26,CK,57,67,124,1st,Yes (6),5th,33 (5.5),1st,0 (6.5),2nd,3.758 (9),27,,10,7,1,1,3,2,4,0,0,10,Morbius,Janet van Dyne,Morbius,Janet van Dyne,First attempt,3,"Interesting game, though I didn't do very well. Blood frenzy took too long to build up in both games and I kept being in awkward positions where I couldn't hit Kang.",,
,,4,(+7),35,GZUZROCKS & DaBomb,74,27,101,1st,Yes (6),3rd,32 (7.5),1st,0 (6.5),5th,3.156 (6),26,,47,7,0,1,4,5,4,0,0,14,Doctor Strange (MCU),Bruce Banner (MCU),Doctor Strange (MCU),Bruce Banner (MCU),First attempt,4,Very interesting set up! One players hand really never took off (27 points) but the other hand had some amazing combos occur (74 points!). It took awhile to get Kang though (32 turns! Ugh). Dr strange and Bruce banner were helpful picks. Multi color combo craziness along with black panther and ant man.,,
,,5,(+6),25,Mikeygill97,43,54,97,1st,Yes (6),2nd,31 (9),1st,0 (6.5),7th,3.129 (4),25.5,,11,8,0,0,3,7,3,0,0,13,"Blade, Daywalker",Ant Army,"Blade, Daywalker",Ant Army,First attempt,5,Blood Frenzy for the win!,,
,,6,(+5),23,Tuba2k7 & Alicat22,40,71,111,1st,Yes (6),7th,34 (3.5),1st,0 (6.5),4th,3.265 (7),23,,31,4,0,0,2,4,2,2,0,10,Werewolf by Night,Wanda & Vision,Werewolf by Night,Wanda & Vision,Second attempt,5,"Brent subbing in for Tuba: ""That was a blast. Keeping track of the Multiverse, the haunting villains, the expanding/shrinking city, etc. made for a lot of hard strategic decisions. Kang is always a fun challenge, imo.""",,
,,7,(+4),25,Narellish & oskar,35,72,107,1st,Yes (6),7th,34 (3.5),1st,0 (6.5),6th,3.147 (5),21,,37,9,0,1,1,5,3,0,0,10,Ant Army,Jentorra,Ant Army,Jentorra,First attempt,4,"We always enjoy this scheme - though trying to have no escapes makes it a lot harder depending on the card draw at the start. We added in Ant Army - which we like the Heist ability - even though it can mean for a few extra wounds and we did have to heal once or twice, losing turns. First game we had a lot of scheme twists come out super early - which to start with we liked (expanding the HQ and the City) but then they kept coming and started to shrink it too fast, I think we had 9 out of the 11 Scheme twists in the first half of the villain deck. We didn't see a single ultimate card in the first game which was disappointing or a couple of other cards we were hoping for. We ended up being able to attack the final tactic & final blow Kang with only 1 city/HQ space left. It is always a fun game when it is that close! Our second game we had 4 abomination villains (too expensive to attack) come out first so had an escape really early. The game went downhill from there, but we were able to pull it back a bit but still lost to scheme twists at turn 36 with 3 escapes. We were also happy to have sidekick students only - something we have never tried with before - once we got used to it - it wasn't too bad.",,
,,8,(+3),22,JParnell,44,46,90,1st,Yes (6),5th,33 (5.5),10th,7 (1),8th,2.727 (3),15.5,,2,5,1,1,4,3,0,2,0,10,Ant Army,Crystal,Ant Army,Crystal,Second attempt,5,"Didnt buy a single Else card, but it worked our since so many villains escaped. Ants/Cons in one hand, multicolored magic in the other!",,
,,9,(+2),20,loconnole & Klcgolf,41,55,96,1st,Yes (6),9th,39 (2),9th,2 (2),10th,2.462 (1),11,,14,5,0,0,1,3,3,1,0,8,Ant-Man (MCU),Ant Army,Bruce Banner (MCU),Werewolf by Night,First attempt,2,The required heroes made this an awkward fit. Never felt like we could get ahead,,
,,10,(+1),20,aitmanga,60,55,115,10th,No (1),10th,43 (1),1st,0 (6.5),9th,2.674 (2),10.5,,5,7,0,0,0,0,0,1,0,1,Bruce Banner (MCU),Ant-Man (MCU),Bruce Banner (MCU),Jentorra,Second attempt,5,"We were not able to win this time but were pretty close. In both games we couldn't get enough attack to hit Kang several turns because of Conqueror, and had to make do with hitting the city or the Multiverse. Bruce Banner pulled his weight in both games, but neither Ant-Man nor Jentorra did enough to pull us through. Elsa Bloodstone was dead weight most of the time, particularly after the city was destroyed, but at least we got to play with new cards and keywords, and the scheme is pretty fun overall.",,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Find Over Shatter,1,(+10),31,Pokeloly,48,4,52,1st,Yes (5.5),3rd,23 (7.5),1st,0 (8.5),2nd,2.261 (9),30.5,,44,6,0,1,5,8,2,2,0,18,Groot,Siryn,Groot,Siryn,First attempt,4,"Finished it by shattering korvac with siryn. Think I got quite lucky on my first attempt, getting groot's uncommon early let me recruit quite a lot of good cards, which helped mitigate the fact that I wasn't getting much ko and a lot of wounds.",,
,,2,(+9),28,waxbottle & Mrs. waxbottle,44,23,67,1st,Yes (5.5),5th,25 (6),1st,0 (8.5),1st,2.68 (10),30,,21,5,0,4,3,5,2,2,0,16,Silver Surfer,Shatterstar,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,Shatterstar wasn't a great pick.  Silversurfer and Gamora allowed me to horde shards.  We kept the city clear and defeated the Korvac villain.,,
,,3,(+8),30,OleRockyTop,20,17,37,1st,Yes (5.5),2nd,19 (9),1st,0 (8.5),6th,1.947 (5),28,,3,3,0,1,5,11,3,3,0,23,Rictor,Shatterstar,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,Didn't seem to be as much city management as I thought there was going to be. The shatter mechanic on the heroes helped a ton as did the tactics.,,
,,4,(+7),23,evilspacecow,26,20,46,1st,Yes (5.5),3rd,23 (7.5),1st,0 (8.5),5th,2 (6),27.5,,6,2,0,3,3,5,2,4,0,17,Siryn,Star-Lord,Siryn,Star-Lord,First attempt,4,"Enjoyed the shatter aspect.  Definitely focused completely on Korvac which probably hurt my VP total.  Want to definitely try this again with different heroes.  Also, building up shards with Gamora was a lot of fun and lead to some big hits.",,
,,5,(+6),26,AntDude & WaspWoman & PowerPupa,19,12,31,1st,Yes (5.5),1st,17 (10),6th,2 (3.5),9th,1.824 (2),21,,7,0,0,3,5,8,4,4,0,24,Rocket Raccoon,Star-Lord,Rocket Raccoon,Star-Lord,Second attempt,3,"Who is Exodus? The minigame of Korvac Revealed provides a nice twist on standard target the Mastermind play, and it pushed us towards heroes with bankable attack in the form of shards. Maybe this was the trap strategy, and we totally fell for it. But in both of our attempts we had 2 escapes thanks to some aggressive Mr. Sinister clones and we felt pretty lackluster when counting our VP. Hopefully 17 turns is on the faster end this week and can carry our weak VP total.",,
,,6,(+5),24,Astigmatic_oracle,38,37,75,1st,Yes (5.5),8th,36 (2.5),6th,2 (3.5),3rd,2.083 (8),19.5,,1,8,0,1,1,3,0,0,0,5,Mr. Fantastic,Thing,Mr. Fantastic,Thing,Second attempt,2,"Yeah, there was no way I was gonna beat Exodus bit hitting him 5 times. I won by fighting the scheme. Got luck with a big hand at the end of the game when it was in Transformed mode. That time I couldn't even hit Exodus once, though I hit him 2 or 3 times in my first try before losing to the scheme.",,
,,7,(+4),26,Handballermann & Efruhuhn,26,28,54,1st,Yes (5.5),7th,28 (4),5th,1 (6),7th,1.929 (4),19.5,,2,4,0,0,3,5,2,3,0,13,Groot,Rocket Raccoon,Groot,Rocket Raccoon,Second attempt,2,"We started each round with 4 wounds within the first three turns. The most important cards for our plan to defeat the scheme with shards were almost completely in the bottom half of the hero deck. 
This setup looks nice when playing casually, but in competitive it was somewhat exhausting.",,
,,8,(+3),15,owen_meany,37,44,81,1st,Yes (5.5),10th,39 (1),6th,2 (3.5),4th,2.077 (7),17,,7,3,0,0,1,1,0,1,0,3,Human Torch,Silver Surfer,I did not make a second attempt.,I did not make a second attempt.,First attempt,2,"Barely survived knowing needed the recruit to shatter Exodus. Was hoping to get lucky and have 19 attack early and take out Korvac, but no luck.",,
,,9,(+2),23,MikiP2023,40,26,66,1st,Yes (5.5),8th,36 (2.5),6th,2 (3.5),8th,1.833 (3),14.5,,14,6,0,1,1,1,0,0,0,3,Siryn,Shatterstar,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,Cloning filled up deck too much we thought. Scheme was interesting.  Mastermind was hard just due to not getting enough recruit in hand to shatter. We enjoyed this setup but was not our favorite.,,
,,10,(+1),20,Jmaster1324,15,19,34,1st,Yes (5.5),6th,26 (5),10th,3 (1),10th,1.308 (1),12.5,,4,0,0,2,1,8,2,2,0,15,Mr. Fantastic,Groot,Groot,Strong Guy,First attempt,2,Its always sad when both wins come from the Scheme's Special rule not from defeating the MM. Either way a W is a W. I may regret this pick since my other game had 1 less escape and about twice the PPT but I thought it would be foolish to give up 10 turns for that.,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
