Pod,Setup,Rank,Points Earned,Total Points,Name(s),VP 1,VP 2,"Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,Bst. Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Lv.,Comments,,Results Of Week:
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,                                        Eliminated                                                                                                                                                                                                                                                                                 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E8,"Super Easy, Bearly an Inconvenience",1,(+9),43,Adamantiumgambit,40,66,106,1st,Yes (3),1st,22 (4.5),1st,0 (3.5),1st,4.818 (4.5),15.5,,26,28,3,3,6,2,1,0,15,Magik,Silk,Magik,Silk,Second attempt,4,You guys and your Wolfsbane shenanigans...,,
,,2,(+8),44,realdanl,26,80,106,1st,Yes (3),1st,22 (4.5),1st,0 (3.5),1st,4.818 (4.5),15.5,,54,30,1,5,6,3,0,0,15,Arkon the Magnificent,Captain Marvel,Silk,Spider-Gwen,Second attempt,2,"I decided to give one play supporting Wolfsbane, and one supporting Ultimate Spider-Man.  It wasn't even close, I don't know why I bothered with anything other than a Spider deck.

I didn't see any Save the Day until turn 16.  On turn 22, I'd enough of them that generated enough attack to clear the City (including an 18 attack Galactus), get Annihilus' last Tactic, and deliver the final blow.",,
,,3,(+7),41,Zer00verride,45,61,106,1st,Yes (3),3rd,24 (3),1st,0 (3.5),3rd,4.417 (3),12.5,,16,24,3,1,3,5,1,0,13,Mirage,Silk,Mirage,Silk,Second attempt,4,"What a difference a rare makes. The first playthrough did not go well. Winning just as the villain deck was about to empty with multiple escapes. The second game Mirage's rare turned up early and generated so much attack supported by that hand regularly having 9 cards due to Empathic Links.
The other side was consistent but Ultimate Spider-mans rare consistently hiding hurt it. Silk carrying that side along with many sidekicks.",,
,,4,(+6),41,GamerGump,34,64,98,1st,Yes (3),4th,28 (2),1st,0 (3.5),5th,3.5 (1),9.5,,30,25,0,2,5,2,0,0,9,Apocalyptic Kitty Pryde,Spider-Gwen,Apocalyptic Kitty Pryde,Warlock,First attempt,4,Very difficulty. With both Weaponized Galactus and Demon Bear returning multiple times this was  very difficult. We were able to have a hand of spider-people doing the 2 cost thing that allowed us to get a victory but it was a slug fest.,,
,,5,(+5),37,Sandals,72,53,125,1st,Yes (3),5th,31 (1),5th,2 (1),4th,4.032 (2),7,,19,32,0,1,0,0,0,0,1,Mirage,Ruby Summers,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"Much more fun than expected! Miles was told to do one and we focused on Wolfsbane. With Mirage & Ruby to neuter the Demon Bear, we both had awesome decks and racked up loads of points. We lost a lot of turns to Strikes and Ambushes though, and had at least 4 turns where we were one short of hitting Anni. We finished him off on the penultimate turn. Hopefully our good scores make up for the long game!",,
,,6,(+4),40,Redblock,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,7,(+3),41,snash108 & SBPKECN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,8,(+2),38,SilverFirePrime,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,9,(+1),34,Chuck Bauer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E9,The Devil's in the Tall Tales,1,(+10),42,Tozar,38,36,74,1st,Yes (5),2nd,25 (7),1st,0 (5),2nd,2.96 (8),25,,2,1,1,4,6,4,1,0,16,Agent Phil Coulson,Daredevil (Marvel Knights),Agent Phil Coulson,Mockingbird,Second attempt,4,I missed the Sidekick deck.  I have no idea how many times I had two recruit and nothing to do with it.  Especially with Elektra's Sai Blades in the mix.,,
,,2,(+9),43,Adrian Miller,30,33,63,1st,Yes (5),1st,24 (9),1st,0 (5),4th,2.625 (5.5),24.5,,3,0,3,4,3,6,2,0,18,Daredevil (Marvel Knights),Spider-Woman,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,.,,
,,3,(+8),42,dontfeedthegreen,25,52,77,1st,Yes (5),5th,26 (5),1st,0 (5),1st,2.962 (9),24,,27,1,1,4,5,4,1,0,15,Bishop,Symbiote Spider-Man,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"With Bishop’s KOing and so many 2-cost cards, it went pretty smoothly, if a touch slow.",,
,,4,(+7),40,WingedCrusader,14,51,65,1st,Yes (5),2nd,25 (7),1st,0 (5),6th,2.6 (4),21,,37,1,1,4,8,3,1,0,17,Symbiote Spider-Man,Spider-Woman,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"This game was pretty easy all things considered, the scheme is nice and chill especially after last time.  I was able to pick up spiderwoman's rare with spiderwoman's 3 recruit card, and that got me electra's rare, which got me scarlet spider's rare and quake's rare... the other side collected wounds :(",,
,,5,(+6),39,brentmcampbell & ruuhaku,51,13,64,1st,Yes (5),2nd,25 (7),1st,0 (5),7th,2.56 (3),20,,38,1,0,4,8,3,0,0,15,Deathlok,Punisher,Deathlok,Punisher,First attempt,3,"Game went about as smoothly as I could have hoped. Managed to avoid the MS effect most of the time and used the Phalanx to help thin decks down. One player went heavy into SHIELD Level and the other Tech. One player did very well and the other.... well, the numbers speak for themselves.",,
,,6,(+5),39,Buya & DSCern,64,30,94,1st,Yes (5),9th,33 (1),1st,0 (5),3rd,2.848 (7),18,,34,1,1,1,5,1,0,0,8,Deathlok,Punisher,Agent Phil Coulson,Mockingbird,First attempt,4,"It took us a while to build our decks up, but we eventually got there and starting smacking Mephisto when we could. Sai Blades was hitting hard with Deathlok and Punisher feeding the 2 cost ramp.",,
,,7,(+4),38,Swagolas,49,35,84,1st,Yes (5),7th,32 (2.5),1st,0 (5),4th,2.625 (5.5),18,,14,1,2,0,3,3,1,0,9,Agent Phil Coulson,Moon Knight,Agent Phil Coulson,Moon Knight,Second attempt,3,"Both my games were pretty long, I couldn't really trigger the best combos to use in these games. I wanted to use a Marvel Kinght and a S.H.I.E.L.D. hero, but didn't really have the best options since I already used them in previous games. I expect to be dead last because of my high turn count, and also because not using Mockingbird :D But the setup itself was great, not too complicated but not too easy, so I had a great time =) Thanks for the whole tournament!",,
,,8,(+3),35,KelgatesKollections,40,29,69,1st,Yes (5),6th,29 (4),1st,0 (5),9th,2.379 (1),15,,11,1,2,4,4,1,0,0,11,Moon Knight,Punisher,Moon Knight,Punisher,Second attempt,4,"First game Punisher and Moon Knight carried the table to the point that the right hand didn't get to do anything.

Game 2 was a bit more even across where Elektra's uncommon got to shine with her first strike to get damage early on Mephisto. 

Game 2 was two turns slower but .27 more vp points per turn so putting that in as a test to see for the next tournament what I should focus on more since I had a blast this first time around.",,
,,9,(+2),36,cglied,22,56,78,1st,Yes (5),7th,32 (2.5),1st,0 (5),8th,2.438 (2),14.5,,34,2,1,1,6,1,0,0,9,Blade,Iron Fist,Blade,Iron Fist,First attempt,4,Loading up on Marvel Knights helped block a bunch of wounds and kept my game from going off the rails. Took a while to put some punch in my line-up.,,
,,10,(+1),33,Yeeches,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
E10,Everything's Chrome in the Future,1,(+10),41,jiggliestpuff,35,13,48,1st,Yes (6.5),2nd,19 (9),3rd,8 (7),1st,2.526 (10),32.5,,22,3,4,2,13,5,0,0,24,Apocalyptic Kitty Pryde,Lady Thor,Apocalyptic Kitty Pryde,Lady Thor,Second attempt,4,"The first win took almost 40 turns, so I was glad a second time worked out better. Both were very close to losing, I liked how this put the pressure on, but things like Colossus and relatively weak villains and Nimrod made it possible to hold on until I got things going. Lady Thor helped since so much was focused on building recruit, and Apocalyptic Kitty Pride helped set up the HQ so it was mostly tech heroes to empower Jocasta.",,
,,2,(+9),40,zombiegamer5,23,37,60,1st,Yes (6.5),6th,26 (5),1st,5 (10),3rd,2.308 (8),29.5,,14,1,1,4,10,4,1,0,20,Scarlet Spider,Apocalyptic Kitty Pryde,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Cool synergy with Ultron villains teaming up with Nimrod, it felt comic lore possible. I liked the X-Men ""villains"" due to their beneficial effects until Wolverine escaped and gave me game long wounds. I liked the balance of being empowered by tech while also having to worry about tech empowering Ulton villains. The Fragmented Reality scheme was a little frustrating at first since only two city spaces exist and allow for lots of escapes but that only really happened the first few turns and then once again near the end. Definitely a fun playthrough!",,
,,3,(+8),40,captaincardone & paisley5002,25,30,55,1st,Yes (6.5),4th,24 (6.5),2nd,7 (9),4th,2.292 (7),29,,5,0,0,2,10,6,1,0,19,Ant-Man (Ant-Man),Captain Marvel,Ant-Man (Ant-Man),Captain Marvel,First attempt,4,"Draw power go BRRRRRR. A lot of villains seemed to have had weird interactions with the city being missing. We also struggled on which game to choose. They were very close, but we ultimately went with the fewer rounds at the cost of VP/turn.",,
,,4,(+7),39,gscrap,33,26,59,1st,Yes (6.5),4th,24 (6.5),6th,9 (3.5),2nd,2.458 (9),25.5,,7,2,3,1,7,5,0,0,16,Apocalyptic Kitty Pryde,Mr. Fantastic,Apocalyptic Kitty Pryde,Mr. Fantastic,Second attempt,2,"I think it has been a long time since I dropped that many f-bombs in a Legendary game.  I messed up my first game by forgetting that I can avert Nimrod's Strike by flashing a Tech card, but still lost on turn 25 with very little in the Victory Piles.  The second game somehow felt even harder, but Mr. Fantastic's rare pulled me through by the skin of my teeth.  I feel brutalized, but I have to admit it was thrilling.",,
,,5,(+6),37,Ashyy23,6,32,38,1st,Yes (6.5),1st,18 (10),6th,9 (3.5),6th,2.111 (4.5),24.5,,26,0,3,2,13,4,1,0,23,Captain Marvel,Wonder Man,Captain Marvel,Ant-Man (Ant-Man),Second attempt,2,First game was rough.. ended the second attempt as fast as I could 😰,,
,,6,(+5),36,Babybreloom,23,21,44,1st,Yes (6.5),3rd,20 (8),6th,9 (3.5),5th,2.2 (6),24,,2,2,2,2,15,3,0,0,22,Mr. Fantastic,Thing,Invisible Woman,Thing,Second attempt,4,"I took Invisible Woman to give me something with KO power and ended up not getting her KO card in the HQ until the end of the game. Thing ended up doing exactly what I wanted him to do, though, converting my recruit into attack so I could whack the mastermind. Got really lucky with the first 8 cards containing two bystanders and two master strikes; gave me enough time to recruit some stuff before the escapes started hitting. Lost the first game HARD.",,
,,7,(+4),36,Bikk Bikk,36,40,76,1st,Yes (6.5),8th,36 (3),3rd,8 (7),6th,2.111 (4.5),21,,4,4,1,0,5,0,0,0,6,Lady Thor,Captain Marvel,Captain Marvel,Invisible Woman,Second attempt,2,"First game I lost on turn 18. I had so much recruit and no attack. None. I couldn’t stop anyone except the Thor corps. It went very poorly.
Second game felt similar at first but somehow I hung on through the twists and kraven to only have 9 KOs when I eked out the W. I’m glad I switched out lady Thor. I thought she would pair well with captain marvel and the Thor corps. But with just one city space for each player there was no room for all that recruit. IW really helped provide more attack and the HD was much friendlier providing more attack heroes. Thank goodness this is over!",,
,,8,(+3),36,Ocs333,14,41,55,1st,Yes (6.5),7th,28 (4),3rd,8 (7),8th,1.964 (3),20.5,,27,1,1,3,8,3,0,0,15,Captain Marvel,Lady Thor,Ant-Man (Ant-Man),Lady Thor,Second attempt,2,"Initial idea was: getting more chrome helmets! Meaning Ant-man and Lady Thor, the former for Jocasta synergies and against manster strike, Lady Thor for the Thor Corps synergy. 
Then somewhy I thought too much and went for Captain Marvel insted of Ant Man for even more green/blue synergies. 

First game I lost on turn 15. 
Second game I had like 8 or 9 KOd heroes by that time (thanks Kraven for extra KO and early Wolverine for nice wounds..). The first thor corps appeared in Turn 15, so not much combo potential from them..   Then they arrived in great numbers, but I was merely waiting for the scheme twists to appear and end my suffering. But they did not! Living on the edge, I could deliver two blows to Nimrod, then have a round with 15+ attack but not enough recruit, then finally had a combo of 21+ attack with enough recruit as well to get two tactics and a final blow. 

Still, this is a hateful scheme :):) The hero setup vs Nimrod with different scheme probably would have been fun.  ",,
,,9,(+2),33,Mangostrike,2,0,2,9th,No (1.5),10th,14 (1),6th,9 (3.5),10th,0.143 (1),7,,2,0,3,2,14,6,2,0,27,Dr. Strange (Illuminati),Black Panther,Ant-Man (Ant-Man),Wasp (Ant-Man),Second attempt,1,"Is there a 0/5 fun factor? I think I had more fun packing up than playing. First game I pulled 4/2 on both hands, so that’s an automatic 4/10 escapes without any counter play. I didn’t defeat a villain until the 14th turn!
Second game was better but it’s just not possible to get cards in your deck fast enough. Maybe I should have switched to spiders instead.

I had to be playing this wrong. Only one villain per player out and a guaranteed escape for every villain card played unless you can get some attack in your hand fast? Ugh. If I see this scheme again I’ll just report a loss and save the time setting up.",,
,,10,(+1),33,Doormatte,23,14,37,9th,No (1.5),9th,24 (2),10th,11 (1),9th,1.542 (2),6.5,,9,3,2,1,8,5,1,0,17,Lady Thor,Mr. Fantastic,Lady Thor,Mr. Fantastic,First attempt,2,Why!? Why!?,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E11,EasySetup.avi,1,(+10),40,OleRockyTop,32,59,91,1st,Yes (5),4th,34 (5),1st,0 (7.5),4th,2.676 (5),22.5,,27,17,4,2,6,0,0,1,13,Nightcrawler,Jean Grey,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,The combo of apocalypse and xcutioners song can get out of hand real quick if you aren't on top of it.,,
,,2,(+9),39,ItStartsWith1,25,79,104,1st,Yes (5),7th,36 (2),1st,0 (7.5),2nd,2.889 (7),21.5,,54,31,0,1,2,5,0,2,10,Captain America,Thor (Avengers),Captain America,Thor (Avengers),Second attempt,4,"What an intense game. After a good but losing first attempt, made some strategic choices to maximize the chance to win, and pulled it out! “Comic” side was a mostly blue/green deck with lots of good cards (2 rares, multiple uncommons). “MCU” side was even better. A couple early copies of Dangerous Rescue allowed me to thin, with the perfect amount of Angel thrown in. Turned into a real Covert Operation. The only good part of hitting Apocalypse’s Immortal and Undefeated 3 times before the final tactic was it fueled Black Widow. Got lucky in the middle with 3 straight Twists while there no Angels to be found. But I’ll gladly take it, cause I didn’t think I could get the win!",,
,,3,(+8),37,Pervavita & Catswifty,8,62,70,1st,Yes (5),1st,29 (8),3rd,1 (4.5),5th,2.414 (4),21.5,,54,9,1,4,5,5,0,5,20,Bishop,Iron Man,Bishop,Iron Man,Second attempt,3,"First game we lost by hitting the MM.
In both games our Black Widow deck never really got going and the Ice Man deck took off getting Bishops Rare (both games!) early. We were able to manage the Angle cards in the city with few KOed and Apocalypse only hitting one hero in his tactics. ",,
,,4,(+7),36,iburnicus,97,18,115,1st,Yes (5),5th,35 (3.5),3rd,1 (4.5),1st,3.286 (8),21,,79,41,1,2,4,3,0,1,11,Jean Grey,Cyclops,Jean Grey,Cyclops,Second attempt,3,"what a difference in games,
game 1 went straight to 0, when i finally had some combo/synergies is lost hard
game 2 just finished and i had some amazingly explosive turns, black widow popping hard, having jean grey's rare played at the turn i would empty out the bystander deck into my vp pile, wouldve ended quicker if i wasnt as unlucky on revealing apocalypses 'shuffle back' tactic 3 times in a row... 
focused on black widow/red-black on left side
focused on ice man-cyclops blue/green right side.
it felt amazing hitting huge numbers and combo's later in the game.
angel's cards absolutely helped as well and weren't a lost inclusion for either piles.
game 1 wouldve been a 1/5, game 2 def a 5/5 with maybe a 3/5 for early setup stage of the game so i settled on 3/5 overall.",,
,,5,(+6),35,jwigand,19,43,62,1st,Yes (5),2nd,32 (7),3rd,1 (4.5),8th,1.938 (1),17.5,,24,7,1,2,6,2,0,3,14,Gambit,Cable,Bishop,Storm,Second attempt,4,"Apocalypse crushed me game one, changed my heros up and had some better luck on the draws and what revealed itself from the deck and it was a completely different game two. Bishop was the real hero early game.",,
,,6,(+5),34,scootsmagoots1986,70,25,95,1st,Yes (5),5th,35 (3.5),7th,2 (2),3rd,2.714 (6),16.5,,45,19,3,2,2,2,0,3,12,Forge,Wolverine (X-Men),I did not play a second attempt.,I did not play a second attempt.,First attempt,5,This was an excellent game. I had a lot of fun. Was touch and go for a little while early on but pulled out the win in the end!,,
,,7,(+4),33,Minos_Griffin,40,35,75,1st,Yes (5),3rd,33 (6),8th,3 (1),6th,2.273 (3),15,,5,17,0,1,4,2,0,4,11,Cyclops,Forge,Cyclops,Forge,First attempt,4,"We had a great game, the heroes were strong enough to battle a hard mm and scheme combination. We won the first game but the second after a really bad set of cards from the villain deck we lost in 16 turns. So a game that could be really fun but too dependable of luck.",,
,,8,(+3),33,CoreyG,25,39,64,8th,No (1),8th,29 (1),3rd,1 (4.5),7th,2.207 (2),8.5,,14,12,0,1,6,6,0,4,17,Cyclops,Storm,Cyclops,Storm,First attempt,2,"I was sooo close! I played one more turn after recording my loss details, and I easily finished off Apocalypse for the consolation ""win"". While I appreciate the overlapping synergies which layered up the difficulty, it proved to be slightly too much. Four Horsemen are already tough to beat with Apoc, but then they were further boosted by captured Angels. (I did appreciate the choice of Angel being the ""captured"" hero in the villain deck.) Phalanx was a challenging choice as they were helpful for a while to thin out the deck, but made for tension when couldn't fight them later in the game as they would KO a non-grey hero, getting closer to the Scheme's Evil Wins. Had been a while since I faced off against Apocalypse, and was reminded how rough he can be. The draws from the Villain Deck can be very swingy. MS's early are no big deal as decks are mostly grey heroes, but they're rough late. ST's feel so good to get lucky and hit back-to-back while no Angels were captured, but can also hit at mean times otherwise. I wish I had given a bit more thought to fighting Apocalypse at the end of the game. I knew which two Tactics he had left (bystander/shuffle and KO heroes from discard). I simply punched him when I had the chance, but if I had thought about it more, I should have waited until the other player had 0 non-grey heroes in their discard (if possible). Instead, that was the Tactic I hit while already having 8 non-grey heroes KO'ed, and it lost me the game! The tough setup felt mostly fun, but perhaps just a little too tough to call it enjoyable, even if I could appreciate how it was attacking non-grey heroes from several different angles. I'll get them next week!",,
,,9,(+2),32,Gideon Wyatt & Mrs. Gideon Wyatt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,10,(+1),30,mrdollar11 & TheSquishyFish,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12,Green Scarring? Ask Your Doctor About Korvac® ,1,(+10),38,Off the Cuff,76,29,105,1st,Yes (6),2nd,31 (7.5),1st,0 (5),1st,3.387 (9),27.5,,47,2,0,3,4,3,0,0,10,Mockingbird,She-Hulk,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,"Pulled all 5 Strikes in the first quarter of the game, gained both SHIELD Rares, got all 4 Tactics then defeated Korvac. SHIELD Level rules",,
,,2,(+9),36,Narellish & ooskarr,46,33,79,1st,Yes (6),2nd,31 (7.5),1st,0 (5),4th,2.548 (6),24.5,,13,2,1,1,4,3,0,0,9,"No-Name, Brood Queen",Caiera,Caiera,Gladiator Hulk,First attempt,3,"This was a good game with all the transforming happening, amd henchmen locations. But too many wounds. We got unlucky with both our games and our draaw cards x 5, didn't show in either games, same as our k.o type cards, just unlucky shuffling.",,
,,3,(+8),35,Bronson & Lighthouse,63,39,102,1st,Yes (6),5th,35 (4.5),1st,0 (5),2nd,2.914 (8),23.5,,24,16,0,2,4,0,0,0,6,Hiroim,"Miek, the Unhived",Hiroim,"Miek, the Unhived",Second attempt,3,Lost the first game on Scheme twists and un-lucky HQ distribution. Finally in the second game were able to get some of the synergy going in KO'ing and gaining bystanders and sneaking a few undercover points.,,
,,4,(+7),34,SharkNate-O & onthegeniusofsamrockwell,76,22,98,1st,Yes (6),7th,36 (3),1st,0 (5),3rd,2.722 (7),21,,54,0,0,1,0,1,1,0,3,Rick Jones,Deathlok,Rick Jones,Deathlok,First attempt,4,"The set up was fine. Unfortunately both of our games had a bad hero deck shuffle or villain deck shuffle. Our first game had a bad villain deck shuffle, which is why we were only able to pull of the win on turn 36. Unfortunately our second game had an incredibly bad villain shuffle where we had all 8 scheme twists in the first 20 turns, and ended the game. :( But the first game we only won by accruing the 19 attack points, and hitting the scheme to kill the mastermind and it's tactics.",,
