Pod,Setup,Rank,Points Earned,Total Points,Name(s),VP 1,VP 2,"Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,Bst. Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Lv.,Comments,,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,MS,ST,VG,HM,BST,N/A,Total,1,2,1,2,,,,,6
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
50,"Buy One, Get Three Free!",1,(+8),51,SnekeTV,63,43,106,1st,Yes (5),1st,23 (8),1st,0 (4.5),3rd,4.609 (6),23.5,,20,12,3,2,10,3,1,0,19,Amadeus Cho,Hiroim,Amadeus Cho,Hiroim,Second attempt,4,"Cool Scheme! If it comes down to a turn or two for elimination, its 100% arnim zolas fault for stepping in when I could have beaten the other 2 in the 1/3 shuffle.",,
,,2,(+7),44,Jean-Sebastien & Genevieve,109,8,117,1st,Yes (5),4th,25 (5),1st,0 (4.5),2nd,4.68 (7),21.5,,101,22,4,4,5,4,0,0,17,Phyla-Vell,Captain America (1941),Phyla-Vell,Captain America (1941),First attempt,4,"Out of Time was broken! We managed to fight Beyonder 3 times in a turn (including 1 for ""free"" with cosmic treat). Phyla-Vell did not do much, but was ramping up just fine with Nebula. Probably would have been good if game had lasted for 30+ turns.",,
,,3,(+6),49,MicroDisney0505,107,62,169,1st,Yes (5),5th,33 (3.5),1st,0 (4.5),1st,5.121 (8),21,,45,42,0,3,5,1,1,0,10,Captain America (Falcon),Hiroim,Hiroim,Captain America (Falcon),Second attempt,3,"Luck is very important in this game. All but one masterstrike came out on Magus. This gave me 24 vp that other players might not have had. A bagel shuffle with scheme twists also game me several turns at the start of the game to just recruit with a worry of the city. Game went longer than I hoped, but hopefully I did enough. If not congratulations to the top 4. I am still rooting for JParnell.",,
,,4,(+5),40,GZUZROCKS & gzuzrules,36,72,108,1st,Yes (5),2nd,24 (6.5),1st,0 (4.5),4th,4.5 (5),21,,36,8,2,4,6,5,2,0,19,Amadeus Cho,Hulkbuster Iron Man,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"Brought in the big guns Amadeus Cho and Hulkbuster for this one! We had some good luck early on with “the shaper of worlds” pulling Hulkbuster’s “the final battle”—we gave that to player 2 who developed an immense amount of tech and strength cards with card draw power (I.e. pound for pound, extrapolate, sniper beat) which set up some AMAZING attack damage turns that plowed through the masterminds. Epic fun battle :).",,
,,5,(+4),46,Avataristche,69,29,98,1st,Yes (5),2nd,24 (6.5),1st,0 (4.5),5th,4.083 (4),20,,40,5,2,3,6,5,1,0,17,Amadeus Cho,Bruce Banner,I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"Tech out-of-time draw totally took off, redrawing itself from oot",,
,,6,(+3),41,the.melkman. & Snapcity57,63,50,113,1st,Yes (5),5th,33 (3.5),1st,0 (4.5),7th,3.424 (2),15,,13,6,0,1,4,4,0,0,9,She-Hulk,"Joe Fixit, Grey Hulk",She-Hulk,Bruce Banner,Second attempt,4,"Oh whoops oh, has the melk spoilt?",,
,,7,(+2),37,Justitiana,72,61,133,1st,Yes (5),7th,36 (2),1st,0 (4.5),6th,3.694 (3),14.5,,11,9,3,2,0,1,1,0,7,Bruce Banner,Amadeus Cho,Hiroim,"Steve Rogers, Director of S.H.I.E.L.D.",First attempt,4,"For my first attempt I tried to select for boosting Nebula with Instinct and Tech, selecting Bruce Banner and Amadeus Cho for that and their strongish cards. I ended up not able to buy the uncommons from Amadeus Cho that would have been amazing, but had a tense game with them that took 36 turns nonetheless. I wanted to try to get a better second attempt and although especially Bruce Banner's 2-cost made for some pretty consistent 7-8 sized hands for deck 2 I decided that I needed to rescue bystanders if I really wanted to improve my score. So for attempt 2 I selected Hiroim and Steve Rogers, Director of S.H.I.E.L.D. Partly also to help with KO-ing starters, which took too long in attempt 1. I ended up losing attempt 2, so then it obviously wasn't going to be better than attempt 1. Twist 9 was drawn in turn 29 or so. Attempt 2 was working fine otherwise, just needed to get some steam for finishing the Masterminds, but if the last twist comes, you can't escape that.

Nebula's 3-cost was pretty good for KO-ing starters in both games, but in Attempt 1 I managed to KO plenty of starters with her. It did however take too long. Deck 1 was mostly Nebula focused, ended up getting all 5 of her 5-costs and her rare, but only 1 of her 3-costs, which is why it took so long to KO the starters. Deck 2 was mostly Bruce Banner and Amadeus Cho (his 2-cost never showed unfortunately). I think it was a tough setup, so I'm not ashamed of taking 36 turns, but it isn't very fast either. The potential of extra VP from rescuing bystanders might just be the difference between getting into the top 4 or not. But perhaps the others have also chosen not to select those kinds of heroes. Taking so long did assist me in defeating almost all villains in the deck, which might help me get some more VP and a higher average PPT. If you were faster though, PPT would possibly be higher still, as more turns had happened and Mastermind hits are worth more than most cards in the Villain Deck.

In the beginning of especially game 1 there was some tension about preventing escapes. Some strong enemies came out which I couldn't reduce with their cosmic Threat easily (because those colors were either completely absent [Ranged]or not yet in HQ and decks [Instinct]). it worked out fine, but had me make some tough choices (for example defeating Primus when it wasn't an ideal time to do so by discarding a Nebula 3-cost that would have provided other strong benefits). Also a few wounds could not be prevented and made the start slightly less ideal than I wanted. The Shapers of Worlds were useful in expanding the recruiting options and giving a free somewhat expensive Hero to whichever deck benefited most. The absence of any Ranged cards did however make them as tough as some of the masterminds! The Twists moving around the Mastermind from being the active one and lurking was pretty fun to manage, although it did mean that some of them were only there for 1 turn and then gone again (due to back to back Twists). The breathing room a twist provided was nice and sometimes necessary to get enough attack and manage the City. In Attempt 2 this was too extreme, as there was often nothing to defeat and the last tiwst came  way too early.

Pretty high fun level. The Epicness of Malekith and Magus didn't mean that much, because in my game it was easy to counter their extra strength by simply defeating the Villains in the City. Malekith also lacked targets for Villainous Weapons. Getting only 2 tactics made especially Malekith much weaker, but all of them actually, because the Master Strikes porbably won't help the same ones. I ended up getting lucky with Master Strikes, getting 1 for The Beyonder and 1 for Magus (which added 6 VP to the game). The other 3 I didn't get to see. Arnim Zola ended up being about as strong and stronger than the Beyonder was with his with Cosmic Threat on the turns he got defeated. I can't remember playing this Scheme before, but it is now one of my favourites, because of the potential for more points! 8 tactics is obviously worth more than 4, no matter which Masterminds you pick. (Although one 7 pointer versus 4 5-pointers adds only 10 points with Final Blow Rules). So, even though the Masterminds are slightly weakened by sharing the Master Strike pool and only having 2 tactics each, it can get really hard I think. I can easily imagine that it gets extremely difficult to win without using brokenly strong Heroes if you use four Epic 7 pointers as Masterminds.",,
,,8,(+1),37,JParnell,37,43,80,8th,No (1),8th,34 (1),1st,0 (4.5),8th,2.353 (1),7.5,,6,10,1,0,5,3,0,0,9,Amadeus Cho,Captain America (1941),Amadeus Cho,Yondu,Second attempt,3,"I knew my first game was lost early on but finished it to scout the second game. I swapped in Yondu for Cap'41 to manage the top of the deck, which he did an amazing job of. No Pocket Dimensions, no escapes, no wounds(!). My P2 deck had cleared all of its starter cards, and I was cruising towards victory. But then starting with turn 29, I had 5 Twists in a row. It was worse because due to Danger Sense I knew they were coming, but couldn't do anything about them. On my P1 deck's last turn, I didn't draw a Yondu card to bury the final twist deeper. One of the most disappointing ends to a game, and a very disappointing end to my tournament.",,
