Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,4
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
37,A Game of Hide and Nuke.,1,(+9),32,WilTheGrey,31,63,94,1st,Yes (6),2nd,24 (8),1st,0 (7),1st,3.917 (9),30,,32,12,0,1,3,3,4,1,0,12,Fantastic Four United,Brainstorm,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,I had a good time with this one. Very good balance of fun and challenge. Psi-Lord was definitely the MVP.,
,,2,(+8),34,avataristche,45,35,80,1st,Yes (6),1st,21 (9),1st,0 (7),2nd,3.81 (8),30,,10,5,0,0,2,5,5,2,0,14,Doctor Strange (Avengers),Brainstorm,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"Achievement unlocked: send 6 cards oot, next turn after they got discarded, draw them back and send them oot again. Achievement unlocked: activate ms-ko Psi-Lord's combo twice in one turn.",
,,3,(+7),31,Zoratok,47,49,96,1st,Yes (6),3rd,27 (7),1st,0 (7),3rd,3.556 (7),27,,2,1,0,4,1,2,2,1,0,10,"No-Name, Brood Queen","Miek, the Unhived",I did not make a second attempt.,I did not make a second attempt.,First attempt,3,We were down to the last scheme twist. I’m glad it didn’t show because we did not have time to play a second attempt. Went for feast hoping for a fast game. It kind of worked.,
,,4,(+6),31,the.melkman & Snapcity57,40,62,102,1st,Yes (6),4th,30 (6),1st,0 (7),4th,3.4 (6),25,,22,6,0,1,2,1,1,1,0,6,Gladiator Hulk,The Vishanti,Gladiator Hulk,The Vishanti,Second attempt,3,The required heroes held back the flow of the melk.,
,,5,(+5),28,VenomousDisease,33,56,89,1st,Yes (6),5th,31 (4),1st,0 (7),5th,2.871 (5),22,,23,6,0,1,2,3,0,1,0,7,The Vishanti,"Ancient One, The",The Vishanti,"Ancient One, The",First attempt,3,"This game was very difficult as it felt like getting both decks running in both games didn't show up. First game Clea and Vishtani only had one Vistani card. It was all Psi-Lord who did the heavy lifting to be able to focus enough attack to hit the Mastermind.

Game two was some bad luck as we hit scheme twist after scheme twist. Couldn't get any footing and just ran out of time. ",
,,6,(+4),28,Shaggy427,31,56,87,1st,Yes (6),5th,31 (4),6th,1 (3),6th,2.806 (4),17,,25,4,0,2,2,2,1,0,0,7,"Ancient One, The",Hulkbuster Iron Man,"Ancient One, The",Hulkbuster Iron Man,Second attempt,1,"I could say a lot, but I'll just leave it at this and a 1 star rating; Psi-Lord sucks and I hate schemes where you just get lucky by having a twist at the bottom of the deck.",
,,7,(+3),26,Tuba2k7 & Aliayc22,44,35,79,1st,Yes (6),5th,31 (4),6th,1 (3),7th,2.548 (3),16,,9,5,0,0,2,4,0,0,0,6,"Ancient One, The",Heralds of Galactus,"Ancient One, The",Heralds of Galactus,Second attempt,5,"The scenario was stressful, but fun. We ended up having a ton of recruit and it was hard to attack. We did have the ancient one and sent someone to the Astral plane, Which allowed us to attack with recruit. We also got the good card so we could hit the mastermind with only recruit which helped a ton. We ended up getting Galactus also and destroyed one city space and got a bunch of extra attack. This is a really cool mechanism and the evil part of me wants to do it more. Lol.",
,,8,(+2),27,3141592ab,35,47,82,8th,No (1.5),8th,33 (2),6th,1 (3),8th,2.485 (2),8.5,,12,2,0,0,0,1,1,0,0,2,Brainstorm,"Ancient One, The","Ancient One, The",Brainstorm,First attempt,2,"During both games, the illuminati got stuck on their open warfare side for well over half the game. Between clea, brainstorm and Jessica jones, there was too much draw in the decks and they just couldn't function with the draw penalty.",
,,9,(+1),24,FlipFlopManiac,23,25,48,8th,No (1.5),9th,31 (1),9th,4 (1),9th,1.548 (1),4.5,,2,3,0,3,0,2,1,1,0,7,"Joe Fixit, Grey Hulk",Squirrel Girl,"Joe Fixit, Grey Hulk",Squirrel Girl,Second attempt,3,"Both games the city shrunk to two within ten turns, so it was annoying until the losecon happened.  I had a silly idea to lean fully into Switcheroo to find Psi-Lord cards to help negate Strikes and Joe Fixit to fight with recruit but it didn't come together in either game.",
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Fin Fang Brain!,1,(+9),29,Redblock,75,79,154,1st,Yes (5.5),2nd,34 (8),1st,0 (8.5),1st,4.529 (9),31,,4,33,0,3,2,2,3,1,2,13,Superior Iron Man,Viv Vision,Superior Iron Man,Viv Vision,Second attempt,4,"Lost first attempt to endless stream of ghost racers, second game managed to stabilize by covering zombies with Walking Wifi and Dark influence of hand, but that took way too long",
,,2,(+8),30,ReoFirestar19,63,22,85,1st,Yes (5.5),1st,23 (9),1st,0 (8.5),2nd,3.696 (8),31,,41,9,1,3,3,5,8,1,5,25,Crystal,Black Bolt (Inhumans),Crystal,Black Panther,First attempt,5,"Lots of zombies to deal with! I had some great games here: I chose the first one mainly because of no escapes. Crystal seemed like the perfect fit here, and she delivered! I essentially had 4 Hero Classes at all times thanks to her Uncommon, and she took over the game alongside Medusa for lots of Throne Favor plays. My second pick, Black Bolt, provided great Attack, too. Second game had some escapes, but I had a cool build with White Tiger, and I did some great plays with the Zombie Nova cards in the Villain Deck, so there's that! Fun games all-round.~",
