Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
,,3,(+7),29,Techfiend & Kimber_Blue,42,86,128,1st,Yes (5.5),3rd,35 (5.5),3rd,2 (6.5),4th,3.657 (6),23.5,,44,12,2,2,1,3,3,0,2,11,Black Panther,Dr. Strange (Illuminati),Black Panther,Dr. Strange (Illuminati),First attempt,4,"This was a rough setup. It took some significant use of White Tiger's Dark Influence of the Hand to keep Rise villains buried. We got 2 early escapes due to a couple of Rise, but gained control after that. We had a Black Panther/Dr. Strange multicolor deck on one side and a Proxima Midnight/Medusa deck on the other. White Tiger was split.",
,,4,(+6),28,R3DJ0N,29,100,129,1st,Yes (5.5),3rd,35 (5.5),5th,3 (4.5),3rd,3.686 (7),22.5,,71,10,4,1,0,5,1,2,0,9,Black Panther,Crystal,Old Man Logan,Yelena Belova,Second attempt,1,"You don't  need Ghost Racers with this scheme. Lost super quickly on the 1st attempt. 2nd attempt I brought in Yelena and Old Man Logan to hopefully prevent some escapes. It didn't matter. The only reason I won is there were 3 scheme twists in a row near the top of the deck, pure luck. I forgot all 4 twists were done and should've focused on mm hits but I was still worried about escapes.",
,,5,(+5),26,Narellish & Ooskarr,39,77,116,1st,Yes (5.5),3rd,35 (5.5),3rd,2 (6.5),6th,3.314 (4),21.5,,38,7,0,0,0,5,1,1,2,9,Ms. Marvel,Old Man Logan,Ms. Marvel,Old Man Logan,First attempt,5,"We really enjoyed this challenge, it was so much fun, we really had to work to keep the rise of the living dead under control. Our 2 escapes didn't happen till near the end of the game, which we were disappointed with, but the second game we had escapes very early on. Our second game we still won but there was only 1 villain card left in the deck so it was by the skin of our teeth.",
,,6,(+4),26,Babybreloom,52,69,121,1st,Yes (5.5),7th,37 (3),5th,3 (4.5),7th,3.27 (3),16,,17,10,4,2,1,3,1,0,1,8,Gwenpool,Yelena Belova,Gwenpool,Yelena Belova,First attempt,5,"Yelena Belova and Gwenpool both have ways of covering up my RotLD villains, giving me some semblance of control over the city. I still expected to get absolutely slaughtered, but my decks came together in the late game, especially after some tactical and deliberate respawning of Zombie Madame Hydra to get me some extra KOs. In game 2 I was finished off in fewer than 15 turns, but I managed to squeeze something out in Game one and I'm honestly not sure if winning in either round is something everybody in this pod will be able to do. Great setup, really challenging, lots of fun!",
,,7,(+3),25,MikeH,111,42,153,1st,Yes (5.5),8th,43 (2),7th,4 (3),5th,3.558 (5),15.5,,69,25,0,0,0,1,0,0,0,1,Falcon & Winter Soldier,Ms. Marvel,Falcon & Winter Soldier,Crystal,First attempt,3,"Both of my games were victories, but neither went great. The other victory ended in fewer turns, but had 5 escapes and less PPT. 
One thing I enjoyed about this setup was finally understanding White Tiger's Amulets of the Tiger Gods card! I used to avoid it at all costs, but now I see the benefit of quickly building up your Dark Memories, particularly if you pair it with multi-color Heroes or divided cards.",
,,8,(+2),23,GZUZROCKS & DaBomb,46,46,92,1st,Yes (5.5),3rd,35 (5.5),8th,5 (2),8th,2.629 (2),15,,0,6,2,2,4,4,2,0,1,13,Red Guardian,Black Panther,Red Guardian,Black Panther,First attempt,3,"Brutal Masochist set up! We brought in Black Panther for the dual aspect action to help trigger other effects and help size change the MM. Red Guardian was brought in to help bolster covert cards to help towards MM size change and avoid getting penalized to heavily by the Henchmen. The first game was long and we barely survived (twists were buried deep in villain deck thankfully). However, second game was over by turn 15. Such...a...brutal...set-up!",
,,9,(+1),23,eventhorizon0121,15,34,49,9th,No (1),9th,22 (1),9th,6 (1),9th,2.227 (1),4,,19,4,1,3,1,8,4,1,1,18,Yelena Belova,Gwenpool,Yelena Belova,Gwenpool,Second attempt,1,"Rise of the Living Dead is my least favorite Keyword which makes this one of my least favorite Schemes of the game. The lack of reliable ways to mitigate the Scheme in this setup, along with the difficulty of the MM made it a daunting challenge that I don't believe it workable without serious Villain and HQ luck. The first try was an avalanche of bad. The second, we had stabilized, with White Tiger/Gwenpool granting Bystanders and Yelena Belova going Undercover, and had hit the MM once but we were too far behind the Scheme at that point and an ill-timed ST wiped us out. The Scheme would be more manageable if there were more STs and they only took 1 per Twist. As it is, you can easily lose on the first or second ST.",
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,HYDRA: We Kidnap Children Now!,1,(+9),28,PragmaticSquid,37,37,74,1st,Yes (5),1st,23 (8.5),1st,0 (8.5),1st,3.217 (9),31,,0,1,9,3,6,4,5,1,0,19,Mockingbird,Quake,Mockingbird,Quake,Second attempt,5,I wanted to lean into Undercover to max my score. First game was in shambles. I questioned everything. 2nd game I was able to pull rare Mockingbird and Blade early thanks to easy recruit from Mockingbird and Quake. Mockingbird thinned and cancelled 2 ST and 1MS. Built up some nice undercover points to help. Hellcat really helped against Firestar.,
,,2,(+8),28,Jean-Sébastien & Geneviève,39,28,67,1st,Yes (5),4th,26 (6),1st,0 (8.5),4th,2.577 (6),25.5,,11,2,2,2,3,5,4,1,0,15,Wolverine (X-Force),Photon,Wolverine (X-Force),Photon,Second attempt,5,"We both constructed decks with lots of draws/discards, and used Blade to control which villain was to capture baby Hope. We like adapting MM and this setup was fun!",
,,3,(+7),28,Doomfollow,55,22,77,1st,Yes (5),3rd,25 (7),3rd,1 (4),2nd,3.08 (8),24,,33,1,4,1,2,4,3,1,0,11,Mystique,Ronin,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,"Rough go for me, I blame 100% of it on that one Spider-Man who just wouldn't die!",
,,4,(+6),25,Pyromagnus & Shoshielynn,31,43,74,1st,Yes (5),6th,28 (4),3rd,1 (4),3rd,2.643 (7),20,,12,4,2,4,4,3,3,1,0,15,Sabretooth,Wolverine (X-Force),Angel,Sabretooth,First attempt,4,"Pretty fun set up though the MM frequently ending up on Cap's Shield was super annoying. Sabretooth felt like a most pick with ol'Buckethead dragging us down and he really proved his worth!

Game 2 I was able to loop my deck via Angel and Brotherhood discard synergies, shame Bill couldn't be here",
,,5,(+5),25,citizen51,27,23,50,1st,Yes (5),1st,23 (8.5),3rd,1 (4),8th,2.174 (2),19.5,,4,3,2,2,4,10,2,0,0,18,Electro,Mockingbird,Electro,Mockingbird,First attempt,4,"Could not do anything to avoid that early escape in either game, (7 attack is a lot within the first 10 turns and both twists were only a couple turns apart), but after the first 2 twists I managed to keep the city empty whenever a new twist came (thank you Hellcat for the warnings). P1 was a Dodge deck with Magneto and Electro that did manage to go infinite on the final turn BUT didn't need it because there was only one MM left and I had enough attack before cycling. P2 was a Blade, Hellcat, and Mocking Bird deck. That was probably the most effective I've used Blade (lot of recruit from fighting in the sewers), but I really wish more Mockingbird cards came up to take advantage of the Hydra villains I was fighting. Overall fun set-up that would have been made even more fun with a better shuffle.",
,,6,(+4),24,owen_meany & owen_meany's better half,42,19,61,1st,Yes (5),5th,27 (5),3rd,1 (4),7th,2.259 (3),17,,23,2,3,2,5,6,3,0,0,16,Iceman,Ronin,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,Tough game with lots of luck at play. Had back to back twists that led to escape and got the 14 attack adapting mastermind early. Still fun and Iceman is probably too good. Also reminded how bad Magneto is. Woof!,
,,7,(+3),23,Fives & Echo,46,29,75,1st,Yes (5),8th,30 (2),3rd,1 (4),5th,2.5 (5),16,,17,4,1,3,3,3,1,0,0,10,Wolverine (X-Force),Sabretooth,Wolverine (X-Force),Sabretooth,First attempt,4,"Magneto is actually way better than others give him credit for. For every one of his cards I bought I either dodged it and drew a new card, or played it to draw a card and get three attack. he didn't take up any space in my deck or the HQ, and was useful. Having all three of these traits in a single hero set is actually pretty rare. I also liked the unintentional theming I made of Sabertooth, Magneto, and X-Force Wolverine teaming together for the greater good of Hope Summers and saving the day from the Hydra Super-Adaptoid",
,,8,(+2),22,Bn322,33,38,71,1st,Yes (5),7th,29 (3),3rd,1 (4),6th,2.448 (4),16,,5,2,0,3,4,6,2,0,0,15,Angel,Quicksilver,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,Since I didn't see a lot of KO power I chose to make a hyperspace deck and discard to draw deck.,
,,9,(+1),20,Tex-pa & Grate,51,27,78,1st,Yes (5),9th,37 (1),3rd,1 (4),9th,2.108 (1),11,,24,0,0,0,1,0,1,0,0,2,Bullseye,Sabretooth,Bullseye,Sabretooth,Second attempt,3,Expensive HQ gave us a slow start. We then were able to clear out the whole city but most of the scheme twists came with an open city so that  kept Baby Hope on the sidelines and kept our VP down. Multiple wounds and lack of KO power resulted in too long of game.  Not our best effort but good fun nonetheless.,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,A Game for Kings and Queens.,1,(+9),27,HatePhD & EditedMist,20,52,72,1st,Yes (5),2nd,24 (8),1st,0 (6),2nd,3 (8),27,,32,4,0,3,7,5,4,0,0,19,General Okoye,Hiroim,General Okoye,Hiroim,Second attempt,4,"Come on top 3!!

The game was pretty smooth sailing. We were basically in perma-sunlight with 63% of the HD even. In one of the games Witchfire captured a 7 cost rare.",
,,2,(+8),26,Snash108,44,23,67,1st,Yes (5),1st,23 (9),1st,0 (6),3rd,2.913 (7),27,,21,4,0,4,5,7,3,1,0,20,Princess Shuri,White Wolf,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,,
,,3,(+7),26,Mangostrike,50,32,82,1st,Yes (5),3rd,25 (6.5),1st,0 (6),1st,3.28 (9),26.5,,18,6,0,3,5,6,3,1,0,18,Queen Storm of Wakanda,White Wolf,"Miek, the Unhived",Werewolf by Night,Second attempt,5,.,
,,4,(+6),25,Dashburn,51,29,80,1st,Yes (5),5th,28 (5),1st,0 (6),4th,2.857 (6),22,,22,1,0,1,4,4,3,2,0,14,Hiroim,"Miek, the Unhived",I did not make a second attempt.,I did not make a second attempt.,First attempt,3,Miek carried this game with feast,
,,5,(+5),23,jiggliestpuff,45,19,64,1st,Yes (5),3rd,25 (6.5),1st,0 (6),6th,2.56 (4),21.5,,26,3,0,2,5,6,5,0,0,18,"Joe Fixit, Grey Hulk",She-Hulk,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,The shards and KO options made it possible to take down Emma. I tried to pick heroes with some recruit to deal with the scheme and keep things in Sunlight mode. Smash also came in clutch by being able to add 6 attack per turn with Hurl Trucks and Carefully Considered Smashing.,
,,6,(+4),22,NukinFoobs & N3m3sis,30,43,73,1st,Yes (5),6th,29 (3.5),1st,0 (6),7th,2.517 (3),17.5,,13,1,0,2,5,5,1,2,0,15,Morbius,General Okoye,Morbius,Werewolf by Night,Second attempt,3,"Both of our games ended up taking 29 turns. Overall the setup and scheme was not too difficult. The only problem we faced was Emma Frost's ill timed master strikes which made us discard our good hand and hitting the ""Assume Diamond Form"" tactic when the next player could fight the mastermind during the next turn. Emma Frost is definitely frustrating wasting our good turns away but overall the setup was a good time.",
,,7,(+3),21,ElongatedMan,37,43,80,1st,Yes (5),8th,34 (2),1st,0 (6),8th,2.353 (2),15,,6,5,0,2,2,3,3,0,0,10,"Joe Fixit, Grey Hulk",Werewolf by Night,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"Fun setup. I had Scheme Twists something like 8 of the first 16 turns, which really slowed down my recruiting. Joe Fixit brought the recruit, so I was able to weather that storm, and Werewolf by NIght is very strong when he gets going. First time fighting Emma, she was fun. Wish I had time for a second attempt this week.",
,,8,(+2),20,BigDongWilliam,49,27,76,1st,Yes (5),6th,29 (3.5),9th,2 (1),5th,2.621 (5),14.5,,22,2,0,2,5,1,5,1,0,14,General Okoye,"Miek, the Unhived",I did not make a second attempt.,I did not make a second attempt.,First attempt,3,"I did not like nor dislike this set up.   If shards are a mechanic, they should be a larger part of the game.  I feel like the inclusion of Into The Cosmos felt meaningless.",
,,9,(+1),20,energythief,43,35,78,1st,Yes (5),9th,35 (1),8th,1 (2),9th,2.229 (1),9,,8,6,0,1,3,2,3,0,0,9,Queen Storm of Wakanda,Werewolf by Night,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,My second hand was weaker than I’d hoped. Thank goodness for shards otherwise I’d have been completely overrun!,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Some Secrets Should Stay in the Qunatum Realm.,1,(+9),26,dontfeedthegreen,21,50,71,1st,Yes (5.5),1st,24 (9),1st,0 (6.5),1st,2.958 (9),30,,29,2,0,1,4,4,1,0,0,10,Domino,Daredevil Noir,Domino,Daredevil Noir,First attempt,5,"Both games went well, but 1st was particularly good. Didn’t see much of Domino, but Noir Heroes and Rick Jones ended up working really well together, eg they had one great Transform turn that hit both sides of MODOK. Dracula gave me Luke’s rare too and by the end I was deliberately not Outwitting Leader to play more cards from the Villain deck to hit.",
,,2,(+8),26,Drewfusmcge,29,44,73,1st,Yes (5.5),2nd,25 (7),1st,0 (6.5),2nd,2.92 (8),27,,15,1,0,0,4,4,1,1,0,10,Iron Fist,She-Hulk,Iron Fist,She-Hulk,First attempt,4,"Yikes that ended up being tougher than I thought it would! Game 1 went pretty well, as I got the chance to recruit the rares for Rick Jones, Nightcrawler, and Iron Fist! Lots of costs helped shuffle the twists in pretty consistently which was nice. The second game was a big loss though with 3 scheme twists in a row in the mid-game! Had to really stay on top of recruit and attack to be ready to hit MODOK either way. Fun but very chaotic. GGs",
,,3,(+7),25,Scootsmagoots86,29,50,79,1st,Yes (5.5),5th,30 (5),1st,0 (6.5),3rd,2.633 (7),24,,21,7,0,0,2,3,0,0,0,5,Angel,"Joe Fixit, Grey Hulk",I did not make a second attempt.,I did not make a second attempt.,First attempt,5,Super fun. Angel and Joe fixit are boss,
,,4,(+6),24,Minos_Griffin & Phryne,38,26,64,1st,Yes (5.5),2nd,25 (7),1st,0 (6.5),6th,2.56 (4),23,,12,1,0,0,5,5,2,1,0,13,Elektra,Iron Fist,Elektra,Iron Fist,Second attempt,4,It was a fun combination of MM and scheme. MODOK could be annoying but using iron fist and elektra make that his transformations to not be so annoying.,
,,5,(+5),22,ZombieGamer5,42,16,58,1st,Yes (5.5),2nd,25 (7),1st,0 (6.5),8th,2.32 (2),21,,26,2,0,0,2,4,3,0,0,9,Blade,Gladiator Hulk,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"I thought the interaction between Outwit and Heist was fun once I started getting a decent variety in card values, but before that it was a little overwhelming. It was tricky because MODOK was on his setup side for most of the first half of the game, making outwit even harder. Having both cioies of The Leader show up very early didnt help either. But I did enjoy the setup",
,,6,(+4),21,jpilger,36,48,84,1st,Yes (5.5),7th,32 (2.5),1st,0 (6.5),4th,2.625 (6),20.5,,12,2,1,0,2,1,0,0,0,3,Iceman,Hulkbuster Iron Man,Iceman,Hulkbuster Iron Man,First attempt,3,"MODOK increasing the outwit threshold is brutal early game.  You almost can't wait for a master strike so that he transforms.  This is a surprisingly challenging scheme.  You'd think the straightforward nature of play an extra card from the villain deck is easy enough, but when The Leader pops up and you can't outwit him and you get a string of scheme twists triggering, it's quickly overwhelming, so you make the devil's bargain of shuffling the schemes back in and dealing with them later.  This killed me in the second attempt.  Luckily my first game I had some early transformations for Rick Jones and had a enough power to hit MODOK with some attack, and on the final turn I was able to give him a double hit of knocking out his last tactic with recruit on his transformed side, and immediatley hitting his untransformed side for the final blow.  

Ultimately, too straightforward to be fun based on keywords or a creative scheme, and too frustrating to want to play this combo again any time soon.",
,,7,(+3),21,Sylterix,55,25,80,1st,Yes (5.5),6th,31 (4),8th,3 (2),5th,2.581 (5),16.5,,30,12,0,0,2,0,0,0,0,2,Hiroim,Daredevil Noir,Hiroim,Daredevil Noir,Second attempt,3,I hate MODOK,
,,8,(+2),20,Sword'n'Sorcery,26,53,79,1st,Yes (5.5),7th,32 (2.5),9th,4 (1),7th,2.469 (3),12,,27,1,0,0,1,1,0,0,0,2,Iron Fist,Wolverine (X-Force),Iron Fist,Wolverine (X-Force),First attempt,3,"This setup was deceptively difficult! Iron Fist was a great pick to round out the team. Both players could outwit and heist almost every time they needed to by round 10 or so. We just did not have enough KO power to streamline the decks at all. Miek would have been a good pick, but I already used him in a previous week. I felt really limited this week (more than normal) with my hero selection. I went with Wolverine to get a little bit of KO power and to play well with all the other instinct cards. Not great, but not bad.
Overall, it just took way too long to get going. We just barely won at the end where player 2 managed to get 10 recruit and 10 attack, to hit MODOK twice in the same turn. Both decks just got way too bloated. A bunch of villains escaped early on, but that just happens sometimes. We tried a second attempt, but that just went even worse with some bad luck in the villain deck early on. Lost the game turn 25 when I drew three scheme twists in a row.
Giving this setup a 3. Rick Jones/Luke Cage was a fun combo I've never used before. Would have been more fun maybe by swapping out Underworld and Rings for more rewarding villains (that give better benefits for fighting them). I also really like Nightcrawler...but I had no idea what to do with him in this setup. A few tweaks I think would make this a great setup.",
,,9,(+1),18,MicroDisney0505,2,0,2,9th,No (1),9th,10 (1),7th,2 (3),9th,0.2 (1),6,,2,0,0,3,0,4,6,2,0,15,"Captain Marvel, Agent of SHIELD",Scarlet Witch,I did not make a second attempt.,I did not make a second attempt.,First attempt,1,N/A,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Give Him Some Time and Space.,1,(+10),26,Swagolas,17,24,41,1st,Yes (5.5),1st,20 (10),1st,0 (5.5),2nd,2.05 (9),30,,7,12,0,3,10,6,3,2,0,24,Phyla-Vell,"Killmonger, Spec Ops",I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"This has to be one of if not the luckiest shuffle in my legendary career. By turn 12 I had 2 rare heroes for P2. I dodged a lot of VWs. The STs were stuck on the bottom of the VD, I had a lot of VPs stuck in the other city. This was a really sweet scheme, definitelly gonna play with it again.",
,,2,(+9),26,Tozar,33,7,40,1st,Yes (5.5),2nd,21 (9),1st,0 (5.5),4th,1.905 (7),27,,26,13,0,2,5,10,5,1,0,23,Beta Ray Bill,White Wolf,Beta Ray Bill,White Wolf,Second attempt,5,Huge difference between two games.  Seemed to really come down to the timing of the Master Strikes.,
,,3,(+8),25,Canis & Mamabird,11,35,46,1st,Yes (5.5),5th,24 (6),1st,0 (5.5),3rd,1.917 (8),25,,24,12,0,1,4,8,4,2,0,19,King Black Panther,Adam Warlock,King Black Panther,Adam Warlock,First attempt,4,"spnet most of the time in the past, and the Wakandan deck did well for player two",
,,4,(+7),23,bigdilly73 & BlackSmithNJ,22,17,39,1st,Yes (5.5),3rd,22 (8),1st,0 (5.5),6th,1.773 (5),24,,5,14,0,3,6,8,5,1,0,23,Phyla-Vell,"Uatu, The Watcher",I did not make a second attempt.,I did not make a second attempt.,First attempt,4,Maximizing shard generation and empowering mechanics were vital to success. Very fun set up,
,,5,(+6),22,Dr. Parmesan,14,46,60,1st,Yes (5.5),9th,29 (2),1st,0 (5.5),1st,2.069 (10),23,,32,22,0,2,4,4,5,0,0,15,Quasar,The Warriors Three,Apocalyptic Black Widow,Ronan the Accuser,Second attempt,3,"Moving to an imaginary board is hard to manage. First game kicked my butt with an expensive HQ locking it for a while, but then I found my saving grace: Ronan the Accuser. I fought Malekith like three times in the same turn because every time I fought him, my ""Rally the Kree Warriors"" would give me 4 more shards to work with on top of the large amount of attack I had already made that turn.",
,,6,(+5),21,Kb_driven,29,22,51,1st,Yes (5.5),8th,27 (3),1st,0 (5.5),5th,1.889 (6),20,,7,14,0,1,3,9,3,1,0,17,Lady Sif,Moondragon,Lady Sif,Moondragon,First attempt,5,"This was a very engaging setup, lots of fun!  Despite a string of early Scheme Twists, player 1 was able to snag a couple of Danger Sense cards to help at least somewhat mitigate the Villain deck - more to avoid surprise than anything else.  Lady Sif also was really helpful to build extra attack with all the artifacts flying around.  Player 2 mostly leveraged General Okoye with some Moondragon mixed in, to play a good support role.",
,,7,(+4),20,Mikip2023 & Taker13,23,16,39,1st,Yes (5.5),4th,23 (7),1st,0 (5.5),9th,1.696 (2),20,,7,7,0,2,4,4,5,1,1,17,Phyla-Vell,White Wolf,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,We enjoyed switching back and forth from past to present. I think we chose well again on the heros. Wasn't a huge fan of Yondu. But was helpful sometimes.,
,,8,(+3),19,AveryAce,21,23,44,1st,Yes (5.5),6th,25 (4.5),1st,0 (5.5),7th,1.76 (4),19.5,,2,12,0,1,5,9,2,2,0,19,Adam Warlock,King Black Panther,Adam Warlock,King Black Panther,Second attempt,3,"Game one was pretty fun trying out the new scheme, never felt at risk of losing or having escapes other then a little fenris wolf scare, but kept everything under control. Game two had lots of early henchmen which was nice, and I kept both cities very clean. Between that and the schemes moving which city existed, every single villainous weapon save 1 was KOd. Malekith never managed to acquire one, making an easy beatdown. It honestly was pretty underwhelming, making me give just a rank of 3 here from this second game, the scheme while fun, did just make the villainous weapons not work game 2 essentially. Ended with 1 round. And 1 point ahead of game 1",
,,9,(+2),18,prestoja2,34,5,39,1st,Yes (5.5),6th,25 (4.5),1st,0 (5.5),10th,1.56 (1),16.5,,29,13,0,2,5,7,4,1,0,19,Nebula,Nova (Avengers),I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"Nebula's common worked too well. Whenever I see Universal church of truth as a henchmen group for competitive Legendary, my first impulse is Nebula because of her tech common that lets you KO a card WHENEVER you take a shard from the Mastermind, a villain, or another player. Just by this one card alone (and a few henchmen fight effects) I easily managed to KO 9 of my starters, which made taking out Malekith a breeze.",
,,10,(+1),17,GamerGump,23,36,59,1st,Yes (5.5),10th,34 (1),1st,0 (5.5),8th,1.735 (3),15,,13,14,0,0,2,4,3,1,0,10,Nebula,Nova (Avengers),I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"Fives submitting for GamerGump: this game took longer than expected. There were a couple mistakes here and there such as forgetting to draw an extra card, but it was mostly due to which cards came out of the HQ and how the Villianous weapons were tossed to and fro on the board. Overall this was really fun, and could've been more fun if I kept track of things a little better",
