Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
,,9,(+1),17,MicroDisney0505,0,0,,9th,No (1),9th,15 (1),9th,10 (1),9th,0 (1),4,,0,0,0,5,5,12,9,2,0,33,Cloak & Dagger,Storm & Black Panther,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,N/A,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Welcome to the Freakshow,1,(+9),26,avataristche,30,75,105,1st,Yes (5.5),1st,22 (9),1st,0 (6.5),1st,4.773 (9),30,,45,21,0,2,5,4,3,0,0,14,Hiroim,Fantastic Four United,Hiroim,Fantastic Four United,Second attempt,5,"First game was going fine. Then i thought ""Eh, i can get a rare AND a mm hit, i can ignore the scheme for one turn, right? Oops."" And literally the next turn i thought ""Well, i can get 2 more mm hits, i wont draw the third twist in a row, right?"" Wrong. In the second game i feasted the 2nd hand to 2 Hiroim ramps and rare every turn. I rescued Wolvie 3 times, stacked most twists on the bottom to be extra safe. The other hand got Skrull's rare with Spike's help, it even got a hit on mm too.",
,,2,(+8),25,the.melkman & Snapcity57,41,61,102,1st,Yes (5.5),2nd,24 (8),1st,0 (6.5),2nd,4.25 (8),28,,20,26,0,2,3,5,4,0,0,14,Hiroim,She-Hulk,Hiroim,She-Hulk,Second attempt,4,Hulking off the melk,
,,3,(+7),22,Babybreloom,63,32,95,1st,Yes (5.5),3rd,26 (7),1st,0 (6.5),3rd,3.654 (7),26,,31,30,0,4,1,5,2,0,0,12,Hiroim,Invisible Woman,Hiroim,Invisible Woman,Second attempt,4,"This was a tough one! I didn't even win the first round and I went in worried, but Hiroim showed up and we were able to build big hands consistently before too long. Once the city was safely managed we could start clearing Goblin!",
,,4,(+6),21,GZUZROCKS & DaBomb,31,78,109,1st,Yes (5.5),4th,32 (5.5),1st,0 (6.5),5th,3.406 (5),22.5,,47,22,1,2,1,1,2,0,0,6,Fantastic Four United,Invisible Woman,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"Loooong game due to managing all those hidden witnesses! There were some nice 4 cost cards in pre-selected heroes so thought it might be good to go ALL IN Fantastic Four with the added choices! Invisible Woman and Fantastic Four United worked really well in this set up, helping to manage wounds and produce plenty of recruitment to use towards hidden witnesses or focus into attack with cards like human torch. Managed to also get Invisible Woman's legendary which helped curtail some of the ambush cards of Goblin Freak Show cards.",
,,5,(+5),23,WilTheGrey,50,54,104,1st,Yes (5.5),6th,33 (3.5),1st,0 (6.5),6th,3.152 (4),19.5,,4,29,1,0,1,5,0,0,0,6,Rick Jones,She-Hulk,Rick Jones,She-Hulk,First attempt,3,"It was an interesting setup but felt like it dragged on quite a bit, especially in the second game in which I ran out of cards in the villain deck. I might give this one another go with different heroes some time, but honestly I was not a big fan of the hidden witnesses overall.",
,,6,(+4),18,ElongatedMan,26,88,114,1st,Yes (5.5),4th,32 (5.5),7th,1 (2),4th,3.563 (6),19,,62,36,0,0,3,0,0,0,0,3,Hiroim,Silver Surfer,Hiroim,Silver Surfer,Second attempt,4,"Hidden Witnesses are a pain, but made for a fun game trying to work around them. Player 2 got Hiroim's rare in both games, but we still couldn't avoid an escape.",
,,7,(+3),18,Sword'n'Sorcery,83,21,104,1st,Yes (5.5),8th,35 (2),1st,0 (6.5),8th,2.971 (2),16,,62,23,0,0,0,4,0,0,0,4,"Miek, the Unhived",Daredevil Noir,"Miek, the Unhived",Daredevil Noir,Second attempt,1,"I knew I was in trouble from the beginning because the three heroes in the setup are three of my least favorites (so I also have very little experience with them). I probably didn't pick very good heroes for the setup. But again, I just didn't know what would work well with those three. Curious to see what others do.
We decided to wipe our first game by turn 10 because we had drawn 6 heralds, two STs and a MS. Play 2 had a much smoother start. The only problem is that player 2's deck self-destructed too fast. They were getting 6-8 attack almost every turn, but not enough recruit to also handle the hidden witnesses. We also just weren't drawing heroes with recruit from the hero deck, so that made the game really slow. Player 1 eventually got together a good miek+daredevil deck. Miek's rare helped a lot with cleaning up the hidden witnesses.
The problem might have just come down to bad luck, but this was one of our least favorite games. Just poor synergy with the heroes/villains/scheme.",
,,8,(+2),19,PragmaticSquid,73,29,102,1st,Yes (5.5),6th,33 (3.5),7th,1 (2),7th,3.091 (3),14,,44,25,0,1,2,2,1,0,0,6,Fantastic Four United,Invisible Woman,Hiroim,Thing,Second attempt,4,"First game was fun with the FF4, but couldn't get through the witnesses and ran out of time. Got Joe's rare mid-game and coupled that with Hiroim's answer to the Black Widow and he went nuclear by the end of game. Great setup. Found it to be quite challenging. Lots of moving parts.",
,,9,(+1),15,Joebro6616,4,17,21,9th,No (1),9th,14 (1),7th,1 (2),9th,1.5 (1),5,,13,3,0,4,3,8,7,1,0,23,Bruce Banner,Hulkbuster Iron Man,I did not make a second attempt.,I did not make a second attempt.,First attempt,1,The setup was a killer didn’t have a chance to get anything going on either hand,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,All Alone on the Throne,1,(+9),23,Tuba2k7 & Aliayc22,56,48,104,1st,Yes (5),1st,28 (9),1st,0 (5),2nd,3.714 (8),27,,8,24,0,2,1,5,4,0,0,12,"Captain and the Devil, The",Agent Venom,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,"That was an absolutely great and fun game. We loved the Celestial boon affects. It was really cool two bystanders every time we fought a villain. We thought it would be really hard to defeat the mastermind, but there were so many options to lower both the villains and the masterminds that it was definitely manageable the whole time. It was seriously one of the most fun games we’ve had in a while. Great job to the winner last season for this set up.",
,,2,(+8),21,Narellish & Ooskarr,67,54,121,1st,Yes (5),4th,32 (6),1st,0 (5),1st,3.781 (9),25,,13,26,0,2,2,1,4,0,0,9,Symbiote Spider-Man,Soulsword Colossus,Symbiote Spider-Man,Soulsword Colossus,First attempt,4,"We went well in the first game but really struggled in the second. In the first we had a lucky villain deck draw, getting some good celestial boons out early. We felt this set up was a 3.5 for fun, as sometimes playing with lots of 2 costing cards isn't our favourite. We enjoyed the villains/mastermind/scheme combo though. That was lots of fun.",
,,3,(+7),20,Fives & Echo,26,70,96,1st,Yes (5),2nd,29 (8),1st,0 (5),5th,3.31 (5),23,,44,18,0,1,3,5,9,1,0,19,Scarlet Spider,Symbiote Spider-Man,Scarlet Spider,Symbiote Spider-Man,Second attempt,5,"I knew with the preselected heroes that I had to use I should go with the strategy of one hand going with the superior deck build while the other hand recruits all the cards that won't fit into that deck build. And this worked amazingly! Not only did the Spider's do an amazing job taking out the mastermind, they also made quick work of the celestials, which was super helpful because of how powerful those boons were in this setup.",
,,4,(+6),20,citizen51,76,45,121,1st,Yes (5),5th,33 (5),1st,0 (5),3rd,3.667 (7),22,,31,30,0,1,3,3,3,0,0,10,Spider-Gwen,Symbiote Spider-Man,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,Spiders! P1 ended up being all 2 cost Spiders and P2 was mostly Cuckoos with a few Spider-Woman cards. Both decks were lacking on recruit by the end but double Nezarr and 3 early Save the Days on the Spider side ramped to be enough to not even need shatter by the end. I did have a funny moment when a Stepford Cuckoo ascended to be a MM when a tactic left them alone in the city and a Twist came the next turn.,
,,5,(+5),19,Pyromagnus & Shoshielynn,76,24,100,1st,Yes (5),3rd,31 (7),1st,0 (5),6th,3.226 (4),21,,52,13,0,3,2,4,7,1,0,17,Ruby Summers,Symbiote Spider-Man,Agent Venom,Nova (Avengers),First attempt,5,Very fun set up! Getting the Exitar/Sentinel loop going is a low but efficient way to thin the decks espeically with Gammenon to net you an extra bystander everytime. Tiamut plus Spiders is jsut asking for trouble too,
,,6,(+4),18,HatePhD & EditedMist,41,76,117,1st,Yes (5),6th,34 (4),1st,0 (5),4th,3.441 (6),20,,35,25,0,0,1,3,2,0,0,6,M,Nova (Avengers),M,Nova (Avengers),First attempt,4,"I mean, it was fun, enthrone is always fun and swinging at big MM is fun. Not having turns that generate attack and recruit...not fun....",
,,7,(+3),16,Dr. Parmesan,52,61,113,1st,Yes (5),7th,36 (3),1st,0 (5),7th,3.139 (3),16,,9,14,0,1,0,0,1,1,0,3,Spider-Gwen,Siryn,Agent Venom,Nova (Avengers),Second attempt,3,"Really struggled with this one. Managed to get both Nezarr, The Calculators on one hand, so I basically just fought Exodus with that.",
,,8,(+2),15,Mikeygill97,62,56,118,1st,Yes (5),9th,41 (1),1st,0 (5),8th,2.878 (2),13,,6,17,0,0,0,0,0,0,0,0,Scarlet Spider,Symbiote Spider-Man,Scarlet Spider,Symbiote Spider-Man,Second attempt,2,"Definitely one of the hardest setups I’ve ever played and very challenging. If not for Shadow Spider and Radioactive Spider, to be my main cards.",
,,9,(+1),15,SharkNate-O & onthegeniusofsamrockwell,74,34,108,1st,Yes (5),8th,38 (2),1st,0 (5),9th,2.842 (1),13,,40,12,0,0,0,2,4,0,0,6,Symbiote Spider-Man,Agent Venom,Symbiote Spider-Man,Agent Venom,Second attempt,2,"You know, our first game went VERY bad. To the point where we did not want to play a second game. But decided last minute before deadline to play a second one. It was not as bad as the first one. It definitely still took way longer than I'd liked. In the second game (the one submitted), one deck struggled a lot more than the other and developed late due to the HQ not really being in favor, finding shatter recruit points where you can due to lower attacking characters was key here.",
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,The Queen and Bids Unseen,1,(+9),23,FlipFlopManiac,68,31,99,1st,Yes (7),2nd,31 (8),1st,0 (6.5),1st,3.194 (9),30.5,,37,2,26,1,3,4,4,1,0,13,Agent Phil Coulson,Deathlok,I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"Slow scheme paired with a deck-building puzzle of a mastermind, and if you give me an opportunity to stack SHIELD heroes, I'm going to do it.  MCU side concentrated on Deathlok, Comic side grabbed Mockingbird and Coulson, and Kitty Pride was used to cycle Groot cards out of the HQ.  Hit the 8th Twist but thanks to a Ultron-Pym-discounted Infinity Formula I was able to stop the evilwincon.  Went hard on Undercover to take some of the pain off of the Master Strikes and at the end, even Coulson's Orbital Strikes was able to ""honorably"" take on Morgan with a single card.",
,,2,(+8),20,Bn322,37,45,82,1st,Yes (7),1st,26 (9),1st,0 (6.5),2nd,3.154 (8),30.5,,8,1,17,0,7,6,5,1,0,19,Agent Phil Coulson,Deathlok,Agent Phil Coulson,Deathlok,Second attempt,5,I chose to lean into the undercover mechanic which allowed one hand to send all of their starting cards undercover.  Then I manipulated the HQ so AKP's disrupt circuits would hit the mastermind each time.  This was my favorite setup so far.,
,,3,(+7),20,owen_meany & owen_meany's better half,75,23,98,1st,Yes (7),3rd,35 (7),1st,0 (6.5),3rd,2.8 (7),27.5,,52,3,12,2,4,3,0,0,0,9,Agent Phil Coulson,Drax the Destroyer,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,"Strategy ended up being let my better half focus on building up one hero (in this case Agent Caulson) to take down Morgan Fay. Be end of the game, didn't have much to do on my turns as city was easy to clear and couldn't attack the mastermind. Kind of a alog of a game, but still fun for being different. Would have likes more time to try again, but didn't have it this week. Would probably have gone with another shield agent.",
,,4,(+6),19,energythief,34,73,107,1st,Yes (7),5th,43 (5),1st,0 (6.5),6th,2.488 (4),22.5,,39,3,18,0,0,1,0,0,0,1,Agent Phil Coulson,Deathlok,Agent Phil Coulson,Deathlok,Second attempt,2,My first attempt was disastrous. I was in good shape in game 2 until Ultron Prime wiped out a rare I had been about to buy. Had to shift gears from Deathlok to Mockingbird and luckily pulled out a last turn Final Blow. Whew! I HATE Chivalrous Duel with a passion.,
,,5,(+5),18,Scootsmagoots86,51,46,97,1st,Yes (7),4th,41 (6),1st,0 (6.5),7th,2.366 (3),22.5,,5,3,13,1,0,2,0,0,0,3,Agent Phil Coulson,Wasp,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,This was a fun one. I love the undercover mechanic. I'm still trying to figure out the best way to get those cards undercover fast to build up the attack of the shield agents who benefit from those undercover agents. It seems like the mechanic is a slow burn until the end when they are really strong.,
,,6,(+4),18,Minos_Griffin & Phryne,56,61,117,6th,No (2.5),6th,44 (4),7th,1 (2.5),4th,2.659 (6),15,,5,3,23,0,0,0,0,0,0,0,Agent Phil Coulson,Deathlok,Agent Phil Coulson,Deathlok,Second attempt,3,"Fun game, but we didn't choose the right strategy and it took us forever to build enough undercover power.",
,,7,(+3),16,Ocs333,60,20,80,6th,No (2.5),9th,32 (1),1st,0 (6.5),5th,2.5 (5),15,,40,2,16,1,3,5,3,0,0,12,Agent Phil Coulson,Old Man Logan,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,"That was a very tough one (but also one of the most interesting setup), with multiple threats looking out for the player. 

Coulson did well with mockingbird, I could make a red Coulson+Bobby deck, which could start hitting Epic Morgan, and if I would have had 1 or 3 more turns I could have won. The 9 attack, CD is very tough, but the SHIELD rares both could get trough it. 

But, damn, giving out wounds and giving back 0 cost card is also evil. For until around turn 20-25 I could only manage to keep our decksize at the same as in the beginning, and clearing up the constant in-flow of wounds. 

But in the end I disliked it mainly because of the scheme, and its HQ dependency. If I would get the ApocKitty tech, 2 recruit card early, I would at least had the chance to buy some ant-man cards. But without any tech cards in a pool and drawing the high-cost ant-man cards early. This 
essentially became a strong (8 out of 11) timer with a mastermind where a quick victory is hard to achievet (both because of the CD and the dual threat of the city and wounds). 

OldMan Logan turned out to be an irrelecant pick here, the second hand went for Groot, and could sort of manage to heal all the wounds we got. In advance I would have  taken Drax, but he was not available. Now I would take maybe Jocasta or Deathlok more probably, to provide some help with the scheme and also some shield . 

But neither have time (or the strong urge) to play this again; even if it got exciting aroun turn 30, before ending due to scheme timer. ",
,,8,(+2),15,MRTINCE,44,46,90,6th,No (2.5),7th,41 (3),7th,1 (2.5),8th,2.195 (2),10,,2,3,15,0,1,0,0,0,0,1,Black Panther,Quake,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,I just couldn't get my hands to line up...,
,,9,(+1),15,ItStartswith1,47,15,62,6th,No (2.5),8th,36 (2),9th,4 (1),9th,1.722 (1),6.5,,32,0,8,1,1,4,0,2,0,8,Agent Phil Coulson,"Namor, the Sub-Mariner",I did not make a second attempt.,I did not make a second attempt.,First attempt,4,"This was a tough one! Trying to balance the recruit to buy the shrink tech and get Chivalrous Dual attack proved tricky. I went back and forth on heroes and would’ve tried at least 1 different with a second attempt. Namor didn’t pay off the way I’d hoped, but didn’t see Imperious Rex. Coulson, however, was my best hero. I was able to recruit Fake But Inspiring Death and build to SHIELD level 8 rather quickly, so he was able to get 3 hits off on Le Fey. But the scheme got the best of me.",
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,All in the Family,1,(+10),24,Zoratok,50,24,74,1st,Yes (5.5),1st,20 (10),1st,0 (5.5),1st,3.7 (10),31,,26,8,7,4,7,7,4,1,0,23,Black Widow (S.H.I.E.L.D.),Red Guardian,Black Widow (S.H.I.E.L.D.),Red Guardian,Second attempt,4,Fun set up. Went for black widow synergy. It didn’t work well the first game but second game was much better.,
,,2,(+9),22,Techfiend & Kimber_Blue,73,13,86,1st,Yes (5.5),4th,25 (7),1st,0 (5.5),2nd,3.44 (9),27,,60,12,16,2,4,7,3,1,0,17,Doctor Doom 2099,Silver Surfer,Doctor Doom 2099,Silver Surfer,Second attempt,4,"Bit of a divided opinion on this setup for us. I played a Yelena/Doom 2099 deck that absolutely sang. She had a Ravage/Surfer deck that kept getting bad draws and poor twist timing. Since I'm inputting the score, I erred on the higher side :) This was the first time I'd played this scheme, and it really short circuits the planning you can do.",
,,3,(+8),20,Jean-Sébastien & Geneviève,61,7,68,1st,Yes (5.5),3rd,24 (8),1st,0 (5.5),5th,2.833 (6),25,,54,14,3,3,5,7,3,1,0,19,Red Guardian,Hulk 2099,Red Guardian,Hulk 2099,Second attempt,5,Fun setup!,
,,4,(+7),19,Dashburn,30,35,65,1st,Yes (5.5),2nd,23 (9),1st,0 (5.5),6th,2.826 (5),25,,5,11,2,4,3,8,6,0,0,21,Red Guardian,Thing,Red Guardian,Thing,First attempt,4,"First game, Human Torch was KO’d by turn 4. Leaned into Red Guardian + Yolena and have found a new favorite hero combo.",
,,5,(+6),18,jiggliestpuff,41,45,86,1st,Yes (5.5),6th,28 (4.5),1st,0 (5.5),3rd,3.071 (8),23.5,,4,19,1,1,4,6,5,0,0,16,Red Guardian,Ghost Rider 2099,Black Widow (S.H.I.E.L.D.),Falcon & Winter Soldier,Second attempt,4,"Good choice with villain groups, they really caused some trouble when combined with Sinister in reducing hand size. Dark Memories and Fated Future really made a difference, as did getting enough recruit so I could get good things to replace the shield troopers lost to Phalanx. I got to hit Sinister a couple of times by recruiting a dual card that boosted Dark Memories, so that was satisfying.",
,,6,(+5),17,Tozar,40,41,81,1st,Yes (5.5),6th,28 (4.5),1st,0 (5.5),4th,2.893 (7),22.5,,1,14,7,1,5,6,3,0,0,15,Black Widow (S.H.I.E.L.D.),Spider-Man 2099,Black Widow (S.H.I.E.L.D.),Spider-Man 2099,Second attempt,5,"Trying to manage the rightmost HQ space to avoid the Heroes being ""Lost in Grief"" is actually quite doable.  Though I'm not sure it makes enough of a difference to prioritize recruiting sub-optimal heroes.",
,,7,(+4),16,Kb_driven,36,36,72,1st,Yes (5.5),5th,27 (6),1st,0 (5.5),9th,2.667 (2),19,,0,8,5,2,3,7,2,1,0,15,Spider-Man 2099,Red Guardian,Spider-Man 2099,Red Guardian,Second attempt,5,"A tough scheme but it made for a thrilling victory after losing first attempt.  I believed in the hero choices and stuck with them.  2nd game went much better, and player 1 was able to pick up 2 copies of Ravage Detect Vibrations, which became incredibly helpful and probably key to victory.  Being able to stave off and prepare for Twists was massive.  Spider-Man 2099 helped player 1 with card draw and getting just enough attack to beat Sinister.  Player 2 grabbed Yelena and Red Guardian (including Guardian's rare fairly early) along with Nightcrawler to compliment and support with just enough power again, and also grabbed the third Detect Vibrations later in the game which did not hurt at all.  Red Guardian's Ruse uncommon came in clutch for both players in the final turns.",
,,8,(+3),10,Patyon & Wafflewings,61,29,90,1st,Yes (5.5),10th,33 (1),1st,0 (5.5),7th,2.727 (4),16,,32,19,1,2,2,2,4,0,0,10,Forge,Spider-Man 2099,I did not make a second attempt.,I did not make a second attempt.,First attempt,3,"Thought the villain and scheme set up was very fun and had put good pressure on us as players, but I thought the hero selection was a little rough, and we weren’t able to come up with something that clicked the way we hoped.",
,,9,(+2),15,FlashSpider-man,63,21,84,1st,Yes (5.5),9th,31 (2),1st,0 (5.5),8th,2.71 (3),16,,42,13,5,2,2,4,2,0,0,10,Hulk 2099,Spider-Man 2099,Hulk 2099,Spider-Man 2099,First attempt,4,"I think I've been getting pretty lucky so far this tournament. Game went well. Some strong heroes. Haven't gotten to use 2099 much since I got it and it has a lot of fun and powerful heroes. Hulk 2099 was kind of a waste of a pick, but I suppose that's natural with this scheme. He can combo w/ Torch, it just didn't line up and feels a bit awkward to get going to me. My second game I'm in the middle of and it isn't going nearly as well, just playing worse. Fun scheme though.",
,,10,(+1),13,PHoney,51,19,70,1st,Yes (5.5),8th,29 (3),1st,0 (5.5),10th,2.414 (1),15,,32,12,1,1,2,6,5,0,0,14,Invisible Woman,Jean Grey,Invisible Woman,Red Guardian,Second attempt,4,"Interesting setup to try to find good hero choices and decisions to manage the scheme. I thought Jean Grey would be a slam dunk choice because of the bystander-focused setup, but I ended up rescuing ALL of the bystanders in my 1st attempt with her! It made Mr. Sinister and villains easier to fight as there were no more bystanders for them to kidnap, but it also completely nerfed Jean's rare and the bystander rescue engine I had built. I didn't realize how small the bystander deck would be with the small starting size and 12 dedicated to the Scheme setup. New achievement unlocked though! I finally closed out my 1st attempt with an infinite Yelena. Aggressive KOing with Invisible Woman and a lot of Nightcrawler teleports let me setup my deck to go infinite with Yelena, despite having only 1 of each of the cards needed. Two poorly timed Ra'ktar villains meant unfortunate escapes (3 total) which led me to submit my 2nd attempt instead, despite higher VP (102) and VPpt (3.09) in 1st. Will be curious to see how that result would have ranked. Hard to choose. 2nd attempt I used Red Guardian. Was really fun and strong synergy with Yelena. Used Invisible Woman in both attempts for her red cards and aggressive KO potential to streamline my decks and try to build towards Yelena combo and consistent red cards. Red Guardian's 4-cost common was also great with Invisible Woman's Four of a Kind common. I always underrate that card for IW, but it's such a strong rate and not too hard to enable. I'm curious to try the setup again with Red Guardian and Spider-man 2099 because of their potential Undercover and Cyber-Mod synergy. Was interesting to manage the scheme. I recruited from the HQ to try to leave the heroes that I didn't want in the rightmost space, so the scheme would KO them and get me closer to recruiting key cards for the other heroes. (Sorry Human Torch and Ravage!)",
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,A Deck-lectable Feast,1,(+10),22,ReoFirestar19,36,33,69,1st,Yes (7),1st,21 (9),1st,0 (6),2nd,3.286 (9),31,,3,5,2,3,7,6,5,0,0,21,Magneto,Ronin,Ronin,Black Widow (S.H.I.E.L.D.),First attempt,5,"I had two games that were too great, so I struggled to choose my pick. I'll go with this one because... I made an strategy involving Magneto work (And 1 less turn for the win, too)! By filling myself with Bindings, I could theoretically use them to protect my great cards against the unpredictability of the setup. And it worked! It was both Green Goblin and Mags' work that took care of the big hits, and the other side did great, too! Although they drowned in clutter by the end of the game, which I expected to happen. My second attempt was amazing too. No other things to say: This games were just chef's kiss.~",
,,2,(+9),18,NukinFoobs & N3m3sis,15,45,60,1st,Yes (7),1st,21 (9),1st,0 (6),3rd,2.857 (8),30,,30,3,0,3,5,8,3,1,0,20,Falcon & Winter Soldier,Mystique,Falcon & Winter Soldier,Mystique,Second attempt,5,"Ended up winning game 1 but got super unlucky with early twists pretty much KOing whatever we happened to recruit which then lead to an escape. Game 2 was much better. Really liked the preset hero choices and available hero choices. We had not played with Mystique or Falcon/WS in a while but I think they meshed perfectly with Darkhawk, Green Goblin, and Moon Knight. Loved the setup!",
,,3,(+8),21,Doomfollow,26,71,97,1st,Yes (7),6th,26 (5),1st,0 (6),1st,3.731 (10),28,,45,29,4,2,3,5,3,1,0,14,Dr. Octopus,Ultron,I did not make a second attempt.,I did not make a second attempt.,First attempt,5,I bet whoever designed this is super cool 😎. I only allowed myself 1 attempt because I got to practice when I submitted this set up so that seemed fair. However during that one attempt I got the Legendary Moon Knight card really early and got to farm lots of Bystanders so it went pretty good.,
