Pod,Setup,Rank,Points Earned,Total Points,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Undercover,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,Results Of Week:
,,,,,,,,,,,,,,,,,,,,,,MS,ST,V,H,B,O,Total,1,2,1,2,,,,3
,,,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,,
26,Donating Blood Is a Nightmare,1,(+9),25,3141592ab,105,20,125,1st,Yes (5.5),3rd,25 (7),5th,1 (4),1st,5 (9),25.5,,85,70,0,2,2,5,10,1,0,20,Forge,Stature,Forge,Stature,First attempt,4,"Found an interesting loop with forge, Hercules and Mr immortal. Dirty work lowers the attack of any villain I fight in the sewers by two, lowering Mr immortals attack to 0. The Hercules's Crowd favorite rescues a bystander every time I defeat a villain. Repeat until the bystander deck Is empty. Then get lucky with Son of Zeus for 60/60 and win the game in one turn. Very fun setup with recruit staying valuable through the game instead of trailing off when you don't want to recruit more heroes.",
,,2,(+8),24,Shaggy427,43,44,87,1st,Yes (5.5),4th,27 (5),1st,0 (7.5),2nd,3.222 (7.5),25.5,,1,21,0,2,6,7,3,0,0,18,"Ancient One, The",Wolverine (X-Force),"Ancient One, The",Wolverine (X-Force),Second attempt,4,This was a unique challenge to be sure. It was cool to see an Epic villain for a change. Ancient One came in clutch. I thought about Angel a lot but opted for X-Force Wolverine to combo with Domino and basically make one deck a recruit and the other attack.,
,,3,(+7),23,VenomousDisease,63,24,87,1st,Yes (5.5),4th,27 (5),1st,0 (7.5),2nd,3.222 (7.5),25.5,,39,22,0,2,3,7,7,1,0,20,Angel,Forge,Angel,Forge,Second attempt,4,"Originally thought Nightmare was a Nightmare to fight but game one showed the power of having a BFG on the side. Able to use that to get it out of the city or out of the Astral plane. The issue with game one however is the Angel/Hercules deck didn't get any Angel cards and ran out of recruit from all the KO's. Also having an escape slowed the game down a touch.

Game two however, first four draws was bystander into 3 scheme twists making the scheme a non-factor and Angel really pulled through. The angel deck only had 9 cards left and was able to constantly cycle and discard the Angel card for an extra bystander every turn when drawing. 

Also finding the strategy this time in game two, to navigate Nightmare with strategic escapes with their astral plane baddies to not harm the decks too badly as I got to choose which non-gray hero to lose. (Sidekicks helped in that regard.) while cleaning up the Astral Plane on the same turn with recruit to keep Nightmare out of there until it was time to take a tactic again.",
,,4,(+6),22,MikeH,44,18,62,1st,Yes (5.5),2nd,23 (8),1st,0 (7.5),6th,2.696 (4),25,,26,4,0,3,4,9,8,0,0,24,Goliath,Forge,Angel,Forge,Second attempt,4,"My first attempt was rough, a victory with 3 escapes (2 from the astral plane) and 2.2 ppt. Goliath didn't do what I thought so I shifted to Angel, giving me more card draw. I also chose to focus on recruiting officers / heroes with recruit early on in my second attempt to manage the Astral Plane better. Imagine my surprise when BFG and Against All Odds were in the opening HQ. I did not mulligan, recruited both fairly early in the game, and had a much more successful game in my second attempt.",
,,5,(+5),22,eventhorizon0121,21,35,56,1st,Yes (5.5),1st,20 (9),5th,1 (4),5th,2.8 (5),23.5,,14,2,0,5,5,9,6,1,0,26,Jocasta,Forge,Jocasta,Forge,First attempt,5,"We got extremely lucky with the HQ and Villain Deck in the first game. We had both the Forge and Domino rares in the HQ early and Versatile meant that they were purchased quickly. Our Villain Deck gave us a lot of Henchmen early, which made keeping the City clean easier, and we didn't get any MS (2 were primed to come out in the next 3 turns if play had continued). We almost lost to the Scheme because we were prioritizing the MM, but that is a good problem to have.",
,,6,(+4),22,R3DJ0N,53,18,71,1st,Yes (5.5),4th,27 (5),1st,0 (7.5),7th,2.63 (3),21,,35,8,1,1,5,7,6,0,0,19,Forge,Jocasta,Forge,Jocasta,First attempt,2,Shouldn't have even gone for 2nd attempt.,
,,7,(+3),19,Tex-pa & Grate,54,27,81,1st,Yes (5.5),7th,28 (2.5),5th,1 (4),4th,2.893 (6),18,,27,13,0,1,7,5,4,0,0,17,Angel,Forge,Angel,Forge,First attempt,5,We had lots of good options in the HQ without ever getting any rare cards.  The discard a card function powered P1 and tech machine P2.  We could not manage the Astral Plane well enough to prevent an escape.  This set up was terrific.  Lots of fun.,
,,8,(+2),18,Sylterix,17,47,64,1st,Yes (5.5),7th,28 (2.5),8th,4 (2),8th,2.286 (2),12,,30,5,0,3,6,5,7,1,0,22,Freedom Fighters,Angel,Forge,Doctor Strange (Avengers),Second attempt,4,"Leaving Squirrel Girl in the bank, killed my first game. Dr. Strange ritual artifacts helped alot in game 2.",
