Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level (no slash),Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,,
23,Red Skull's Duels of Science and Magic,1,MicroDisney0505,98,21,119,1st,Yes (4.5),1st,15 (7.5),1st,0 (4.5),1st,7.933 (8),24.5,,77,29,Black Widow (Avengers),Gambit,4,4/5,"It was fun to try to figure out how to get the most vp possible.  The person ""teaching"" me how to play was confused at why I kept speeding up the game hitting the endless armies of Hydra. Worked well in my favor. Ended up with all Hydra villains on my side. I was impressed at the ""teacher"" thinned his deck to have only 5 Grey cards and even got A Day Unlike Any Other. He even hit the Mastermind."
,,2,Enoc & Rowan,49,18,67,1st,Yes (4.5),1st,15 (7.5),1st,0 (4.5),4th,4.467 (5),21.5,,31,4,Gambit,Scarlet Witch,4,4/5,"Captain America is usually terrible, this time he was the second tier MVP both games we played!"
,,3,Spark001,55,23,78,1st,Yes (4.5),5th,17 (4),1st,0 (4.5),3rd,4.588 (6),19,,32,10,Cyclops,Black Widow (Avengers),4,4/5,"This was the first time that game 1 out played game 2, The left hand focused on bystander collection with Spider-Man and Black Widow with the right focused on X-Men heroes for both games.
 The first game could of ended 2 turns earlier but felt the right side needed a VP boost, where as game two saw all high cost cards big down   the HQ early leading to a longer game and greatly off set VP on both sides.
 Still it was a fun setup hopefully it’s enough to hang on with."
,,4,ANewEmpire,96,17,113,1st,Yes (4.5),6th,18 (2.5),1st,0 (4.5),2nd,6.278 (7),18.5,,79,23,Black Widow (Avengers),Darkhawk,5,5/5,"This was the craziest game I have ever played. All right hand did was take out Brotherhood Villains and Hydra Bases mainly using Emma Frost's Shadowed Thoughts and Black Widow's Dangerous Rescue. 

Left hand went OFF. Black Widow's Covert Operation (had 2) and Mission Accomplished plus Spider Man's Web Shooters is just insane. Also killed every Hydra Villain in the deck utilizing Endless Armies of Hydra and Left Hand's Shadowed Thoughts to dig further into the deck.

Pretty sure people will complete this faster than I do. I took a few extra turns to dig further into the Villain Deck. "
,,5,Cerberin,26,45,71,1st,Yes (4.5),3rd,16 (5.5),1st,0 (4.5),5th,4.438 (4),18.5,,19,12,Cyclops,Black Widow (Avengers),5,5/5,"It is so rare to see Core game as an option in the Tournament so I couldn't resist put Black Widow in the mix. Early tech Spiderman with the tech common BW rescued enough bystanders to dominate the game with Covert Operation. Of course the other side didn't pull back focusing heavily on Emma Frost and Cyclops getting easily 7-8 attack per turn (after the first 8 turns).
It was an easy setup but I am dreading what will follow after that!"
,,6,OllieKitKat & Kylah15,30,33,63,1st,Yes (4.5),3rd,16 (5.5),1st,0 (4.5),6th,3.938 (3),17.5,,3,19,Hawkeye,Gambit,5,5/5,"Goodness, we forgot how easy core games can be. Both games ended on turn 16, but it was hard to beat our first run through.  After 3 strikes and 2 juggernauts we were so thin it was just a breeze.  Ollie was down to 1 grey and like 10 other heroes. Kylah only 4 greys and the Hawkeye rare amongst his Avengers which really helped bring up the ppt."
,,7,Avataristche,14,39,53,1st,Yes (4.5),6th,18 (2.5),1st,0 (4.5),7th,2.944 (2),13.5,,25,1,Cyclops,Doctor Voodoo,2,2/5,"Both runs went horrible, i never saw bases, and hq was always full with spidey."
,,8,R3DJ0N,25,26,51,1st,Yes (4.5),8th,19 (1),1st,0 (4.5),8th,2.684 (1),11,,1,6,Cyclops,Gambit,4,4/5,"On the one hand,  I drew a lot of Hydra bases so that was nice. On the other hand, the HQ never had many high attack cards. Hopefully it wasn't too slow. 

I was hoping Cyclops would let me get some early high attack but Cap's perfect teamwork was the main attack card for both sides. "
