Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,
,,,,                                                            Lower Bracket,,,,,,,,,,,,,,,,,,
33,EPIC J Jonah Jameson's Tornado of Terrigen Mists,1,Cerberin,35,58,93,1st,Yes (2),2nd,28 (2),1st,0 (2.5),1st,3.321 (3),9.5,,23,14,Hiroim,Captain Marvel,5/5,"Really interesting game for the final! Hiroim was the MVP, Right was focusing on him and Rick Jones, while Left was using Thanos, Captain Marvel & Lady Thor. Getting Lady Thor's Rare in early game was really helpful, but Hiroim and his Rare has overwhelemed the MM and delivered the Final Blow!"
,,2,OllieKitKat & Kylah15,19,38,57,1st,Yes (2),1st,26 (3),1st,0 (2.5),3rd,2.192 (1),8.5,,19,3,Captain Marvel,Ms. America,2/5,"Well, JJJ continues to be deceptively difficult.  First game was rough in the beginning with a chunk of twists too close together.  Second game had a much better start and thank goodness Lady Thor decided to hit hard (those 6 drops saved the day). We took a while trying to determine which route we really wanted to go when it came to hero choices. Ultimately Ollie decided that we had a ton of Blue/Green so we went with Captain Marvel & Ms America. Honestly --- we're just glad we won."
,,3,Wicked.pepper,36,59,95,1st,Yes (2),3rd,40 (1),3rd,2 (1),2nd,2.375 (2),6,,23,16,Captain Marvel,Hiroim,5/5,"Left side had a Thanos/Hiroim deck, right side had Captain Marvel/Lady Thor. Rick Jones was a filler for both decks. Hiroim helped in thinning the other deck. In the end the Marvel/Thor deck had so much draw and so little 0-cost left, it worked like a well oiled machine. My final turn I raked up 26 recruit and 52 attack to clear out the remainder of the city and JJJ with his 2 tactics. Final twist was two turns down, I doubt the Thanos/Hiroim side would have been able to finish it. Loved the game!"
