Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,-,Byrango,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-
3,Bastion Bathes Earth in Cosmic Rays,1,Avataristche,34,38,72,1st,Yes (5),2nd,23 (8),1st,0 (7),1st,3.13 (9),29,,4,23,Drax the Destroyer,Hiroim,4/5,Feast side feasted once. Hiroim side lost ramp to the scheme. Somehow it worked out anyway.
,,2,Doormatte,51,13,64,1st,Yes (5),1st,21 (9),1st,0 (7),2nd,3.048 (8),29,,38,16,Namora,Shatterstar,4/5,First time I lost second tie I was able to thin my left hand to a deck of seven cards that consistently yielded a minimum of 10 attack. Bastion didn’t stand a chance.
,,3,Drewfusmcge,52,14,66,1st,Yes (5),4th,25 (6),1st,0 (7),5th,2.64 (5),23,,38,14,Gamora,Mr. Fantastic,4/5,Mr. Fantastic Giant Hand + Amadeus Cho and his rare did all the work. Not too bad!
,,4,Christian_Medic & Amanda G,33,42,75,1st,Yes (5),5th,27 (5),6th,2 (3.5),3rd,2.778 (7),20.5,,9,17,"No-Name, Brood Queen",Shatterstar,3/5,In retrospect it was a very dangerous game choosing No Name to go with Miek but thankfully the feasting is optional so I didn’t worry about trying to transform them at all. Thanks for the tournament!
,,5,Zer00verride,35,29,64,1st,Yes (5),3rd,24 (7),8th,3 (1.5),4th,2.667 (6),19.5,,6,16,Bruce Banner,Hulkbuster Iron Man,5/5,Getting 2 copycat bystanders in the first time you fight bastion followed immediately on the next turn by a cloning sentinel squadron is not good for escapes. My other game took a few turns longer and had less vps but 0 escapes. Let's hope I chose to submit the right one.
,,6,Wicked.pepper,17,49,66,1st,Yes (5),6th,28 (3.5),1st,0 (7),7th,2.357 (3),18.5,,32,18,Shatterstar,Star-Lord,4/5,"I underestimated how good Shatterstar is. Star Lord was a given that he was good, loved these decks! Early twists with no non greys made it a lot easier. Only feasted when known the top card was a grey card though."
,,7,Bronson,35,35,70,1st,Yes (5),6th,28 (3.5),6th,2 (3.5),6th,2.5 (4),16,,0,15,Star-Lord,Rocket Raccoon,4/5,We leaned into artifacts with the infinity gems to positive effect.
,,8,Canis,34,44,78,1st,Yes (5),9th,41 (1),1st,0 (7),9th,1.902 (1),14,,10,18,Human Torch,Shatterstar,2/5,"not a fan of the cloning mechanism, and there was just so much of it, managed to clear the masterminds on the final turn"
,,9,Jerzin,46,25,71,1st,Yes (5),8th,34 (2),8th,3 (1.5),8th,2.088 (2),10.5,,21,17,Drax the Destroyer,Shatterstar,3/5,OMG! Bastion is a beast with all that new and new masterminds... Rictor works very well with Shatterstar and even Miek or Drax can get something from their synergy. Close call but win.
