Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,Bystanders Rescued,Scheme Twists in the Villain Deck,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,
,,,,                                                            Upper Bracket,,,,,,,,,,,,,,,,,,
,,3,MicroDisney0505,36,26,62,1st,Yes (2.5),1st,21 (3.5),3rd,1 (2),3rd,2.952 (2),10,,0,7,Dazzler,Lady Thor,5/5,"Not one Master Strike showed up, so no Hidden Witnesseses. The Thor/Lady Thor deck was ready to save them all. Dazzler with Piercing Energy and Jubilee with drawing cards made for a lot of lights how. The one escape was due to Rise of the living dead and no bystanders to cover them up."
,,4,Ashyy,30,38,68,1st,Yes (2.5),3rd,22 (2),4th,2 (1),1st,3.091 (4),9.5,,16,7,Storm,Captain Marvel,5/5,Second time was much more fun than expected due to my error in the first game having thought ICEMAN was from the x men expansion !🤦🏽‍♂️ 🤣
18,Mole Man Transforms Commuters Into Giant Ants,1,Cerberin,35,20,55,1st,Yes (2.5),1st,17 (4),1st,1 (3.5),1st,3.235 (4),14,,8,4,Ant-Man,Wonder Man,5/5,Early Master Strike during the game caused Gigantus to escape but after that everything went as good as it could! Right side was focusing on Ant-Man and Beast with Strength/Tech draw combo while Left side used a Captain Marvel & Wonder Man Strength/Ranged strategy that also tucked away all Shang-Chi cards from the HQ (He was the odd man out). On my last turn with the help of Captain Marvel's rare I generated 25 attack which was enough to hit Mole man twice and 2 additional villains!
,,2,R3DJ0N#6458,20,34,54,1st,Yes (2.5),2nd,18 (3),1st,1 (3.5),2nd,3 (3),12,,5,6,Cyclops,Ruby Summers,4/5,Why is Shang Chi here? I guess I should've picked heroes to work with him. First game he clogged the hq with shuffling footwork. I felt like I needed x-men to deal with brotherhood effects but I'm worried about the future games when I might need these two.
,,3,meimbatman,37,42,79,1st,Yes (2.5),3rd,27 (2),3rd,4 (2),3rd,2.926 (2),8.5,,16,4,Cyclops,Rogue,4/5,"This was fun, I had some insane combos with a 49 attack hand to end the game where I cleaned up the city and finished off the Mastermind and still had attack left over."
,,4,iburnicus,51,28,79,1st,Yes (2.5),4th,28 (1),4th,6 (1),4th,2.821 (1),5.5,,25,3,Jocasta,Wonder Man,5/5,"i had a blast with synergies between the chosen heroes,
i had shang chi + jocasta shuffle mechanics (and the shang chi rare appeared at a great time) and
cap marvel+beast+wonder man strength and range synergies;
with also some overlapping on beast and jocasta!
worked out great!"
,,,,                                                            Lower Bracket,,,,,,,,,,,,,,,,,,
19,Mr. Sinister's Clone Saga,1,Mikeygill97,74,21,95,1st,Yes (2.5),2nd,25 (3),3rd,1 (1.5),1st,3.8 (4),11,,23,6,Angel,Black Widow,5/5,Love this setup! The only thing missing was Sinister clones!
,,2,zer00verride,35,44,79,1st,Yes (2.5),3rd,26 (2),1st,0 (3.5),2nd,3.038 (3),11,,16,6,Domino,Moon Knight,4/5,Originally was planning on taking Black Widow but given that their series released on Disney+ today it felt right to take Moonknight.
,,3,MrJTince,49,44,93,1st,Yes (2.5),4th,35 (1),1st,0 (3.5),3rd,2.657 (2),9,,20,0,Spider-Woman,Iron Man,4/5,Between the scheme and Mr Sinister it was hard to keep a hand for most of the game. Nice Challenge
,,4,7tadpole7,25,34,59,1st,Yes (2.5),1st,23 (4),3rd,1 (1.5),4th,2.565 (1),9,,10,3,Spider-Woman,Ultimate Spiderman,5/5,Kitty Pryde and Forge really kept compounding on each other and kept P1 deck very tidy. P2 went heavy into the spiderfriends. even when master strike or scheme twist knocked my hands down I felt I had enough draw to keep playing and manipulate the HQ for the other players.
,,-,mattl00k,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-
20,The Beyonder's Invasion of the Venom Symbiotes,1,OllieKitKat/Kylah15,25,87,112,1st,Yes (3),1st,27 (4),1st,0 (3.5),1st,4.148 (4),14.5,,9,5,Captain America,Adam Warlock,5/5,"Shards weren't as powerful as all of the Avengers. Having 3 rares on our side definitely helped smack the Beyonder out of the cosmos! On top of that, Adam Warlock ended up being corrupted by power and needed a good smack down as well. Captain America and Hulkbuster happily obliged."
,,2,CrimsonY#5104,76,51,127,1st,Yes (3),3rd,41 (2),1st,0 (3.5),3rd,3.098 (2),10.5,,10,0,Darkhawk,War Machine,4/5,"This was quite a challenge, even with great RNG and very late Master Strikes, double henchmen helps with the flow, but with 2 very strong villain groups this can become ugly rather quick, this is our 1st game and we barely saw any Yondu, won by just a few cards left too O_O. Second game had a much stronger start, but my deck slowed to a crawl after a few less than good purchases, leaving my partner to almost solo play the second half into a lame loss, as I was swimming in wounds ._. Phew."
,,3,nln_rose,59,37,96,1st,Yes (3),2nd,28 (3),3rd,1 (1.5),2nd,3.429 (3),10.5,,5,2,She-Hulk,Amadeus Cho,4/5,
,,4,Hatephd,36,57,93,4th,No (1),4th,45 (1),3rd,1 (1.5),4th,2.067 (1),4.5,,1,0,Photon,Quicksilver,4/5,"just brutal. Should have gone with Skaar and Fixit, but talked myself out of it...."
21,The Hydra High Council Splices Humans with Spider DNA,1,Hobbes#4833,48,25,73,1st,Yes (2.5),1st,25 (4),1st,0 (4),1st,2.92 (4),14.5,,2,2,Deathlok,Quake,4/5,
,,2,JParnell,39,31,70,1st,Yes (2.5),2nd,26 (2.5),2nd,1 (3),2nd,2.692 (3),11,,2,1,Deathlok,Agent Phil Coulson,3/5,
,,3,Astigmatic_Oracle,17,41,58,1st,Yes (2.5),2nd,26 (2.5),3rd,2 (2),3rd,2.231 (2),9,,0,4,Quake,Captain America,4/5,"Used Undercover instead of KO, which worked better than I thought it would."
,,4,BigB,39,13,52,1st,Yes (2.5),4th,35 (1),4th,6 (1),4th,1.486 (1),5.5,,2,0,Deathlok,Hellcat,5/5,
22,Deathbird's Anti-Mutant Hatred,1,Grey Warden,35,81,116,1st,Yes (3),1st,30 (4),1st,0 (4),1st,3.867 (4),15,,35,3,Banshee,Jean Grey,5/5,"Jean Grey was the best choice, for sure! Her bystander saves were top notch. And then the ability to pull piercing from both Banshee and Polaris definitely made things easier. Our second game we scored a considerable amount more than the first, but it was also higher turns and more escapes, so we went with game one score."
