Pod,Setup,Rank,Name,"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Hero Choice 1,Hero Choice 2,Fun Level,Comments
,,6,ItStartsWith1,38,14,52,5th,No (2),7th,27 (1),1st,0 (4),6th,1.926 (2),9,,24,1,Domino,Iceman,3/5,"With an early God(Devil)slayer Blade, the left was able to get multiple hits on our lovable demon. The negative zone proved to keep me off balance, however, and wasn’t able to get a win in either game. Should’ve gone all in on Versatile. 7th and final twist came all too early."
,,7,mattl00k,22,24,46,5th,No (2),6th,33 (2),1st,0 (4),7th,1.394 (1),9,,2,0,Blade,Wolverine (X-Force),5/5,I was able to gain a lot of attack but only during the flipped twist. Good setup & was fun to play
,,-,Lengua Tacos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,Trapped in Odin's Insane Asylum,1,Dre 2 point 0,65,14,79,1st,Yes (5),1st,27 (6),1st,1 (5.5),1st,2.926 (6),22.5,,51,1,Electro,Enchantress,4/5,Silly Odin kept filling the city with fodder for my Enchant the Senses/Kingpin engine. Once that got going it was game over for him!
,,2,MicroDisney0505 ,41,43,84,1st,Yes (5),3rd,32 (4),3rd,2 (3.5),2nd,2.625 (5),17.5,,2,1,Sabretooth,Wolfsbane,4/5,The heroes used had few cards with high attack. This helped Abomination a lot. Got a rare right before Thor came in.
,,3,Guardian06,52,24,76,1st,Yes (5),2nd,30 (5),5th,3 (2),3rd,2.533 (4),16,,28,2,Bullseye,Sabretooth,3/5,This scheme is not my favorite. 
,,4,Hatephd,21,28,49,4th,No (2),6th,27 (1),1st,1 (5.5),4th,1.815 (3),11.5,,7,3,Warlock,Bullseye,3/5,Rough. At least I hit Odin twice before I went insane...
,,5,Mr. Omnishambles,36,15,51,4th,No (2),4th,30 (2.5),3rd,2 (3.5),5th,1.7 (2),10,,21,2,Ultron,Gorgon,1/5,Swingy Scheme! Even with non-randomized heroes on a third run I had no chance to win this! Bindings are always a pain!
,,6,caseystahl1125,14,19,33,4th,No (2),4th,30 (2.5),6th,6 (1),6th,1.1 (1),6.5,,5,5,Green Goblin,Dr. Octopus,4/5,Trapped in the Asylum is a tough scheme that really jumbles your ability to form great combos...it was fun though
,,-,Hobbes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Madelyne Pryor's Secret Invasion of the Skrull Shapeshifters,1,Thedaninblack,59,39,98,1st,Yes (4),4th,26 (4),1st,0 (7),1st,3.769 (7),22,,20,43,Maximus,Spider-Gwen,4/5,Widow v. Goblin Queen? Fish in a barrel.
,,2,JParnell,48,21,69,1st,Yes (4),1st,23 (7),2nd,1 (5.5),4th,3 (4),20.5,,27,16,Apocalyptic Kitty Pryde,Agent Venom,5/5,"Black Widow's perfect running mate is Apocalyptic Kitty Pride- they both get your deck down to nothing, and keep the HQ flowing. The otherside got to mop up all the Spectrum and different Team stuff, including acquiring 5/6 rares available by the end of the game!"
,,3,Drewfusmcge,13,66,79,1st,Yes (4),3rd,25 (5),2nd,1 (5.5),3rd,3.16 (5),19.5,,53,27,Spider-Gwen,Ultimate Spider-Man,4/5,Black Widow + Spider-Gwen bystander shenanigans. Need I say more?
,,4,Grey Warden,31,48,79,1st,Yes (4),2nd,24 (6),6th,4 (2),2nd,3.292 (6),18,,17,23,Black Swan,Spider-Gwen,4/5,"My wife used Black Widow + Spider-Gwen as a great combo, and I made sure to throw in two more teams when picking Heroes, so my two captains dominated with all the variety!"
,,5,Derpius#7789,34,41,75,1st,Yes (4),5th,28 (3),5th,3 (3),5th,2.679 (3),13,,7,18,Corvus Glaive,Thanos,4/5,"Got Black widow's rare near the end, really helped finish off Madelyne"
,,6,Barrit,44,42,86,1st,Yes (4),7th,33 (1),4th,2 (4),6th,2.606 (2),11,,2,30,Shang-Chi,Maximus,2/5,Time Traveling Jean Grey is no help against doppelgänger Madelyne Pryor. Worst hero ever. She spends the whole game rearranging the city and hoping to occasionally draw an extra card. It’s mostly just noise till Black Widow (who’s being fed bystanders constantly) shows up and 1 shots the mastermind.
,,7,iceflake,59,11,70,1st,Yes (4),6th,31 (2),7th,5 (1),7th,2.258 (1),8,,48,23,Black Panther,Beast (Illuminati),2/5,"first game went absolutely horribly, 2nd game came through to give me an acceptable submission"
6,Annihilus Hails Hydra,1,Adrian Miller,41,47,88,1st,Yes (4),2nd,20 (5),1st,0 (4),2nd,4.4 (5),18,,6,17,Forge,Jean Grey,5/5,No
,,2,OllieKitKat/Kylah15,30,36,66,1st,Yes (4),1st,19 (6),1st,0 (4),3rd,3.474 (4),18,,6,10,Mockingbird,Wolverine (X-Force),4/5,"Went way better than expected. Ollie was able to thin his deck enough that once he could hit Annihilus, he consistently did so. Kylah racked up SHIELD level and dealt the last two hits in a single turn."
,,3,R3DJ0N#6458,45,64,109,1st,Yes (4),4th,24 (3),1st,0 (4),1st,4.542 (6),17,,19,13,Brainstorm,Fantastic Four United,5/5,"Despite having access to Dark City, I didn't see it quite working with the assigned 3 heroes. I picked Brainstorm to set up feasting and daredevil and that worked out pretty well. I picked ff4 to have something to counter the scheme with focus, that didn't come up very much. The cards never seemed to sync up right with the scheme twists. There was actually too much KO going on."
,,4,Drinnak,34,42,76,1st,Yes (4),5th,28 (2),1st,0 (4),5th,2.714 (2),12,,8,10,Mockingbird,Rick Jones,4/5,Mockingbird is way more dangerous than I originally thought.
,,5,Flipflopmaniac,37,34,71,1st,Yes (4),3rd,23 (4),6th,1 (1),4th,3.087 (3),12,,3,8,"Joe Fixit, Grey Hulk",Rick Jones,5/5,"The combination of Streets, Annihilation Wave, and SHIELD levels made for some very thin decks and the bribe mechanics from Streets and Joe Fixit was the key to winning.  MCU side landed the Grey Hulk's rare on turn 4 and used Stretching Credibility to get to it faster.  Comic side took two Threaten and Bribes and made sure Annihilus' momentum was as low as possible.  Final turn was comic side emptying both draw and discard pile, recruiting Super-Skrull's rare, and then using Blind Justice to guess 7 to get it and reach 14 attack to land the Final Blow."
,,6,Mangostrike,23,44,67,6th,No (1),6th,35 (1),1st,0 (4),6th,1.914 (1),7,,21,13,Rick Jones,Mockingbird,4/5,"First game I got a ton of Tech Shield heroes and had a nice engine going but couldn't get the final blow before the 10th Twist. Second game Deathlok and Rick didn't show up at all, but Daredevil and Super-Skrull had a really tight deck throwing lots of attack very quickly. Probably wouldn't try to chase the Shield combos if I played this over again."
,,-,dontfeedthegreen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,Mr. Sinister Smashes Two Dimensions Together,1,Snash108,72,28,100,1st,Yes (4),1st,25 (5),1st,0 (5),1st,4 (5),19,,44,11,Iceman,Lady Thor,5/5,"Ranged deck on the left and strength deck on the right. Iceman obliterated Mr Sinister with 60 attack on a turn, drawing their entire deck, as well as all the new stuff they just bought!! Ridiculous!!"
,,2,Zer00verride,45,54,99,1st,Yes (4),2nd,28 (4),4th,3 (2),2nd,3.536 (4),14,,9,15,Lady Thor,Wolverine (X-Force),4/5,"I always want the heroes I choose to have a reasonable impact on the game. Lady Thor did her job of supporting Captain Marvel but X-Force Wolverine is going to have back pain from how hard he carried this. He provided extra KO power to the Marvel/Lady Thor side while providing KO power, card drawn and significant attack to the other."
,,3,Doormatte #7658,59,33,92,1st,Yes (4),3rd,34 (3),2nd,1 (4),3rd,2.706 (3),14,,26,13,Iceman,Cable,5/5,Wonderful Challenge!!!
,,4,Mikeygill97,26,43,69,4th,No (1.5),4th,33 (1.5),3rd,2 (3),5th,2.091 (1),7,,17,3,Wolverine (X-Force),Thanos,3/5,"Very challenging setup just couldn't get the decks to thin down enough or were too thinned down. However, it was a decent challenge and what didn't help were not the scheme twists it was the Master Strikes who kept making me discard for each bystander."
,,5,Montax30,38,48,86,4th,No (1.5),4th,33 (1.5),5th,6 (1),4th,2.606 (2),6,,10,10,Iceman,Wolverine (X-Force),3/5,I really tried to get Colossus/Wolverine and Captain Marvel/Iceman to work but the shuffle in both decks rallied against me.
,,-,Jerzin,63,30,93,-,Yes,-,25,-,1,-,3.72,-,,33,18,Captain America,Lady Thor,4/5,"A DAY LIKE ANY OTHER! Player one really quickly get this rare and then just beating everything with Avengers cards from Lady Thor and Captain Marvel. Player two get Colossus and try to clean the city but getting lots of wounds. Master strike is painful thing from MS, and scheme twist - play two cards from villain deck was trouble as well. In the end the city was full and with Cap rare a generated enough attack to kill MS. Nice setup."
,,-,Loconnole & Klcgolf,57,46,103,-,Yes,-,33,-,0,-,3.121,-,,11,16,Captain Britain,The Captain and the Devil,4/5,"Trickier than it initially looked, we got hit really hard the first time but we're able to adjust our strategy the second time"
8,Immortal Emperor Zheng Zhu's Unbreakable Enigma Code,1,ChuckBau3r,44,60,104,1st,Yes (5),3rd,38 (4),1st,0 (4.5),1st,2.737 (6),19.5,,16,5,Shang-Chi,Luke Cage,4/5,"Got to give Shang-Chi's rare to the other hand using Weasel at just the right time, as their deck was super thin, and5 twists had been played and the code cracked!! My kung fu is greater than yours Zheng Zhu!!"
,,2,ClobberinTime & megablueJJ67,64,33,97,1st,Yes (5),2nd,37 (5),1st,0 (4.5),3rd,2.622 (4),18.5,,31,9,Peter Parker/Aunt May,Shang-Chi,1/5,"We enjoyed the challenge of this setup, but we despise this scheme lol. We chose Peter Parker/Aunt May and Shang Chi for two reasons (1) It eliminated Blue from the Enigma Code, and (2) Peter Parker and Spider-Gwen don’t rely on Spider-Friends team synergy. One player specifically focused on recruiting 2 cost cards. In Game 1, Shang Chi’s best card saved us big time. In Game 2, the Enigma Code destroyed us by claiming Hulking and Shang Chi’s best cards."
,,3,iburnicus,48,50,98,1st,Yes (5),1st,36 (6),5th,1 (1.5),2nd,2.722 (5),17.5,,2,7,Daredevil (Avengers),Wiccan,4/5,"first game i went infinite with daredevil which felt amazing! although,it happened a little too late cuz i could hit the MM only for the final blow with it, both games ended up pretty much equal in scores so i hope i picked the right one for submitted results!"
,,4,CaptainToad,55,27,82,4th,No (2),4th,39 (3),1st,0 (4.5),4th,2.103 (3),12.5,,28,8,Shang-Chi,Soulsword Colossus,1/5,no
,,5,CombatantMoth,37,36,73,4th,No (2),5th,36 (2),1st,0 (4.5),6th,2.028 (1),9.5,,1,5,Beast (Illuminati),The Captain and the Devil,1/5,We had so many hands with enough to hit the mastermind and only got him once in both games due to poor luck (and a poor grasp on the rules of the scheme the first round).
,,6,TheKize,48,19,67,4th,No (2),6th,32 (1),5th,1 (1.5),5th,2.094 (2),6.5,,29,6,Captain America (Falcon),Hercules,4/5,The enigma code is a great thematic scheme that makes things feel like a cat-and-mouse game.
,,-,Etheron / atom426,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
